date,close,澳洲&巴西铁矿石：发货量：19个港口（周）,铁矿：澳大利亚产：发货量合计：19个港口：澳大利亚→中国（周）,铁矿：澳大利亚产：船舶离港数量：19个港口（周）,铁矿：巴西产：发货量：19个港口（周）,铁矿：巴西产：船舶离港数量：19个港口（周）,铁矿：澳大利亚产：发货量：19个港口（周）,铁矿：发货量：FMG→中国（周）,铁矿：发货量：力拓→中国（周）,铁矿：发货量：巴西：淡水河谷（周）,铁矿：发货量：BHP→中国（周）,铁矿：发货量：全球（周）,铁矿：到港量：45个港口（周）,铁矿：船舶到港量：45个港口（周）,铁矿：出口数量合计：中国（月）,铁矿：出口金额合计：中国（月）,铁矿：进口数量合计：中国（月）,铁矿：进口金额合计：中国（月）,烧结用矿粉：出口数量合计：中国（月）,烧结用矿粉：出口金额合计：中国（月）,烧结用矿粉：进口数量合计：中国（月）,烧结用矿粉：进口金额合计：中国（月）,块矿：出口数量合计：中国（月）,块矿：出口金额合计：中国（月）,块矿：进口数量合计：中国（月）,块矿：进口金额合计：中国（月）,已烧结的铁矿砂及其精矿：出口数量合计：中国（月）,已烧结的铁矿砂及其精矿：出口金额合计：中国（月）,已烧结的铁矿砂及其精矿：进口数量合计：中国（月）,已烧结的铁矿砂及其精矿：进口金额合计：中国（月）,铁精粉：出口数量合计：中国（月）,铁精粉：出口金额合计：中国（月）,铁精粉：进口数量合计：中国（月）,铁精粉：进口金额合计：中国（月）,未烧结的铁矿砂及其精矿：出口数量合计：中国（月）,未烧结的铁矿砂及其精矿：出口金额合计：中国（月）,未烧结的铁矿砂及其精矿：进口数量合计：中国（月）,未烧结的铁矿砂及其精矿：进口金额合计：中国（月）,铁矿：进口数量初值：中国（月）,铁矿：进口金额初值：美元：中国（月）,铁矿：进口数量终值同比：中国（月）,铁矿：进口金额终值同比：美元：中国（月）,铁矿：进口数量终值：中国（月）,186家矿山企业（363座矿山）：产能利用率（周）,126家矿山企业（266座矿山）：大型矿山：产能利用率（周）,126家矿山企业（266座矿山）：小型矿山：产能利用率（周）,126家矿山企业（266座矿山）：中型矿山：产能利用率（周）,126家矿山企业（266座矿山）：铁精粉：产量：中国（周）,126家大型矿山企业：铁精粉：产量：中国（周）,126家小型矿山企业：铁精粉：产量：中国（周）,126家中型矿山企业：铁精粉：产量：中国（周）,332家矿山企业：铁精粉：产量：中国（月）,铁矿：采剥掘量合计：重点企业（月）,成品铁矿石：产量：重点企业（月）,铁精矿：产量：重点企业（月）,铁矿：产量：重点企业（月）,统计局：中国：工业产品：产量：原矿（月）,Mysteel：铁精粉：30家样本企业：产量（周）,Mysteel：球团：38家样本企业：产量（周）,烧结用矿粉：国产：消耗量：114家钢铁企业（周）,铁矿：进口：日均消耗量：247家钢铁企业（周）,烧结用矿粉：进口：消耗量：114家钢铁企业（周）,铁矿：进口：日均疏港量合计：45个港口（周）,铁矿：成交量合计：中国主要港口（日）,铁矿：现货日均成交量合计：贸易商：中国主要港口（周）,块矿：入炉比：114家钢铁企业（周）,球团：入炉比：114家钢铁企业（周）,烧结矿：入炉比：114家钢铁企业（周）,烧结矿：入炉品位：114家钢铁企业（周）,烧结矿：进口：配比：114家钢铁企业（周）,铁矿：远期现货累计成交量（日）,126家小型矿山企业：铁精矿：库存：中国（周）,126家大型矿山企业：铁精矿：库存：中国（周）,126家中型矿山企业：铁精矿：库存：中国（周）,126家矿山企业（266座矿山）：铁精粉：库存：中国（周）,铁矿：进口：库存消费比：247家钢铁企业（周）,铁矿：进口：库存：247家钢铁企业（周）,铁水：不含税平均成本：114家钢铁企业（周）,烧结用矿粉：进口：库存：114家钢铁企业（周）,烧结用矿粉：国产：库存：64家钢厂（周）,烧结用矿粉：进口：库存消费比：64家钢厂（周）,铁矿：进口：平均可用天数：64家钢厂（周）,铁矿：进口：库存：45个港口（日）,铁精粉：库存：45个港口（周）,球团：进口：库存：45个港口（周）,块矿：库存：45个港口（周）,粗粉：进口：库存：45个港口（周）,铁矿：澳大利亚产：库存：45个港口（周）,铁矿：巴西产：库存：45个港口（周）,贸易矿：进口：库存：45个港口（周）,铁矿：进口：压港量合计：45个港口（周）,铁矿：进口：堆场容积合计：45个港口（周）
2016/1/4,321.5,,,,,,,248.3,499,617.4,257.5,,,,78408.284,5496830,96269521.04,4937082215,180,18045,70141157.85,3482263666,225,38700,16479848.07,895511955,78001.984,5439730,1945916.406,145070257,1.3,355,7702598.72,414236337,406.3,57100,94323604.63,4792011958,9627,4937.08,10.9,-24.4,9627,,,,,33.9,,,,,8210.98,892.24,845.84,2539.49,11967.2,,,,,,264,,64.75,,,,,,,,,,,,,,,50.93,,22,9608,683,662,1363,6900,4604,2324,2877,,
2016/1/5,324.5,,,,,,,248.3,499,617.4,257.5,,,,78408.284,5496830,96269521.04,4937082215,180,18045,70141157.85,3482263666,225,38700,16479848.07,895511955,78001.984,5439730,1945916.406,145070257,1.3,355,7702598.72,414236337,406.3,57100,94323604.63,4792011958,9627,4937.08,10.9,-24.4,9627,,,,,33.9,,,,,8210.98,892.24,845.84,2539.49,11967.2,,,,,,264,,64.75,,,,,,,,,,,,,,,50.93,,22,9608,683,662,1363,6900,4604,2324,2877,,
2016/1/6,318.5,,,,,,,248.3,499,617.4,257.5,,,,78408.284,5496830,96269521.04,4937082215,180,18045,70141157.85,3482263666,225,38700,16479848.07,895511955,78001.984,5439730,1945916.406,145070257,1.3,355,7702598.72,414236337,406.3,57100,94323604.63,4792011958,9627,4937.08,10.9,-24.4,9627,,,,,33.9,,,,,8210.98,892.24,845.84,2539.49,11967.2,,,,,,264,,64.75,,,,,,,,,,,,,,,50.93,,22,9608,683,662,1363,6900,4604,2324,2877,,
2016/1/7,320,,,,,,,248.3,499,617.4,257.5,,,,78408.284,5496830,96269521.04,4937082215,180,18045,70141157.85,3482263666,225,38700,16479848.07,895511955,78001.984,5439730,1945916.406,145070257,1.3,355,7702598.72,414236337,406.3,57100,94323604.63,4792011958,9627,4937.08,10.9,-24.4,9627,,,,,33.9,,,,,8210.98,892.24,845.84,2539.49,11967.2,,,,,,264,,64.75,,,,,,,,,,,,,,,50.93,,22,9608,683,662,1363,6900,4604,2324,2877,,
2016/1/8,311.5,,,,,,,331.5,370.8,403.1,323.2,,,,78408.284,5496830,96269521.04,4937082215,180,18045,70141157.85,3482263666,225,38700,16479848.07,895511955,78001.984,5439730,1945916.406,145070257,1.3,355,7702598.72,414236337,406.3,57100,94323604.63,4792011958,9627,4937.08,10.9,-24.4,9627,,,,,33.9,,,,,8210.98,892.24,845.84,2539.49,11967.2,,,,,,254,,46,,,,,,,,,,,,,,,50.41,,24,9906,778,734,1332,7062,4717,2477,2990,,
2016/1/11,305.5,,,,,,,331.5,370.8,403.1,323.2,,,,78408.284,5496830,96269521.04,4937082215,180,18045,70141157.85,3482263666,225,38700,16479848.07,895511955,78001.984,5439730,1945916.406,145070257,1.3,355,7702598.72,414236337,406.3,57100,94323604.63,4792011958,9627,4937.08,10.9,-24.4,9627,,,,,33.9,,,,,8210.98,892.24,845.84,2539.49,11967.2,,,,,,254,,46,,,,,,,,,,,,,,,50.41,,24,9906,778,734,1332,7062,4717,2477,2990,,
2016/1/12,300.5,,,,,,,331.5,370.8,403.1,323.2,,,,78408.284,5496830,96269521.04,4937082215,180,18045,70141157.85,3482263666,225,38700,16479848.07,895511955,78001.984,5439730,1945916.406,145070257,1.3,355,7702598.72,414236337,406.3,57100,94323604.63,4792011958,9627,4937.08,10.9,-24.4,9627,,,,,33.9,,,,,8210.98,892.24,845.84,2539.49,11967.2,,,,,,254,,46,,,,,,,,,,,,,,,50.41,,24,9906,778,734,1332,7062,4717,2477,2990,,
2016/1/13,300.5,,,,,,,331.5,370.8,403.1,323.2,,,,78408.284,5496830,96269521.04,4937082215,180,18045,70141157.85,3482263666,225,38700,16479848.07,895511955,78001.984,5439730,1945916.406,145070257,1.3,355,7702598.72,414236337,406.3,57100,94323604.63,4792011958,9627,4937.08,10.9,-24.4,9627,,,,,33.9,,,,,8210.98,892.24,845.84,2539.49,11967.2,,,,,,254,,46,,,,,,,,,,,,,,,50.41,,24,9906,778,734,1332,7062,4717,2477,2990,,
2016/1/14,305,,,,,,,331.5,370.8,403.1,323.2,,,,78408.284,5496830,96269521.04,4937082215,180,18045,70141157.85,3482263666,225,38700,16479848.07,895511955,78001.984,5439730,1945916.406,145070257,1.3,355,7702598.72,414236337,406.3,57100,94323604.63,4792011958,9627,4937.08,10.9,-24.4,9627,,,,,33.9,,,,,8210.98,892.24,845.84,2539.49,11967.2,,,,,,254,,46,,,,,,,,,,,,,,,50.41,,24,9906,778,734,1332,7062,4717,2477,2990,,
2016/1/15,306.5,,,,,,,319.5,434,468.1,422.2,,,,78408.284,5496830,96269521.04,4937082215,180,18045,70141157.85,3482263666,225,38700,16479848.07,895511955,78001.984,5439730,1945916.406,145070257,1.3,355,7702598.72,414236337,406.3,57100,94323604.63,4792011958,9627,4937.08,10.9,-24.4,9627,,,,,34.7,,,,,8210.98,892.24,845.84,2539.49,11967.2,,,,,,258,,48.6,,,,,,,,,,,,,,,50.41,,24,10063,753,740,1368,7202,4844,2503,3129,,
