date,close,PTA：产量同比：中国（月）,PTA：开工率同比：中国（日）,PTA：开工率：中国（月）,PTA：损失量：中国（日）,PTA：中国企业：开工率（日）,PTA：产量：中国（日）,PTA：实际消费量：中国（月）,PTA：表观消费量：中国（月）,PTA：仓单数量：中国（日）,PTA：仓单有效预报：中国（日）,PTA：中国企业：库存可用天数（周）,PTA：原料：中国聚酯工厂：库存可用天数（周）,PTA：期末库存：中国（月）,PTA：社会库存：中国（月）
"2015-10-10","","","","","6.01","","7.41","","","","","","","",""
"2015-10-11","","","","","6.01","","7.41","","","","","","","",""
"2015-10-12","","","","","6.01","","7.41","","","7103","829","","","",""
"2015-10-13","","","","","5.57","","7.85","","","6758","1029","","","",""
"2015-10-14","","","","","5.57","","7.85","","","6538","1829","","","",""
"2015-10-15","","","","","5.55","","7.88","","","6529","1829","","","",""
"2015-10-16","","","","","5.55","","7.88","","","6905","1429","","","",""
"2015-10-17","","","","","5.55","","7.88","","","","","","","",""
"2015-10-18","","","","","5.55","","7.88","","","","","","","",""
"2015-10-19","","","","","4.91","","8.51","","","7081","1229","","","",""
"2015-10-20","","","","","4.11","","9.31","","","6861","1229","","","",""
"2015-10-21","","","","","4.53","","8.89","","","6861","1229","","","",""
"2015-10-22","","","","","4.53","","8.89","","","6661","319","","","",""
"2015-10-23","","","","","4.53","","8.89","","","6410","919","","","",""
"2015-10-24","","","","","4.53","","8.89","","","","","","","",""
"2015-10-25","","","","","5.16","","8.26","","","","","","","",""
"2015-10-26","","","","","5.16","","8.26","","","6166","919","","","",""
"2015-10-27","","","","","5.16","","8.26","","","6166","919","","","",""
"2015-10-28","","","","","5.16","","8.26","","","6678","319","","","",""
"2015-10-29","","","","","5.44","","7.98","","","6238","1319","","","",""
"2015-10-30","","","","","5.44","","7.98","","","6230","1319","","","",""
"2015-10-31","","-4.65","","","5.44","","7.98","270.09","253.82","","","","","130.49","130.5"
"2015-11-01","","","","","5.41","","8.01","","","","","","","",""
"2015-11-02","","","","","5.41","","8.01","","","6230","1319","","","",""
"2015-11-03","","","","","5.41","","8.01","","","7230","319","","","",""
"2015-11-04","","","","","5.41","","8.01","","","7230","319","","","",""
"2015-11-05","","","","","5.41","","8.01","","","7228","319","","","",""
"2015-11-06","","","","","5.41","","8.01","","","7228","319","","","",""
"2015-11-07","","","","","5.41","","8.01","","","","","","","",""
"2015-11-08","","","","","5.41","","8.01","","","","","","","",""
"2015-11-09","","","","","5.41","","8.01","","","7228","561","","","",""
"2015-11-10","","","","","5.41","","8.01","","","7228","561","","","",""
"2015-11-11","","","","","5.75","","7.67","","","7470","319","","","",""
"2015-11-12","","","","","4.6","","8.82","","","7470","319","","","",""
"2015-11-13","","","","","4.6","","8.82","","","7470","319","","","",""
"2015-11-14","","","","","4.6","","8.82","","","","","","","",""
"2015-11-15","","","","","4.6","","8.82","","","","","","","",""
"2015-11-16","","","","","4.77","","8.65","","","7464","319","","","",""
"2015-11-17","","","","","4.77","","8.65","","","7460","319","","","",""
"2015-11-18","","","","","4.77","","8.65","","","7460","319","","","",""
"2015-11-19","","","","","4.77","","8.65","","","7460","319","","","",""
"2015-11-20","","","","","5.4","","8.02","","","7457","319","","","",""
"2015-11-21","","","","","5.83","","7.59","","","","","","","",""
"2015-11-22","","","","","5.83","","7.59","","","","","","","",""
"2015-11-23","","","","","4.77","","8.65","","","7457","319","","","",""
"2015-11-24","","","","","4.77","","8.65","","","7258","0","","","",""
"2015-11-25","","","","","4.77","","8.65","","","7258","0","","","",""
"2015-11-26","","","","","4.77","","8.65","","","7254","296","","","",""
"2015-11-27","","","","","4.77","","8.65","","","6965","592","","","",""
"2015-11-28","","","","","4.77","","8.65","","","","","","","",""
"2015-11-29","","","","","4.77","","8.65","","","","","","","",""
"2015-11-30","","-4.57","","","4.77","","8.65","260.48","254.46","7081","396","","","128.15","128.15"
"2015-12-01","","","","","4.77","","8.65","","","7073","396","","","",""
"2015-12-02","","","","","4.51","","8.92","","","7008","2396","","","",""
"2015-12-03","","","","","4.51","","8.92","","","7008","2396","","","",""
"2015-12-04","","","","","4.51","","8.92","","","9279","2271","","","",""
"2015-12-05","","","","","4.51","","8.92","","","","","","","",""
"2015-12-06","","","","","4.51","","8.92","","","","","","","",""
"2015-12-07","","","","","4.51","","8.92","","","9239","2016","","","",""
"2015-12-08","","","","","4.51","","8.92","","","8965","2016","","","",""
"2015-12-09","","","","","4.51","","8.92","","","9625","1000","","","",""
"2015-12-10","","","","","4.36","","9.07","","","10625","0","","","",""
"2015-12-11","","","","","4.36","","9.07","","","10625","407","","","",""
"2015-12-12","","","","","4.36","","9.07","","","","","","","",""
"2015-12-13","","","","","4.36","","9.07","","","","","","","",""
"2015-12-14","","","","","4.36","","9.07","","","11259","200","","","",""
"2015-12-15","","","","","4.36","","9.07","","","11091","200","","","",""
"2015-12-16","","","","","4.68","","8.74","","","11091","200","","","",""
"2015-12-17","","","","","4.68","","8.74","","","13130","200","","","",""
"2015-12-18","","","","","4.68","","8.74","","","11290","0","","","",""
"2015-12-19","","","","","4.36","","9.07","","","","","","","",""
"2015-12-20","","","","","4.36","","9.07","","","","","","","",""
"2015-12-21","","","","","4.36","","9.07","","","11290","0","","","",""
"2015-12-22","","","","","4.36","","9.07","","","11290","0","","","",""
"2015-12-23","","","","","4.36","","9.07","","","11290","2112","","","",""
"2015-12-24","","","","","4.36","","9.07","","","11274","2112","","","",""
"2015-12-25","","","","","4.65","","8.77","","","11274","2112","","","",""
"2015-12-26","","","","","4.65","","8.77","","","","","","","",""
"2015-12-27","","","","","4.65","","8.77","","","","","","","",""
"2015-12-28","","","","","4.65","","8.77","","","14426","9317","","","",""
"2015-12-29","","","","","4.65","","8.77","","","14536","10208","","","",""
"2015-12-30","","","","","4.65","","8.77","","","14536","10208","","","",""
"2015-12-31","","18.98","","","4.65","","8.77","265.1","282.34","20542","6424","","","149.41","149.41"
"2016-01-01","","","","","4.2","68.16","8.99","","","","6424","","","",""
"2016-01-02","","","","","4.2","68.16","8.99","","","","","","","",""
"2016-01-03","","","","","4.2","68.16","8.99","","","","","","","",""
"2016-01-04","4440","","","","4.2","68.16","8.99","","","20534","6424","","","",""
"2016-01-05","4488","","","","4.2","68.16","8.99","","","20534","6424","","","",""
"2016-01-06","4468","","","","4.2","68.16","8.99","","","20534","6424","","","",""
"2016-01-07","4424","","","","4.2","68.16","8.99","","","20534","6424","","","",""
"2016-01-08","4428","","","","4.2","68.16","8.99","","","23966","5951","","","",""
"2016-01-09","","","","","4.2","68.16","8.99","","","","","","","",""
"2016-01-10","","","","","4.2","68.16","8.99","","","","","","","",""
"2016-01-11","4382","","","","4.2","68.16","8.99","","","23966","9174","","","",""
"2016-01-12","4248","","","","4.2","68.16","8.99","","","25968","6049","","","",""
"2016-01-13","4254","","","","4.2","68.16","8.99","","","30887","2210","","","",""
"2016-01-14","4262","","","","4.4","66.65","8.79","","","31887","1220","","","",""
