date,close,PVC：产量：中国（日）,PVC：地方企业：产能利用率：中国（周）,PVC：电石法：开工率：中国（周）,PVC：乙烯法：开工率：中国（周）,PVC：表观消费量：中国（月）,PVC：成交量：中国（日）,PVC：看跌比例：中国（周）,PVC：看升比例：中国（周）,PVC：预售量：中国（周）,PVC：社会库存：中国（周）,PVC型材：开工率：中国（周）,PVC管材：开工率：中国（周）,PVC糊树脂：产量：中国（月）,碳化钙：平均开工率：中国企业（周）,碳化钙：产量：中国（周）,碳化钙：检修减损量：中国（周）
"2015-10-02","","","57.43","","","","","","","","23.49","","","","","",""
"2015-10-09","","","58.8","","","","","","","","23.1","","","","","",""
"2015-10-16","","","55.03","","","","","","","","22.46","","","","","",""
"2015-10-23","","","56.06","","","","","","","","22.78","","","","","",""
"2015-10-30","","","58.13","","","","","","","","22.43","","","","","",""
"2015-11-06","","","58.85","","","","","","","","22.41","","","","","",""
"2015-11-13","","","60.11","","","","","","","","22.71","","","","","",""
"2015-11-20","","","60.11","","","","","","","","21.31","","","","","",""
"2015-11-27","","","59.39","","","","","","","","19.19","","","","","",""
"2015-12-04","","","59.08","","","","","","","","18.83","","","","","",""
"2015-12-11","","","58.2","","","","","","","","17.75","","","","","",""
"2015-12-18","","","56.91","","","","","","","","17.75","","","","","",""
"2015-12-25","","","59.49","","","","","","","","17.1","","","","","",""
"2016-01-01","","","75.01","","","","","","","","17.15","","","","","",""
"2016-01-04","4820","","","","","","","","","","","","","","","",""
"2016-01-05","4810","","","","","","","","","","","","","","","",""
"2016-01-06","4785","","","","","","","","","","","","","","","",""
"2016-01-07","4695","","","","","","","","","","","","","","","",""
"2016-01-08","4660","","73.54","","","","","","","","17.15","","","","","",""
"2016-01-11","4595","","","","","","","","","","","","","","","",""
"2016-01-12","4590","","","","","","","","","","","","","","","",""
"2016-01-13","4625","","","","","","","","","","","","","","","",""
"2016-01-14","4650","","","","","","","","","","","","","","","",""
"2016-01-15","4615","","73.59","","","","","","","","17.15","","","","","",""
"2016-01-18","4655","","","","","","","","","","","","","","","",""
