date,close,热轧不锈钢：产能：中国（月）,冷轧不锈钢：产能：中国（月）,不锈钢粗钢：产能：中国（月）,不锈钢粗钢：产量：中国（月）,不锈钢粗钢：200：产量：中国（月）,不锈钢粗钢：300：产量：中国（月）,不锈钢粗钢：400：产量：中国（月）,不锈方坯：产量：中国（月）,冷轧不锈钢：产量：中国（月）,冷轧不锈钢：200：产量：中国（月）,冷轧不锈钢：300：产量：中国（月）,冷轧不锈钢：400：产量：中国（月）,不锈钢：表观消费量：中国（月）,不锈钢：库存：佛山（周）
"2015-09-30","","","","","","","","","","28.61","5.24","17.43","5.94","",""
"2015-10-02","","","","","","","","","","","","","","","109014"
"2015-10-16","","","","","","","","","","","","","","","109727"
"2015-10-30","","","","","","","","","","","","","","","108983"
"2015-10-31","","","","","","","","","","29.74","5.13","18.22","6.39","",""
"2015-11-13","","","","","","","","","","","","","","","110380"
"2015-11-30","","","","","","","","","","45.58","7.9","26.46","11.22","",""
"2015-12-04","","","","","","","","","","","","","","","103905"
"2015-12-18","","","","","","","","","","","","","","","99190"
"2015-12-31","","","","","","","","","","46.29","6.8","28","11.49","",""
"2016-01-01","","","","","","","","","","","","","","","96396"
"2016-01-15","","","","","","","","","","","","","","","90889"
"2016-01-29","","","","","","","","","","","","","","","88573"
"2016-01-31","","","","261.1","173.66","52.6","87.88","33.18","","44.01","5.3","27.74","10.97","",""
"2016-02-19","","","","","","","","","","","","","","","88228"
"2016-02-29","","","","261.1","127.81","26.4","70.11","31.3","","43.05","5.06","27.43","10.56","",""
"2016-03-04","","","","","","","","","","","","","","","103434"
"2016-03-18","","","","","","","","","","","","","","","100714"
"2016-03-31","","","","261.1","196.54","59.27","98.48","38.79","","46.398","4.87","29.395","12.133","",""
"2016-04-01","","","","","","","","","","","","","","","104823"
"2016-04-15","","","","","","","","","","","","","","","110357"
"2016-04-29","","","","","","","","","","","","","","","116482"
"2016-04-30","","","","261.1","202.43","69.02","97.03","36.38","","43.08","4.57","27.37","11.14","",""
"2016-05-13","","","","","","","","","","","","","","","132862"
"2016-05-31","","","","261.1","216","70.92","109.18","35.9","","43.97","3.84","29.54","10.59","",""
"2016-06-03","","","","","","","","","","","","","","","135101"
"2016-06-17","","","","","","","","","","","","","","","124386"
"2016-06-30","","","","261.1","199.16","62.22","103.69","33.25","","46.73","3.76","32.8","10.17","",""
"2016-07-01","","","","","","","","","","","","","","","128638"
"2016-07-15","","","","","","","","","","","","","","","124096"
"2016-07-29","","","","","","","","","","","","","","","124714"
"2016-07-31","","","","261.1","194.64","66.86","93.84","33.94","","45.14","4.67","30.05","10.42","",""
"2016-08-19","","","","","","","","","","","","","","","125928"
"2016-08-31","","","","261.1","199.27","72.83","92.99","33.45","","44.32","6.33","26.79","11.2","",""
"2016-09-02","","","","","","","","","","","","","","","130141"
"2016-09-16","","","","","","","","","","","","","","","129367"
"2016-09-30","","","","261.1","204.58","72.02","94.02","38.54","","40.51","6.5","20.94","13.07","","125955"
"2016-10-07","","","","","","","","","","","","","","","121921"
"2016-10-14","","","","","","","","","","","","","","","118079"
"2016-10-21","","","","","","","","","","","","","","","108110"
"2016-10-28","","","","","","","","","","","","","","","110677"
"2016-10-31","","","","261.1","213.97","70.84","103.87","39.26","","40.6","5.08","20.89","14.63","",""
"2016-11-04","","","","","","","","","","","","","","","112259"
"2016-11-11","","","","","","","","","","","","","","","110236"
"2016-11-18","","","","","","","","","","","","","","","109452"
"2016-11-25","","","","","","","","","","","","","","","111828"
"2016-11-30","","","","261.1","217.845","74.615","101.97","41.26","","44.27","4.25","27.57","12.45","",""
"2016-12-02","","","","","","","","","","","","","","","111454"
"2016-12-09","","","","","","","","","","","","","","","106799"
"2016-12-16","","","","","","","","","","","","","","","106540"
"2016-12-23","","","","","","","","","","","","","","","113698"
"2016-12-30","","","","","","","","","","","","","","","113275"
"2016-12-31","","","","261.1","216.03","71.32","102.07","42.64","","46.98","3.89","28.65","14.44","",""
"2017-01-06","","","","","","","","","","","","","","","113556"
"2017-01-13","","","","","","","","","","","","","","","111076"
"2017-01-20","","","","","","","","","","","","","","","110701"
"2017-01-31","","","","261.1","189.88","55.21","91.6","43.07","","40.88","3.25","24.44","13.19","",""
"2017-02-03","","","","","","","","","","","","","","","109728"
"2017-02-10","","","","","","","","","","","","","","","165176"
"2017-02-17","","","","","","","","","","","","","","","144617"
"2017-02-24","","","","","","","","","","","","","","","151991"
"2017-02-28","","","","261.1","191.04","66.36","91.31","33.37","","48.35","3.01","29.85","15.49","",""
"2017-03-03","","","","","","","","","","","","","","","154811"
"2017-03-10","","","","","","","","","","","","","","","160681"
"2017-03-17","","","","","","","","","","","","","","","178252"
"2017-03-24","","","","","","","","","","","","","","","189299"
"2017-03-31","","","","261.1","217.4","77.95","103.09","36.36","","45.12","4.69","27.21","13.22","","166887"
"2017-04-07","","","","","","","","","","","","","","","154311"
"2017-04-14","","","","","","","","","","","","","","","163374"
"2017-04-21","","","","","","","","","","","","","","","161534"
"2017-04-28","","","","","","","","","","","","","","","168189"
"2017-04-30","","","","261.1","192.97","66.05","95.42","31.5","","40.83","3.66","25.37","11.8","",""
"2017-05-05","","","","","","","","","","","","","","","158529"
"2017-05-12","","","","","","","","","","","","","","","155179"
"2017-05-19","","","","","","","","","","","","","","","146046"
"2017-05-26","","","","","","","","","","","","","","","146800"
"2017-05-31","","","","261.1","182.37","56.26","96.04","30.07","","35.195","3.354","22.11","9.731","",""
"2017-06-02","","","","","","","","","","","","","","","140877"
"2017-06-09","","","","","","","","","","","","","","","137911"
"2017-06-16","","","","","","","","","","","","","","","127864"
"2017-06-23","","","","","","","","","","","","","","","135110"
"2017-06-30","","","","291.1","206.44","61.22","111.24","33.98","","39.41","4.5","24.71","10.2","","139310"
"2017-07-07","","","","","","","","","","","","","","","134035"
"2017-07-14","","","","","","","","","","","","","","","135651"
"2017-07-21","","","","","","","","","","","","","","","115395"
"2017-07-28","","","","","","","","","","","","","","","119518"
"2017-07-31","","","","291.1","216.8","66.24","109.92","40.64","","42.852","5.01","27.34","10.502","",""
"2017-08-04","","","","","","","","","","","","","","","119452"
"2017-08-11","","","","","","","","","","","","","","","110992"
"2017-08-18","","","","","","","","","","","","","","","99037"
"2017-08-25","","","","","","","","","","","","","","","104030"
"2017-08-31","","","","291.1","222.87","66.05","116.35","40.47","","43.87","5.17","26.4","12.3","",""
"2017-09-01","","","","","","","","","","","","","","","101142"
"2017-09-08","","","","","","","","","","","","","","","101367"
"2017-09-15","","","","","","","","","","","","","","","107125"
"2017-09-22","","","","","","","","","","","","","","","109107"
"2017-09-29","","","","","","","","","","","","","","","108905"
"2017-09-30","","","","291.1","222.46","68.73","112.22","41.51","","44.08","8.03","24.38","11.67","",""
"2017-10-13","","","","","","","","","","","","","","","111673"
"2017-10-20","","","","","","","","","","","","","","","111007"
"2017-10-27","","","","","","","","","","","","","","","109682"
"2017-10-31","","","","291.1","227.96","74.58","110.45","42.93","","45.23","8.67","22.13","14.43","",""
"2017-11-03","","","","","","","","","","","","","","","110203"
"2017-11-10","","","","","","","","","","","","","","","115907"
"2017-11-17","","","","","","","","","","","","","","","113805"
"2017-11-24","","","","","","","","","","","","","","","113628"
"2017-11-30","","","","291.1","221.52","69.74","109.07","42.71","","41.7","8.31","21.52","11.87","",""
"2017-12-01","","","","","","","","","","","","","","","110255"
"2017-12-08","","","","","","","","","","","","","","","105400"
"2017-12-15","","","","","","","","","","","","","","","98269"
"2017-12-22","","","","","","","","","","","","","","","99361"
"2017-12-29","","","","","","","","","","","","","","","95422"
