date,close,MEG：产量同比：中国（月）,MEG：供应量：中国（月）,MEG：开工率同比：中国（周）,MEG：煤基合成气制：开工率同比：中国（周）,MEG：乙烯制：开工率同比：中国（周）,MEG：产量：中国（日）,MEG：损失量：中国（日）,MEG：开工率：中国（周）,MEG：预计到港量：中国（周）,MEG：表观消费量环比：中国（月）,MEG：表观消费量同比：中国（月）,MEG：现货成交量：中国（日）,MEG：社会库存：中国（周）,MEG：原料：库存可用天数：中国聚酯工厂（周）,MEG：库存消费比预测：中国（周）
"2015-10-31","","38.43","104.9","","","","","","","","","","","","",""
"2015-11-30","","-6.42","113.9","","","","","","","","","","","","",""
"2015-12-31","","2.42","109.71","","","","","","","","","","","","",""
"2016-01-31","","2.42","94.92","","","","","","","","","","","","",""
"2016-02-29","","","81.62","","","","","","","","","","","","",""
"2016-03-31","","2.45","96.68","","","","","","","","","","","","",""
"2016-04-30","","54.44","103.9","","","","","","","","","","","","",""
"2016-05-31","","9.03","113.36","","","","","","","","","","","","",""
"2016-06-30","","11.91","115.94","","","","","","","","","","","","",""
"2016-07-31","","22.43","104.01","","","","","","","","","","","","",""
"2016-08-31","","3.17","100.63","","","","","","","","","","","","",""
"2016-09-30","","2","103.2","","","","","","","","","","","","",""
"2016-10-31","","-6.28","99","","","","","","","","","","","","",""
"2016-11-30","","-1.71","113.9","","","","","","","","","","","","",""
"2016-12-31","","10.45","119.01","","","","","","","","","","","","",""
"2017-01-31","","24.94","118.5","","","","","","","","","","","","",""
"2017-02-28","","","117.3","","","","","","","","","","","","",""
"2017-03-31","","36.07","119.86","","","","","","","","","","","","",""
"2017-04-30","","-2.88","111.17","","","","","","","","","","","","",""
"2017-05-31","","-5.12","108.23","","","","","","","","","","","","",""
"2017-06-30","","4.36","116.53","","","","","","","","","","","","",""
"2017-07-31","","3.29","117.31","","","","","","","","","","","","",""
"2017-08-31","","16.91","138.68","","","","","","","","","","","","",""
"2017-09-30","","30.89","133.31","","","","","","","","","","","","",""
"2017-10-31","","23.17","114.03","","","","","","","","","","","","",""
"2017-11-30","","28.79","128.35","","","","","","","","","","","","",""
"2017-12-31","","-6.01","125.35","","","","","","","","","","","","",""
"2018-01-05","","","","","","","","","","","","","","","","1.809799197"
"2018-01-12","","","","","","","","","","","","","","","","1.707351747"
"2018-01-19","","","","","","","","","","","","","","","","1.609387332"
"2018-01-26","","","","","","","","","","","","","","","","1.802660251"
"2018-01-31","","-7.43","136.70198","","","","","","","","","","","","",""
"2018-02-02","","","","","","","","","","","","","","","","1.8"
"2018-02-09","","","","","","","","","","","","","","","","2.034890651"
"2018-02-16","","","","","","","","","","","","","","","","2.03"
"2018-02-23","","","","","","","","","","","","","","","","2.441375417"
"2018-02-28","","-11.9","125.16047","","","","","","","","","","","","",""
"2018-03-02","","","","","","","","","","","","","","","","2.617373154"
"2018-03-09","","","","","","","","","","","","","","","","2.44"
"2018-03-16","","","","","","","","","","","","","","","","2.372446782"
"2018-03-23","","","","","","","","","","","","","","","","2.48"
"2018-03-30","","","","","","","","","","","","","","","","2.582017079"
"2018-03-31","","7.42","156.81563","","","","","","","","","","","","",""
"2018-04-06","","","","","","","","","","","","","","","","2.58"
"2018-04-13","","","","","","","","","","","","","","","","2.648616921"
"2018-04-20","","","","","","","","","","","","","","","","3.051237452"
"2018-04-27","","","","","","","","","","","","","","","","3.112274674"
"2018-04-30","","1.98","136.5927297","","","","","","","","","","","","",""
"2018-05-04","","","","","","","","","","","","","","","","3.145406786"
"2018-05-11","","","","","","","","","","","","","","","","3.154005799"
"2018-05-18","","","","","","","","","","","","","","","","3.307187365"
"2018-05-25","","","","","","","","","","","","","","","","3.210295489"
"2018-05-31","","-5.1","132.6476569","","","","","","","","","","","","",""
"2018-06-01","","","","","","","","","","","","","","","","3.077424573"
"2018-06-08","","","","","","","","","","","","","","","","2.972740238"
"2018-06-15","","","","","","","","","","","","","","","","2.5933687"
"2018-06-22","","","","","","","","","","","","","","","","2.672915935"
"2018-06-29","","","","","","","","","","","","","","","","2.607807183"
"2018-06-30","","-4.6","120.9331386","","","","","","","","","","","","",""
"2018-07-06","","","","","","","","","","","","","","","","2.538409363"
"2018-07-13","","","","","","","","","","","","","","","","2.278558383"
"2018-07-20","","","","","","","","","","","","","","","","2.246895042"
"2018-07-27","","","","","","","","","","","","","","","","2.003846902"
"2018-07-31","","9.73","134.387947","","","","","","","","","","","","",""
"2018-08-03","","","","","","","","","","","","","","","","1.756345247"
"2018-08-10","","","","","","","","","","","","","","","","1.673944392"
"2018-08-17","","","","","","","","","","","","","","","","1.825990354"
"2018-08-24","","","","","","","","","","","","","","","","1.746080048"
"2018-08-31","","12.87","144.0403307","","","","","","","","","","","","","1.630578472"
"2018-09-07","","","","","","","","","","","","","","","","1.979946704"
"2018-09-14","","","","","","","","","","","","","","","","1.803618918"
"2018-09-21","","","","","","","","","","","","","","","","1.795353927"
"2018-09-28","","","","","","","","","","","","","","","","2.284579273"
"2018-09-30","","16.65","143.83","","","","","","","","","","","","",""
"2018-10-05","","","","","","","","","","","","","","","","2.28"
"2018-10-12","","","","","","","","","","","","","","","","2.402284919"
"2018-10-19","","","","","","","","","","","","","","","","2.330421638"
"2018-10-26","","","","","","","","","","","","","","","","2.203025591"
"2018-10-31","","18.59","140.5174","","","","","","","","","","","","",""
"2018-11-02","","","","","","","","","","","","","","","","2.146818785"
"2018-11-09","","","","","","","","","","","","","","","","2.449110499"
"2018-11-16","","","","","","","","","","","","","","","","2.397206478"
"2018-11-23","","","","","","","","","","","","","","","","2.399832641"
"2018-11-30","","24.58","137.9535","","","","","","","","","","","","","2.372866518"
"2018-12-07","","","","","","","","","","","","","","","","2.226843963"
