date,close,EIA：战略储备石油：库存：全球（周）,统计局：原油：表观消费量：中国（月）,原油：港口库存：中国（周）,原油：加工量：中国（月）,原油：主营炼厂：产能利用率：中国（周）,OPEC：原油钻机数量（月）,原油：开工率：美国（周）,原油：加工量：中国：新口径（月）,原油：加工量：中国：独立炼厂（月）,原油：山东独立炼厂：开工率：新口径（周）,原油：常减压：产能利用率：中国炼厂（周）,EIA：原油和石油产品（包括战略石油储备）：库存：美国（周）,原油：钻井数量：美国：新口径（周）,OPEC：钻机：数量：全球（月）,原油：需求量：全球（月）,原油：常减压：开工率同比：中国：主营炼厂（月）,原油：常减压：独立炼厂：产能利用率：中国（周）,原油：供应量：全球（月）,EIA：原油（包括战略石油储备）：库存：美国（周）,原油：商业库存：中国（月）,原油：加工量：中国：主营炼厂（月）
"2015-09-30","","","4564.13","","","","1592","","4243.1","","","","","","2225","","-1","","","","3449.69",""
"2015-10-02","","695128","","","","","","87.5","","","42.71","","1998794","614","","","","","","1156125","",""
"2015-10-09","","695128","","","","77.27","","86","","","42.71","","2002084","605","","","","","","1163687","",""
"2015-10-16","","695127","","","","","","86.4","","","42.93","","2003600","595","","","","","","1171714","",""
"2015-10-23","","695127","","","","77.8","","87.6","","","44.12","","1999922","594","","","","","","1175090","",""
"2015-10-30","","695127","","","","","","88.7","","","44.84","","1997584","578","","","","","","1177937","",""
"2015-10-31","","","4443.89","","","","1529","","4424.7","","","","","","2140","","-0.26","","","","3296.52",""
"2015-11-06","","695126","","","","78.98","","89.5","","","43.69","","2000146","572","","","","","","1182160","",""
"2015-11-13","","695126","","","","","","90.3","","","44.06","","2000388","574","","","","","","1182412","",""
"2015-11-20","","695125","","","","78.65","","92","","","43.77","","2002442","564","","","","","","1183372","",""
"2015-11-27","","695125","","","","","","94.5","","","44.81","","2004269","555","","","","","","1184549","",""
"2015-11-30","","","4467.75","","","","1479","","4392.1","","","","","","2101","","-0.69","","","","3272.46",""
"2015-12-04","","695123","","","","78.28","","93.1","","","43.57","","2000663","545","","","","","","1180979","",""
"2015-12-11","","695123","","","","","","91.9","","","42.7","","2005709","524","","","","","","1185780","",""
"2015-12-18","","695123","","","","78.88","","91.3","","","44.86","","2000425","541","","","","","","1179903","",""
"2015-12-25","","695120","","","","","","92.6","","","46.35","","2000425","538","","","","","","1182529","",""
