date,close,棉花：开工率：中国（周）,新疆棉：轧花厂：加工量（日）,USDA：棉花：产量预测值：全球（月）,USDA：棉花：供给量预测值：全球（月）,USDA：棉花：国内需求消耗量预测值：全球（月）,USDA：棉花：产量预测值：中国（月）,USDA：棉花：出口数量预测值：中国（月）,USDA：棉花：国内需求消耗量预测值：中国（月）,USDA：棉花：进口数量预测值：中国（月）,USDA：棉花：期初库存预测：中国（月）,USDA：棉花：期末库存预测：中国（月）,USDA：棉花：损失量预测值：中国（月）,棉花：库存：中国主要港口（周）,棉花：港口库存（周）,棉花：商业库存：中国（周）,棉花：库存：新疆（周）,棉花：库存：中国内地（周）,棉花：纺织企业：工业库存：中国（月）,棉花：工业：库存：中国（月）,纺纱厂：棉花：折存天数（周）
"2015-10-10","","","47864.09","","","","","","","","","","","","","","","","","",""
"2015-10-11","","","45433.84","","","","","","","","","","","","","","","","","",""
"2015-10-12","","","45369.04","","","","","","","","","","","","","","","","","",""
"2015-10-13","","","49396.22","","","","","","","","","","","","","","","","","",""
"2015-10-14","","","51948.76","","","","","","","","","","","","","","","","","",""
"2015-10-15","","","45396.46","","","","","","","","","","","","","","","","","",""
"2015-10-16","","","48457.29","","","","","","","","","","","","","","","","","",""
"2015-10-17","","","51796.03","","","","","","","","","","","","","","","","","",""
"2015-10-18","","","49496.62","","","","","","","","","","","","","","","","","",""
"2015-10-19","","","45783.03","","","","","","","","","","","","","","","","","",""
"2015-10-20","","","50135.4","","","","","","","","","","","","","","","","","",""
"2015-10-21","","","51900.96","","","","","","","","","","","","","","","","","",""
"2015-10-22","","","52975.14","","","","","","","","","","","","","","","","","",""
"2015-10-23","","","50615.99","","","","","","","","","","","","","","","","","",""
"2015-10-24","","","50644.76","","","","","","","","","","","","","","","","","",""
"2015-10-25","","","49971.87","","","","","","","","","","","","","","","","","",""
"2015-10-26","","","51212.04","","","","","","","","","","","","","","","","","",""
"2015-10-27","","","55028.71","","","","","","","","","","","","","","","","","",""
"2015-10-28","","","54225.71","","","","","","","","","","","","","","","","","",""
"2015-10-29","","","54037.03","","","","","","","","","","","","","","","","","",""
"2015-10-30","","","54655.8","","","","","","","","","","","","","","","","","",""
"2015-10-31","","","54720.37","107.38","219.18","112.27","25.3","0.2","33.5","5.75","67.92","65.27","0","","","","","","37.9","",""
"2015-11-01","","","51798.54","","","","","","","","","","","","","","","","","",""
"2015-11-02","","","52911.77","","","","","","","","","","","","","","","","","",""
"2015-11-03","","","47719.77","","","","","","","","","","","","","","","","","",""
"2015-11-04","","","54162.28","","","","","","","","","","","","","","","","","",""
"2015-11-05","","","48467.07","","","","","","","","","","","","","","","","","",""
"2015-11-06","","","51195.24","","","","","","","","","","","","","","","","","",""
"2015-11-07","","","53345.42","","","","","","","","","","","","","","","","","",""
"2015-11-08","","","51789.23","","","","","","","","","","","","","","","","","",""
"2015-11-09","","","52293.86","","","","","","","","","","","","","","","","","",""
"2015-11-10","","","50099.92","","","","","","","","","","","","","","","","","",""
"2015-11-11","","","51474.36","","","","","","","","","","","","","","","","","",""
"2015-11-12","","","52076.65","","","","","","","","","","","","","","","","","",""
"2015-11-13","","","48807.79","","","","","","","","","","","","","","","","","",""
