date,close,初榨棕榈油：产量：马来西亚（月）,棕榈仁油：产量：马来西亚（月）,棕榈仁油：出油率：马来西亚（月）,棕榈油：出油率：马来西亚（月）,棕榈油：单产：马来西亚（月）,印尼棕榈油协会：棕榈油：期初库存（月）,印尼棕榈油协会：毛棕榈仁油：产量（月）,印尼棕榈油协会：毛棕榈油：产量（月）,印尼棕榈油协会：棕榈油：产量（月）,印尼棕榈油协会：棕榈油：消费量（月）,印尼棕榈油协会：棕榈油：需求量（月）,印尼棕榈油协会：棕榈油：期末库存（月）,马来西亚棕榈油局：初榨棕榈油：炼油厂：产量：马来西亚（月）,马来西亚棕榈油局：毛棕榈仁油：炼油厂：产量：马来西亚（月）,马来西亚棕榈油局：初榨棕榈油：提取率：马来西亚（月）,马来西亚棕榈油局：毛棕榈仁油：提取率：马来西亚（月）,马来西亚棕榈油局：棕榈油：精炼厂：产能：马来西亚（月）,马来西亚棕榈油局：棕榈油：化工生产企业：产能：马来西亚（月）,马来西亚棕榈油局：初榨棕榈油：平均产量：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：RBD：24度：产量：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：RBD：44度：产量：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：RBD：产量：马来西亚（月）,马来西亚棕榈油局：棕榈液油：24度：产量：马来西亚（月）,马来西亚棕榈油局：棕榈油硬脂：44度：产量：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：烹饪用：产量：马来西亚（月）,马来西亚棕榈油局：棕榈油脂肪酸：产量：马来西亚（月）,马来西亚棕榈油局：初榨棕榈油：产量：马来西亚（月）,马来西亚棕榈油局：毛棕榈仁油：产量：马来西亚（月）,棕榈油：24度：成交量合计（日）,USDA：棕榈油：非食用级加工使用量（月）,USDA：棕榈油：食品级加工使用量（月）,USDA：棕榈油：精炼：加工使用量（月）,USDA：棕榈仁油：精炼：加工使用量（月）,棕榈油：库存：中国（周）,精炼棕榈仁油：库存：马来西亚（月）,精炼棕榈油：库存：马来西亚（月）,毛棕榈仁油：库存：马来西亚（月）,初榨棕榈油：库存：马来西亚（月）,棕榈仁油：库存：马来西亚（月）,棕榈油：库存：马来西亚（月）,USDA：棕榈油：精炼：期末库存（月）,USDA：棕榈仁油：精炼：期末库存（月）,马来西亚棕榈油局：精炼棕榈油：RBD：24度：库存：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：RBD：44度：库存：马来西亚（月）,马来西亚棕榈油局：棕榈液油：24度：库存：马来西亚（月）,马来西亚棕榈油局：棕榈油硬脂：44度：库存：马来西亚（月）,马来西亚棕榈油局：棕榈油脂肪酸：库存：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：烹饪用：库存：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：RBD：库存：马来西亚（月）
"2015-10-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","",""
"2015-10-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300","","","","","","","","","","","","","","","","","","","",""
"2015-10-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3200","","","","","","","","","","","","","","","","","","","",""
"2015-10-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4300","","","","","","","","","","","","","","","","","","","",""
"2015-10-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300","","","","","","","","","","","","","","","","","","","",""
"2015-10-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3900","","","","","84.27","","","","","","","","","","","","","","",""
"2015-10-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050","","","","","","","","","","","","","","","","","","","",""
"2015-10-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9100","","","","","","","","","","","","","","","","","","","",""
"2015-10-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000","","","","","","","","","","","","","","","","","","","",""
"2015-10-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7800","","","","","","","","","","","","","","","","","","","",""
"2015-10-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","","","","","81.18","","","","","","","","","","","","","","",""
"2015-10-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1800","","","","","","","","","","","","","","","","","","","",""
"2015-10-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2200","","","","","","","","","","","","","","","","","","","",""
"2015-10-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4300","","","","","","","","","","","","","","","","","","","",""
"2015-10-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2015-10-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300","","","","","78.33","","","","","","","","","","","","","","",""
"2015-10-31","","2037466","224405","46.03","21.31","0.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140220","1126354","200218","1707671","340438","2834025","","","","","","","","",""
"2015-11-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3300","","","","","","","","","","","","","","","","","","","",""
"2015-11-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","",""
"2015-11-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","",""
"2015-11-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5100","","","","","","","","","","","","","","","","","","","",""
"2015-11-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9200","","","","","73.72","","","","","","","","","","","","","","",""
"2015-11-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1100","","","","","","","","","","","","","","","","","","","",""
"2015-11-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2015-11-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2015-11-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","",""
"2015-11-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400","","","","","78.68","","","","","","","","","","","","","","",""
"2015-11-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","","","","","","","","","","","","","","","","","","","",""
"2015-11-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","","","","","","","","","","","","","","","","","","","",""
"2015-11-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","",""
"2015-11-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","",""
"2015-11-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1350","","","","","78.33","","","","","","","","","","","","","","",""
"2015-11-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2015-11-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2400","","","","","","","","","","","","","","","","","","","",""
"2015-11-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2015-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2015-11-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","","","","","75.95","","","","","","","","","","","","","","",""
"2015-11-30","","1653068","202821","45.93","20.62","0.33","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","144328","1155714","202676","1752780","347004","2908494","","","","","","","","",""
"2015-12-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2015-12-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140","","","","","","","","","","","","","","","","","","","",""
"2015-12-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2015-12-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","81.74","","","","","","","","","","","","","","",""
"2015-12-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2015-12-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1800","","","","","","","","","","","","","","","","","","","",""
"2015-12-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","",""
"2015-12-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","","","","","","","","","","","","","","","","","","","",""
"2015-12-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","860","","","","","85.48","","","","","","","","","","","","","","",""
"2015-12-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1100","","","","","","","","","","","","","","","","","","","",""
"2015-12-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2015-12-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300","","","","","","","","","","","","","","","","","","","",""
"2015-12-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2015-12-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","250","","","","","91.39","","","","","","","","","","","","","","",""
"2015-12-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","","","","","","","","","","","","","","","","","","","",""
"2015-12-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2015-12-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2015-12-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","",""
"2015-12-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","92.01","","","","","","","","","","","","","","",""
"2015-12-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","",""
"2015-12-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4400","","","","","","","","","","","","","","","","","","","",""
"2015-12-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2015-12-31","","1399383","177403","45.76","20.56","0.28","","","","","","","","","","","","","","","","","","","","","","","","4000","","","","","","133334","1038539","200495","1593073","333829","2631612","","","","","","","","",""
"2016-01-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.8","","","","","","","","","","","","","","",""
"2016-01-04","4804","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-01-05","4836","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2400","","","","","","","","","","","","","","","","","","","",""
"2016-01-06","4724","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-01-07","4732","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-01-08","4728","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","101.77","","","","","","","","","","","","","","",""
"2016-01-11","4694","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-01-12","4624","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-01-13","4630","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","",""
"2016-01-14","4640","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","",""
"2016-01-15","4654","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","100.71","","","","","","","","","","","","","","",""
"2016-01-18","4696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-01-19","4710","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17500","","","","","","","","","","","","","","","","","","","",""
"2016-01-20","4632","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","","","","","","","","","","","","","","","","","","","",""
"2016-01-21","4560","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000","","","","","","","","","","","","","","","","","","","",""
"2016-01-22","4632","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8200","","","","","97.9","","","","","","","","","","","","","","",""
"2016-01-25","4658","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-01-26","4692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-01-27","4750","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-01-28","4742","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-01-29","4704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","","","","","98.86","","","","","","","","","","","","","","",""
"2016-01-31","","1129747","146455","45.8","20.53","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","123324","1006025","155206","1301818","278530","2307843","","","","","","","","",""
"2016-02-01","4720","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","",""
"2016-02-02","4778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-02-03","4768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-04","4792","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
