date,close,天然橡胶：产量：中国（月）,天然橡胶：表观消费量环比：中国（月）,天然橡胶：表观消费量同比：中国（月）,天然橡胶：表观消费量：中国（月）,天然橡胶：厂内库存：上交所（周）,天然橡胶：厂库期货库存：上交所（周）,天然橡胶：厂库期货库存：上海国际能源（周）,天然橡胶：厂内库存：上海国际能源（周）,丁二烯：产量：中国（月）,丁二烯：港口库存：中国（周）,丁二烯：期末库存：中国（月）,SBS：产能：中国（日）,SBS：开工率同比：中国（月）,SBS：开工率：中国（日）,SBS：产量：中国（日）,SBS：表观消费量：中国（月）,SBS：需求量：中国：新口径（月）,SBS：贸易商：库存：中国（周）,SBS：社会库存：中国（周）,SBS：中国企业：库存（周）,SEBS：开工率：中国（月）,SEBS：产量：中国（月）,SEBS：中国企业：库存（月）,SIS：产量：中国（月）,SIS：中国企业：库存（月）,SIS：开工率：中国（月）,丁苯橡胶：产量同比：中国（月）,丁苯橡胶：产能：中国（日）,丁苯橡胶：开工率环比：中国（周）,丁苯橡胶：开工率：中国（月）,丁苯橡胶：产量：中国（日）,丁苯橡胶：表观消费量同比：中国（月）,丁苯橡胶：表观消费量环比：中国（月）,丁苯橡胶：表观消费量：中国（月）,丁苯橡胶：需求量：中国：新口径（月）,丁苯橡胶：期末库存：中国（月）,丁苯橡胶：现货库存：中国（周）,丁苯橡胶：库存：中国（周）,丁苯橡胶：贸易商：社会库存：中国（周）,丁苯胶乳：产能：中国（月）,丁苯胶乳：开工率：中国（月）,丁吡胶乳：产能：中国（月）,丁腈胶乳：产量同比：中国（月）,丁腈胶乳：产能：中国（月）,丁腈胶乳：开工率：中国（月）,高顺顺丁橡胶：产量：中国（月）,高顺顺丁橡胶：产能：中国（日）,高顺顺丁橡胶：开工率：中国（周）,其他高顺顺丁橡胶：开工率：中国（月）,顺丁橡胶：产量：中国（日）,顺丁橡胶：开工率同比：中国（月）,顺丁橡胶：开工率：中国（月）,顺丁橡胶：总开工率：中国（日）,顺丁橡胶：产量：中国（月）,顺丁橡胶：需求量：中国：新口径（月）,顺丁橡胶：表观消费量：中国：新口径（月）,顺丁橡胶：库存环比：中国（周）,顺丁橡胶：贸易商：库存：中国（周）,二甲基环硅氧烷的混合物：开工率：中国（日）,丁腈橡胶：开工率：中国：新口径（月）,丁腈橡胶：产量：中国（月）,下游行业：丁腈橡胶保温发泡：开工率：中国（月）,丁腈橡胶：表观消费量：中国（月）,丁腈橡胶：需求量：中国：新口径（月）,下游行业：丁腈橡胶：橡胶管：开工率：中国（月）,丁腈橡胶：库存：中国（周）,产业在线：FKM：产量：中国（月）,异戊橡胶：产量：中国：新口径（月）,氯丁橡胶：产量：中国（月）,三元乙丙橡胶：产量：中国（月）,三元乙丙橡胶：国内企业：开工率（月）,乙丙橡胶：表观消费量：中国（月）,丁基橡胶：产量：中国（日）,丁基橡胶：开工率：中国（周）,丁基橡胶：表观消费量：中国（月）,丁基橡胶：社会库存：中国（周）,丁基橡胶：中国企业：库存（周）,全钢轮胎：产量同比：中国（月）,全钢轮胎：开工率环比：中国（周）,全钢轮胎：开工率：中国（月）,全钢轮胎：产量：中国（月）,下游行业：丁基橡胶：全钢轮胎：开工率：中国（周）,全钢轮胎：社会库存：中国（月）,半钢轮胎：产量同比：中国（月）,半钢轮胎：开工率环比：中国（周）,半钢轮胎：开工率：中国（月）,下游行业：丁基橡胶：半钢轮胎：开工率：中国（周）,半钢轮胎：产量：中国（月）,新的充气橡胶轮胎：出口数量终值：中国（月）,新的充气橡胶轮胎：出口数量终值同比：中国（月）,全钢轮胎：出口数量：中国→美国：新口径（月）,半钢轮胎：出口数量：中国→美国：新口径（月）,轮胎：出口数量合计：中国：新口径（月）,轮胎：进口数量合计：中国：新口径（月）,隆众：汽车：产量：中国（月）,轮胎：看跌比例：中国（周）,轮胎：看平比例：中国（周）,轮胎：看升比例：中国（周）,轮胎：产量同比：中国（月）,汽车轮胎：库存预警指数：中国（月）,统计局：轮胎：产量同比：中国（月）,统计局：轮胎：产量：中国（月）,输送带：开工率：中国企业（月）,输送带：产量：中国（月）,初级形状或板、片、带状再生橡胶：出口数量合计：中国（月）,初级形状或板、片、带状再生橡胶：进口数量合计：中国（月）,再生胶：出口数量合计：中国（月）,再生胶：进口数量合计：中国（月）
"2015-10-16","","","","","","217271","153960","","","","21100","","","","","","","","130","2930","2800","","","","","","","","","","","","","","","","","21930","18950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.95","","","","","68.44","","","","","","","","","","","","","","","","","","","","",""
"2015-10-23","","","","","","224382","154970","","","","27400","","","","","","","","140","2940","2800","","","","","","","","","","","","","","","","","21920","19010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.44","","","","","69.38","","","","","","","","","","","","","","","","","","","","",""
"2015-10-30","","","","","","227249","157420","","","","28200","","","","","","","","210","3310","3100","","","","","","","","","","","","","","","","","23170","20330","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.21","","","","","68.75","","","","","","","","","","","","","","","","","","","","",""
"2015-10-31","","109000","","","446835","","","","","22.5","","","","","","","64722","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55250","","","10.15","","","","","","","70400","","","","61.23","1.42","","19058.775","","","","","3400","0.36","0.5","16.22","17513.224","","","19750.259","","","","","","","","","","","","","","3330","-11","45272.58","18386.72","438750","7581","218.87","","","","","54.1","-7.5","7549.57","","","10221.067","2364.283","10200","2400"
"2015-11-06","","","","","","226843","157570","","","","29300","","","","","","","","160","2860","2700","","","","","","","","","","","","","","","","","23490","20350","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.5","","","","","65.5","","","","","","","","","","","","","","","","","","","","",""
"2015-11-13","","","","","","228612","161480","","","","29060","","","","","","","","280","3380","3100","","","","","","","","","","","","","","","","","22890","19790","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.5","","","","","66.5","","","","","","","","","","","","","","","","","","","","",""
"2015-11-20","","","","","","230759","162900","","","","27200","","","","","","","","380","3590","3200","","","","","","","","","","","","","","","","","22530","19630","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.5","","","","","67.5","","","","","","","","","","","","","","","","","","","","",""
"2015-11-27","","","","","","191473","114790","","","","29100","","","","","","","","310","3320","3000","","","","","","","","","","","","","","","","","22510","19620","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64","","","","","65","","","","","","","","","","","","","","","","","","","","",""
"2015-11-30","","95000","","","510722.2","","","","","23.27","","","","","","","63097","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54350","","","11.28","","","","","","","68700","","","","61.23","1.43","","19979.186","","","","","2000","0.37","0.6","19.46","20231.711","","","20301.786","","","","","","","","","","","","","","3222","-16","47883.81","20618.21","410620","7319","254.42","","","","","61.8","-6.2","7741","","","9507.996","2541.117","9500","2500"
"2015-12-04","","","","","","201557","124530","","","","33300","","","","","","","","250","3250","3000","","","","","","","","","","","","","","","","","21920","19060","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","","","","","62.5","","","","","","","","","","","","","","","","","","","","",""
"2015-12-11","","","","","","220316","135910","","","","28000","","","","","","","","260","3860","3600","","","","","","","","","","","","","","","","","21730","19010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.15","","","","","66.35","","","","","","","","","","","","","","","","","","","","",""
"2015-12-18","","","","","","234452","139400","","","","25700","","","","","","","","180","3480","3300","","","","","","","","","","","","","","","","","21670","18730","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.29","","","","","65.42","","","","","","","","","","","","","","","","","","","","",""
"2015-12-25","","","","","","240189","150030","","","","25500","","","","","","","","180","2980","2800","","","","","","","","","","","","","","","","","20660","18000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.5","","","","","64.5","","","","","","","","","","","","","","","","","","","","",""
"2015-12-31","","32800","","","550487","","","","","22.5","","","","","","","55284.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62200","","","30.68","","","","","","","75900","","","","61.23","1.42","","21443.277","","","","","800","0.36","0.7","22.7","22131.338","","","18824.485","","","","","","","","","","","","","","4044","0","55070.26","25677.14","494006","9659","265.58","","","","","52.6","-10.2","7604.9","","","10539.811","2544.747","10500","2500"
"2016-01-01","","","","","","249307","158900","","","","24050","","","","","","","","110","3010","2900","","","","","","","","","","","","","","","","","19700","17350","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.5","","","","","63.5","","","","","","","","","","","","","","","","","","","","",""
"2016-01-04","10160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-05","10190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-06","10070","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-07","10080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-08","10090","","","","","256337","178570","","","","23800","","","","","","","","310","2430","2120","","","","","","","","","","","","","","","","","20720","18000","2720","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55","","","","","58","","","","","","","","","","","","","","","","","","","","",""
"2016-01-11","9700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-12","9640","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-13","9850","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-14","9885","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
