date,close,沥青：样本企业：库存存货比：中国：新口径（周）,改性沥青：开工率：中国（周）,沥青：检修损失产量预估：中国（周）,沥青炼厂：检修减损量：中国（月）,石油沥青：产量：中国（周）,沥青：社会库存：中国（周）,地炼沥青：产量：中国（月）,沥青：表观消费量：中国（月）,下游行业：SBS改性沥青：鞋材用：平均开工率（周）,沥青：产量：中国（周）,沥青：出货量：中国（周）,石油沥青：国内企业：库存：中国（周）,下游行业：道路改性沥青：平均开工率（周）,下游行业：防水卷材沥青：平均开工率（周）,重交沥青：开工率：中国（周）,建筑沥青：开工率：中国（周）
"2015-09-30","","","","","","","","57.4","257.46","","","","","","","",""
"2015-10-02","","","","","","","","","","","","","","","","79",""
"2015-10-09","","","","","","","","","","","","","","","","77",""
"2015-10-16","","","","","","","","","","","","","","","","75",""
"2015-10-23","","","","","","","","","","","","","","","","78",""
"2015-10-30","","","","","","","","","","","","","","","","78",""
"2015-10-31","","","","","","","","56.9","243.65","","","","","","","",""
"2015-11-06","","","","","","","","","","","","","","","","74",""
"2015-11-13","","","","","","","","","","","","","","","","73",""
"2015-11-20","","","","","","","","","","","","","","","","70",""
"2015-11-27","","","","","","","","","","","","","","","","72",""
"2015-11-30","","","","","","","","45","217.8","","","","","","","",""
"2015-12-04","","","","","","","","","","","","","","","","70",""
"2015-12-11","","","","","","","","","","","","","","","","63",""
"2015-12-18","","","","","","","","","","","","","","","","58",""
"2015-12-25","","","","","","","","","","","","","","","","57",""
"2015-12-31","","","","","","","","29.04","201.19","","","","","","","",""
"2016-01-01","","","","","","","","","","","","","","","","67",""
"2016-01-04","1810","","","","","","","","","","","","","","","",""
"2016-01-05","1816","","","","","","","","","","","","","","","",""
"2016-01-06","1802","","","","","","","","","","","","","","","",""
"2016-01-07","1760","","","","","","","","","","","","","","","",""
"2016-01-08","1792","","","","","9.2","","","","","40.49","","","","","64",""
"2016-01-11","1762","","","","","","","","","","","","","","","",""
"2016-01-12","1696","","","","","","","","","","","","","","","",""
"2016-01-13","1700","","","","","","","","","","","","","","","",""
"2016-01-14","1714","","","","","","","","","","","","","","","",""
"2016-01-15","1706","","","","","9.19","","","","","40.45","","","","","53",""
"2016-01-18","1708","","","","","","","","","","","","","","","",""
"2016-01-19","1756","","","","","","","","","","","","","","","",""
"2016-01-20","1714","","","","","","","","","","","","","","","",""
"2016-01-21","1704","","","","","","","","","","","","","","","",""
"2016-01-22","1760","","","","","9.09","","","","","39.68","","","","","59",""
"2016-01-25","1746","","","","","","","","","","","","","","","",""
"2016-01-26","1746","","","","","","","","","","","","","","","",""
"2016-01-27","1764","","","","","","","","","","","","","","","",""
"2016-01-28","1758","","","","","","","","","","","","","","","",""
"2016-01-29","1714","","","","","8.89","","","","","39.89","","","","","54",""
"2016-01-31","","","","","","","","37.2","196.58","","","","","","","",""
"2016-02-01","1686","","","","","","","","","","","","","","","",""
"2016-02-02","1698","","","","","","","","","","","","","","","",""
"2016-02-03","1684","","","","","","","","","","","","","","","",""
"2016-02-04","1698","","","","","","","","","","","","","","","",""
"2016-02-05","1640","","","","","8.09","","","","","39.56","","","","","53",""
"2016-02-12","","","","","","7.88","","","","","39.37","","","","","50",""
"2016-02-15","1632","","","","","","","","","","","","","","","",""
"2016-02-16","1678","","","","","","","","","","","","","","","",""
"2016-02-17","1660","","","","","","","","","","","","","","","",""
"2016-02-18","1694","","","","","","","","","","","","","","","",""
"2016-02-19","1716","","","","","9.56","","","","","41.01","","","","","50",""
"2016-02-22","1738","","","","","","","","","","","","","","","",""
"2016-02-23","1732","","","","","","","","","","","","","","","",""
"2016-02-24","1688","","","","","","","","","","","","","","","",""
"2016-02-25","1694","","","","","","","","","","","","","","","",""
"2016-02-26","1760","","","","","10.23","","","","","43.23","","","","","64",""
"2016-02-29","1752","","","","","","","30.7","195.98","","","","","","","",""
"2016-03-01","1798","","","","","","","","","","","","","","","",""
"2016-03-02","1842","","","","","","","","","","","","","","","",""
"2016-03-03","1832","","","","","","","","","","","","","","","",""
"2016-03-04","1844","","","","","14.13","","","","","47.91","","","","","72",""
"2016-03-07","1948","","","","","","","","","","","","","","","",""
"2016-03-08","1860","","","","","","","","","","","","","","","",""
"2016-03-09","1828","","","","","","","","","","","","","","","",""
"2016-03-10","1780","","","","","","","","","","","","","","","",""
"2016-03-11","1800","","","","","15.19","","","","","49.36","","","","","67",""
"2016-03-14","1806","","","","","","","","","","","","","","","",""
"2016-03-15","1796","","","","","","","","","","","","","","","",""
"2016-03-16","1828","","","","","","","","","","","","","","","",""
"2016-03-17","1868","","","","","","","","","","","","","","","",""
"2016-03-18","1902","","","","","15.72","","","","","50.08","","","","","62",""
"2016-03-21","1892","","","","","","","","","","","","","","","",""
"2016-03-22","1886","","","","","","","","","","","","","","","",""
"2016-03-23","1848","","","","","","","","","","","","","","","",""
"2016-03-24","1768","","","","","","","","","","","","","","","",""
"2016-03-25","1782","","","","","16.19","","","","","46.47","","","","","68",""
"2016-03-28","1752","","","","","","","","","","","","","","","",""
"2016-03-29","1736","","","","","","","","","","","","","","","",""
"2016-03-30","1758","","","","","","","","","","","","","","","",""
"2016-03-31","1748","","","","","","","65","258.21","","","","","","","",""
"2016-04-01","1770","","","","","16.43","","","","","44.66","","","","","68",""
"2016-04-05","1698","","","","","","","","","","","","","","","",""
"2016-04-06","1714","","","","","","","","","","","","","","","",""
"2016-04-07","1716","","","","","","","","","","","","","","","",""
"2016-04-08","1836","","","","","16.55","","","","","43.72","","","","","64",""
"2016-04-11","1882","","","","","","","","","","","","","","","",""
"2016-04-12","1912","","","","","","","","","","","","","","","",""
"2016-04-13","1942","","","","","","","","","","","","","","","",""
"2016-04-14","1964","","","","","","","","","","","","","","","",""
"2016-04-15","1958","","","","","16.61","","","","","43.51","","","","","68",""
"2016-04-18","1948","","","","","","","","","","","","","","","",""
"2016-04-19","2006","","","","","","","","","","","","","","","",""
