date,close,热轧板卷：钢铁企业：产能利用率：中国（周）,热轧板卷：钢铁企业：产能：中国（周）,热轧板卷：钢铁企业：开工率：中国（周）,热轧板卷：钢铁企业：产线条数：中国（周）,热轧板卷：钢铁企业：内部供料量：中国（周）,热轧板卷：钢铁企业：年产能：中国（周）,热轧板卷：钢铁企业：实际产量：中国（周）,热轧板卷：钢铁企业：实际开工条数：中国（周）,热轧商品卷：钢铁企业：产量：中国（周）,热轧板卷：成交量：中国（日）,热轧板卷：消费量：中国（周）,热轧板卷：社会库存：中国（旬）,热轧板卷：库存：中国（周）,热轧板卷：钢铁企业：厂内库存：中国（周）,热轧板卷：55个城市：社会库存：中国（周）
"2015-10-02","","","","","","","","","","","","332.52","","342.32","",""
"2015-10-09","","85.62","391.42","100","64","","20410","335.15","64","","","311.63","","365.84","107.13",""
"2015-10-16","","84.13","391.42","96.88","64","","20410","329.32","62","","","340.23","","354.93","99.94",""
"2015-10-23","","84.84","391.42","98.44","64","","20410","332.07","63","","","335.85","","351.15","99",""
"2015-10-30","","84.07","391.42","98.44","64","","20410","329.09","63","","","339.22","","341.02","96.47",""
"2015-11-06","","84.94","391.42","96.88","64","","20410","332.46","62","","","338.54","","334.94","95.9",""
"2015-11-13","","81.69","391.42","95.31","64","","20410","319.75","61","","","323.62","","331.07","98.08",""
"2015-11-20","","81.79","391.42","95.31","64","","20410","320.16","61","","","327.33","","323.9","94.34",""
"2015-11-27","","82.23","391.42","95.31","64","","20410","321.87","61","","","323.87","","321.9","96.42",""
"2015-12-04","","78.02","391.42","95.31","64","","20410","305.38","61","","","307.49","","319.79","97.29",""
"2015-12-11","","77.94","391.42","93.75","64","","20410","305.06","60","","","309.45","","315.4","95.78",""
"2015-12-18","","77.97","391.42","95.31","64","","20410","305.21","61","","","312.8","","307.81","92.05",""
"2015-12-25","","77.71","391.42","95.31","64","","20410","304.19","61","","","313.93","","298.07","88.74",""
"2016-01-01","","77.62","391.42","93.75","64","","20410","303.82","60","","","308.07","","293.82","87.5",""
"2016-01-04","1929","","","","","","","","","","","","","","",""
"2016-01-05","1958","","","","","","","","","","","","","","",""
"2016-01-06","1935","","","","","","","","","","","","","","",""
"2016-01-07","1924","","","","","","","","","","","","","","",""
"2016-01-08","1881","78.7","391.42","95.31","64","","20410","308.06","61","","","311.8","","290.08","84.5",""
"2016-01-11","1877","","","","","","","","","","","","","","",""
"2016-01-12","1857","","","","","","","","","","","","","","",""
"2016-01-13","1857","","","","","","","","","","","","","","",""
"2016-01-14","1881","","","","","","","","","","","","","","",""
"2016-01-15","1898","79.37","391.42","96.88","64","","20410","310.67","62","","","313.01","","287.74","80.63",""
"2016-01-18","1937","","","","","","","","","","","","","","",""
