date,close,230家独立焦化厂：焦炭：产能利用率：中国（周）,230家独立焦化厂：焦炭：日均产量：中国（周）,焦炭：247家钢厂样本焦化厂：日均产量：中国（周）,焦炭：247家钢厂样本焦化厂：产能利用率：中国（周）,焦炭：全样本：独立焦化企业：日均产量：中国（周）,焦炭：全样本：独立焦化企业：剔除淘汰产能利用率：中国（周）,统计局：中国：工业产品：产量：焦炭（月）,焦炭：供给量：中国（月）,焦炭：供需差：中国（月）,焦炭：产量：重点钢铁企业（月）,焦炭：消费量：中国（周）,焦炭：表观消费量：中国（月）,230家独立焦化厂：焦炭：库存：中国（周）,焦炭：247家钢厂样本焦化厂：库存：中国（周）,焦炭：全样本：独立焦化企业：库存：中国（周）,焦炭：港口库存：中国（周）,焦炭：库存：全样本（周）
"2015-09-30","","","","","","","","3672.6","3121.71","575.03","950.8","","3606.08","","","","",""
"2015-10-09","","76.53","","","","","","","","","","101.76","","136.14","837.8","","254.9",""
"2015-10-16","","77.13","","","","","","","","","","100.79","","133.18","844.21","","262.7",""
"2015-10-23","","79.27","","","","","","","","","","99.58","","119.45","845.96","","243",""
"2015-10-30","","78.46","","","","","","","","","","99.68","","125.37","845.99","","253.6",""
"2015-10-31","","","","","","","","3717.4","3159.79","625.75","988.36","","3640.14","","","","",""
"2015-11-06","","78.44","","","","","","","","","","98.78","","121.92","834.62","","258.8",""
"2015-11-13","","77.93","","","","","","","","","","98.83","","130.59","828.55","","259.5",""
"2015-11-20","","78.37","","","","","","","","","","97.79","","138.68","820.65","","251",""
"2015-11-27","","80.04","","","","","","","","","","96.66","","153.77","816.2","","260",""
"2015-11-30","","","","","","","","3666.1","3116.19","700.99","1005.02","","3582.12","","","","",""
"2015-12-04","","78.06","","","","","","","","","","96.79","","166.63","776.64","","247.5",""
"2015-12-11","","76.11","","","","","","","","","","96.27","","157.87","789.18","","251.1",""
"2015-12-18","","77.34","","","","","","","","","","95.68","","154.15","797.53","","250.9",""
"2015-12-25","","74.49","","","","","","","","","","96.3","","156.47","795.46","","245",""
"2015-12-31","","","","","","","","3517.8","2990.13","590.24","960.05","","3373","","","","",""
"2016-01-01","","76.24","","","","","","","","","","98.1","","136.62","811.33","","245.6",""
"2016-01-04","636","","","","","","","","","","","","","","","","",""
"2016-01-05","640","","","","","","","","","","","","","","","","",""
"2016-01-06","625.5","","","","","","","","","","","","","","","","",""
"2016-01-07","621","","","","","","","","","","","","","","","","",""
"2016-01-08","624","77.28","","","","","","","","","","99.53","","129.93","803.65","","224",""
"2016-01-11","623.5","","","","","","","","","","","","","","","","",""
"2016-01-12","612.5","","","","","","","","","","","","","","","","",""
"2016-01-13","617","","","","","","","","","","","","","","","","",""
"2016-01-14","621","","","","","","","","","","","","","","","","",""
"2016-01-15","626.5","77.36","","","","","","","","","","98.79","","126.84","828.01","","226.7",""
"2016-01-18","639","","","","","","","","","","","","","","","","",""
"2016-01-19","641.5","","","","","","","","","","","","","","","","",""
"2016-01-20","633.5","","","","","","","","","","","","","","","","",""
"2016-01-21","637","","","","","","","","","","","","","","","","",""
"2016-01-22","646","75.68","","","","","","","","","","97.94","","124.98","825.35","","219",""
"2016-01-25","645","","","","","","","","","","","","","","","","",""
"2016-01-26","647.5","","","","","","","","","","","","","","","","",""
"2016-01-27","653","","","","","","","","","","","","","","","","",""
"2016-01-28","644.5","","","","","","","","","","","","","","","","",""
"2016-01-29","639.5","79.4","","","","","","","","","","98.45","","113.73","823.87","","220.8",""
"2016-01-31","","","","","","","","","","","932.46","","","","","","",""
"2016-02-01","643","","","","","","","","","","","","","","","","",""
"2016-02-02","642","","","","","","","","","","","","","","","","",""
"2016-02-03","644.5","","","","","","","","","","","","","","","","",""
"2016-02-04","649.5","","","","","","","","","","","","","","","","",""
"2016-02-05","641.5","","","","","","","","","","","","","","","","",""
"2016-02-12","","76.78","","","","","","","","","","98.16","","132.26","798.05","","184.9",""
"2016-02-15","642","","","","","","","","","","","","","","","","",""
"2016-02-16","657","","","","","","","","","","","","","","","","",""
"2016-02-17","654","","","","","","","","","","","","","","","","",""
"2016-02-18","658","","","","","","","","","","","","","","","","",""
"2016-02-19","668","76.47","","","","","","","","","","98.07","","130.89","795.66","","176.8",""
"2016-02-22","690","","","","","","","","","","","","","","","","",""
"2016-02-23","691.5","","","","","","","","","","","","","","","","",""
"2016-02-24","705.5","","","","","","","","","","","","","","","","",""
"2016-02-25","701","","","","","","","","","","","","","","","","",""
"2016-02-26","701.5","77.02","","","","","","","","","","98.22","","114.51","793.27","","186.5",""
"2016-02-29","712","","","","","","","","","","885.11","","","","","","",""
"2016-03-01","710","","","","","","","","","","","","","","","","",""
"2016-03-02","710","","","","","","","","","","","","","","","","",""
"2016-03-03","702","","","","","","","","","","","","","","","","",""
"2016-03-04","705.5","79.96","","","","","","","","","","101.97","","124.33","819.02","","206.5",""
"2016-03-07","729","","","","","","","","","","","","","","","","",""
"2016-03-08","752","","","","","","","","","","","","","","","","",""
"2016-03-09","722","","","","","","","","","","","","","","","","",""
"2016-03-10","727","","","","","","","","","","","","","","","","",""
"2016-03-11","736.5","80.3","","","","","","","","","","102.48","","112.89","833.08","","198.6",""
"2016-03-14","745","","","","","","","","","","","","","","","","",""
"2016-03-15","744","","","","","","","","","","","","","","","","",""
"2016-03-16","753.5","","","","","","","","","","","","","","","","",""
"2016-03-17","761","","","","","","","","","","","","","","","","",""
"2016-03-18","772.5","80.3","","","","","","","","","","102.84","","105.78","817.13","","200",""
"2016-03-21","766","","","","","","","","","","","","","","","","",""
"2016-03-22","768","","","","","","","","","","","","","","","","",""
"2016-03-23","774.5","","","","","","","","","","","","","","","","",""
"2016-03-24","756","","","","","","","","","","","","","","","","",""
"2016-03-25","767","79.79","","","","","","","","","","103.59","","108.77","806.88","","189.5",""
"2016-03-28","768","","","","","","","","","","","","","","","","",""
"2016-03-29","784","","","","","","","","","","","","","","","","",""
"2016-03-30","774.5","","","","","","","","","","","","","","","","",""
"2016-03-31","792","","","","","","","3605.3","3064.51","355.55","1330.14","","3493.08","","","","",""
"2016-04-01","811.5","81.06","","","","","","","","","","103.55","","112.26","792.61","","185.5",""
"2016-04-05","825","","","","","","","","","","","","","","","","",""
"2016-04-06","815","","","","","","","","","","","","","","","","",""
"2016-04-07","825.5","","","","","","","","","","","","","","","","",""
"2016-04-08","834.5","81.53","","","","","","","","","","103.51","","109.3","768.71","","182.6",""
"2016-04-11","860.5","","","","","","","","","","","","","","","","",""
"2016-04-12","903","","","","","","","","","","","","","","","","",""
"2016-04-13","927.5","","","","","","","","","","","","","","","","",""
"2016-04-14","913","","","","","","","","","","","","","","","","",""
"2016-04-15","881","82.63","","","","","","","","","","104.04","","100.45","791.25","","185",""
"2016-04-18","941","","","","","","","","","","","","","","","","",""
"2016-04-19","962.5","","","","","","","","","","","","","","","","",""
"2016-04-20","1008","","","","","","","","","","","","","","","","",""
"2016-04-21","1025.5","","","","","","","","","","","","","","","","",""
"2016-04-22","1063","81","","","","","","","","","","104.11","","98.83","783.52","","223",""
"2016-04-25","1110","","","","","","","","","","","","","","","","",""
"2016-04-26","1101.5","","","","","","","","","","","","","","","","",""
"2016-04-27","1056.5","","","","","","","","","","","","","","","","",""
"2016-04-28","1056.5","","","","","","","","","","","","","","","","",""
"2016-04-29","1107","80.87","","","","","","","","","","103.97","","86.26","787.59","","265.9",""
"2016-04-30","","","","","","","","3624.8","3081.08","452.18","922.43","","3556.22","","","","",""
"2016-05-03","1076.5","","","","","","","","","","","","","","","","",""
"2016-05-04","1068","","","","","","","","","","","","","","","","",""
"2016-05-05","1027","","","","","","","","","","","","","","","","",""
"2016-05-06","984","80.85","","","","","","","","","","104.42","","78.14","759.03","","290",""
"2016-05-09","929.5","","","","","","","","","","","","","","","","",""
"2016-05-10","936","","","","","","","","","","","","","","","","",""
"2016-05-11","916","","","","","","","","","","","","","","","","",""
"2016-05-12","913.5","","","","","","","","","","","","","","","","",""
"2016-05-13","870","82.79","","","","","","","","","","106.37","","81.35","737.38","","290",""
"2016-05-16","873","","","","","","","","","","","","","","","","",""
"2016-05-17","924.5","","","","","","","","","","","","","","","","",""
"2016-05-18","893","","","","","","","","","","","","","","","","",""
"2016-05-19","898.5","","","","","","","","","","","","","","","","",""
"2016-05-20","921.5","82.05","","","","","","","","","","107.51","","91.41","754.91","","298.5",""
"2016-05-23","863.5","","","","","","","","","","","","","","","","",""
"2016-05-24","829.5","","","","","","","","","","","","","","","","",""
