date,close,煤炭：国有重点煤矿企业：产量：中国（旬）,原煤：大型煤炭企业：产量累计值（月）,原煤：大型煤炭企业：产量累计同比（月）,洗精煤：大型煤炭企业：产量累计值：中国（月）,洗精煤：大型煤炭企业：产量累计同比：中国（月）,煤矿：国有重点煤矿企业：产量：中国（月）,统计局：中国：工业产品：产量：原煤（月）,煤炭：国有重点煤矿企业：销售数合计：中国（旬）,煤炭：国有重点煤矿企业：销售数合计：中国（月）,煤炭：销量：中国（月）,煤炭：重点发电企业：供应量：中国（旬）,煤炭：重点发电企业：消费量：中国（旬）,煤炭：国有重点煤矿企业：库存：中国（旬）,煤炭：重点发电企业：库存平均可用天数：中国（旬）,煤炭：重点发电企业：库存：中国（旬）,煤炭：重点发电企业：库存同期增减：中国（月）,样本洗煤厂（110家）：精煤：库存：中国（周）,样本洗煤厂（110家）：煤炭：开工率：中国（周）,样本洗煤厂（110家）：精煤：日均产量：中国（周）,样本洗煤厂（110家）：原煤：库存：中国（周）,炼焦煤：进口：港口库存（周）,230家独立焦化厂：炼焦煤：库存：中国（周）,炼焦煤：247家钢厂样本焦化厂：库存：中国（周）,炼焦煤：矿山企业库存：中国（周）,炼焦煤：独立焦化企业：库存：中国（周）,炼焦煤：独立焦化企业：平均可用天数：中国（周）
"2015-10-10","","2758","","","","","","","1898","","","2570","2350","4254","28","7148","","","","","","","","","","",""
"2015-10-16","","","","","","","","","","","","","","","","","","","","","","429.9","989.69","954.52","371.3","",""
"2015-10-20","","5709","","","","","","","3867","","","5380","4940","4397","29","7352","","","","","","","","","","",""
"2015-10-23","","","","","","","","","","","","","","","","","","","","","","397.8","979.31","946.05","379.5","",""
"2015-10-30","","","","","","","","","","","","","","","","","","","","","","408.8","970.58","964.56","377.5","",""
"2015-10-31","","","208333.2","-5","70311.5","-4.1","16167.3","31694.6","","14648","30400","8468","7963","","28","7424","-2268","","","","","","","","","",""
"2015-11-06","","","","","","","","","","","","","","","","","","","","","","387.5","1012.62","955.29","376.5","",""
"2015-11-10","","2978","","","","","","","1994","","","2813","3012","4442","27","7675","","","","","","","","","","",""
"2015-11-13","","","","","","","","","","","","","","","","","","","","","","383","1044.22","960.98","376.5","",""
"2015-11-20","","5985","","","","","","","4067","","","6057","6240","4398","25","7685","","","","","","405","1090.36","983.63","376","",""
"2015-11-27","","","","","","","","","","","","","","","","","","","","","","354.2","995.59","988.27","393.7","",""
"2015-11-30","","","230053.9","-4.5","77006.3","-4.6","16042.44","32022.9","","14511.15","31000","9190","9712","","22","7347","-2417","","","","","","","","","",""
"2015-12-04","","","","","","","","","","","","","","","","","","","","","","381.8","1001.77","990.69","325.2","",""
"2015-12-10","","3035","","","","","","","2106","","","3480","3530","4419","21","7293","","","","","","","","","","",""
"2015-12-11","","","","","","","","","","","","","","","","","","","","","","379.3","1030.36","959.1","323.8","",""
"2015-12-18","","","","","","","","","","","","","","","","","","","","","","354.1","1029.29","974.67","250.8","",""
"2015-12-20","","5936","","","","","","","4261","","","7060","7100","4259","20","7290","","","","","","","","","","",""
"2015-12-25","","","","","","","","","","","","","","","","","","","","","","325.9","1001.86","1008.47","240.7","",""
"2015-12-31","","","257745.6","-3.7","78551.2","-4.8","16748.36","31658.9","","15914.98","31900","11240","11211","","20","7358","-2096","","","","","","","","","",""
"2016-01-01","","","","","","","","","","","","","","","","","","","","","","341","1036.63","1011.95","234.2","",""
"2016-01-04","555","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-05","561","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-06","551","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-07","550","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-08","551","","","","","","","","","","","","","","","","","","","","","347.5","1012.22","1009.4","243.7","",""
"2016-01-10","","2682","","","","","","","1782","","","3430","3470","3840","20","7243","","","","","","","","","","",""
"2016-01-11","550.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-12","535.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-13","529","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-14","531","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-15","528","","","","","","","","","","","","","","","","","","","","","345.5","1125.67","1014.65","245.2","",""
"2016-01-18","542","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-19","543","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-20","537.5","5637","","","","","","","3962","","","7100","7100","4189","20","7271","","","","","","","","","","",""
"2016-01-21","531.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-22","545.5","","","","","","","","","","","","","","","","","","","","","334.3","1218.18","996.22","241.5","",""
"2016-01-25","545","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-26","551.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-27","560.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-28","552.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-29","555","","","","","","","","","","","","","","","","","","","","","347.3","1314.75","989.99","238.8","",""
"2016-01-31","","","","","","","15935.18","","","13986.67","","10781","10996","","19","7018","","","","","","","","","","",""
"2016-02-01","558","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-02","558.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-03","559","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-04","564.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-05","558","","","","","","","","","","","","","","","","","","","","","347.3","","","","",""
"2016-02-10","","1730","","","","","","","1644","","","2522","2631","3899","21","7037","","","","","","","","","","",""
"2016-02-12","","","","","","","","","","","","","","","","","","","","","","310","999.51","1018.78","240.8","",""
"2016-02-15","558.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-16","566.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-17","563","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-18","568","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-19","571","","","","","","","","","","","","","","","","","","","","","343.2","984.13","997.14","246.8","",""
"2016-02-20","","4117","","","","","","","3457","","","4962","5251","3868","25","6746","","","","","","","","","","",""
"2016-02-22","594","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-23","600","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-24","612.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-25","608","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-26","606.5","","","","","","","","","","","","","","","","","","","","","319.7","960.3","989.79","270.5","",""
"2016-02-29","612.5","","36850.3","-5.3","","","12388.21","","","11238.73","23000","7440","8039","","23","6479","-1291","","","","","","","","","",""
"2016-03-01","613","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-02","608","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-03","602.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
