date,close,燃油：库存：新加坡（周）,燃油：表观消费量：中国（月）,燃油：产量：中国（月）,燃油：表观消费量同比：中国（月）,燃油：国产：开工率同比：山东：中国炼厂（周）,燃油：产量同比：中国（月）,燃油：销量：新加坡：船供（月）,燃油：商品量：中国（月）,燃油：成交量：新加坡（日）
"2015-09-30","","","277.02","208.1","","","","384.8","",""
"2015-10-02","","2810.6","","","","","","","",""
"2015-10-09","","3051.5","","","","","","","",""
"2015-10-16","","2797.9","","","","","","","",""
"2015-10-23","","2851.6","","","","","","","",""
"2015-10-30","","2773.9","","","","","","","",""
"2015-10-31","","","229.64","199.9","","","","375.6","",""
"2015-11-06","","2564.2","","","","","","","",""
"2015-11-13","","2630.3","","","","","","","",""
"2015-11-20","","2563.8","","","","","","","",""
"2015-11-27","","2688.6","","","","","","","",""
"2015-11-30","","","160.7","199.9","","","","360.5","",""
"2015-12-04","","2455.5","","","","","","","",""
"2015-12-11","","2757.4","","","","","","","",""
"2015-12-18","","2723.8","","","","","","","",""
"2015-12-25","","2705.8","","","","","","","",""
"2015-12-31","","","259.74","245.3","","","","355.7","",""
"2016-01-01","","2489.8","","","","","","","",""
"2016-01-04","2572","","","","","","","","",""
"2016-01-05","2571","","","","","","","","",""
"2016-01-06","2584","","","","","","","","",""
"2016-01-07","2559","","","","","","","","",""
"2016-01-08","2452","2211.9","","","","","","","",""
"2016-01-11","2565","","","","","","","","",""
"2016-01-12","2564","","","","","","","","",""
"2016-01-13","2504","","","","","","","","",""
"2016-01-14","2610","","","","","","","","",""
"2016-01-15","2483","2079.5","","","","","","","",""
"2016-01-18","2466","","","","","","","","",""
"2016-01-19","2499","","","","","","","","",""
"2016-01-20","2612","","","","","","","","",""
"2016-01-21","2512","","","","","","","","",""
"2016-01-22","2503","2078.2","","","","","","","",""
"2016-01-25","2600","","","","","","","","",""
"2016-01-26","2560","","","","","","","","",""
"2016-01-27","2550","","","","","","","","",""
"2016-01-28","2545","","","","","","","","",""
"2016-01-29","2599","2229.5","","","","","","","",""
"2016-01-31","","","258.28","195","","","","416.5","",""
"2016-02-01","2587","","","","","","","","",""
"2016-02-02","2580","","","","","","","","",""
"2016-02-03","2564","","","","","","","","",""
"2016-02-04","2564","","","","","","","","",""
"2016-02-05","2495","2483.9","","","","","","","",""
"2016-02-12","","2583.4","","","","","","","",""
"2016-02-15","2599","","","","","","","","",""
"2016-02-16","2597","","","","","","","","",""
"2016-02-17","2367","","","","","","","","",""
"2016-02-18","2596","","","","","","","","",""
"2016-02-19","2500","2583.4","","","","","","","",""
"2016-02-22","2379","","","","","","","","",""
"2016-02-23","2227","","","","","","","","",""
"2016-02-24","2280","","","","","","","","",""
"2016-02-25","2276","","","","","","","","",""
"2016-02-26","2374","2816.4","","","","","","","",""
"2016-02-29","2529","","229.67","190","","","","420","",""
"2016-03-01","2597","","","","","","","","",""
"2016-03-02","2498","","","","","","","","",""
"2016-03-03","2498","","","","","","","","",""
"2016-03-04","2444","2922.8","","","","","","","",""
"2016-03-07","2355","","","","","","","","",""
"2016-03-08","2317","","","","","","","","",""
"2016-03-09","2117","","","","","","","","",""
"2016-03-10","2309","","","","","","","","",""
"2016-03-11","2313","3057.2","","","","","","","",""
"2016-03-14","2113","","","","","","","","",""
"2016-03-15","2200","","","","","","","","",""
"2016-03-16","2278","","","","","","","","",""
"2016-03-17","2215","","","","","","","","",""
"2016-03-18","2277","3006.3","","","","","","","",""
"2016-03-21","2110","","","","","","","","",""
"2016-03-22","2215","","","","","","","","",""
"2016-03-23","2444","","","","","","","","",""
"2016-03-24","2161","","","","","","","","",""
"2016-03-25","2269","2627.5","","","","","","","",""
"2016-03-28","2268","","","","","","","","",""
"2016-03-29","2289","","","","","","","","",""
"2016-03-30","2403","","","","","","","","",""
"2016-03-31","2369","","252.99","235.5","","","","418","",""
"2016-04-01","2424","2542.3","","","","","","","",""
"2016-04-05","2444","","","","","","","","",""
"2016-04-06","2461","","","","","","","","",""
"2016-04-07","2461","","","","","","","","",""
"2016-04-08","2538","2351","","","","","","","",""
"2016-04-11","2430","","","","","","","","",""
"2016-04-12","2430","","","","","","","","",""
"2016-04-13","2355","","","","","","","","",""
"2016-04-14","2355","","","","","","","","",""
"2016-04-15","2436","2156.9","","","","","","","",""
"2016-04-18","2453","","","","","","","","",""
"2016-04-19","2331","","","","","","","","",""
"2016-04-20","2355","","","","","","","","",""
"2016-04-21","2473","","","","","","","","",""
"2016-04-22","2328","2213.8","","","","","","","",""
"2016-04-25","2306","","","","","","","","",""
"2016-04-26","2355","","","","","","","","",""
"2016-04-27","2294","","","","","","","","",""
"2016-04-28","2666","","","","","","","","",""
"2016-04-29","2587","2643.1","","","","","","","",""
"2016-04-30","","","210.2","209.9","","","","411","",""
"2016-05-03","2607","","","","","","","","",""
"2016-05-04","2184","","","","","","","","",""
"2016-05-05","2293","","","","","","","","",""
"2016-05-06","2390","2785.5","","","","","","","",""
"2016-05-09","2389","","","","","","","","",""
"2016-05-10","2300","","","","","","","","",""
"2016-05-11","2203","","","","","","","","",""
"2016-05-12","2305","","","","","","","","",""
"2016-05-13","2711","2591.5","","","","","","","",""
"2016-05-16","2420","","","","","","","","",""
"2016-05-17","2410","","","","","","","","",""
"2016-05-18","2322","","","","","","","","",""
"2016-05-19","2561","","","","","","","","",""
"2016-05-20","2360","3100.2","","","","","","","",""
"2016-05-23","2346","","","","","","","","",""
"2016-05-24","2433","","","","","","","","",""
"2016-05-25","2601","","","","","","","","",""
"2016-05-26","2579","","","","","","","","",""
"2016-05-27","2575","2894.9","","","","","","","",""
"2016-05-30","2596","","","","","","","","",""
"2016-05-31","2579","","310.48","227.2","","","","416","",""
"2016-06-01","2567","","","","","","","","",""
"2016-06-02","2567","","","","","","","","",""
"2016-06-03","2598","3118","","","","","","","",""
"2016-06-06","2594","","","","","","","","",""
"2016-06-07","2621","","","","","","","","",""
