date,close,USDA：玉米：产量预测值：中国（月）,USDA：玉米：出口数量预测值：中国（月）,USDA：玉米：国内需求消费量预测值：中国（月）,USDA：玉米：进口数量预测值：中国（月）,USDA：玉米：库存消费比预测：中国（月）,USDA：玉米：期初库存预测：中国（月）,USDA：玉米：期末库存预测：中国（月）,USDA：玉米：饲料消费量预测值：中国（月）,氨基酸加工企业：玉米：消费量（周）,玉米淀粉加工企业：玉米：消费量（周）,玉米酒精加工企业：玉米：消费量（周）,主要深加工企业：玉米：消费量（周）,国家粮食和物资储备局：玉米：收购量：中国（日）,玉米：港口库存：中国（周）,主要深加工企业：玉米：库存：中国（周）,USDA：玉米：期初库存预测：美国（月）,USDA：玉米：期末库存预测：美国（月）
"2015-09-30","","225","0.05","219","3","41.28","81.46","90.41","157","","","","","","","","44.01","40.45"
"2015-10-02","","","","","","","","","","","","","","","205.15","","",""
"2015-10-09","","","","","","","","","","","","","","","194.3","","",""
"2015-10-16","","","","","","","","","","","","","","","205.5","","",""
"2015-10-23","","","","","","","","","","","","","","","213.7","","",""
"2015-10-30","","","","","","","","","","","","","","","222.5","","",""
"2015-10-31","","225","0.05","219","3","41.37","81.66","90.61","157","","","","","288","","","43.98","39.66"
"2015-11-05","","","","","","","","","","","","","","605","","","",""
"2015-11-06","","","","","","","","","","","","","","","216","","",""
"2015-11-10","","","","","","","","","","","","","","924","","","",""
"2015-11-13","","","","","","","","","","","","","","","219.7","","",""
"2015-11-15","","","","","","","","","","","","","","1399","","","",""
"2015-11-20","","","","","","","","","","","","","","2158","225.8","","",""
"2015-11-25","","","","","","","","","","","","","","3016","","","",""
"2015-11-27","","","","","","","","","","","","","","","227.5","","",""
"2015-11-30","","225","0.05","214","3","53.48","100.49","114.44","150","","","","","","","","43.98","44.7"
"2015-12-04","","","","","","","","","","","","","","","226.5","","",""
"2015-12-11","","","","","","","","","","","","","","","243.4","","",""
"2015-12-18","","","","","","","","","","","","","","","254.5","","",""
"2015-12-25","","","","","","","","","","","","","","","261.5","","",""
"2015-12-31","","225","0.05","214","3","53.46","100.46","114.41","150","","","","","","","","43.98","45.34"
"2016-01-01","","","","","","","","","","","","","","","269","","",""
"2016-01-04","1893","","","","","","","","","","","","","","","","",""
"2016-01-05","1912","","","","","","","","","","","","","","","","",""
"2016-01-06","1927","","","","","","","","","","","","","","","","",""
"2016-01-07","1913","","","","","","","","","","","","","","","","",""
"2016-01-08","1911","","","","","","","","","","","","","","270.2","","",""
"2016-01-11","1907","","","","","","","","","","","","","","","","",""
"2016-01-12","1913","","","","","","","","","","","","","","","","",""
"2016-01-13","1908","","","","","","","","","","","","","","","","",""
"2016-01-14","1904","","","","","","","","","","","","","","","","",""
"2016-01-15","1910","","","","","","","","","","","","","","257.9","","",""
"2016-01-18","1918","","","","","","","","","","","","","","","","",""
"2016-01-19","1694","","","","","","","","","","","","","","","","",""
"2016-01-20","1909","","","","","","","","","","","","","","","","",""
"2016-01-21","1908","","","","","","","","","","","","","","","","",""
"2016-01-22","1914","","","","","","","","","","","","","","251.9","","",""
"2016-01-25","1917","","","","","","","","","","","","","","","","",""
"2016-01-26","1706","","","","","","","","","","","","","","","","",""
"2016-01-27","1944","","","","","","","","","","","","","","","","",""
"2016-01-28","1945","","","","","","","","","","","","","","","","",""
"2016-01-29","1933","","","","","","","","","","","","","","255.8","","",""
"2016-01-31","","224.58","0.05","214","2.5","53.03","100.46","113.49","150","","","","","","","","43.97","45.78"
"2016-02-01","1936","","","","","","","","","","","","","","","","",""
"2016-02-02","1937","","","","","","","","","","","","","","","","",""
"2016-02-03","1946","","","","","","","","","","","","","","","","",""
"2016-02-04","1968","","","","","","","","","","","","","","","","",""
"2016-02-05","1958","","","","","","","","","","","","","","269.6","","",""
"2016-02-12","","","","","","","","","","","","","","","260.9","","",""
"2016-02-15","1971","","","","","","","","","","","","","12062","","","",""
"2016-02-16","1966","","","","","","","","","","","","","","","","",""
"2016-02-17","1943","","","","","","","","","","","","","","","","",""
"2016-02-18","1950","","","","","","","","","","","","","","","","",""
"2016-02-19","1934","","","","","","","","","","","","","","261","","",""
"2016-02-22","1643","","","","","","","","","","","","","","","","",""
"2016-02-23","1905","","","","","","","","","","","","","","","","",""
"2016-02-24","1601","","","","","","","","","","","","","","","","",""
"2016-02-25","1854","","","","","","","","","","","","","","","","",""
"2016-02-26","1574","","","","","","","","","","","","","","253.6","","",""
"2016-02-29","1551","224.58","0.05","216","2.5","51.62","100.46","111.49","152","","","","","","","","43.97","46.67"
"2016-03-01","1603","","","","","","","","","","","","","","","","",""
"2016-03-02","1600","","","","","","","","","","","","","","","","",""
"2016-03-03","1617","","","","","","","","","","","","","","","","",""
"2016-03-04","1628","","","","","","","","","","","","","","262.1","","",""
"2016-03-05","","","","","","","","","","","","","","13052","","","",""
"2016-03-07","1586","","","","","","","","","","","","","","","","",""
"2016-03-08","1589","","","","","","","","","","","","","","","","",""
"2016-03-09","1589","","","","","","","","","","","","","","","","",""
"2016-03-10","1567","","","","","","","","","","","","","13431","","","",""
"2016-03-11","1583","","","","","","","","","","","","","","259.6","","",""
"2016-03-14","1564","","","","","","","","","","","","","","","","",""
"2016-03-15","1565","","","","","","","","","","","","","13821","","","",""
"2016-03-16","1561","","","","","","","","","","","","","","","","",""
"2016-03-17","1556","","","","","","","","","","","","","","","","",""
"2016-03-18","1609","","","","","","","","","","","","","","264","","",""
"2016-03-21","1631","","","","","","","","","","","","","","","","",""
"2016-03-22","1623","","","","","","","","","","","","","","","","",""
"2016-03-23","1603","","","","","","","","","","","","","","","","",""
"2016-03-24","1615","","","","","","","","","","","","","","","","",""
"2016-03-25","1621","","","","","","","","","","","","","","288.7","","",""
"2016-03-28","1569","","","","","","","","","","","","","","","","",""
"2016-03-29","1575","","","","","","","","","","","","","","","","",""
"2016-03-30","1435","","","","","","","","","","","","","","","","",""
"2016-03-31","1430","224.58","0.05","216","2.5","51.62","100.46","111.49","152","","","","","15135","","","43.97","46.67"
"2016-04-01","1425","","","","","","","","","","","","","","290.3","","",""
"2016-04-05","1427","","","","","","","","","","","","","15420","","","",""
"2016-04-06","1433","","","","","","","","","","","","","","","","",""
"2016-04-07","1432","","","","","","","","","","","","","","","","",""
"2016-04-08","1429","","","","","","","","","","","","","","293.3","","",""
"2016-04-10","","","","","","","","","","","","","","15876","","","",""
