date,close,玻璃：产能利用率：中国（日）,玻璃：产线开工条数：中国（周）,浮法玻璃：开工率：中国：新口径（周）,玻璃：开工率：中国（日）,中国：工业产品：产量：夹层玻璃（月）,中国：工业产品：产量：中空玻璃（月）,统计局：中国：工业产品：产量：平板玻璃（月）,中国：工业产品：产量：钢化玻璃（月）,浮法玻璃：产量：中国（周）,光伏玻璃：运行产能：中国（日）,玻璃：表观消费量：中国（月）,浮法玻璃：损失量：中国：新口径（周）,玻璃：期末库存：中国（周）,玻璃：库存平均可用天数：中国（周）
"2015-09-30","","83.86","","","81.31","713.7","1142.2","6059.8","3947.8","","","","","",""
"2015-10-01","","83.86","","","81.31","","","","","","","","","",""
"2015-10-02","","83.86","","81.31","81.31","","","","","87.69","","","20.54","2883.6","18"
"2015-10-03","","83.86","","","81.31","","","","","","","","","",""
"2015-10-04","","83.86","","","81.31","","","","","","","","","",""
"2015-10-05","","83.86","","","81.31","","","","","","","","","",""
"2015-10-06","","83.86","","","81.31","","","","","","","","","",""
"2015-10-07","","83.86","","","81.31","","","","","","","","","",""
"2015-10-08","","83.36","","","80.97","","","","","","","","","",""
"2015-10-09","","83.36","","81.26","80.97","","","","","87.62","","","20.63","2898.4","18"
"2015-10-10","","83.36","","","80.97","","","","","","","","","",""
"2015-10-11","","83.36","","","80.97","","","","","","","","","",""
"2015-10-12","","83.2","","","80.62","","","","","","","","","",""
"2015-10-13","","83","","","80.28","","","","","","","","","",""
"2015-10-14","","83","","","80.28","","","","","","","","","",""
"2015-10-15","","83","","","80.28","","","","","","","","","",""
"2015-10-16","","83","","80.62","80.28","","","","","86.99","","","21.4","2696.2","17"
"2015-10-17","","83","","","80.28","","","","","","","","","",""
"2015-10-18","","83.06","","","80.34","","","","","","","","","",""
"2015-10-19","","82.67","","","80","","","","","","","","","",""
"2015-10-20","","85.13","","","82.56","","","","","","","","","",""
"2015-10-21","","85.13","","","82.56","","","","","","","","","",""
"2015-10-22","","85.13","","","82.56","","","","","","","","","",""
"2015-10-23","","85.13","","81.23","82.56","","","","","86.81","","","20.33","2634","17"
"2015-10-24","","85.13","","","82.56","","","","","","","","","",""
"2015-10-25","","85.13","","","82.56","","","","","","","","","",""
"2015-10-26","","85.38","","","82.92","","","","","","","","","",""
"2015-10-27","","85.38","","","82.92","","","","","","","","","",""
"2015-10-28","","85.38","","","82.92","","","","","","","","","",""
"2015-10-29","","85.38","","","82.92","","","","","","","","","",""
"2015-10-30","","85.38","","82.77","82.92","","","","","86.89","","","18.26","2622","17"
"2015-10-31","","85.38","","","82.92","741.7","1157.1","5873.6","4067","","","","","",""
"2015-11-01","","85.38","","","82.92","","","","","","","","","",""
"2015-11-02","","85.38","","","82.92","","","","","","","","","",""
"2015-11-03","","85.38","","","82.92","","","","","","","","","",""
"2015-11-04","","85.38","","","82.92","","","","","","","","","",""
