date,code,close,能繁殖母猪：存栏数：中国（月）,二元能繁殖母猪：存栏数占比：中国（月）,三元能繁殖母猪：存栏数占比：中国（月）,生猪疫苗：签发数量（月）,仔猪：成活率：中国（月）,商品猪：存栏数：中国（月）,商品猪：出栏数：中国（月）,商品猪：样本养殖企业：出栏平均体重：中国（周）,中国饲料工业年鉴：生猪饲料：产量：中国（月）,猪：每头重90kg以下：出栏数占比：中国（周）,猪：每头重150kg以上：出栏数占比：中国（周）,猪：屠宰量：中国（月）,猪：屠宰量：中国（日）,猪：重点屠宰企业：开工率：中国（日）,猪肉：重点屠宰企业：鲜销率：中国（周）,冷冻猪肉：重点屠宰企业：库容率：中国（周）,中国农业部：猪：线上市场：销量（月）,冷冻猪肉：中央储备：成交放储量（日）,冷冻猪肉：中央储备：成交收储量（日）,冷冻猪肉：中央储备：计划收储量（日）,冷冻猪肉：中央储备：计划放储量（日）
2015/9/30,生猪,,,,,715,,,,,,,,,,,,,,,,,
2015/10/31,生猪,,,,,358,,,,,,,,,,,,,,,,,
2015/11/30,生猪,,,,,443,,,,,,,,,,,,,,,,,
2015/12/31,生猪,,,,,674,,,,,,,,,,,,,,,,,
2016/1/31,生猪,,,,,781,,,,,,,,,,,,,,,,,
2016/2/29,生猪,,,,,801,,,,,,,,,,,,,,,,,
2016/3/31,生猪,,,,,1005,,,,,,,,,,,,,,,,,
2016/4/30,生猪,,,,,537,,,,,,,,,,,,,,,,,
2016/5/31,生猪,,,,,473,,,,,,,,,,,,,,,,,
2016/6/30,生猪,,,,,569,,,,,,,,,,,,,,,,,
2016/7/31,生猪,,,,,761,,,,,,,,,,,,,,,,,
2016/8/31,生猪,,,,,855,,,,,,,,,,,,,,,,,
2016/9/30,生猪,,,,,1017,,,,,,,,,,,,,,,,,
2016/10/31,生猪,,,,,466,,,,,,,,,,,,,,,,,
2016/11/30,生猪,,,,,548,,,,,,,,,,,,,,,,,
2016/12/31,生猪,,,,,671,,,,,,,,,,,,,,,,,
2017/1/6,生猪,,,,,,,,,,,,,,,46.24,,,,,,,
2017/1/13,生猪,,,,,,,,,,,,,,,46.32,,,,,,,
2017/1/20,生猪,,,,,,,,,,,,,,,48.23,,,,,,,
2017/1/27,生猪,,,,,,,,,,,,,,,52.13,,,,,,,
2017/1/31,生猪,,,,,726,,,,,,,,2075.44,,,,,,,,,
2017/2/3,生猪,,,,,,,,,,,,,,,55.15,,,,,,,
2017/2/10,生猪,,,,,,,,,,,,,,,17.68,,,,,,,
2017/2/17,生猪,,,,,,,,,,,,,,,23.14,,,,,,,
2017/2/24,生猪,,,,,,,,,,,,,,,25.19,,,,,,,
2017/2/28,生猪,,,,,646,,,,,,,,1274.45,,,,,,,,,
