date,close,甲醇：港口库存：中国（周）,甲醇：厂内库存：中国（周）,甲醇：社会库存：中国（周）,甲醇：传统下游厂家：采购量：中国（周）,二氯乙烷：产量：中国（月）,甲醇：采购量：中国（月）,冰醋酸：库存：中国（周）,甲醇：甲醇制烯烃法：生产企业：采购量：中国（月）,甲醇：开工率同比：中国（月）,甲醇：原料：下游厂家：库存：中国（周）,甲醇：甲醇制烯烃法：生产企业：平均开工率：中国（周）,二甲醚：开工率：中国（周）,甲醇：产量同比：中国（日）,甲醇：待发订单：数量：中国（周）,甲醇：产量：中国（日）,甲醇：开工率：中国（日）,甲醇：签约订单：数量：中国（周）,甲醇：甲醇制烯烃法：生产企业：采购量：中国（周）,甲醛：开工率：中国（周）,甲醇：期末库存：中国（月）,三氯甲烷：产量：中国（日）,甲醇：除中国以外的生产企业：开工率：全球（日）,甲醇：到港量：中国（周）,甲醇：表观消费量环比：中国（月）,甲醇：产能同比：中国（日）,甲醇：表观消费量：中国（月）,甲醇：产能：中国（日）,甲醇：表观消费量同比：中国（月）,甲醇：产能：国外（日）,甲醛：产量：中国（月）,二氯甲烷：平均开工率：中国（周）
"2015-09-30","","","","","","50000","","","","","","","","","","","","","","","","","","","1.67","","385.68","","1.09","","",""
"2015-10-02","","","15700","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-10-09","","","15500","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-10-16","","","14900","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-10-23","","","15100","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-10-30","","","15400","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-10-31","","","","","","52000","","","","","","","","","","","","","","","","","","","1.4","","391.07","","18.55","","",""
"2015-11-06","","","15900","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-13","","","15400","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-20","","","14800","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-27","","","14900","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-30","","","","","","26000","","","","","","","","","","","","","","","","","","","2.01","","398.94","","19.19","","",""
"2015-12-04","","","14500","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-11","","","15300","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-18","","","15200","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-25","","","15200","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-31","","","","","","36000","","","","","","","","","","","","","","","","","","","7.12","","427.35","","23.03","","",""
"2016-01-01","","","13400","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-04","1720","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-05","1743","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-06","1740","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-07","1738","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-08","1767","","13700","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-11","1722","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-12","1711","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-13","1701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-14","1720","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-15","1712","","14000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-18","1747","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
