date,close,统计局：成品糖：产量：中国（月）,成品糖：供应盈亏（月）,成品糖：销量（月）,成品糖：盈亏（月）,统计局：乳制品：产量：中国（月）,统计局：饮料类：产量：中国（月）,白糖：工业库存：中国（月）
"2015-09-30","","","-83.27","83.27","-17.9","","",""
"2015-10-31","","","20.25","2.08","55.69","","",""
"2015-11-30","","","22.31","9.67","47.65","","",""
"2015-12-31","","","54.69","82.62","103.27","","",""
"2016-01-04","5613","","","","","","",""
"2016-01-05","5599","","","","","","",""
"2016-01-06","5545","","","","","","",""
"2016-01-07","5530","","","","","","",""
"2016-01-08","5559","","","","","","",""
"2016-01-11","5470","","","","","","",""
"2016-01-12","5451","","","","","","",""
"2016-01-13","5465","","","","","","",""
"2016-01-14","5456","","","","","","",""
"2016-01-15","5421","","","","","","",""
"2016-01-18","5481","","","","","","",""
"2016-01-19","5519","","","","","","",""
"2016-01-20","5471","","","","","","",""
"2016-01-21","5441","","","","","","",""
"2016-01-22","5474","","","","","","",""
"2016-01-25","5435","","","","","","",""
"2016-01-26","5444","","","","","","",""
"2016-01-27","5462","","","","","","",""
"2016-01-28","5431","","","","","","",""
"2016-01-29","5387","","","","","","",""
"2016-01-31","","","128.66","100.81","156.55","","",""
"2016-02-01","5370","","","","","","",""
"2016-02-02","5384","","","","","","",""
"2016-02-03","5387","","","","","","",""
"2016-02-04","5411","","","","","","",""
"2016-02-05","5433","","","","","","",""
"2016-02-15","5399","","","","","","",""
"2016-02-16","5353","","","","","","",""
"2016-02-17","5311","","","","","","",""
"2016-02-18","5310","","","","","","",""
"2016-02-19","5354","","","","","","",""
"2016-02-22","5346","","","","","","",""
"2016-02-23","5385","","","","","","",""
"2016-02-24","5434","","","","","","",""
"2016-02-25","5411","","","","","","",""
"2016-02-26","5420","","","","","","",""
"2016-02-29","5338","","144.27","52.99","153.92","","",""
"2016-03-01","5348","","","","","","",""
"2016-03-02","5364","","","","","","",""
"2016-03-03","5347","","","","","","",""
"2016-03-04","5376","","","","","","",""
"2016-03-07","5340","","","","","","",""
"2016-03-08","5318","","","","","","",""
"2016-03-09","5370","","","","","","",""
"2016-03-10","5420","","","","","","",""
"2016-03-11","5475","","","","","","",""
"2016-03-14","5473","","","","","","",""
"2016-03-15","5477","","","","","","",""
"2016-03-16","5490","","","","","","",""
"2016-03-17","5538","","","","","","",""
"2016-03-18","5564","","","","","","",""
"2016-03-21","5592","","","","","","",""
"2016-03-22","5618","","","","","","",""
"2016-03-23","5588","","","","","","",""
"2016-03-24","5579","","","","","","",""
"2016-03-25","5605","","","","","","",""
"2016-03-28","5586","","","","","","",""
"2016-03-29","5557","","","","","","",""
"2016-03-30","5577","","","","","","",""
"2016-03-31","5575","","107.51","73.72","126.49","","",""
"2016-04-01","5610","","","","","","",""
"2016-04-05","5641","","","","","","",""
"2016-04-06","5607","","","","","","",""
"2016-04-07","5623","","","","","","",""
"2016-04-08","5571","","","","","","",""
"2016-04-11","5561","","","","","","",""
"2016-04-12","5561","","","","","","",""
"2016-04-13","5575","","","","","","",""
"2016-04-14","5621","","","","","","",""
"2016-04-15","5615","","","","","","",""
"2016-04-18","5691","","","","","","",""
"2016-04-19","5676","","","","","","",""
"2016-04-20","5695","","","","","","",""
"2016-04-21","5716","","","","","","",""
"2016-04-22","5573","","","","","","",""
"2016-04-25","5592","","","","","","",""
"2016-04-26","5622","","","","","","",""
"2016-04-27","5615","","","","","","",""
"2016-04-28","5527","","","","","","",""
"2016-04-29","5503","","","","","","",""
"2016-04-30","","","-25.87","81.26","-5.14","","",""
"2016-05-03","5567","","","","","","",""
"2016-05-04","5637","","","","","","",""
"2016-05-05","5644","","","","","","",""
"2016-05-06","5588","","","","","","",""
"2016-05-09","5561","","","","","","",""
"2016-05-10","5584","","","","","","",""
"2016-05-11","5576","","","","","","",""
"2016-05-12","5629","","","","","","",""
"2016-05-13","5583","","","","","","",""
"2016-05-16","5582","","","","","","",""
"2016-05-17","5569","","","","","","",""
"2016-05-18","5505","","","","","","",""
"2016-05-19","5493","","","","","","",""
"2016-05-20","5475","","","","","","",""
"2016-05-23","5530","","","","","","",""
"2016-05-24","5497","","","","","","",""
"2016-05-25","5471","","","","","","",""
"2016-05-26","5518","","","","","","",""
"2016-05-27","5519","","","","","","",""
"2016-05-30","5557","","","","","","",""
"2016-05-31","5573","","-47.39","62.37","-35.52","","",""
"2016-06-01","5515","","","","","","",""
"2016-06-02","5520","","","","","","",""
"2016-06-03","5676","","","","","","",""
"2016-06-06","5724","","","","","","",""
"2016-06-07","5659","","","","","","",""
"2016-06-08","5666","","","","","","",""
"2016-06-13","5759","","","","","","",""
"2016-06-14","5742","","","","","","",""
"2016-06-15","5709","","","","","","",""
"2016-06-16","5732","","","","","","",""
"2016-06-17","5781","","","","","","",""
"2016-06-20","5833","","","","","","",""
"2016-06-21","5811","","","","","","",""
"2016-06-22","5793","","","","","","",""
"2016-06-23","5766","","","","","","",""
"2016-06-24","5705","","","","","","",""
"2016-06-27","5781","","","","","","",""
"2016-06-28","5833","","","","","","",""
"2016-06-29","5841","","","","","","",""
"2016-06-30","6090","","-72.88","73.12","-36.98","","",""
"2016-07-01","5984","","","","","","",""
"2016-07-04","6074","","","","","","",""
"2016-07-05","5978","","","","","","",""
"2016-07-06","5971","","","","","","",""
"2016-07-07","5885","","","","","","",""
