date,close,中国：工业产品：产量：机制纸及纸板（月）,纸浆：供应量：中国（月）,纸浆：产量：中国（月）,纸浆：需求量：中国（月）,纸浆：实际消费量：中国（月）,纸浆：表观消费量：中国（月）,纸浆：港口库存：中国（周）,纸浆：成品库存可用天数：全球（月）,阔叶浆：产量：中国（月）,阔叶浆：开工率：中国（周）,竹浆：产量：中国（月）,苇浆：产量：中国（月）,甘蔗浆：产量：中国（月）,化机浆：开工率：中国（周）,化机浆：产量：中国（月）,白卡纸：产量：中国（月）,白卡纸：开工率：中国（周）,白卡纸：损失量：中国（月）,白卡纸：销量：中国（周）,白卡纸：实际消费量：中国（月）,白卡纸：表观消费量：中国（月）,白卡纸：厂内库存：中国（周）,瓦楞纸：产量：中国（月）,瓦楞纸：开工率：中国（周）,瓦楞纸：表观消费量：中国（月）,瓦楞纸：实际消费量：中国（月）,瓦楞纸：厂内库存：中国（周）,瓦楞纸：中国企业：库存（月）,瓦楞纸：社会库存：中国（周）,瓦楞纸：成品库存可用天数：中国（周）,箱板纸：开工率：中国（周）,箱板纸：产量：中国（月）,箱板纸：表观消费量：中国（月）,箱板纸：实际消费量：中国（月）,箱板纸：厂内库存：中国（周）,箱板纸：成品库存可用天数：中国（周）,箱板纸：社会库存：中国（周）,箱板纸：中国企业：库存（月）,白板纸：开工率：中国（周）,白板纸：产量：中国（月）,白板纸：损失量：中国（月）,白卡纸：社会库存：中国（月）,白板纸：厂内库存：中国（周）,白板纸：社会库存：中国（月）,白卡纸：厂内库存：中国（月）,白板纸：实际消费量：中国（月）,白板纸：表观消费量：中国（月）,白板纸：销量：中国（周）,中国：工业产品：产量：新闻纸（月）,铜版纸：开工率：中国（周）,铜版纸：产能：中国（月）,铜版纸：表观消费量：中国（月）,铜版纸：实际消费量：中国（月）,铜版纸：成品库存可用天数：中国（周）,铜版纸：中国企业：库存（月）,铜版纸：社会库存：中国（周）,铜版纸：成品库存：中国（周）,双胶纸：成品库存：中国（周）,双胶纸：成品库存可用天数：中国（周）,双胶纸：社会库存：中国（周）,双胶纸：中国企业：库存（月）,双胶纸：表观消费量：中国（月）,双胶纸：实际消费量：中国（月）,双胶纸：产能：中国（月）,双胶纸：产量：中国（月）,双胶纸：开工率：中国（周）,生活用纸：开工率：中国（周）,生活用纸：产量：中国（月）,生活用纸：表观消费量：中国（月）,生活用纸：实际消费量：中国（月）,生活用纸：中国企业：库存（月）,生活用纸：厂内库存：中国（周）,生活用纸：成品库存可用天数：中国（周）,生活用纸：原料：下游厂家：库存：中国（周）,生活用纸：社会库存：中国（月）,废纸：表观消费量：中国（月）,废纸：库存可用天数：中国（月）,废旧黄板纸：库存可用天数：中国（周）,废旧黄板纸：消费量：中国（周）
"2015-10-31","","999.3","","","","","","","","","","","","","","","60","","","","62.2","52.2","","175.47","","","","","","","","","217.63","","","","","","","","95","","120","","100","60","91","91","","26.1","","59.92","","","","","","","","","","","","","89.75","68.9","","","70.51","","","","","","","","","","",""
"2015-11-30","","1034","","","","","","","","","","","","","","","60","","","","52","52","","175.47","","","","","","","","","215.75","","","","","","","","95","","120","","100","57","90","90","","26.2","","59.92","","","","","","","","","","","","","89.75","69.4","","","73.95","","","","","","","","","","",""
"2015-12-31","","1026.1","","","","","","","","","","","","","","","56","","","","24.8","44.8","","171.08","","","","","","","","","213.11","","","","","","","","93","","140","","100","54","86","86","","30.5","","57.67","","","","","","","","","","","","","89.75","70.5","","","89.54","","","30","","","","92","","","",""
"2016-01-31","","","","","","246.39","","","33","","","","","","","","57","","","","71","51","","185.4","","184.31","186.7","","34.88","","","","223.37","227.43","230.96","","","","54.98","","70","","120","","90","56","77.47","67","","","","57.67","","","","43.5","","","","","","62.7","","","92.92","66.7","","","85.15","","","35","","","","95","","15.8","",""
"2016-02-29","","","","","","199","","","33","","","","","","","","48","","","","48.7","38.7","","133.46","","133.13","114.85","","56.16","","","","162.74","164.97","138.3","","","","101.65","","40","","110","","80","57","44.47","34","","","","57.67","","","","44.3","","","","","","63.6","","","92.92","67.8","","","53.25","","","32","","","","110","","15.2","",""
"2016-03-31","","1060","","","","248.21","","","34","","","","","","","","54","","","","40.5","40.5","","180.51","","179.74","182.23","","52.67","","","","222.9","227.81","223.47","","","","96","","95","","110","","90","56","76.4","86","","25","","57.67","","","","42.4","","","","","","65.5","","","92.92","69.7","","","96.57","","","40","","","","103","","14","",""
"2016-04-30","","1028","","","","251.07","","","40","","","","","","","","55","","","","33.2","43.2","","182.84","","182.25","184.26","","49.67","","","","223.54","227.58","228.58","","","","92","","96","","120","","100","57","78.13","88","","26.8","","57.67","","","","48.3","","","","","","67.3","","","92.92","71.7","","","92.23","","","43","","","","106","","13.1","",""
"2016-05-31","","1031.5","","","","250.44","","","39","","","","","","","","57","","","","34.6","44.6","","180.04","","179.77","181.42","","50.02","","","","221.36","227.07","228.07","","","","90","","96","","130","","110","59","77.9","88","","24.5","","57.67","","","","44.9","","","","","","67.2","","","92.92","71.6","","","92.96","","","40","","","","110","","12.4","",""
"2016-06-30","","1044","","","","231.69","","","36","","","","","","","","57","","","","34.1","44.1","","176.55","","176.28","173.3","","54","","","","219.8","224.77","227.77","","","","98","","98","","140","","130","55","70","90","","23.4","","57.67","","","","44.2","","","","","","66.6","","","92.92","71","","","76.21","","","45","","","","120","","10.3","",""
"2016-07-31","","1009.7","","","","224.73","","","34","","","","","","","","55","","","","32.8","42.8","","175.85","","175.18","185.75","","41.43","","","","215.92","219.83","223.83","","","","91","","92","","150","","130","53","84","84","","24.7","","57.67","","","","43.8","","","","","","67.2","","","92.92","70.1","","","72.23","","","42","","","","123","","8.9","",""
"2016-08-31","","988","","","","224.19","","","35","","","","","","","","55","","","","45.6","45.6","","170.49","","170.02","171.81","","37.64","","","","212.76","217.88","226.88","","","","78","","75","","150","","110","40","86","66","","25.7","","57.67","","","","38.7","","","","","","61.3","","","92.92","72.3","","","71.36","","","42","","","","125","","10.5","",""
"2016-09-30","","1018.6","","","","231.92","","","34","","","","","","","","60","","","","60.5","50.5","","178.88","","178.41","174.21","","38.84","","","","217.77","224.9","228.9","","","","71","","80","","140","","105","40","76","71","","24.5","","57.67","","","","37","","","","","","54.5","","","92.92","71.4","","","71.36","","","45","","","","115","","10.2","",""
"2016-10-31","","1070.1","","","","242.65","","","35","","","","","","","","62","","","","73.5","53.5","","171.19","","170.7","177.35","","30.19","","","","224.5","230.16","229.16","","","","68","","100","","120","","100","45","96","91","","24.1","","57.67","","","","34.3","","","","","","43.7","","","92.92","72","","","80.88","","","46","","","","110","","8.5","",""
"2016-11-30","","1081.7","","","","246.39","","","37","","","","","","","","65","","","","65.1","55.1","","178.88","","178.48","183.39","","23.28","","","","224.27","228.99","229.99","","","","65","","100","","110","","95","40","96","91","","23.5","","57.67","","","","31","","","","","","40.1","","","92.92","71.4","","","82.07","","","42","","","","115","","5.9","",""
"2016-12-31","","1111.6","","","","249.24","","","35","","","","","","","","67","","","","54.2","54.2","","174.22","","176.51","179.7","","19.09","","","","219.28","224.95","225.95","","","","61","","100","","110","","90","30","97","92","","22.7","","57.67","","","","28.7","","","","","","37.5","","","92.92","70","","","85.64","","","38","","","","119","","9.3","",""
