date,close,BOPP：开工率：中国（周）,PP：产量：中国（日）,油制PP粒：产量：中国（日）,隆众：PP：产量：中国（月）,PP：生产企业：检修减损量：中国：新口径（月）,PP：开工率：中国（日）,PP：检修减损量：中国（日）,下游行业：PP：开工率环比：中国（周）,PP：开工率同比：中国（日）,PP：表观消费量：中国（月）,下游行业：PP：工业品：库存可用天数：塑编企业（周）,下游行业：PP：开工率：中国PP注塑企业（周）,下游行业：PP：平均开工率：中国（周）,PP粒：PDH制：生产企业：库存：中国（周）,PP：库存环比：中国（周）,PP：期末库存：中国（周）,PP：港口：期末库存：中国（周）,PP：地方炼厂：生产企业：库存：中国（周）,PP：贸易商：库存（周）,PP粉：产量同比：中国（日）,PP粉：开工率：中国（日）,PP粉：产量：中国（日）,PP粉：库存：中国（周）,PP粉：库存环比：中国（周）,PP粉：表观消费量：中国（月）,PP粉：销量：中国（月）,PP粉：检修减损量：中国（周）
"2015-10-10","","","","","","","","","","","","","","","","","","","","","","68","","","","","",""
"2015-10-11","","","","","","","","","","","","","","","","","","","","","","68","","","","","",""
"2015-10-12","","","","","","","","","","","","","","","","","","","","","","68","","","","","",""
"2015-10-13","","","","","","","","","","","","","","","","","","","","","","68","","","","","",""
"2015-10-14","","","","","","","","","","","","","","","","","","","","","","68","","","","","",""
"2015-10-15","","","","","","","","","","","","","","","","","","","","","","67","","","","","",""
"2015-10-16","","","","","","","","","","","","","","","","","","","","","","67","","","","","",""
"2015-10-17","","","","","","","","","","","","","","","","","","","","","","67","","","","","",""
"2015-10-18","","","","","","","","","","","","","","","","","","","","","","67","","","","","",""
"2015-10-19","","","","","","","","","","","","","","","","","","","","","","67","","","","","",""
"2015-10-20","","","","","","","","","","","","","","","","","","","","","","67","","","","","",""
"2015-10-21","","","","","","","","","","","","","","","","","","","","","","67","","","","","",""
"2015-10-22","","","","","","","","","","","","","","","","","","","","","","67","","","","","",""
"2015-10-23","","","","","","","","","","","","","","","","","","","","","","67","","","","","",""
"2015-10-24","","","","","","","","","","","","","","","","","","","","","","67","","","","","",""
"2015-10-25","","","","","","","","","","","","","","","","","","","","","","67","","","","","",""
"2015-10-26","","","","","","","","","","","","","","","","","","","","","","67","","","","","",""
"2015-10-27","","","","","","","","","","","","","","","","","","","","","","67","","","","","",""
"2015-10-28","","","","","","","","","","","","","","","","","","","","","","67","","","","","",""
"2015-10-29","","","","","","","","","","","","","","","","","","","","","","66","","","","","",""
"2015-10-30","","","","","","","","","","","","","","","","","","","","","","66","","","","","",""
"2015-10-31","","","","","150.4","","","","","","186.73","","","","","","","","","","","66","","","","","",""
"2015-11-01","","","","","","","","","","","","","","","","","","","","","","66","","","","","",""
"2015-11-02","","","","","","","","","","","","","","","","","","","","","","66","","","","","",""
"2015-11-03","","","","","","","","","","","","","","","","","","","","","","66","","","","","",""
"2015-11-04","","","","","","","","","","","","","","","","","","","","","","66","","","","","",""
"2015-11-05","","","","","","","","","","","","","","","","","","","","","","66","","","","","",""
"2015-11-06","","","","","","","","","","","","","","","","","","","","","","66","","","","","",""
"2015-11-07","","","","","","","","","","","","","","","","","","","","","","65","","","","","",""
"2015-11-08","","","","","","","","","","","","","","","","","","","","","","65","","","","","",""
"2015-11-09","","","","","","","","","","","","","","","","","","","","","","65","","","","","",""
"2015-11-10","","","","","","","","","","","","","","","","","","","","","","65","","","","","",""
"2015-11-11","","","","","","","","","","","","","","","","","","","","","","65","","","","","",""
"2015-11-12","","","","","","","","","","","","","","","","","","","","","","65","","","","","",""
"2015-11-13","","","","","","","","","","","","","","","","","","","","","","65","","","","","",""
"2015-11-14","","","","","","","","","","","","","","","","","","","","","","65","","","","","",""
"2015-11-15","","","","","","","","","","","","","","","","","","","","","","65","","","","","",""
"2015-11-16","","","","","","","","","","","","","","","","","","","","","","65","","","","","",""
"2015-11-17","","","","","","","","","","","","","","","","","","","","","","65","","","","","",""
"2015-11-18","","","","","","","","","","","","","","","","","","","","","","65","","","","","",""
"2015-11-19","","","","","","","","","","","","","","","","","","","","","","65","","","","","",""
"2015-11-20","","","","","","","","","","","","","","","","","","","","","","65","","","","","",""
"2015-11-21","","","","","","","","","","","","","","","","","","","","","","65","","","","","",""
"2015-11-22","","","","","","","","","","","","","","","","","","","","","","65","","","","","",""
"2015-11-23","","","","","","","","","","","","","","","","","","","","","","65","","","","","",""
"2015-11-24","","","","","","","","","","","","","","","","","","","","","","64","","","","","",""
"2015-11-25","","","","","","","","","","","","","","","","","","","","","","64","","","","","",""
"2015-11-26","","","","","","","","","","","","","","","","","","","","","","64","","","","","",""
"2015-11-27","","","","","","","","","","","","","","","","","","","","","","64","","","","","",""
"2015-11-28","","","","","","","","","","","","","","","","","","","","","","64","","","","","",""
"2015-11-29","","","","","","","","","","","","","","","","","","","","","","64","","","","","",""
"2015-11-30","","","","","148.7","","","","","","185.82","","","","","","","","","","","64","","","","","",""
"2015-12-01","","","","","","","","","","","","","","","","","","","","","","64","","","","","",""
"2015-12-02","","","","","","","","","","","","","","","","","","","","","","64","","","","","",""
