date,close,PE：表观消费量：中国（月）,PE：厂内库存：煤制企业（周）,HDPE：表观消费量：中国（月）,下游行业：PE：开工率：中国（周）,LLDPE：产量：中国：化工生产企业（周）,LLDPE：生产企业：库存：中国：新口径（周）,PE：厂内库存：贸易商（周）,PE：开工率同比：中国（日）,HDPE：产量：中国（日）,PE：检修影响产量：中国（周）,HDPE：财务库存：中国（周）,LLDPE：两油企业：库存：中国（周）,PE：计划产量：中国（月）,PE：库存：中国（周）,PE：开工率：中国（日）,LLDPE：表观消费量：中国（月）,LLDPE：煤制：库存：中国（周）,LDPE：表观消费量：中国（月）,LDPE：财务库存：中国（周）,PE：社会库存：中国（周）,PE：化工生产企业：产量：中国（日）,LDPE：检修影响产量：中国（日）,HDPE：检修影响产量：中国（日）,LDPE：产量：中国（日）,LLDPE：检修影响产量：中国（日）,PE：产量：中国（日）,LLDPE：产量：中国（日）
"2016-01-04","8030","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-05","8050","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-06","7970","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-07","7895","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-08","7905","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-11","7850","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-12","7875","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-13","7800","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-14","7795","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-15","7820","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-18","8035","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-19","8275","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-20","8210","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-21","8200","","","","","","","","","","","","","","","","","","","","","","","","","","",""
