date,close,苯乙烯：表观消费量环比：中国（月）,苯乙烯：表观消费量同比：中国（月）,苯乙烯：产量同比：中国（周）,苯乙烯：产量：中国（周）,苯乙烯：检修减损量：中国（月）,苯乙烯：开工率：中国（日）,苯乙烯：产能：中国（日）,苯乙烯：产能：中国企业（月）,苯乙烯：表观消费量：中国（月）,苯乙烯：中国企业：产量：新口径（月）,苯乙烯：样本工厂：库存：中国（周）
"2015-09-30","","","31.9","","","","","","687600","90.55","483000",""
"2015-10-31","","","10.38","","","","","","710500","74.759378","462000",""
"2015-11-30","","","-5.63","","","","","","687600","69.75","392000",""
"2015-12-31","","","6.69","","","","","","710500","78.488456","447000",""
"2016-01-31","","","-8","","","","","","718100","69.34","397000",""
"2016-02-29","","","","","","","","","671700","64.603","401100",""
"2016-03-31","","","11.28","","","","","","718100","83.461","480100",""
"2016-04-30","","","11.73","","","","","","694900","82.777383","473900",""
"2016-05-31","","","21.71","","","","","","718100","81.973","491900",""
"2016-06-30","","","5.67","","","","","","720400","73.484","494500",""
"2016-07-31","","","6.05","","","","","","744400","79.485","505000",""
"2016-08-31","","","-0.47","","","","","","744400","77.83055","496000",""
"2016-09-30","","","-14.48","","","","","","720400","77.4391","491400",""
"2016-10-31","","","7.91","","","","","","767800","80.67","534700",""
"2016-11-30","","","16.7","","","","","","746300","81.4","571300",""
"2016-12-31","","","12.22","","","","","","771100","88.08","570300",""
"2017-01-31","","","24.06","","","","","","771100","86.02602025","634700",""
"2017-02-28","","","","","","","","","696500","87.016594","554300",""
"2017-03-31","","","2.6","","","","","","771098","85.62712225","574300",""
"2017-04-30","","","-13.62","","","","","","713100","71.4998113","523500",""
"2017-05-31","","","-6.83","","","","","","771100","76.376475","587300",""
"2017-06-30","","","8.64","","","","","","756800","79.8337385","586900",""
"2017-07-31","","","4.38","","","","","","782000","82.96862312","618500",""
"2017-08-31","","","26.32","","","","","","782000","98.31925113","691600",""
"2017-09-30","","","32.14","","","","","","756800","102.3291118","685300",""
"2017-10-31","","","11.38","","","","","","796000","89.85284913","673200",""
"2017-11-30","","","20.25","","","","","","770400","97.88482425","643300",""
"2017-12-31","","","14.95","","","","","","796000","101.2505611","668200",""
"2018-01-31","","","0.96","","","","","","796000","86.8525347","606100",""
"2018-02-28","","","-8.26","","","","","","761400","79.8275924","617500",""
"2018-03-31","","","-0.53","","","","","","843000","85.1726662","653500",""
"2018-04-30","","","13.75","","","","","","815800","81.3300061","587000",""
"2018-05-31","","","8.51","","","","","","843000","82.8766856","597500",""
"2018-06-16","","","","","","","79.35","27245","","","",""
