date,close,苹果：批发市场：交易数量（周）,苹果：批发市场：日均交易量（周）,苹果：冷库：出货量：中国（周）,苹果：冷库：库存：中国（周）
"2015-11-27","","","","","865.13"
"2015-12-04","","","","11.3833","853.7467"
"2015-12-11","","","","22.7666","830.9801"
"2015-12-18","","","","14.2325","816.7476"
"2015-12-25","","","","21.8878","794.8598"
"2016-01-01","","","","15.1045","779.7553"
"2016-01-08","","","","18.9762","760.7791"
"2016-01-15","","","","20.8653","739.9138"
"2016-01-22","","","","51.2248","688.689"
"2016-01-29","","","","34.1499","654.5391"
"2016-02-05","","","","19.9221","634.617"
"2016-02-12","","","","20.9107","613.7063"
"2016-02-19","","","","12.3746","601.3318"
"2016-02-26","","","","32.1673","569.1645"
"2016-03-04","","","","26.4756","542.6888"
"2016-03-11","","","","24.7472","517.9416"
"2016-03-18","","","","31.4341","486.5076"
"2016-03-25","","","","46.3528","440.1547"
"2016-04-01","","","","34.0653","406.0894"
"2016-04-08","","","","30.4408","375.6486"
"2016-04-15","","","","31.8675","343.781"
"2016-04-22","","","","25.0489","318.7321"
"2016-04-29","","","","25.6161","293.116"
"2016-05-06","","","","42.6836","250.4324"
"2016-05-13","","","","22.7666","227.6658"
"2016-05-20","","","","8.6655","219.0003"
"2016-05-27","","","","12.1185","206.8818"
"2016-06-03","","","","17.2372","189.6446"
"2016-06-10","","","","10.934","178.7106"
"2016-06-17","","","","13.6529","165.0577"
"2016-06-24","","","","17.0749","147.9828"
"2016-07-01","","","","10.401","137.5818"
"2016-07-08","","","","8.6566","128.9252"
"2016-07-15","","","","10.5349","118.3903"
"2016-07-22","","","","21.6324","96.758"
"2016-07-29","","","","15.0923","81.6656"
"2016-08-05","","","","7.6742","73.9914"
"2016-08-12","","","","13.6513","60.3401"
"2016-08-19","","","","14.807","45.5332"
"2016-08-26","","","","11.3833","34.1499"
"2016-09-02","","","","11.3833","22.7666"
"2016-09-09","","","","17.0749","5.6916"
"2016-09-16","","","","5.6916",""
"2016-11-18","","","","","888.7"
"2016-11-25","","","","9.01","879.69"
"2016-12-02","","","","5.93","873.76"
"2016-12-09","","","","25.1948","848.5652"
"2016-12-16","","","","17.2006","831.3645"
"2016-12-23","","","","34.6019","796.7626"
"2016-12-30","","","","16.4671","780.2955"
"2017-01-06","","","","17.2755","763.02"
"2017-01-13","","","","31.864","731.156"
"2017-01-20","","","","62.626","668.53"
"2017-01-27","","","","12.548","655.982"
"2017-02-03","","","","14.312","641.67"
"2017-02-10","","","","16.067","625.603"
"2017-02-17","","","","54.192","571.411"
"2017-02-24","","","","41.503","529.908"
"2017-03-03","","","","25.132","504.776"
"2017-03-10","","","","15.67","489.106"
"2017-03-17","","","","12.23","476.876"
"2017-03-24","","","","10.271","466.605"
"2017-03-31","","","","33.32","433.285"
"2017-04-07","","","","19.371","413.914"
"2017-04-14","","","","28.19","385.724"
"2017-04-21","","","","35.46","350.264"
"2017-04-28","","","","37.83","312.434"
"2017-05-05","","","","26.22","286.214"
"2017-05-12","","","","23.26","262.954"
"2017-05-19","","","","20.659","242.295"
"2017-05-26","","","","22.67","219.625"
"2017-06-02","","","","21.26","198.365"
"2017-06-09","","","","13.61","184.755"
"2017-06-16","","","","20.459","164.296"
"2017-06-23","","","","8.858","155.438"
"2017-06-30","","","","13.61","141.828"
"2017-07-07","","","","8.849","132.979"
"2017-07-14","","","","13.61","119.369"
"2017-07-21","","","","8.849","110.52"
"2017-07-28","","","","13.61","96.91"
"2017-08-04","","","","8.849","88.061"
"2017-08-11","","","","8.849","79.212"
"2017-08-18","","","","15.698","63.514"
"2017-08-25","","","","20.459","43.055"
"2017-09-01","","","","15.698","27.357"
"2017-09-08","","","","7.858","19.499"
"2017-09-15","","","","7.449","12.05"
"2017-09-22","","","","7.049","5.001"
"2017-09-29","","","","5.001",""
"2017-12-08","","","","","972.12"
"2017-12-15","","","","1.12","971"
"2017-12-22","8117","","","22.57","948.43"
"2017-12-25","8095","","","",""
"2017-12-26","8090","","","",""
"2017-12-27","8086","","","",""
"2017-12-28","8104","","","",""
"2017-12-29","8088","","","56.2","892.23"
"2018-01-02","8101","","","",""
"2018-01-03","8094","","","",""
"2018-01-04","8092","","","",""
"2018-01-05","8099","","","16.23","876"
"2018-01-08","8084","","","",""
"2018-01-09","7966","","","",""
"2018-01-10","7938","","","",""
"2018-01-11","7865","","","",""
"2018-01-12","7787","","","20.3201","855.6799"
"2018-01-15","7777","","","",""
"2018-01-16","7723","","","",""
"2018-01-17","7670","","","",""
"2018-01-18","7671","","","",""
"2018-01-19","7657","","","46.73","808.9499"
"2018-01-22","7697","","","",""
"2018-01-23","7699","","","",""
"2018-01-24","7677","","","",""
"2018-01-25","7661","","","",""
"2018-01-26","7683","","","44.85","764.0999"
"2018-01-29","7560","","","",""
"2018-01-30","7512","","","",""
"2018-01-31","7487","","","",""
"2018-02-01","7434","","","",""
"2018-02-02","7372","","","45.5833","718.5166"
"2018-02-05","7334","","","",""
"2018-02-06","7278","","","",""
"2018-02-07","6956","","","",""
"2018-02-08","6754","","","",""
"2018-02-09","6745","","","28.131","690.3856"
"2018-02-12","6803","","","",""
"2018-02-13","6765","","","",""
"2018-02-14","6621","","","",""
"2018-02-16","","","","6.0511","684.3345"
"2018-02-22","6481","","","",""
"2018-02-23","6846","","","6.02","678.3145"
"2018-02-26","6956","","","",""
"2018-02-27","7083","","","",""
"2018-02-28","7098","","","",""
"2018-03-01","7131","","","",""
"2018-03-02","7016","","","13.1838","665.1307"
"2018-03-05","7026","","","",""
"2018-03-06","7218","","","",""
"2018-03-07","7185","","","",""
"2018-03-08","7132","","","",""
"2018-03-09","7212","","","30.9747","634.1559"
"2018-03-12","7030","","","",""
"2018-03-13","7042","","","",""
"2018-03-14","7023","","","",""
"2018-03-15","6923","","","",""
"2018-03-16","7048","","","28.9539","605.2021"
"2018-03-19","7030","","","",""
"2018-03-20","7000","","","",""
"2018-03-21","7075","","","",""
"2018-03-22","7217","","","",""
"2018-03-23","7345","","","37.64","567.5621"
"2018-03-26","7399","","","",""
"2018-03-27","7303","","","",""
"2018-03-28","7332","","","",""
"2018-03-29","7224","","","",""
"2018-03-30","7270","","","43.8623","523.6998"
"2018-04-02","7419","","","",""
"2018-04-03","7401","","","",""
"2018-04-04","7194","","","",""
"2018-04-06","","","","50.0718","473.628"
