date,close,菜油：产量：中国（周）,USDA：菜油：精炼：产量（月）,USDA：菜油：毛油：产量（月）,菜油：成交量合计：中国（日）,USDA：菜油：精炼：加工使用量（月）,USDA：菜油：毛油精炼：使用量（月）,菜油：进口：炼油厂：库存：中国（周）,菜油：进口：炼油厂：提货量：中国（周）,USDA：菜油：精炼：期末库存（月）,USDA：菜油：毛油：期末库存（月）
"2015-10-02","","4.0334","","","","","","","","",""
"2015-10-09","","4.1194","","","","","","","","",""
"2015-10-16","","2.9971","","","","","","","","",""
"2015-10-23","","2.9412","","","","","","","","",""
"2015-10-30","","3.2852","","","","","","","","",""
"2015-11-06","","3.8872","","","","","","","","",""
"2015-11-13","","3.7453","","","","","","","","",""
"2015-11-20","","3.0659","","","","","","","","",""
"2015-11-27","","2.3134","","","","","","","","",""
"2015-12-04","","2.6488","","","","","","","","",""
"2015-12-11","","2.5499","","","","","","","","",""
"2015-12-18","","2.2489","","","","","","","","",""
"2015-12-25","","3.1046","","","","","","","","",""
"2016-01-01","","2.6531","","","","","","","","",""
"2016-01-04","5656","","","","6500","","","","","",""
"2016-01-05","5696","","","","300","","","","","",""
"2016-01-06","5632","","","","2200","","","","","",""
"2016-01-07","5624","","","","2900","","","","","",""
"2016-01-08","5622","3.0788","","","800","","","","","",""
"2016-01-11","5584","","","","7800","","","","","",""
"2016-01-12","5534","","","","16000","","","","","",""
"2016-01-13","5540","","","","2900","","","","","",""
"2016-01-14","5540","","","","3600","","","","","",""
"2016-01-15","5538","2.9326","","","14600","","","","","",""
"2016-01-18","5568","","","","800","","","","","",""
"2016-01-19","5582","","","","1900","","","","","",""
"2016-01-20","5548","","","","500","","","","","",""
"2016-01-21","5532","","","","2000","","","","","",""
"2016-01-22","5572","2.9799","","","800","","","","","",""
"2016-01-25","5574","","","","700","","","","","",""
"2016-01-26","5580","","","","200","","","","","",""
"2016-01-27","5584","","","","700","","","","","",""
"2016-01-28","5568","","","","1100","","","","","",""
"2016-01-29","5546","2.0812","","","500","","","","","",""
"2016-02-01","5546","","","","0","","","","","",""
"2016-02-02","5578","","","","0","","","","","",""
"2016-02-03","5552","","","","","","","","","",""
"2016-02-04","5570","","","","","","","","","",""
"2016-02-05","5576","","","","","","","","","",""
"2016-02-15","5642","","","","0","","","","","",""
"2016-02-16","5626","","","","1720","","","","","",""
"2016-02-17","5612","","","","","","","","","",""
"2016-02-18","5622","","","","1950","","","","","",""
"2016-02-19","5588","1.0965","","","","","","","","",""
"2016-02-22","5592","","","","4700","","","","","",""
"2016-02-23","5560","","","","4200","","","","","",""
"2016-02-24","5526","","","","4000","","","","","",""
"2016-02-25","5514","","","","1300","","","","","",""
"2016-02-26","5494","3.8657","","","650","","","","","",""
"2016-02-29","5492","","","","800","","","","","",""
"2016-03-01","5484","","","","3300","","","","","",""
"2016-03-02","5458","","","","5600","","","","","",""
"2016-03-03","5468","","","","850","","","","","",""
"2016-03-04","5494","3.4271","","","1200","","","","","",""
"2016-03-07","5558","","","","1000","","","","","",""
"2016-03-08","5540","","","","0","","","","","",""
"2016-03-09","5546","","","","6000","","","","","",""
"2016-03-10","5538","","","","0","","","","","",""
"2016-03-11","5760","3.4486","","","0","","","","","",""
"2016-03-14","5770","","","","0","","","","","",""
"2016-03-15","5750","","","","0","","","","","",""
"2016-03-16","5750","","","","400","","","","","",""
"2016-03-17","5856","","","","1000","","","","","",""
"2016-03-18","5896","2.8466","","","2300","","","","","",""
"2016-03-21","5938","","","","7100","","","","","",""
"2016-03-22","5980","","","","12000","","","","","",""
"2016-03-23","5928","","","","8000","","","","","",""
"2016-03-24","5854","","","","3200","","","","","",""
"2016-03-25","5920","2.5112","","","8500","","","","","",""
"2016-03-28","5902","","","","1000","","","","","",""
"2016-03-29","5894","","","","0","","","","","",""
"2016-03-30","5850","","","","900","","","","","",""
"2016-03-31","5862","","","","1400","","","","","",""
"2016-04-01","5966","2.7133","","","10300","","","","","",""
"2016-04-05","5960","","","","5000","","","","","",""
"2016-04-06","5890","","","","1200","","","","","",""
"2016-04-07","5924","","","","2000","","","","","",""
"2016-04-08","5886","2.365","","","1000","","","","","",""
"2016-04-11","5972","","","","0","","","","","",""
"2016-04-12","5972","","","","0","","","","","",""
"2016-04-13","6012","","","","","","","","","",""
"2016-04-14","6062","","","","100","","","","","",""
"2016-04-15","5998","3.1003","","","2000","","","","","",""
"2016-04-18","5994","","","","300","","","","","",""
"2016-04-19","6066","","","","0","","","","","",""
"2016-04-20","6166","","","","1150","","","","","",""
"2016-04-21","6310","","","","1100","","","","","",""
"2016-04-22","6234","2.5929","","","1000","","","","","",""
"2016-04-25","6202","","","","0","","","","","",""
"2016-04-26","6194","","","","0","","","","","",""
"2016-04-27","6186","","","","4000","","","","","",""
"2016-04-28","6070","","","","8700","","","","","",""
"2016-04-29","6006","3.784","","","2950","","","","","",""
"2016-05-03","6044","","","","700","","","","","",""
"2016-05-04","6084","","","","600","","","","","",""
"2016-05-05","6074","","","","0","","","","","",""
"2016-05-06","5978","3.956","","","2800","","","","","",""
"2016-05-09","6112","","","","300","","","","","",""
"2016-05-10","6118","","","","0","","","","","",""
"2016-05-11","6286","","","","1100","","","","","",""
"2016-05-12","6240","","","","150","","","","","",""
"2016-05-13","5986","3.6034","","","2800","","","","","",""
"2016-05-16","6002","","","","1100","","","","","",""
"2016-05-17","6132","","","","2100","","","","","",""
"2016-05-18","6122","","","","2000","","","","","",""
"2016-05-19","6074","","","","0","","","","","",""
"2016-05-20","6038","3.6034","","","1500","","","","","",""
"2016-05-23","5856","","","","1800","","","","","",""
"2016-05-24","5872","","","","500","","","","","",""
"2016-05-25","5852","","","","1300","","","","","",""
"2016-05-26","5974","","","","200","","","","","",""
"2016-05-27","5946","3.397","","","0","","","","","",""
"2016-05-30","6096","","","","400","","","","","",""
"2016-05-31","6060","","136502","112422","0","148301","140461","","","66343",""
"2016-06-01","6086","","","","0","","","","","",""
"2016-06-02","6122","","","","500","","","","","",""
"2016-06-03","6276","3.1777","","","0","","","","","",""
"2016-06-06","6320","","","","5000","","","","","",""
"2016-06-07","6386","","","","100","","","","","",""
"2016-06-08","6318","","","","100","","","","","",""
"2016-06-10","","2.1887","","","","","","","","",""
"2016-06-12","","","","","0","","","","","",""
"2016-06-13","6272","","","","3000","","","","","",""
"2016-06-14","6210","","","","6000","","","","","",""
"2016-06-15","6170","","","","3500","","","","","",""
"2016-06-16","6090","","","","0","","","","","",""
