date,close,菜粕：产量：中国（周）,主要油厂：菜粕：库存：中国（周）,菜粕：沿海油厂：提货量：中国（月）,菜粕：颗粒：消费量：南通（周）
"2015-10-02","","5.16","","",""
"2015-10-09","","5.27","2.1","",""
"2015-10-16","","3.83","1.3","",""
"2015-10-23","","3.76","1.2","",""
"2015-10-30","","4.2","1.75","",""
"2015-11-06","","4.97","2.6","",""
"2015-11-13","","4.79","3.7","",""
"2015-11-20","","3.92","5.65","",""
"2015-11-27","","2.96","4.8","",""
"2015-12-04","","3.39","5.17","",""
"2015-12-11","","3.26","6.01","",""
"2015-12-18","","2.88","5.9","",""
"2015-12-25","","3.97","6.59","",""
"2016-01-01","","3.39","8.55","",""
"2016-01-04","1870","","","",""
"2016-01-05","1883","","","",""
"2016-01-06","1872","","","",""
"2016-01-07","1893","","","",""
"2016-01-08","1909","3.94","7.9","",""
"2016-01-11","1895","","","",""
"2016-01-12","1898","","","",""
"2016-01-13","1886","","","",""
"2016-01-14","1909","","","",""
"2016-01-15","1910","3.75","7.1","",""
"2016-01-18","1974","","","",""
"2016-01-19","1962","","","",""
"2016-01-20","1957","","","",""
"2016-01-21","1944","","","",""
"2016-01-22","1965","3.81","5.3","",""
"2016-01-25","1954","","","",""
"2016-01-26","1959","","","",""
"2016-01-27","1964","","","",""
"2016-01-28","1963","","","",""
"2016-01-29","1932","2.66","5.2","",""
"2016-02-01","1952","","","",""
"2016-02-02","1962","","","",""
"2016-02-03","1958","","","",""
"2016-02-04","1945","","","",""
"2016-02-05","1921","1.92","","",""
"2016-02-12","","0.63","","",""
"2016-02-15","1893","","","",""
"2016-02-16","1913","","","",""
"2016-02-17","1900","","","",""
"2016-02-18","1904","","","",""
"2016-02-19","1897","1.4","8","",""
"2016-02-22","1929","","","",""
"2016-02-23","1918","","","",""
"2016-02-24","1884","","","",""
"2016-02-25","1880","","","",""
"2016-02-26","1870","4.94","9.2","",""
"2016-02-29","1836","","","",""
"2016-03-01","1848","","","",""
"2016-03-02","1859","","","",""
"2016-03-03","1887","","","",""
"2016-03-04","1909","4.38","7.5","",""
"2016-03-07","1965","","","",""
"2016-03-08","1927","","","",""
"2016-03-09","1930","","","",""
"2016-03-10","1897","","","",""
"2016-03-11","1915","4.41","7.85","",""
"2016-03-14","1915","","","",""
"2016-03-15","1887","","","",""
"2016-03-16","1873","","","",""
"2016-03-17","1901","","","",""
"2016-03-18","1891","3.64","8.45","",""
"2016-03-21","1926","","","",""
"2016-03-22","1975","","","",""
"2016-03-23","1977","","","",""
"2016-03-24","2009","","","",""
"2016-03-25","2012","3.21","8.75","",""
"2016-03-28","1990","","","",""
"2016-03-29","1981","","","",""
"2016-03-30","1984","","","",""
"2016-03-31","1943","","","",""
"2016-04-01","1946","3.47","9","",""
"2016-04-05","1971","","","",""
"2016-04-06","1955","","","",""
"2016-04-07","1961","","","",""
"2016-04-08","1952","3.03","9.38","",""
"2016-04-11","1984","","","",""
"2016-04-12","2025","","","",""
"2016-04-13","2050","","","",""
"2016-04-14","2070","","","",""
"2016-04-15","2065","3.97","9.46","",""
"2016-04-18","2098","","","",""
"2016-04-19","2110","","","",""
"2016-04-20","2185","","","",""
"2016-04-21","2251","","","",""
"2016-04-22","2137","3.32","8.55","",""
"2016-04-25","2139","","","",""
"2016-04-26","2181","","","",""
"2016-04-27","2192","","","",""
"2016-04-28","2160","","","",""
"2016-04-29","2151","4.84","9.7","",""
"2016-05-03","2230","","","",""
"2016-05-04","2192","","","",""
"2016-05-05","2217","","","",""
"2016-05-06","2176","5.06","9.45","",""
"2016-05-09","2204","","","",""
"2016-05-10","2174","","","",""
"2016-05-11","2272","","","",""
"2016-05-12","2300","","","",""
"2016-05-13","2240","4.61","9.8","",""
"2016-05-16","2272","","","",""
"2016-05-17","2329","","","",""
"2016-05-18","2363","","","",""
"2016-05-19","2383","","","",""
"2016-05-20","2409","4.61","8.49","",""
"2016-05-23","2347","","","",""
"2016-05-24","2259","","","",""
"2016-05-25","2253","","","",""
"2016-05-26","2346","","","",""
"2016-05-27","2341","4.35","8.25","",""
"2016-05-30","2436","","","",""
"2016-05-31","2426","","","",""
"2016-06-01","2399","","","",""
"2016-06-02","2498","","","",""
"2016-06-03","2553","4.06","8.7","",""
"2016-06-06","2567","","","",""
"2016-06-07","2581","","","",""
"2016-06-08","2590","","","",""
"2016-06-10","","2.8","7.73","",""
"2016-06-13","2694","","","",""
"2016-06-14","2655","","","",""
"2016-06-15","2712","","","",""
"2016-06-16","2620","","","",""
"2016-06-17","2657","2.12","6.42","",""
"2016-06-20","2684","","","",""
"2016-06-21","2661","","","",""
"2016-06-22","2675","","","",""
"2016-06-23","2635","","","",""
"2016-06-24","2632","3.83","5.9","",""
"2016-06-27","2738","","","",""
"2016-06-28","2814","","","",""
