date,close,唐山55家调坯轧钢铁企业：螺纹钢：产能利用率（周）,唐山55家调坯轧钢铁企业：螺纹钢：产量（周）,唐山55家调坯轧钢铁企业：螺纹钢生产：需求量：钢坯（周）,唐山55家调坯轧钢铁企业：螺纹钢生产：日均需求量：钢坯（周）,螺纹钢：建筑钢材钢铁企业：产能估算覆盖率：中国（周）,螺纹钢：建筑钢材钢铁企业：产能利用率：中国（周）,螺纹钢：建筑钢材钢铁企业：产能：中国（周）,螺纹钢：建筑钢材钢铁企业：开工率：中国（周）,螺纹钢：建筑钢材钢铁企业：实际产量：中国（周）,螺纹钢：建筑钢材钢铁企业：实际开工条数：中国（周）,螺纹钢：建筑钢材钢铁企业：覆盖产能：中国（周）,螺纹钢：建筑钢材钢铁企业：产线条数：中国（周）,建筑用钢：终端市场：采购量：上海（周）,螺纹钢：消费量：中国（周）,钢筋：表观消费量：中国（月）,螺纹钢：库存：中国（周）,螺纹钢：建筑钢材钢铁企业：厂内库存：中国（周）,螺纹钢：132城市429仓库：社会库存：中国（周）,螺纹钢：社会库存：中国（旬）
"2015-09-30","","","","","","","","","","","","","","","","1780.95","","","",""
"2015-10-02","","","","","","","","","","","","","","","","","769.72","","",""
"2015-10-09","","","","","","","73.2","456.17","81.6","333.74","249","","305","8196","","","823.59","341.27","",""
"2015-10-16","","","","","","","69.9","456.17","79","318.95","241","","305","17840","364.12","","778.42","324.23","",""
"2015-10-23","","","","","","","70.6","456.17","79","322.05","241","","305","12250","370.65","","729.82","298.71","",""
"2015-10-30","","","","","","","71.1","456.17","80.3","324.26","245","","305","15100","390.89","","663.19","258.72","",""
"2015-10-31","","","","","","","","","","","","","","","","1775.17","","","",""
"2015-11-06","","","","","","","70.6","456.17","79","322.12","241","","305","12306","352.92","","632.39","244.27","",""
"2015-11-13","","","","","","","72","456.17","79.3","328.54","242","","305","12087.8","320.68","","640.25","249.93","",""
"2015-11-20","","","","","","","70.1","456.17","78.4","319.68","239","","305","11065","312.06","","647.87","259.04","",""
"2015-11-27","","","","","","","70.6","456.17","79.3","321.9","242","","305","16030.9","313.82","","655.95","273.31","",""
"2015-11-30","","","","","","","","","","","","","","","","1725.77","","","",""
"2015-12-04","","","","","","","69.4","456.17","78.3","316.7","239","","305","18079.7","314.32","","658.33","283.01","",""
"2015-12-11","","","","","","","68.5","456.17","78.4","312.62","239","","305","14935.6","310.24","","660.71","284.9","",""
"2015-12-18","","","","","","","67.9","456.17","77.4","309.87","236","","305","21743.3","333.01","","637.57","267.04","",""
"2015-12-25","","","","","","","67","456.17","77.4","305.64","236","","305","18807.96","322.49","","620.72","251.81","",""
"2015-12-31","","","","","","","","","","","","","","","","1754.67","","","",""
"2016-01-01","","","","","","","68.5","456.17","79","312.6","241","","305","22103.11","344.85","","588.47","228.73","",""
"2016-01-04","1777","","","","","","","","","","","","","","","","","","",""
"2016-01-05","1789","","","","","","","","","","","","","","","","","","",""
"2016-01-06","1775","","","","","","","","","","","","","","","","","","",""
"2016-01-07","1773","","","","","","","","","","","","","","","","","","",""
"2016-01-08","1759","","","","","","67","456.17","76.1","305.75","232","","305","18445.05","330.52","","563.7","203.37","",""
"2016-01-11","1758","","","","","","","","","","","","","","","","","","",""
"2016-01-12","1741","","","","","","","","","","","","","","","","","","",""
"2016-01-13","1740","","","","","","","","","","","","","","","","","","",""
"2016-01-14","1758","","","","","","","","","","","","","","","","","","",""
"2016-01-15","1778","","","","","","67.6","456.17","77.4","308.3","236","","305","17449.1","283.97","","588.03","222.9","",""
"2016-01-18","1827","","","","","","","","","","","","","","","","","","",""
"2016-01-19","1839","","","","","","","","","","","","","","","","","","",""
"2016-01-20","1818","","","","","","","","","","","","","","","","","","",""
"2016-01-21","1808","","","","","","","","","","","","","","","","","","",""
"2016-01-22","1823","","","","","","66","456.17","76.4","300.91","233","","305","11603.65","287.83","","601.11","226.28","",""
"2016-01-25","1840","","","","","","","","","","","","","","","","","","",""
"2016-01-26","1845","","","","","","","","","","","","","","","","","","",""
"2016-01-27","1863","","","","","","","","","","","","","","","","","","",""
"2016-01-28","1815","","","","","","","","","","","","","","","","","","",""
"2016-01-29","1814","","","","","","61.9","456.17","69.8","282.58","213","","305","7240.5","251.8","","631.89","224.22","",""
"2016-01-31","","","","","","","","","","","","","","","","1468.84","","","",""
"2016-02-01","1819","","","","","","","","","","","","","","","","","","",""
"2016-02-02","1815","","","","","","","","","","","","","","","","","","",""
"2016-02-03","1826","","","","","","","","","","","","","","","","","","",""
"2016-02-04","1851","","","","","","","","","","","","","","","","","","",""
"2016-02-05","1843","","","","","","","","","","","","","2030","","","631.89","","",""
"2016-02-12","","","","","","","54.1","456.17","56.7","246.61","173","","305","","","","809.79","301","",""
"2016-02-15","1872","","","","","","","","","","","","","","","","","","",""
"2016-02-16","1865","","","","","","","","","","","","","","","","","","",""
"2016-02-17","1861","","","","","","","","","","","","","","","","","","",""
"2016-02-18","1870","","","","","","","","","","","","","","","","","","",""
"2016-02-19","1897","","","","","","54.5","456.17","57.4","248.47","175","","305","1800","154.02","","904.24","318.48","",""
"2016-02-22","1962","","","","","","","","","","","","","","","","","","",""
"2016-02-23","1926","","","","","","","","","","","","","","","","","","",""
"2016-02-24","1929","","","","","","","","","","","","","","","","","","",""
"2016-02-25","1928","","","","","","","","","","","","","","","","","","",""
"2016-02-26","1922","","","","","","59.3","456.17","64.6","270.31","197","","305","3958","208.28","","966.27","334.06","",""
"2016-02-29","1969","","","","","","","","","","","","","","","1320.61","","","",""
"2016-03-01","1994","","","","","","","","","","","","","","","","","","",""
"2016-03-02","1993","","","","","","","","","","","","","","","","","","",""
"2016-03-03","1974","","","","","","","","","","","","","","","","","","",""
"2016-03-04","1987","","","","","","63.1","456.17","69.5","287.92","212","","305","12513","290.87","","963.32","316.29","",""
"2016-03-07","2073","","","","","","","","","","","","","","","","","","",""
"2016-03-08","2194","","","","","","","","","","","","","","","","","","",""
"2016-03-09","2104","","","","","","","","","","","","","","","","","","",""
"2016-03-10","2130","","","","","","","","","","","","","","","","","","",""
"2016-03-11","2085","","","","","","67.6","456.17","74.8","308.53","228","","305","15897","400.87","","870.98","251.32","",""
"2016-03-14","1986","","","","","","","","","","","","","","","","","","",""
"2016-03-15","1972","","","","","","","","","","","","","","","","","","",""
"2016-03-16","2008","","","","","","","","","","","","","","","","","","",""
"2016-03-17","2078","","","","","","","","","","","","","","","","","","",""
"2016-03-18","2118","","","","","","70.7","456.17","76.1","322.62","232","","305","20543.5","341.09","","852.51","258.05","",""
"2016-03-21","2147","","","","","","","","","","","","","","","","","","",""
"2016-03-22","2158","","","","","","","","","","","","","","","","","","",""
"2016-03-23","2193","","","","","","","","","","","","","","","","","","",""
"2016-03-24","2120","","","","","","","","","","","","","","","","","","",""
"2016-03-25","2184","","","","","","69","456.17","75.1","314.54","229","","305","17365.5","346.34","","820.71","244.35","",""
"2016-03-28","2132","","","","","","","","","","","","","","","","","","",""
"2016-03-29","2159","","","","","","","","","","","","","","","","","","",""
"2016-03-30","2113","","","","","","","","","","","","","","","","","","",""
"2016-03-31","2136","","","","","","","","","","","","","","","1770.82","","","",""
"2016-04-01","2193","","","","","","70.7","456.17","75.4","322.68","230","","305","23540","346.63","","796.76","245.02","",""
"2016-04-05","2194","","","","","","","","","","","","","","","","","","",""
"2016-04-06","2182","","","","","","","","","","","","","","","","","","",""
"2016-04-07","2191","","","","","","","","","","","","","","","","","","",""
"2016-04-08","2196","","","","","","70.5","456.17","74.4","321.59","227","","305","21460","363.67","","754.68","235.13","",""
"2016-04-11","2293","","","","","","","","","","","","","","","","","","",""
