date,close,豆油：产量：中国（周）,主要油厂：豆油：产量：中国（月）,USDA：豆油：毛油：产量（月）,USDA：豆油：精炼：产量（月）,USDA：豆油：消费量合计预测值：全球（月）,USDA：豆油：期末库存预测：全球（月）,USDA：豆油：期初库存预测：全球（月）,USDA：豆油：库存消费比预测：全球（月）,USDA：豆油：进口数量预测值：全球（月）,USDA：豆油：出口数量预测值：全球（月）,USDA：豆油：产量预测值：全球（月）,USDA：豆油：期末库存预测：中国（月）,USDA：豆油：期初库存预测：中国（月）,USDA：豆油：库存消费比预测：中国（月）,USDA：豆油：进口数量预测值：中国（月）,USDA：豆油：国内需求消费量预测值：中国（月）,USDA：豆油：出口数量预测值：中国（月）,USDA：豆油：产量预测值：中国（月）,豆油：成交量：中国（日）,USDA：豆油：精炼：加工使用量（月）,USDA：豆油：毛油精炼：使用量（月）,主要油厂：豆油：库存：中国（周）,USDA：豆油：精炼：期末库存（月）,USDA：豆油：毛油：期末库存（月）,USDA：豆油：期初库存预测：美国（月）,USDA：豆油：期末库存预测：美国（月）
"2015-10-13","","","","","","","","","","","","","","","","","","","","23500","","","","","","",""
"2015-10-14","","","","","","","","","","","","","","","","","","","","17300","","","","","","",""
"2015-10-15","","","","","","","","","","","","","","","","","","","","25200","","","","","","",""
"2015-10-16","","30.5976","","","","","","","","","","","","","","","","","","12250","","","98.77","","","",""
"2015-10-19","","","","","","","","","","","","","","","","","","","","13400","","","","","","",""
"2015-10-20","","","","","","","","","","","","","","","","","","","","23700","","","","","","",""
"2015-10-21","","","","","","","","","","","","","","","","","","","","19850","","","","","","",""
"2015-10-22","","","","","","","","","","","","","","","","","","","","20000","","","","","","",""
"2015-10-23","","32.0207","","","","","","","","","","","","","","","","","","22000","","","102.41","","","",""
"2015-10-26","","","","","","","","","","","","","","","","","","","","41600","","","","","","",""
"2015-10-27","","","","","","","","","","","","","","","","","","","","42000","","","","","","",""
"2015-10-28","","","","","","","","","","","","","","","","","","","","40700","","","","","","",""
"2015-10-29","","","","","","","","","","","","","","","","","","","","26400","","","","","","",""
"2015-10-30","","30.932","","","","","","","","","","","","","","","","","","11500","","","102.65","","","",""
"2015-10-31","","","1216988","","","50","3.52","3.43","7.04","10.37","11.08","50.8","0.71","0.85","4.66","0.95","15.24","0.08","14.23","","","","","","","0.74","0.92"
"2015-11-02","","","","","","","","","","","","","","","","","","","","23600","","","","","","",""
"2015-11-03","","","","","","","","","","","","","","","","","","","","21700","","","","","","",""
"2015-11-04","","","","","","","","","","","","","","","","","","","","48350","","","","","","",""
"2015-11-05","","","","","","","","","","","","","","","","","","","","16550","","","","","","",""
"2015-11-06","","29.8984","","","","","","","","","","","","","","","","","","22200","","","103.68","","","",""
"2015-11-09","","","","","","","","","","","","","","","","","","","","24250","","","","","","",""
"2015-11-10","","","","","","","","","","","","","","","","","","","","20200","","","","","","",""
"2015-11-11","","","","","","","","","","","","","","","","","","","","22400","","","","","","",""
"2015-11-12","","","","","","","","","","","","","","","","","","","","23600","","","","","","",""
"2015-11-13","","29.1707","","","","","","","","","","","","","","","","","","6800","","","103.55","","","",""
"2015-11-16","","","","","","","","","","","","","","","","","","","","15310","","","","","","",""
"2015-11-17","","","","","","","","","","","","","","","","","","","","15650","","","","","","",""
"2015-11-18","","","","","","","","","","","","","","","","","","","","10350","","","","","","",""
"2015-11-19","","","","","","","","","","","","","","","","","","","","19700","","","","","","",""
"2015-11-20","","30.8389","","","","","","","","","","","","","","","","","","20100","","","108.87","","","",""
"2015-11-23","","","","","","","","","","","","","","","","","","","","8200","","","","","","",""
"2015-11-24","","","","","","","","","","","","","","","","","","","","30250","","","","","","",""
"2015-11-25","","","","","","","","","","","","","","","","","","","","6200","","","","","","",""
"2015-11-26","","","","","","","","","","","","","","","","","","","","9860","","","","","","",""
"2015-11-27","","30.8579","","","","","","","","","","","","","","","","","","4560","","","109.19","","","",""
"2015-11-30","","","1286794","","","49.97","3.72","3.54","7.44","10.53","11.39","51.01","0.75","0.85","4.92","0.85","15.23","0.08","14.36","6000","","","","","","0.83","1.04"
"2015-12-01","","","","","","","","","","","","","","","","","","","","8220","","","","","","",""
"2015-12-02","","","","","","","","","","","","","","","","","","","","10650","","","","","","",""
"2015-12-03","","","","","","","","","","","","","","","","","","","","20300","","","","","","",""
"2015-12-04","","29.5849","","","","","","","","","","","","","","","","","","10250","","","105.89","","","",""
"2015-12-07","","","","","","","","","","","","","","","","","","","","20150","","","","","","",""
"2015-12-08","","","","","","","","","","","","","","","","","","","","13300","","","","","","",""
"2015-12-09","","","","","","","","","","","","","","","","","","","","13900","","","","","","",""
"2015-12-10","","","","","","","","","","","","","","","","","","","","25400","","","","","","",""
"2015-12-11","","31.1296","","","","","","","","","","","","","","","","","","33900","","","104.21","","","",""
"2015-12-14","","","","","","","","","","","","","","","","","","","","19700","","","","","","",""
"2015-12-15","","","","","","","","","","","","","","","","","","","","7400","","","","","","",""
"2015-12-16","","","","","","","","","","","","","","","","","","","","14600","","","","","","",""
"2015-12-17","","","","","","","","","","","","","","","","","","","","10200","","","","","","",""
"2015-12-18","","34.5173","","","","","","","","","","","","","","","","","","20100","","","102.58","","","",""
"2015-12-21","","","","","","","","","","","","","","","","","","","","29400","","","","","","",""
"2015-12-22","","","","","","","","","","","","","","","","","","","","8800","","","","","","",""
"2015-12-23","","","","","","","","","","","","","","","","","","","","16800","","","","","","",""
"2015-12-24","","","","","","","","","","","","","","","","","","","","10700","","","","","","",""
"2015-12-25","","33.5464","","","","","","","","","","","","","","","","","","15900","","","99.78","","","",""
"2015-12-28","","","","","","","","","","","","","","","","","","","","18800","","","","","","",""
"2015-12-29","","","","","","","","","","","","","","","","","","","","43900","","","","","","",""
"2015-12-30","","","","","","","","","","","","","","","","","","","","8660","","","","","","",""
"2015-12-31","","","1441226","","","50.2","3.6","3.57","7.17","10.72","11.58","51.09","0.75","0.85","4.92","0.85","15.23","0.08","14.36","7150","","","","","","0.83","0.97"
"2016-01-01","","30.1549","","","","","","","","","","","","","","","","","","","","","96.9","","","",""
"2016-01-04","5658","","","","","","","","","","","","","","","","","","","15800","","","","","","",""
"2016-01-05","5702","","","","","","","","","","","","","","","","","","","36000","","","","","","",""
"2016-01-06","5620","","","","","","","","","","","","","","","","","","","38000","","","","","","",""
"2016-01-07","5626","","","","","","","","","","","","","","","","","","","28500","","","","","","",""
"2016-01-08","5624","29.4462","","","","","","","","","","","","","","","","","","19700","","","91.6","","","",""
"2016-01-11","5576","","","","","","","","","","","","","","","","","","","22500","","","","","","",""
"2016-01-12","5530","","","","","","","","","","","","","","","","","","","32600","","","","","","",""
"2016-01-13","5542","","","","","","","","","","","","","","","","","","","23400","","","","","","",""
"2016-01-14","5526","","","","","","","","","","","","","","","","","","","18400","","","","","","",""
