date,close,大豆饼粕：产量：中国（周）,主要油厂：大豆饼粕：产量：中国（月）,主要油厂：大豆饼粕：成交量：中国（日）,主要油厂：大豆饼粕：远月成交量：中国（日）,主要油厂：大豆饼粕：现货成交量：中国（日）,主要油厂：大豆饼粕：昨日提货量：中国（日）,主要油厂：大豆饼粕：未执行合同：数量（周）,主要油厂：大豆饼粕：库存：中国（周）,大豆饼粕：饲料企业：物理库存天数：中国（周）
"2015-09-29","","","","56700","","","","","",""
"2015-09-30","","","6184120","42100","","","","","",""
"2015-10-08","","","","185500","","","","","",""
"2015-10-09","","86.268","","191390","","","","","60.91",""
"2015-10-10","","","","57700","","","","","",""
"2015-10-12","","","","224600","","","","","",""
"2015-10-13","","","","181300","","","","","",""
"2015-10-14","","","","160300","","","","","",""
"2015-10-15","","","","65700","","","","","",""
"2015-10-16","","127.2216","","160900","","","","","51.22",""
"2015-10-19","","","","72600","","","","","",""
"2015-10-20","","","","150850","","","","","",""
"2015-10-21","","","","146000","","","","","",""
"2015-10-22","","","","147800","","","","","",""
"2015-10-23","","133.1387","","70500","","","","","52.47",""
"2015-10-26","","","","62500","","","","","",""
"2015-10-27","","","","113900","","","","","",""
"2015-10-28","","","","73660","","","","","",""
"2015-10-29","","","","73660","","","","","",""
"2015-10-30","","128.612","","74200","","","","","56.9",""
"2015-10-31","","","5060108","","","","","","",""
"2015-11-02","","","","85450","","","","","",""
"2015-11-03","","","","184710","","","","","",""
"2015-11-04","","","","519810","","","","","",""
"2015-11-05","","","","205900","","","","","",""
"2015-11-06","","124.3144","","93500","","","","","58",""
"2015-11-09","","","","301900","","","","","",""
"2015-11-10","","","","74400","","","","","",""
"2015-11-11","","","","175700","","","","","",""
"2015-11-12","","","","131500","","","","","",""
"2015-11-13","","121.2887","","108400","","","","","58.09",""
"2015-11-16","","","","71000","","","","","",""
"2015-11-17","","","","150650","","","","","",""
"2015-11-18","","","","125750","","","","","",""
"2015-11-19","","","","90800","","","","","",""
"2015-11-20","","128.2249","","111820","","","","","57.98",""
"2015-11-23","","","","81800","","","","","",""
"2015-11-24","","","","292100","","","","","",""
"2015-11-25","","","","73800","","","","","",""
"2015-11-26","","","","192100","","","","","",""
"2015-11-27","","128.3039","","84700","","","","","58.42",""
"2015-11-30","","","5350354","53000","","","","","",""
"2015-12-01","","","","114100","","","","","",""
"2015-12-02","","","","118900","","","","","",""
"2015-12-03","","","","41100","","","","","",""
"2015-12-04","","123.0109","","87500","","","","","57.92",""
"2015-12-07","","","","184700","","","","","",""
"2015-12-08","","","","34700","","","","","",""
"2015-12-09","","","","47500","","","","","",""
"2015-12-10","","","","100200","","","","","",""
"2015-12-11","","129.4336","","242000","","","","","55.28",""
"2015-12-14","","","","147200","","","","","",""
"2015-12-15","","","","95900","","","","","",""
"2015-12-16","","","","111100","","","","","",""
"2015-12-17","","","","37600","","","","","",""
"2015-12-18","","143.5193","","200300","","","","","61.68",""
"2015-12-21","","","","370000","","","","","",""
"2015-12-22","","","","60700","","","","","",""
"2015-12-23","","","","54780","","","","","",""
"2015-12-24","","","","42300","","","","","",""
"2015-12-25","","139.4824","","47660","","","","","70.34",""
"2015-12-28","","","","100100","","","","","",""
"2015-12-29","","","","287000","","","","","",""
"2015-12-30","","","","78300","","","","","",""
"2015-12-31","","","5992466","91600","","","","","",""
"2016-01-01","","125.3809","","","","","","307.87","80.23",""
"2016-01-04","2326","","","172810","","","","","",""
