date,close,澳洲&巴西铁矿石：发货量：19个港口（周）,铁矿：澳大利亚产：发货量合计：19个港口：澳大利亚→中国（周）,铁矿：发货量：FMG→中国（周）,铁矿：发货量：BHP→中国（周）,铁矿：发货量：力拓→中国（周）,铁矿：发货量：巴西：淡水河谷（周）,铁矿：到港量：45个港口（周）,铁矿：船舶到港量：45个港口（周）,铁矿：出口数量合计：中国（月）,铁矿：进口数量合计：中国（月）,烧结用矿粉：出口数量合计：中国（月）,烧结用矿粉：进口数量合计：中国（月）,块矿：出口数量合计：中国（月）,块矿：进口数量合计：中国（月）,已烧结的铁矿砂及其精矿：出口数量合计：中国（月）,已烧结的铁矿砂及其精矿：进口数量合计：中国（月）,铁精粉：出口数量合计：中国（月）,铁精粉：进口数量合计：中国（月）,未烧结的铁矿砂及其精矿：出口数量合计：中国（月）,未烧结的铁矿砂及其精矿：进口数量合计：中国（月）,铁矿：进口数量初值：中国（月）,铁矿：进口数量终值：中国（月）,铁矿：出口数量：巴西→中国（月）,铁矿：出口数量：澳大利亚→中国（月）,铁矿：进口数量：中国→巴西（月）,铁矿：进口数量：中国→澳大利亚（月）,186家矿山企业（363座矿山）：产能利用率（周）,186家矿山企业（363座矿山）：铁精粉：产量（周）,铁矿：采剥掘量合计：重点企业（月）,成品铁矿石：产量：重点企业（月）,铁精矿：产量：重点企业（月）,铁矿：产量：重点企业（月）,统计局：中国：工业产品：产量：原矿（月）,铁矿：进口：日均消耗量：247家钢铁企业（周）,烧结用矿粉：进口：日均消耗量：114家钢铁企业（周）,烧结用矿粉：国产：日均消耗量：114家钢铁企业（周）,铁矿：进口：日均疏港量合计：45个港口（周）,铁矿：成交量合计：中国主要港口（日）,铁矿：现货日均成交量合计：贸易商：中国主要港口（周）,块矿：入炉比：114家钢铁企业（周）,球团：入炉比：114家钢铁企业（周）,烧结矿：进口：配比：114家钢铁企业（周）,烧结矿：入炉比：114家钢铁企业（周）,烧结矿：入炉品位：114家钢铁企业（周）,铁矿：远期现货累计成交量（日）,126家矿山企业（266座矿山）：铁精粉：库存：中国（周）,烧结用矿粉：进口：库存：114家钢铁企业（周）,铁矿：进口：库存消费比：247家钢铁企业（周）,铁矿：进口：库存：247家钢铁企业（周）,烧结用矿粉：国产：库存：64家钢厂（周）,烧结用矿粉：进口：库存消费比：64家钢厂（周）,铁矿：进口：平均可用天数：64家钢厂（周）,铁矿：进口：库存：45个港口（日）,铁精粉：库存：45个港口（周）,球团：进口：库存：45个港口（周）,块矿：库存：45个港口（周）,粗粉：进口：库存：45个港口（周）,铁矿：澳大利亚产：库存：45个港口（周）,铁矿：巴西产：库存：45个港口（周）,贸易矿：进口：库存：45个港口（周）,铁矿：进口：压港量合计：45个港口（周）,铁矿：进口：堆场容积合计：45个港口（周）,中国：铁矿：修正产量（月）
"2015-09-30","","","","","","","","","","17","86123961.105","6","60722852.939","1","14414074.484","0","2446438.121","10","8540595.561","17","83677522.984","8612","8612","19746381.66","56730915","","","","","8046.8","925.04","887.48","2812.43","13156.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13156.4"
"2015-10-02","","","","222.2","466.4","476","586.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.82","","26","","","","","","","","","","",""
"2015-10-09","","","","324.1","502.3","412","316.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-10-16","","","","312.3","367.5","537","619.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.5","","","","","","","","","","","62.18","","23","","","","","","","","","","",""
"2015-10-23","","","","363.4","371.5","463.1","577","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.4","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-10-30","","","","287.3","242.3","431","608","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.4","","","","","","","","","","","60.08","","21","","","","","","","","","","",""
"2015-10-31","","","","","","","","","","0.02","75517767.87","0","53896178.198","0","13063963.027","0.02","1816618.252","0","6741008.393","0","73701149.618","7552","7552","17606035","52042323","","","","","8315.67","944.53","906.5","2810.24","12534.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12534.8"
"2015-11-06","","","","369.1","491.8","501","580.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.2","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-13","","","","349.9","423.8","444","649.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67","","","","","","","","","","","54.13","","22","","","","","","","","","","",""
"2015-11-20","","","","384.8","411.6","484","472.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.4","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-27","","","","247.6","332.8","538","605.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.4","","","","","","","","","","","58.82","","22","","","","","","","","","","",""
"2015-11-30","","","","","","","","","","46.402","82130548.754","0","59689498.527","0.27","13250092.82","0","2024405.676","46.132","7166551.731","46.402","80106143.078","8213","8213","17007194","53845030","","4","","","8023.46","894.1","854.2","2649.43","11753.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11753.3"
"2015-12-04","","","","256.3","340.2","480","574.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.4","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-11","","","","179.5","370.6","492.3","628.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.4","","","","","","","","","","","49.7","","22","","","","","","","","","","",""
