date,close,有色协会：铜精矿：产量：中国（月）,铜精矿：港口库存：中国（周）,有色冶炼企业：样本企业：电解铜：产能：中国（月）,有色冶炼企业：样本企业：电解铜：产能利用率：中国（月）,铜：开工率：中国：产能10-15万吨（月）,铜：开工率：中国：产能10-30万吨（月）,铜：开工率：中国：产能＞60万吨（月）,铜：开工率：中国：产能30-60万吨（月）,铜：开工率：中国：产能＞10万吨（月）,我的有色网：电解铜：产量：中国（月）,有色冶炼企业：样本企业：电解铜：产量：中国（月）,电解铜：实际消费量：中国（月）,电解铜：表观消费量：中国（月）,未锻轧精炼铜阴极及阴极型材：进口数量合计：中国（月）,未锻轧精炼铜阴极及阴极型材：出口数量合计：中国（月）,ICSG：电解铜：季调供需平衡：全球（月）,电解铜：现货库存：中国（日）,电解铜：现货库存：中国：保税区（日）,SHFE：铜：期货库存（日）,SHFE：电解铜：交割库库存（周）,SHFE：电解铜：可用库容量（周）,SHFE：电解铜：可用库容量：保税商品（周）,SHFE：电解铜：可用库容量：完税商品（周）,铜管：产量：中国（月）,铜管企业：产能：中国（月）,铜管企业：产能利用率合计：中国（月）,铜管：有色冶炼企业：产能利用率：小型（月）,铜管：有色冶炼企业：产能利用率：中型（月）,铜管：有色冶炼企业：产能利用率：大型（月）,铜管企业：产能利用率：中国（月）,铜杆：电解铜：产量：中国（月）,废铜制杆：中国企业：产能利用率（月）,废铜制杆：大型企业：产能利用率（月）,废铜制杆：小型企业：产能利用率（月）,铜杆企业：产能：中国（月）,废铜制杆：中型企业：产能利用率（月）,精铜制杆：中国企业：产能利用率（月）,精铜制杆：大型企业：产能利用率（月）,精铜制杆：中型企业：产能利用率（月）,精铜制杆：小型企业：产能利用率（月）,铜棒：产量：中国（月）,铜棒企业：产能利用率：中国（月）,铜棒：有色冶炼企业：产能利用率：中国（月）,铜棒企业：产能：中国（月）,铜棒：有色冶炼企业：产能利用率：企业规模≥5（月）,铜棒：有色冶炼企业：产能利用率：企业规模＜5（月）,铜板带：产量：中国（月）,铜板带企业：平均产能利用率：中国（月）,铜板带企业：产能利用率：中国（月）,铜板带企业：产能：中国（月）,铜板带：有色冶炼企业：产能利用率：小型（月）,铜板带：有色冶炼企业：产能利用率：中型（月）,铜板带：有色冶炼企业：产能利用率：大型（月）
2015/9/28,,,,,,,,,,,,,,,,,,,,39669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/9/29,,,,,,,,,,,,,,,,,,,,37215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/9/30,,155000,,,,,,,,,,,,,349949.795,12537.813,32,,,36915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/10/2,,,,,,,,,,,,,,,,,,,,,152551,1034115,59494,974621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/10/8,,,,,,,,,,,,,,,,,,,,36915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/10/9,,,,,,,,,,,,,,,,,,,,36815,152934,1034359,59494,974865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/10/12,,,,,,,,,,,,,,,,,,,,36117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/10/13,,,,,,,,,,,,,,,,,,,,38689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/10/14,,,,,,,,,,,,,,,,,,,,42777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/10/15,,,,,,,,,,,,,,,,,,,,43953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/10/16,,,,,,,,,,,,,,,,,,,,42376,170349,1034600,59494,975106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/10/19,,,,,,,,,,,,,,,,,,,,41876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/10/20,,,,,,,,,,,,,,,,,,,,40278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/10/21,,,,,,,,,,,,,,,,,,,,39577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/10/22,,,,,,,,,,,,,,,,,,,,38828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/10/23,,,,,,,,,,,,,,,,,,,,38225,181736,1041226,59494,981732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/10/26,,,,,,,,,,,,,,,,,,,,38175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/10/27,,,,,,,,,,,,,,,,,,,,39198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/10/28,,,,,,,,,,,,,,,,,,,,39220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/10/29,,,,,,,,,,,,,,,,,,,,41521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/10/30,,,,,,,,,,,,,,,,,,,,43955,180157,1037083,59494,977589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/10/31,,155018,,,,,,,,,,,,,341117.855,10826.365,-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
