date,close,预焙阳极：产量：中国（月）,废铝：回收量合计：中国（月）,废铝：社会库存：中国（月）,铝土矿：进口：港口库存：中国（周）,铝土矿：进口：压港量：中国港口（周）,铝土矿：进口：港口发运量：全球主要国家（周）,铝土矿：进口：海漂库存：全球主要国家（周）,国际铝业协会：氧化铝：产量：中国（月）,国际铝业协会：氧化铝：化学品级：产量：中国（月）,国际铝业协会：氧化铝：冶金级：产量：中国（月）,氧化铝：建成产能：中国（月）,氧化铝：运行产能：中国（月）,氧化铝：产量：中国（月）,氧化铝：港口库存：中国（周）,统计局：中国：工业产品：产量：电解铝（月）,国际铝业协会：原铝：产量：中国（月）,电解铝：建成产能：中国（月）,电解铝：运行产能：中国（月）,电解铝：产能利用率：中国（月）,电解铝：消费量：中国（月）,电解铝：供需平衡：中国（月）,电解铝：供应量：中国（月）,电解铝：铝水比例：中国（月）,电解铝：现货库存：中国（日）,电解铝：厂内库存：中国（周）,电解铝：出库量：中国（周）,SHFE：铝：期货库存（日）,SHFE：铝：期货库存：保税商品（日）,SHFE：铝：可用库容量（周）,铝板带箔：建成产能：中国（月）,铝板带箔：加权平均开工率：中国（月）,铝板带箔：产量：中国（月）,铝型材：产量：中国（月）,铝型材：加权平均开工率：中国（月）,铝杆线：开工率：中国（月）,铝杆线：运行产能：中国（月）,铝杆线：建成产能：中国（月）,铝杆：产量：中国（月）,铝棒：产量：中国（月）,铝棒：建成产能：中国（月）,铝棒：运行产能：中国（月）,铝棒：6063：厂内库存：中国（周）,原铝系铝合金锭：建成产能：中国（月）,再生铝合金锭：建成产能：中国（月）,原铝系铝合金锭：开工率：中国（月）,再生铝合金锭：开工率：中国（月）,原铝系铝合金锭：产量：中国（月）,再生铝合金锭：产量：中国（月）,电解铝：产量：中国（周）,电解铝：净进口数量：中国（月）,SHFE：铝：交割库库存（周）,SHFE：铝：可用库容量：保税商品（周）,铝棒：出库量（周）,铝棒：6063：现货库存：中国（日）
2015/9/28,"","","","","","","","","","","","","","","","","","","","","","","","","","","","158831","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
2015/9/29,"","","","","","","","","","","","","","","","","","","","","","","","","","","","154505","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
2015/9/30,"","","","","","","","",4900,174,"4726","","","","","271.6","2703","","","","","","","64","","","","148458","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
2015/10/2,"","","","","","","","","","","","","","","","","","","","","","","","","108","","","","","606506","","","","","","","","","","","","","","","","","","","","","","288443","19831","",""
2015/10/8,"","","","","","","","","","","","","","","","","","","","","","","","","","","","147689","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-10-09","","","","","","","","","","","","","","","126","","","","","","","","","","109.8","","","146690","0","608307","","","","","","","","","","","","","","","","","","","","","","289697","19831","",""
"2015-10-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","143639","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-10-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","143038","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-10-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","142712","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-10-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","141333","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-10-16","","","","","","","","","","","","","","","124","","","","","","","","","","108.3","","","140758","0","613920","","","","","","","","","","","","","","","","","","","","","","284778","19831","",""
"2015-10-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","140209","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-10-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","137486","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-10-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","136788","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
