date,close,锌精矿：产量：中国（月）,锌精矿：产能利用率：中国（月）,锌精矿：港口库存：中国（周）,锌精矿：原料：库存天数：中国（周）,电解锌：产量：中国（月）,电解锌：产能利用率：中国（月）,锌锭：产量：中国（月）,有色冶炼企业：锌锭：产能利用率：中国（月）,镀锌管：锌锭消费量：中国（月）,镀锌板（带）：锌锭消费量：中国（月）,锌锭：表观消费量：中国（月）,锌：出口数量合计：中国（月）,锌：进口数量合计：中国（月）,锌锭：现货库存：中国（日）,锌：成品库存：中国（周）,锌：库存：中国（月）,锌：库存预估：中国（月）,镀锌板（带）：库存：中国（月）,镀锌板（带）：库存预估：中国（月）,SHFE：锌：期货库存（日）,SHFE：锌：交割库库存（周）,SHFE：锌：可用库容量（周）,锌合金企业：开工率：中国（月）,锌合金：产量：中国（月）,镀锌板卷：钢铁企业：产量：中国（周）,镀锌板卷：钢铁企业：产能利用率（周）,镀锌板卷：钢铁企业：产线条数（周）,镀锌板卷：钢铁企业：调研样本数（周）,镀锌板卷：钢铁企业：检修产线条数（周）,镀锌板卷：钢铁企业：开工率（周）,镀锌板（带）：产量：中国（月）,镀锌板（带）：产能利用率：中国（月）,镀锌板卷：库存：中国（周）,镀锌板卷：钢铁企业：厂内库存（周）,镀锌管：产量：中国（月）,镀锌管：产能利用率：中国（月）,镀锌管：库存：中国（月）,氧化锌企业：开工率：中国（月）
"2015-09-29","","","","","","","","","","","","","","","","","","","","","40628","","","","","","","","","","","","","","","","","",""
"2015-09-30","","43.83","","","","","","","","","","","8207.482","52168.741","","","","","","","38777","","","52.35","","","","","","","","","","","","","","","52.3"
"2015-10-02","","","","","","","","","","","","","","","","","","","","","","168098","556223","","","","","","","","","","","","","","","",""
"2015-10-05","","","","","","","","","","","","","","","32.26","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-10-08","","","","","","","","","","","","","","","","","","","","","39052","","","","","","","","","","","","","","","","","",""
"2015-10-09","","","","","","","","","","","","","","","","","","","","","38853","165779","556147","","","","","","","","","","","","","","","",""
"2015-10-12","","","","","","","","","","","","","","","33.75","","","","","","43442","","","","","","","","","","","","","","","","","",""
"2015-10-13","","","","","","","","","","","","","","","","","","","","","43567","","","","","","","","","","","","","","","","","",""
"2015-10-14","","","","","","","","","","","","","","","","","","","","","47731","","","","","","","","","","","","","","","","","",""
"2015-10-15","","","","","","","","","","","","","","","","","","","","","54440","","","","","","","","","","","","","","","","","",""
"2015-10-16","","","","","","","","","","","","","","","","","","","","","55929","165984","539071","","","","","","","","","","","","","","","",""
"2015-10-19","","","","","","","","","","","","","","","33.94","","","","","","55252","","","","","","","","","","","","","","","","","",""
"2015-10-20","","","","","","","","","","","","","","","","","","","","","54926","","","","","","","","","","","","","","","","","",""
"2015-10-21","","","","","","","","","","","","","","","","","","","","","54624","","","","","","","","","","","","","","","","","",""
"2015-10-22","","","","","","","","","","","","","","","","","","","","","54422","","","","","","","","","","","","","","","","","",""
"2015-10-23","","","","","","","","","","","","","","","","","","","","","54322","163667","540678","","","","","","","","","","","","","","","",""
"2015-10-26","","","","","","","","","","","","","","","34.08","","","","","","53743","","","","","","","","","","","","","","","","","",""
"2015-10-27","","","","","","","","","","","","","","","","","","","","","53543","","","","","","","","","","","","","","","","","",""
"2015-10-28","","","","","","","","","","","","","","","","","","","","","54827","","","","","","","","","","","","","","","","","",""
"2015-10-29","","","","","","","","","","","","","","","","","","","","","58208","","","","","","","","","","","","","","","","","",""
"2015-10-30","","","","","","","","","","","","","","","","","","","","","58586","175127","536414","","","","","","","","","","","","","","","",""
"2015-10-31","","38.82","","","","","","","","","","","5498.844","84638.555","","","","","","","","","","50.35","","","","","","","","","","","","","","","50.1"
"2015-11-02","","","","","","","","","","","","","","","34.31","","","","","","58858","","","","","","","","","","","","","","","","","",""
"2015-11-03","","","","","","","","","","","","","","","","","","","","","58833","","","","","","","","","","","","","","","","","",""
"2015-11-04","","","","","","","","","","","","","","","","","","","","","58858","","","","","","","","","","","","","","","","","",""
"2015-11-05","","","","","","","","","","","","","","","","","","","","","59556","","","","","","","","","","","","","","","","","",""
"2015-11-06","","","","","","","","","","","","","","","","","","","","","60903","172050","534097","","","","","","","","","","","","","","","",""
"2015-11-09","","","","","","","","","","","","","","","33.02","","","","","","62736","","","","","","","","","","","","","","","","","",""
"2015-11-10","","","","","","","","","","","","","","","","","","","","","62958","","","","","","","","","","","","","","","","","",""
"2015-11-11","","","","","","","","","","","","","","","","","","","","","61599","","","","","","","","","","","","","","","","","",""
"2015-11-12","","","","","","","","","","","","","","","","","","","","","59354","","","","","","","","","","","","","","","","","",""
"2015-11-13","","","","","","","","","","","","","","","","","","","","","59202","177097","535798","","","","","","","","","","","","","","","",""
"2015-11-16","","","","","","","","","","","","","","","33.96","","","","","","60870","","","","","","","","","","","","","","","","","",""
"2015-11-17","","","","","","","","","","","","","","","","","","","","","59549","","","","","","","","","","","","","","","","","",""
"2015-11-18","","","","","","","","","","","","","","","","","","","","","58696","","","","","","","","","","","","","","","","","",""
"2015-11-19","","","","","","","","","","","","","","","","","","","","","57392","","","","","","","","","","","","","","","","","",""
"2015-11-20","","","","","","","","","","","","","","","","","","","","","53135","174433","541865","","","","","","","","","","","","","","","",""
"2015-11-23","","","","","","","","","","","","","","","35.36","","","","","","52587","","","","","","","","","","","","","","","","","",""
"2015-11-24","","","","","","","","","","","","","","","","","","","","","51839","","","","","","","","","","","","","","","","","",""
"2015-11-25","","","","","","","","","","","","","","","","","","","","","51611","","","","","","","","","","","","","","","","","",""
"2015-11-26","","","","","","","","","","","","","","","","","","","","","50635","","","","","","","","","","","","","","","","","",""
"2015-11-27","","","","","","","","","","","","","","","","","","","","","50635","168936","544365","","","","","","","","","","","","","","","",""
"2015-11-30","","38.04","","","","","","","","","","","5063.753","82587.037","36.52","","","","","","50236","","","49.26","","","","","","","","","","","","","","","49.55"
"2015-12-01","","","","","","","","","","","","","","","","","","","","","49962","","","","","","","","","","","","","","","","","",""
"2015-12-02","","","","","","","","","","","","","","","","","","","","","49962","","","","","","","","","","","","","","","","","",""
"2015-12-03","","","","","","","","","","","","","","","","","","","","","49636","","","","","","","","","","","","","","","","","",""
"2015-12-04","","","","","","","","","","","","","","","","","","","","","50116","186994","544884","","","","","","","","","","","","","","","",""
"2015-12-07","","","","","","","","","","","","","","","37.81","","","","","","50116","","","","","","","","","","","","","","","","","",""
"2015-12-08","","","","","","","","","","","","","","","","","","","","","51121","","","","","","","","","","","","","","","","","",""
"2015-12-09","","","","","","","","","","","","","","","","","","","","","52221","","","","","","","","","","","","","","","","","",""
"2015-12-10","","","","","","","","","","","","","","","","","","","","","52572","","","","","","","","","","","","","","","","","",""
"2015-12-11","","","","","","","","","","","","","","","","","","","","","56581","194898","538419","","","","","","","","","","","","","","","",""
"2015-12-14","","","","","","","","","","","","","","","36.86","","","","","","57080","","","","","","","","","","","","","","","","","",""
"2015-12-15","","","","","","","","","","","","","","","","","","","","","71917","","","","","","","","","","","","","","","","","",""
"2015-12-16","","","","","","","","","","","","","","","","","","","","","72747","","","","","","","","","","","","","","","","","",""
"2015-12-17","","","","","","","","","","","","","","","","","","","","","72147","","","","","","","","","","","","","","","","","",""
"2015-12-18","","","","","","","","","","","","","","","","","","","","","72096","195243","522904","","","","","","","","","","","","","","","",""
"2015-12-21","","","","","","","","","","","","","","","34.98","","","","","","71845","","","","","","","","","","","","","","","","","",""
"2015-12-22","","","","","","","","","","","","","","","","","","","","","72149","","","","","","","","","","","","","","","","","",""
"2015-12-23","","","","","","","","","","","","","","","","","","","","","73658","","","","","","","","","","","","","","","","","",""
"2015-12-24","","","","","","","","","","","","","","","","","","","","","73758","","","","","","","","","","","","","","","","","",""
"2015-12-25","","","","","","","","","","","","","","","","","","","","","73733","198849","521267","","","","","","","","","","","","","","","",""
"2015-12-28","","","","","","","","","","","","","","","34.03","","","","","","74505","","","","","","","","","","","","","","","","","",""
"2015-12-29","","","","","","","","","","","","","","","","","","","","","76686","","","","","","","","","","","","","","","","","",""
"2015-12-30","","","","","","","","","","","","","","","","","","","","","77137","","","","","","","","","","","","","","","","","",""
"2015-12-31","","40.03","","","","","","","","","","","4687.427","108943.914","","","","","","","79877","","","50.9","","","","","","","","","","","","","","","50.57"
"2016-01-01","","","","39.67","","","","","","","","","","","","","","","","","","200428","515123","","","","","","","","","","","","","","","",""
"2016-01-04","13145","","","","","","","","","","","","","","36.95","","","","","","80126","","","","","","","","","","","","","","","","","",""
"2016-01-05","13305","","","","","","","","","","","","","","","","","","","","82976","","","","","","","","","","","","","","","","","",""
"2016-01-06","13070","","","","","","","","","","","","","","","","","","","","86418","","","","","","","","","","","","","","","","","",""
"2016-01-07","12885","","","","","","","","","","","","","","","","","","","","86593","","","","","","","","","","","","","","","","","",""
"2016-01-08","12885","","","40.4","","","","","","","","","","","","","","","","","87645","207163","507355","","","","","","","","","","","","","","","",""
"2016-01-11","12840","","","","","","","","","","","","","","36.43","","","","","","89749","","","","","","","","","","","","","","","","","",""
"2016-01-12","12375","","","","","","","","","","","","","","","","","","","","91367","","","","","","","","","","","","","","","","","",""
"2016-01-13","12490","","","","","","","","","","","","","","","","","","","","91488","","","","","","","","","","","","","","","","","",""
"2016-01-14","12620","","","","","","","","","","","","","","","","","","","","90340","","","","","","","","","","","","","","","","","",""
"2016-01-15","12530","","","41","","","","","","","","","","","","","","","","","100908","204098","494092","","","","","","","","","","","","","","","",""
"2016-01-18","12690","","","","","","","","","","","","","","34.76","","","","","","99635","","","","","","","","","","","","","","","","","",""
"2016-01-19","12830","","","","","","","","","","","","","","","","","","","","99210","","","","","","","","","","","","","","","","","",""
