,value,signal,price
2016-05-31,1.0,1,4600.0
2016-06-01,0.985244,1,4532.0
2016-06-02,0.988282,1,4546.0
2016-06-03,1.015624,1,4672.0
2016-06-06,1.01953,1,4690.0
2016-06-07,1.015624,1,4672.0
2016-06-08,1.019964,1,4692.0
2016-06-13,1.013888,1,4664.0
2016-06-14,1.02604,1,4720.0
2016-06-15,1.014756,1,4668.0
2016-06-16,1.015624,1,4672.0
2016-06-17,1.023436,1,4708.0
2016-06-20,1.04123,1,4790.0
2016-06-21,1.019096,1,4688.0
2016-06-22,1.03038,1,4740.0
2016-06-23,1.034286,1,4758.0
2016-06-24,1.019096,1,4688.0
2016-06-27,1.040796,1,4788.0
2016-06-28,1.042532,1,4796.0
2016-06-29,1.040362,1,4786.0
2016-06-30,1.052948,0,4844.0
2016-07-01,1.052948,0,4788.0
2016-07-04,1.052948,0,4912.0
2016-07-05,1.052948,0,4852.0
2016-07-06,1.052948,0,4752.0
2016-07-07,1.052948,0,4716.0
2016-07-08,1.052948,0,4624.0
2016-07-11,1.052948,0,4644.0
2016-07-12,1.052948,0,4692.0
2016-07-13,1.052948,0,4686.0
2016-07-14,1.052948,0,4684.0
2016-07-15,1.052948,0,4676.0
2016-07-18,1.052948,0,4626.0
2016-07-19,1.052948,0,4630.0
2016-07-20,1.052948,0,4632.0
2016-07-21,1.052948,0,4726.0
2016-07-22,1.052948,0,4688.0
2016-07-25,1.052948,0,4660.0
2016-07-26,1.052948,0,4600.0
2016-07-27,1.052948,0,4602.0
2016-07-28,1.052948,0,4602.0
2016-07-29,1.052948,0,4500.0
2016-08-01,1.052948,0,4562.0
2016-08-02,1.052948,0,4552.0
2016-08-03,1.052948,0,4624.0
2016-08-04,1.052948,0,4608.0
2016-08-05,1.052948,0,4770.0
2016-08-08,1.052948,0,4782.0
2016-08-09,1.052948,-1,4842.0
2016-08-10,1.055550887456,-1,4830.0
2016-08-11,1.0533818145759999,-1,4840.0
2016-08-12,1.047742225088,-1,4866.0
2016-08-15,1.046874595936,-1,4870.0
2016-08-16,1.051212741696,-1,4850.0
2016-08-17,1.036896860688,-1,4916.0
2016-08-18,1.0425364501760002,-1,4890.0
2016-08-19,1.041668821024,-1,4894.0
2016-08-22,1.066396251856,-1,4780.0
2016-08-23,1.062925735248,-1,4796.0
2016-08-24,1.06596243728,-1,4782.0
2016-08-25,1.060756662368,-1,4806.0
2016-08-26,1.062925735248,-1,4796.0
2016-08-29,1.0637933644,-1,4792.0
2016-08-30,1.070734397616,0,4760.0
2016-08-31,1.070734397616,0,4738.0
2016-09-01,1.070734397616,-1,4774.0
2016-09-02,1.061668515336,-1,4816.0
2016-09-05,1.056488011176,-1,4840.0
2016-09-06,1.054761176456,-1,4848.0
2016-09-07,1.0625319326959999,-1,4812.0
2016-09-08,1.050012380976,-1,4870.0
2016-09-09,1.0526026330559999,-1,4858.0
2016-09-12,1.070302688936,-1,4776.0
2016-09-13,1.074188067056,-1,4758.0
2016-09-14,1.074619775736,-1,4756.0
2016-09-19,1.067712436856,-1,4788.0
2016-09-20,1.073324649696,-1,4762.0
2016-09-21,1.076346610456,-1,4748.0
2016-09-22,1.072892941016,-1,4764.0
2016-09-23,1.070302688936,-1,4776.0
2016-09-26,1.080663697256,0,4728.0
2016-09-27,1.080663697256,0,4736.0
2016-09-28,1.080663697256,0,4714.0
2016-09-29,1.080663697256,0,4724.0
2016-09-30,1.080663697256,-1,4706.0
2016-10-10,1.071119776584,-1,4750.0
2016-10-11,1.0537671935439998,-1,4830.0
2016-10-12,1.061142041336,-1,4796.0
2016-10-13,1.077193180648,-1,4722.0
2016-10-14,1.0767593660719998,-1,4724.0
2016-10-17,1.063744928792,-1,4784.0
2016-10-18,1.058972968456,-1,4806.0
2016-10-19,1.058972968456,-1,4806.0
2016-10-20,1.0377160542319999,-1,4904.0
2016-10-21,1.046826160328,-1,4862.0
2016-10-24,1.035980795928,-1,4912.0
2016-10-25,1.03901749796,-1,4898.0
2016-10-26,1.043789458296,-1,4876.0
2016-10-27,1.0472599749040001,-1,4860.0
2016-10-28,1.038583683384,-1,4900.0
2016-10-31,1.033377908472,1,4924.0
2016-11-01,1.0220896846440002,1,4870.0
2016-11-02,1.008711048996,1,4806.0
2016-11-03,1.0120557079080001,1,4822.0
2016-11-04,1.001603648808,1,4772.0
2016-11-07,1.0120557079080001,1,4822.0
2016-11-08,1.014146119728,1,4832.0
2016-11-09,1.024180096464,1,4880.0
2016-11-10,1.047592708848,1,4992.0
2016-11-11,1.085220121608,1,5172.0
2016-11-14,1.002021731172,1,4774.0
2016-11-15,1.002021731172,1,4812.0
2016-11-16,1.010344121892,1,4852.0
2016-11-17,1.00743128514,1,4838.0
2016-11-18,1.006599046068,1,4834.0
2016-11-21,1.021579349364,1,4906.0
2016-11-22,1.035311294052,1,4972.0
2016-11-23,1.060694585748,1,5094.0
2016-11-24,1.0740104109,1,5158.0
2016-11-25,1.0719298132200001,1,5148.0
2016-11-28,1.08025220394,1,5188.0
2016-11-29,1.081500562548,1,5194.0
2016-11-30,1.066936378788,0,5124.0
2016-12-01,1.066936378788,0,5182.0
2016-12-02,1.066936378788,0,5230.0
2016-12-05,1.066936378788,0,5262.0
2016-12-06,1.066936378788,0,5224.0
2016-12-07,1.066936378788,0,5232.0
2016-12-08,1.066936378788,0,5240.0
2016-12-09,1.066936378788,0,5380.0
2016-12-12,1.066936378788,0,5550.0
2016-12-13,1.066936378788,0,5532.0
2016-12-14,1.066936378788,0,5474.0
2016-12-15,1.066936378788,0,5502.0
2016-12-16,1.066936378788,0,5470.0
2016-12-19,1.066936378788,0,5506.0
2016-12-20,1.066936378788,0,5344.0
2016-12-21,1.066936378788,0,5390.0
2016-12-22,1.066936378788,0,5326.0
2016-12-23,1.066936378788,0,5318.0
2016-12-26,1.066936378788,0,5262.0
2016-12-27,1.066936378788,1,5364.0
2016-12-28,1.084778485308,1,5454.0
2016-12-29,1.086760941588,0,5464.0
2016-12-30,1.086760941588,0,5456.0
2017-01-03,1.086760941588,0,5446.0
2017-01-04,1.086760941588,0,5386.0
2017-01-05,1.086760941588,0,5342.0
2017-01-06,1.086760941588,0,5352.0
2017-01-09,1.086760941588,0,5376.0
2017-01-10,1.086760941588,0,5334.0
2017-01-11,1.086760941588,0,5418.0
2017-01-12,1.086760941588,0,5448.0
2017-01-13,1.086760941588,0,5456.0
2017-01-16,1.086760941588,0,5456.0
2017-01-17,1.086760941588,0,5436.0
2017-01-18,1.086760941588,0,5416.0
2017-01-19,1.086760941588,0,5452.0
2017-01-20,1.086760941588,0,5400.0
2017-01-23,1.086760941588,0,5572.0
2017-01-24,1.086760941588,0,5568.0
2017-01-25,1.086760941588,0,5662.0
2017-01-26,1.086760941588,0,5656.0
2017-02-03,1.086760941588,0,5652.0
2017-02-06,1.086760941588,0,5784.0
2017-02-07,1.086760941588,0,5746.0
2017-02-08,1.086760941588,0,5768.0
2017-02-09,1.086760941588,0,5702.0
2017-02-10,1.086760941588,0,5744.0
2017-02-13,1.086760941588,0,5846.0
2017-02-14,1.086760941588,0,5856.0
2017-02-15,1.086760941588,0,5708.0
2017-02-16,1.086760941588,0,5662.0
2017-02-17,1.086760941588,0,5674.0
2017-02-20,1.086760941588,0,5690.0
2017-02-21,1.086760941588,0,5660.0
2017-02-22,1.086760941588,0,5646.0
2017-02-23,1.086760941588,0,5536.0
2017-02-24,1.086760941588,0,5592.0
2017-02-27,1.086760941588,0,5606.0
2017-02-28,1.086760941588,-1,5568.0
2017-03-01,1.086760941588,-1,5568.0
2017-03-02,1.0883732315399999,-1,5560.0
