,value,signal,price
2020-08-07,1.0,1,6580.0
2020-08-10,0.985655,1,6485.0
2020-08-11,0.993205,1,6535.0
2020-08-12,0.991695,1,6525.0
2020-08-13,0.991695,1,6525.0
2020-08-14,0.99698,1,6560.0
2020-08-17,1.012835,1,6665.0
2020-08-18,1.014345,1,6675.0
2020-08-19,1.00906,1,6640.0
2020-08-20,1.015855,1,6685.0
2020-08-21,1.005285,1,6615.0
2020-08-24,1.006795,1,6625.0
2020-08-25,1.00755,1,6630.0
2020-08-26,1.017365,1,6695.0
2020-08-27,1.01057,1,6650.0
2020-08-28,1.003775,1,6605.0
2020-08-31,1.01208,1,6660.0
2020-09-01,1.01359,1,6670.0
2020-09-02,1.021895,1,6725.0
2020-09-03,1.015855,1,6685.0
2020-09-04,1.00604,1,6620.0
2020-09-07,1.00151,1,6590.0
2020-09-08,0.996225,1,6555.0
2020-09-09,0.988675,1,6505.0
2020-09-10,1.009815,1,6645.0
2020-09-11,1.008305,1,6635.0
2020-09-14,0.99547,1,6550.0
2020-09-15,0.997735,1,6565.0
2020-09-16,1.000755,1,6585.0
2020-09-17,1.01359,1,6670.0
2020-09-18,1.01208,1,6660.0
2020-09-21,1.020385,1,6715.0
2020-09-22,1.009815,1,6645.0
2020-09-23,1.01057,1,6650.0
2020-09-24,0.99396,1,6540.0
2020-09-25,0.999245,1,6575.0
2020-09-28,0.99849,1,6570.0
2020-09-29,1.002265,1,6595.0
2020-09-30,0.99849,1,6570.0
2020-10-09,1.027935,0,6765.0
2020-10-12,1.027935,0,6865.0
2020-10-13,1.027935,0,6825.0
2020-10-14,1.027935,0,6875.0
2020-10-15,1.027935,0,6860.0
2020-10-16,1.027935,0,6755.0
2020-10-19,1.027935,0,6820.0
2020-10-20,1.027935,0,6795.0
2020-10-21,1.027935,0,6715.0
2020-10-22,1.027935,0,6715.0
2020-10-23,1.027935,0,6710.0
2020-10-26,1.027935,0,6765.0
2020-10-27,1.027935,0,6810.0
2020-10-28,1.027935,0,6885.0
2020-10-29,1.027935,0,6850.0
2020-10-30,1.027935,1,6925.0
2020-11-02,1.051615,1,7085.0
2020-11-03,1.055315,1,7110.0
2020-11-04,1.052355,1,7090.0
2020-11-05,1.048655,1,7065.0
2020-11-06,1.056795,1,7120.0
2020-11-09,1.079735,1,7275.0
2020-11-10,1.046435,1,7050.0
2020-11-11,1.047915,1,7060.0
2020-11-12,1.044215,1,7035.0
2020-11-13,1.088615,1,7335.0
2020-11-16,1.109335,1,7475.0
2020-11-17,1.116735,1,7525.0
2020-11-18,1.115255,1,7515.0
2020-11-19,1.105635,1,7450.0
2020-11-20,1.094535,1,7375.0
2020-11-23,1.110075,1,7480.0
2020-11-24,1.103415,1,7435.0
2020-11-25,1.091575,1,7355.0
2020-11-26,1.092315,1,7360.0
2020-11-27,1.125615,1,7585.0
2020-11-30,1.106375,1,7455.0
2020-12-01,1.150035,1,7750.0
2020-12-02,1.137455,1,7665.0
2020-12-03,1.144115,1,7710.0
2020-12-04,1.163355,1,7840.0
2020-12-07,1.178155,1,7940.0
2020-12-08,1.161875,1,7830.0
2020-12-09,1.205535,1,8125.0
2020-12-10,1.216635,1,8200.0
2020-12-11,1.243275,-1,8380.0
2020-12-14,1.30689338175,-1,7950.0
2020-12-15,1.30689338175,-1,7880.0
2020-12-16,1.33598601675,-1,7685.0
2020-12-17,1.3374779467499998,-1,7675.0
2020-12-18,1.36060286175,0,7520.0
2020-12-21,1.36060286175,0,7620.0
2020-12-22,1.36060286175,0,7465.0
2020-12-23,1.36060286175,0,7475.0
2020-12-24,1.36060286175,0,7410.0
2020-12-25,1.36060286175,0,7225.0
2020-12-28,1.36060286175,0,7090.0
2020-12-29,1.36060286175,0,7080.0
2020-12-30,1.36060286175,0,7095.0
2020-12-31,1.36060286175,0,7130.0
2021-01-04,1.36060286175,0,7210.0
2021-01-05,1.36060286175,0,7170.0
2021-01-06,1.36060286175,0,7190.0
2021-01-07,1.36060286175,0,7170.0
2021-01-08,1.36060286175,0,7000.0
2021-01-11,1.36060286175,0,6940.0
2021-01-12,1.36060286175,0,7025.0
2021-01-13,1.36060286175,0,7040.0
2021-01-14,1.36060286175,0,7020.0
2021-01-15,1.36060286175,0,7040.0
2021-01-18,1.36060286175,0,7190.0
2021-01-19,1.36060286175,0,7200.0
2021-01-20,1.36060286175,0,7205.0
2021-01-21,1.36060286175,0,7390.0
2021-01-22,1.36060286175,1,7415.0
2021-01-25,1.33501649115,1,7275.0
2021-01-26,1.33318889325,1,7265.0
2021-01-27,1.3468958775000002,1,7340.0
2021-01-28,1.3615166607000002,1,7420.0
2021-01-29,1.3633442586000002,1,7430.0
2021-02-01,1.3359302901,1,7280.0
2021-02-02,1.34049928485,1,7305.0
2021-02-03,1.3660856554500003,1,7445.0
2021-02-04,1.40263761345,1,7645.0
2021-02-05,1.39898241765,1,7625.0
2021-02-08,1.4017238145000002,1,7640.0
2021-02-09,1.4163445977000002,1,7720.0
2021-02-10,1.4163445977000002,1,7720.0
2021-02-18,1.4675173389,1,8000.0
2021-02-19,1.5077244927,0,8220.0
2021-02-22,1.5077244927,0,8610.0
2021-02-23,1.5077244927,0,8610.0
2021-02-24,1.5077244927,0,8520.0
2021-02-25,1.5077244927,0,8500.0
2021-02-26,1.5077244927,0,8505.0
2021-03-01,1.5077244927,0,8340.0
2021-03-02,1.5077244927,0,8345.0
2021-03-03,1.5077244927,0,8540.0
2021-03-04,1.5077244927,0,8375.0
2021-03-05,1.5077244927,0,8430.0
2021-03-08,1.5077244927,0,8695.0
2021-03-09,1.5077244927,0,8560.0
2021-03-10,1.5077244927,0,8455.0
2021-03-11,1.5077244927,0,8705.0
2021-03-12,1.5077244927,0,8750.0
2021-03-15,1.5077244927,0,9150.0
2021-03-16,1.5077244927,0,9085.0
2021-03-17,1.5077244927,0,9070.0
2021-03-18,1.5077244927,0,8875.0
2021-03-19,1.5077244927,0,8770.0
2021-03-22,1.5077244927,0,8795.0
2021-03-23,1.5077244927,0,8650.0
2021-03-24,1.5077244927,0,8610.0
2021-03-25,1.5077244927,0,8695.0
2021-03-26,1.5077244927,0,8920.0
2021-03-29,1.5077244927,0,8795.0
2021-03-30,1.5077244927,0,8640.0
2021-03-31,1.5077244927,0,8540.0
2021-04-01,1.5077244927,0,8795.0
2021-04-02,1.5077244927,0,8930.0
2021-04-06,1.5077244927,0,8940.0
2021-04-07,1.5077244927,0,8875.0
2021-04-08,1.5077244927,0,8870.0
2021-04-09,1.5077244927,0,8735.0
2021-04-12,1.5077244927,0,8610.0
2021-04-13,1.5077244927,0,8595.0
2021-04-14,1.5077244927,0,8715.0
2021-04-15,1.5077244927,0,8725.0
2021-04-16,1.5077244927,0,8810.0
2021-04-19,1.5077244927,0,8840.0
2021-04-20,1.5077244927,0,8840.0
2021-04-21,1.5077244927,0,8640.0
2021-04-22,1.5077244927,0,8925.0
2021-04-23,1.5077244927,0,9040.0
2021-04-26,1.5077244927,0,8885.0
2021-04-27,1.5077244927,0,8925.0
2021-04-28,1.5077244927,0,8985.0
