,value,signal,price
2020/2/25,1,-1,12980
2020/2/26,1.02464,-1,12660
2020/2/27,1.02233,-1,12690
2020/2/28,1.03927,0,12470
2020/2/29,1.03927,-1,12470
2020/3/2,1.02541,-1,12650
2020/3/3,1.023485,-1,12675
2020/3/4,1.0308,-1,12580
2020/3/5,1.025795,-1,12645
2020/3/6,1.029645,-1,12595
2020/3/9,1.06006,-1,12200
2020/3/10,1.041195,-1,12445
2020/3/11,1.04697,-1,12370
2020/3/12,1.05544,-1,12260
2020/3/13,1.0616,-1,12180
2020/3/16,1.058905,-1,12215
2020/3/17,1.06006,-1,12200
2020/3/18,1.071995,-1,12045
2020/3/19,1.079695,-1,11945
2020/3/20,1.079695,-1,11985
2020/3/23,1.093755,-1,11800
2020/3/24,1.093755,-1,11800
2020/3/25,1.080075,-1,11980
2020/3/26,1.082355,-1,11950
2020/3/27,1.073235,0,12070
2020/3/30,1.073235,0,11880
2020/3/31,1.073235,0,11980
2020/4/1,1.073235,0,11985
2020/4/2,1.073235,0,11955
2020/4/3,1.073235,0,11915
2020/4/7,1.073235,0,12050
2020/4/8,1.073235,0,12205
2020/4/9,1.073235,0,12295
2020/4/10,1.073235,0,12455
2020/4/13,1.073235,0,12510
2020/4/14,1.073235,0,12805
2020/4/15,1.073235,0,12860
2020/4/16,1.073235,0,12695
2020/4/17,1.073235,0,12945
2020/4/20,1.073235,0,13320
2020/4/21,1.073235,0,13030
2020/4/22,1.073235,0,12950
2020/4/23,1.073235,0,13035
2020/4/24,1.073235,0,12940
2020/4/27,1.073235,0,12915
2020/4/28,1.073235,0,12885
2020/4/29,1.073235,0,12820
2020/4/30,1.073235,1,12860
2020/5/1,1.073235,1,12860
2020/5/6,1.102571879,1,13215
2020/5/7,1.094307969,1,13115
2020/5/8,1.100505901,1,13190
2020/5/11,1.140585862,1,13675
2020/5/12,1.12075248,1,13435
2020/5/13,1.126537216,1,13505
2020/5/14,1.119512893,1,13420
2020/5/15,1.112901766,1,13340
2020/5/18,1.119926089,1,13425
2020/5/19,1.122405262,1,13455
2020/5/20,1.116207329,1,13380
2020/5/21,1.137280299,1,13635
2020/5/22,1.094721165,1,13120
2020/5/25,1.105877443,1,13255
2020/5/26,1.105464247,1,13250
2020/5/27,1.096373947,1,13140
2020/5/28,1.089762819,1,13060
2020/5/29,1.081085714,1,12955
2020/5/31,1.081085714,1,12955
2020/6/1,1.092655187,1,13095
2020/6/2,1.088523233,1,13045
2020/6/3,1.087283646,1,13030
2020/6/4,1.071582218,1,12840
2020/6/5,1.080672519,1,12950
2020/6/8,1.083978082,1,12990
2020/6/9,1.080259323,1,12945
2020/6/10,1.077366955,1,12910
2020/6/11,1.069929436,1,12820
2020/6/12,1.065384286,1,12765
2020/6/15,1.050509249,1,12585
2020/6/16,1.063731504,1,12745
2020/6/17,1.061665527,1,12720
2020/6/18,1.063731504,1,12745
2020/6/19,1.105464247,1,13250
2020/6/22,1.101745488,1,13205
2020/6/23,1.100505901,1,13190
2020/6/24,1.097200338,1,13150
2020/6/26,1.097200338,1,13150
2020/6/29,1.098026728,0,13160
2020/6/30,1.098026728,0,13105
2020/7/1,1.098026728,0,13155
2020/7/2,1.098026728,0,13355
2020/7/3,1.098026728,0,13380
2020/7/6,1.098026728,0,13325
2020/7/7,1.098026728,0,13415
2020/7/8,1.098026728,0,13520
2020/7/9,1.098026728,0,13545
2020/7/10,1.098026728,0,13405
2020/7/13,1.098026728,0,13665
2020/7/14,1.098026728,0,13590
2020/7/15,1.098026728,0,13555
2020/7/16,1.098026728,0,13405
2020/7/17,1.098026728,0,13450
2020/7/20,1.098026728,0,13420
2020/7/21,1.098026728,0,13505
2020/7/22,1.098026728,0,13580
2020/7/23,1.098026728,0,13470
2020/7/24,1.098026728,0,13690
2020/7/27,1.098026728,0,13720
2020/7/28,1.098026728,0,13785
2020/7/29,1.098026728,0,13760
2020/7/30,1.098026728,0,13905
2020/7/31,1.098026728,0,14075
2020/8/3,1.098026728,0,13995
2020/8/4,1.098026728,0,14155
2020/8/5,1.098026728,0,14460
2020/8/6,1.098026728,0,14430
2020/8/7,1.098026728,0,14385
2020/8/10,1.098026728,0,14175
2020/8/11,1.098026728,0,13975
2020/8/12,1.098026728,0,14060
2020/8/13,1.098026728,0,14135
2020/8/14,1.098026728,0,14380
2020/8/17,1.098026728,0,14905
2020/8/18,1.098026728,0,15015
2020/8/19,1.098026728,0,14755
2020/8/20,1.098026728,0,14890
2020/8/21,1.098026728,0,14705
2020/8/24,1.098026728,0,14970
2020/8/25,1.098026728,0,14955
2020/8/26,1.098026728,0,15165
2020/8/27,1.098026728,0,15090
2020/8/28,1.098026728,0,15195
2020/8/31,1.098026728,0,15320
2020/9/1,1.098026728,0,15275
2020/9/2,1.098026728,0,15235
2020/9/3,1.098026728,0,14935
2020/9/4,1.098026728,0,14775
2020/9/7,1.098026728,0,14805
2020/9/8,1.098026728,0,14880
2020/9/9,1.098026728,0,14190
2020/9/10,1.098026728,0,14125
2020/9/11,1.098026728,0,14215
2020/9/14,1.098026728,0,14450
2020/9/15,1.098026728,0,14400
2020/9/16,1.098026728,0,14110
2020/9/17,1.098026728,0,14005
2020/9/18,1.098026728,0,14125
2020/9/21,1.098026728,0,14000
2020/9/22,1.098026728,0,13925
2020/9/23,1.098026728,0,14000
2020/9/24,1.098026728,0,14260
2020/9/25,1.098026728,0,14330
2020/9/28,1.098026728,0,14380
2020/9/29,1.098026728,0,14330
2020/9/30,1.098026728,-1,14180
2020/10/9,1.064110964,-1,14690
2020/10/12,1.075748726,-1,14515
2020/10/13,1.085058936,-1,14375
2020/10/14,1.084726429,-1,14380
2020/10/15,1.087386489,-1,14340
2020/10/16,1.079406308,-1,14460
2020/10/19,1.077078756,-1,14495
2020/10/20,1.076413741,-1,14505
2020/10/21,1.063778456,-1,14695
2020/10/22,1.075748726,-1,14515
2020/10/23,1.074418696,-1,14535
2020/10/26,1.093371623,-1,14250
2020/10/27,1.096031684,-1,14210
2020/10/28,1.058458336,-1,14775
