,value,signal,price
2019-05-13,1.0,0,4582.0
2019-05-14,1.0,0,4437.0
2019-05-15,1.0,0,4455.0
2019-05-16,1.0,0,4483.0
2019-05-17,1.0,0,4404.0
2019-05-20,1.0,0,4420.0
2019-05-21,1.0,0,4447.0
2019-05-22,1.0,0,4407.0
2019-05-23,1.0,0,4403.0
2019-05-24,1.0,0,4524.0
2019-05-27,1.0,0,4503.0
2019-05-28,1.0,0,4458.0
2019-05-29,1.0,0,4489.0
2019-05-30,1.0,0,4485.0
2019-05-31,1.0,0,4492.0
2019-06-03,1.0,0,4415.0
2019-06-04,1.0,0,4445.0
2019-06-05,1.0,0,4343.0
2019-06-06,1.0,0,4369.0
2019-06-10,1.0,0,4387.0
2019-06-11,1.0,0,4408.0
2019-06-12,1.0,0,4384.0
2019-06-13,1.0,0,4403.0
2019-06-14,1.0,0,4370.0
2019-06-17,1.0,0,4370.0
2019-06-18,1.0,0,4417.0
2019-06-19,1.0,0,4459.0
2019-06-20,1.0,0,4487.0
2019-06-21,1.0,0,4437.0
2019-06-24,1.0,0,4567.0
2019-06-25,1.0,0,4531.0
2019-06-26,1.0,0,4542.0
2019-06-27,1.0,0,4491.0
2019-06-28,1.0,0,4408.0
2019-07-01,1.0,0,4442.0
2019-07-02,1.0,0,4502.0
2019-07-03,1.0,0,4437.0
2019-07-04,1.0,0,4477.0
2019-07-05,1.0,0,4488.0
2019-07-08,1.0,0,4435.0
2019-07-09,1.0,0,4242.0
2019-07-10,1.0,0,4265.0
2019-07-11,1.0,0,4281.0
2019-07-12,1.0,0,4274.0
2019-07-15,1.0,0,4296.0
2019-07-16,1.0,0,4278.0
2019-07-17,1.0,0,4360.0
2019-07-18,1.0,0,4370.0
2019-07-19,1.0,0,4497.0
2019-07-22,1.0,0,4486.0
2019-07-23,1.0,0,4393.0
2019-07-24,1.0,0,4429.0
2019-07-25,1.0,0,4445.0
2019-07-26,1.0,0,4464.0
2019-07-29,1.0,0,4561.0
2019-07-30,1.0,0,4523.0
2019-07-31,1.0,0,4495.0
2019-08-01,1.0,0,4445.0
2019-08-02,1.0,0,4409.0
