,value,signal,price
2019-02-26,1.0,0,433.1
2019-02-27,1.0,0,438.3
2019-02-28,1.0,1,439.7
2019-03-01,1.0218304000000002,1,449.3
2019-03-04,0.9918136000000001,1,436.1
2019-03-05,0.9881752,1,434.5
2019-03-06,0.9974986000000001,1,438.6
2019-03-07,1.0006822,1,440.0
2019-03-08,0.9938602000000001,1,437.0
2019-03-11,1.0,1,439.7
2019-03-12,1.010233,1,444.2
2019-03-13,1.0131892,1,445.5
2019-03-14,1.029562,1,452.7
2019-03-15,1.0347922,1,455.0
2019-03-18,1.0297894,1,452.8
2019-03-19,1.064809,1,468.2
2019-03-20,1.0404772,1,457.5
2019-03-21,1.0550307999999997,1,463.9
2019-03-22,1.0482088,1,460.9
2019-03-25,1.023877,1,450.2
2019-03-26,1.0343374,1,454.8
2019-03-27,1.0434334,1,458.8
2019-03-28,1.030699,0,453.2
2019-03-29,1.030699,0,457.9
2019-04-01,1.030699,0,461.1
2019-04-02,1.030699,0,470.2
2019-04-03,1.030699,0,472.4
2019-04-04,1.030699,0,469.0
2019-04-08,1.030699,0,476.1
2019-04-09,1.030699,0,478.2
2019-04-10,1.030699,0,475.7
2019-04-11,1.030699,0,480.1
2019-04-12,1.030699,0,475.2
2019-04-15,1.030699,0,471.8
2019-04-16,1.030699,0,465.6
2019-04-17,1.030699,0,472.1
2019-04-18,1.030699,0,474.7
2019-04-19,1.030699,0,475.9
2019-04-22,1.030699,0,490.2
2019-04-23,1.030699,0,498.3
2019-04-24,1.030699,0,497.0
2019-04-25,1.030699,0,505.9
2019-04-26,1.030699,0,498.0
2019-04-29,1.030699,0,482.8
2019-04-30,1.030699,-1,487.6
2019-05-06,1.0636607540199998,-1,472.0
2019-05-07,1.03577003908,-1,485.2
2019-05-08,1.0418975446349998,-1,482.3
2019-05-09,1.043165304405,-1,481.7
2019-05-10,1.030487706705,-1,487.7
2019-05-13,1.0112600168599999,-1,496.8
2019-05-14,1.012316483335,-1,496.3
2019-05-15,1.002596991765,-1,500.9
2019-05-16,0.990764567245,-1,506.5
2019-05-17,0.9791434360200001,-1,512.0
2019-05-20,0.961183505945,-1,520.5
2019-05-21,0.9842144751000002,-1,509.6
2019-05-22,0.994567846555,-1,504.7
