,value,signal,price
2019-06-14,1.0,1,13425.0
2019-06-17,1.00148,1,13445.0
2019-06-18,0.99667,1,13380.0
2019-06-19,1.02886,1,13815.0
2019-06-20,1.03367,1,13880.0
2019-06-21,1.01517,1,13630.0
2019-06-24,1.0111,1,13575.0
2019-06-25,1.01628,1,13645.0
2019-06-26,1.02812,1,13805.0
2019-06-27,1.02516,1,13765.0
2019-06-28,1.02331,1,13740.0
2019-07-01,1.04958,1,14095.0
2019-07-02,1.04033,1,13970.0
2019-07-03,1.0259,1,13775.0
2019-07-04,1.02331,1,13740.0
2019-07-05,1.03441,1,13890.0
2019-07-08,1.02109,1,13710.0
2019-07-09,0.98557,1,13230.0
2019-07-10,0.98557,1,13125.0
2019-07-11,0.985945,1,13130.0
2019-07-12,0.983695,0,13100.0
2019-07-15,0.983695,0,13080.0
2019-07-16,0.983695,0,13075.0
2019-07-17,0.983695,0,13060.0
2019-07-18,0.983695,0,13030.0
2019-07-19,0.983695,0,12970.0
2019-07-22,0.983695,0,13230.0
2019-07-23,0.983695,0,13080.0
2019-07-24,0.983695,0,13255.0
2019-07-25,0.983695,0,13255.0
2019-07-26,0.983695,0,13380.0
2019-07-29,0.983695,0,13100.0
2019-07-30,0.983695,0,13150.0
2019-07-31,0.983695,0,13105.0
2019-08-01,0.983695,0,13045.0
2019-08-02,0.983695,0,12670.0
2019-08-05,0.983695,0,12225.0
2019-08-06,0.983695,0,12240.0
2019-08-07,0.983695,0,12210.0
2019-08-08,0.983695,0,12230.0
2019-08-09,0.983695,0,12175.0
2019-08-12,0.983695,0,12785.0
2019-08-13,0.983695,0,12725.0
2019-08-14,0.983695,0,12920.0
2019-08-15,0.983695,0,12830.0
2019-08-16,0.983695,0,12840.0
2019-08-19,0.983695,0,12860.0
2019-08-20,0.983695,0,12840.0
2019-08-21,0.983695,0,12685.0
2019-08-22,0.983695,0,12850.0
2019-08-23,0.983695,0,12730.0
2019-08-26,0.983695,0,12265.0
2019-08-27,0.983695,0,12365.0
2019-08-28,0.983695,0,12500.0
2019-08-29,0.983695,0,12415.0
2019-08-30,0.983695,0,12520.0
2019-09-02,0.983695,0,12435.0
2019-09-03,0.983695,0,12520.0
2019-09-04,0.983695,0,12610.0
2019-09-05,0.983695,0,12670.0
2019-09-06,0.983695,0,12925.0
2019-09-09,0.983695,0,12890.0
2019-09-10,0.983695,0,12940.0
2019-09-11,0.983695,0,12975.0
2019-09-12,0.983695,0,12970.0
2019-09-16,0.983695,0,13070.0
2019-09-17,0.983695,0,13070.0
2019-09-18,0.983695,0,12915.0
2019-09-19,0.983695,0,12890.0
2019-09-20,0.983695,0,12950.0
2019-09-23,0.983695,0,12850.0
2019-09-24,0.983695,0,12615.0
2019-09-25,0.983695,0,12580.0
2019-09-26,0.983695,0,12455.0
2019-09-27,0.983695,0,12135.0
2019-09-30,0.983695,0,12015.0
2019-10-08,0.983695,0,12175.0
2019-10-09,0.983695,0,12320.0
2019-10-10,0.983695,0,12375.0
2019-10-11,0.983695,0,12380.0
2019-10-14,0.983695,0,12745.0
2019-10-15,0.983695,0,12565.0
2019-10-16,0.983695,0,12585.0
2019-10-17,0.983695,0,12665.0
2019-10-18,0.983695,0,12685.0
2019-10-21,0.983695,0,12660.0
2019-10-22,0.983695,0,12735.0
2019-10-23,0.983695,0,12745.0
2019-10-24,0.983695,0,12730.0
2019-10-25,0.983695,0,12775.0
2019-10-28,0.983695,0,12715.0
2019-10-29,0.983695,0,13025.0
2019-10-30,0.983695,0,13050.0
2019-10-31,0.983695,-1,13170.0
2019-11-01,0.989966055625,-1,13085.0
2019-11-04,0.9977126537500001,-1,12980.0
2019-11-05,0.9877527418750002,-1,13115.0
2019-11-06,0.9918104837499998,-1,13060.0
2019-11-07,1.00213928125,-1,12920.0
2019-11-08,0.9984504250000001,-1,12970.0
2019-11-11,1.009885879375,-1,12815.0
2019-11-12,1.0102547650000002,-1,12810.0
2019-11-13,0.994392683125,-1,13025.0
2019-11-14,0.997343768125,-1,12985.0
2019-11-15,0.99476156875,-1,13020.0
2019-11-18,0.995130454375,-1,13015.0
2019-11-19,1.0084103368750001,-1,12835.0
2019-11-20,1.0025081668749998,-1,12915.0
2019-11-21,1.0216902193750002,-1,12655.0
2019-11-22,1.015788049375,-1,12735.0
2019-11-25,1.0139436212500001,-1,12760.0
2019-11-26,1.006934794375,-1,12855.0
2019-11-27,1.0087792225,-1,12830.0
2019-11-28,1.015788049375,0,12735.0
2019-11-29,1.015788049375,0,12760.0
2019-12-02,1.015788049375,0,12615.0
2019-12-03,1.015788049375,0,12995.0
2019-12-04,1.015788049375,0,12930.0
2019-12-05,1.015788049375,0,13030.0
2019-12-06,1.015788049375,0,13270.0
2019-12-09,1.015788049375,0,13220.0
2019-12-10,1.015788049375,0,13195.0
2019-12-11,1.015788049375,0,13215.0
2019-12-12,1.015788049375,0,13330.0
2019-12-13,1.015788049375,0,13370.0
2019-12-16,1.015788049375,0,13340.0
2019-12-17,1.015788049375,0,13380.0
2019-12-18,1.015788049375,0,13310.0
2019-12-19,1.015788049375,0,13390.0
2019-12-20,1.015788049375,0,13400.0
2019-12-23,1.015788049375,0,13340.0
2019-12-24,1.015788049375,0,13380.0
2019-12-25,1.015788049375,0,13315.0
2019-12-26,1.015788049375,0,13415.0
2019-12-27,1.015788049375,0,13645.0
2019-12-30,1.015788049375,0,14005.0
2019-12-31,1.015788049375,-1,13980.0
2020-01-02,1.0161274241500002,-1,13975.0
2020-01-03,1.01341242595,-1,14015.0
2020-01-06,1.009679303425,-1,14070.0
2020-01-07,0.99983743495,-1,14215.0
2020-01-08,1.0032311827,-1,14165.0
2020-01-09,0.9967830619749999,-1,14260.0
2020-01-10,0.9950861880999999,-1,14285.0
2020-01-13,0.9852443196249999,-1,14430.0
2020-01-14,1.003570557475,-1,14160.0
2020-01-15,1.019181797125,-1,13930.0
2020-01-16,1.013073051175,-1,14020.0
2020-01-17,1.0123943016249999,-1,14030.0
2020-01-20,1.01476992505,-1,13995.0
2020-01-21,1.02834491605,-1,13795.0
2020-01-22,1.034453662,-1,13705.0
2020-01-23,1.034453662,-1,13440.0
2020-02-03,1.0947049807499998,-1,12565.0
2020-02-04,1.0947049807499998,-1,12620.0
2020-02-05,1.07198162625,-1,12950.0
2020-02-06,1.06027565575,0,13120.0
2020-02-07,1.06027565575,0,13135.0
2020-02-10,1.06027565575,0,13075.0
2020-02-11,1.06027565575,0,13125.0
2020-02-12,1.06027565575,0,13070.0
2020-02-13,1.06027565575,0,13045.0
2020-02-14,1.06027565575,0,13030.0
2020-02-17,1.06027565575,0,13510.0
2020-02-18,1.06027565575,0,13180.0
2020-02-19,1.06027565575,0,13260.0
2020-02-20,1.06027565575,0,13325.0
2020-02-21,1.06027565575,0,13265.0
2020-02-24,1.06027565575,0,12935.0
2020-02-25,1.06027565575,0,13015.0
2020-02-26,1.06027565575,0,12805.0
2020-02-27,1.06027565575,0,12625.0
2020-02-28,1.06027565575,0,12180.0
2020-03-02,1.06027565575,0,12390.0
2020-03-03,1.06027565575,0,12520.0
2020-03-04,1.06027565575,0,12490.0
2020-03-05,1.06027565575,0,12770.0
2020-03-06,1.06027565575,0,12600.0
2020-03-09,1.06027565575,0,12175.0
2020-03-10,1.06027565575,0,12450.0
2020-03-11,1.06027565575,0,12325.0
2020-03-12,1.06027565575,0,12150.0
2020-03-13,1.06027565575,0,11775.0
2020-03-16,1.06027565575,0,11435.0
2020-03-17,1.06027565575,0,11560.0
2020-03-18,1.06027565575,0,11530.0
2020-03-19,1.06027565575,0,11095.0
2020-03-20,1.06027565575,0,10990.0
2020-03-23,1.06027565575,0,10570.0
2020-03-24,1.06027565575,0,10360.0
2020-03-25,1.06027565575,0,10695.0
2020-03-26,1.06027565575,0,10645.0
2020-03-27,1.06027565575,0,10720.0
2020-03-30,1.06027565575,0,10410.0
2020-03-31,1.06027565575,-1,10540.0
2020-04-01,1.04315936275,-1,10740.0
2020-04-02,1.029894235675,-1,10895.0
2020-04-03,1.031605864975,-1,10875.0
2020-04-07,1.00550351815,-1,11180.0
2020-04-08,0.9776895420249999,-1,11505.0
2020-04-09,0.9768337273750001,-1,11515.0
2020-04-10,0.9751220980749999,-1,11535.0
2020-04-13,0.9918104837499998,-1,11340.0
2020-04-14,0.9853918738749999,-1,11415.0
2020-04-15,0.9883872251500001,-1,11380.0
2020-04-16,0.9943779277000001,-1,11310.0
2020-04-17,0.9866755958499999,-1,11400.0
2020-04-20,0.9764058200500001,-1,11520.0
2020-04-21,1.006787240125,-1,11165.0
2020-04-22,0.9956616496749999,-1,11295.0
2020-04-23,0.961429063675,-1,11695.0
2020-04-24,0.98154070795,-1,11460.0
2020-04-27,0.9811128006249998,-1,11465.0
2020-04-28,0.9866755958499999,-1,11400.0
2020-04-29,0.9823965226,0,11450.0
2020-04-30,0.9823965226,-1,11650.0
2020-05-06,1.008734956225,-1,11335.0
2020-05-07,0.99159407085,-1,11540.0
2020-05-08,0.9819784522249999,-1,11655.0
2020-05-11,0.98490494485,-1,11620.0
2020-05-12,0.992012141225,-1,11535.0
2020-05-13,0.9907579300999999,-1,11550.0
2020-05-14,0.9957747746000001,-1,11490.0
2020-05-15,0.9828145929749998,-1,11645.0
2020-05-18,0.9874133670999998,-1,11590.0
2020-05-19,0.9757073966,-1,11730.0
2020-05-20,0.96985441135,-1,11800.0
2020-05-21,0.9706905521,-1,11790.0
2020-05-22,0.9882495078500001,-1,11580.0
2020-05-25,0.98490494485,-1,11620.0
2020-05-26,0.9840688041000001,-1,11630.0
2020-05-27,0.9861591559749999,-1,11605.0
2020-05-28,0.98992178935,-1,11560.0
2020-05-29,0.9966109153499999,-1,11480.0
2020-06-01,0.978633889225,-1,11695.0
2020-06-02,0.9748712558500001,0,11740.0
2020-06-03,0.9748712558500001,0,11785.0
2020-06-04,0.9748712558500001,0,11780.0
2020-06-05,0.9748712558500001,0,11985.0
2020-06-08,0.9748712558500001,0,11985.0
2020-06-09,0.9748712558500001,0,12095.0
2020-06-10,0.9748712558500001,0,12020.0
2020-06-11,0.9748712558500001,0,11975.0
2020-06-12,0.9748712558500001,0,11855.0
2020-06-15,0.9748712558500001,0,11715.0
2020-06-16,0.9748712558500001,0,11835.0
2020-06-17,0.9748712558500001,0,11840.0
2020-06-18,0.9748712558500001,0,11890.0
2020-06-19,0.9748712558500001,0,11910.0
2020-06-22,0.9748712558500001,0,11730.0
2020-06-23,0.9748712558500001,0,11670.0
2020-06-24,0.9748712558500001,0,11650.0
2020-06-29,0.9748712558500001,0,11665.0
2020-06-30,0.9748712558500001,0,11675.0
2020-07-01,0.9748712558500001,0,11785.0
2020-07-02,0.9748712558500001,0,11890.0
2020-07-03,0.9748712558500001,0,11950.0
2020-07-06,0.9748712558500001,0,12025.0
2020-07-07,0.9748712558500001,0,11950.0
2020-07-08,0.9748712558500001,0,11925.0
2020-07-09,0.9748712558500001,0,12110.0
2020-07-10,0.9748712558500001,0,12055.0
2020-07-13,0.9748712558500001,0,12130.0
2020-07-14,0.9748712558500001,0,11995.0
2020-07-15,0.9748712558500001,0,12080.0
2020-07-16,0.9748712558500001,0,11950.0
2020-07-17,0.9748712558500001,0,11945.0
2020-07-20,0.9748712558500001,0,11980.0
2020-07-21,0.9748712558500001,0,12080.0
2020-07-22,0.9748712558500001,0,12165.0
2020-07-23,0.9748712558500001,0,12070.0
2020-07-24,0.9748712558500001,0,12010.0
2020-07-27,0.9748712558500001,0,11935.0
2020-07-28,0.9748712558500001,0,11965.0
