,value,signal,price
2019-01-31,1.0,-1,4778.0
2019-02-01,0.999582,-1,4780.0
2019-02-11,1.0012539999999999,-1,4772.0
2019-02-12,1.002926,-1,4764.0
2019-02-13,1.0,-1,4778.0
2019-02-14,1.0,-1,4778.0
2019-02-15,1.00209,-1,4768.0
2019-02-18,0.999582,-1,4780.0
2019-02-19,0.987878,-1,4836.0
2019-02-20,1.0083600000000001,-1,4738.0
2019-02-21,1.01463,-1,4708.0
2019-02-22,1.0137939999999999,-1,4712.0
2019-02-25,1.02299,-1,4668.0
2019-02-26,1.043472,-1,4570.0
2019-02-27,1.043472,-1,4562.0
2019-02-28,1.04389,1,4560.0
2019-03-01,1.0576067145999999,1,4620.0
2019-03-04,1.06720841482,1,4662.0
2019-03-05,1.06080728134,1,4634.0
2019-03-06,1.0571494907799999,1,4618.0
2019-03-07,1.04891946202,1,4582.0
2019-03-08,1.0507483573,1,4590.0
2019-03-11,1.04937668584,1,4584.0
2019-03-12,1.04983390966,1,4586.0
2019-03-13,1.03291662832,1,4512.0
2019-03-14,1.02422937574,1,4474.0
2019-03-15,1.01828546608,1,4448.0
2019-03-18,1.02148603282,1,4462.0
2019-03-19,1.01599934698,1,4438.0
2019-03-20,1.02697271866,1,4486.0
2019-03-21,1.02834439012,1,4492.0
2019-03-22,1.02240048046,1,4466.0
2019-03-25,1.01325600406,1,4426.0
2019-03-26,1.01325600406,1,4432.0
2019-03-27,1.01462767552,1,4438.0
2019-03-28,1.00091096092,0,4378.0
2019-03-29,1.00091096092,0,4322.0
2019-04-01,1.00091096092,0,4346.0
2019-04-02,1.00091096092,0,4386.0
2019-04-03,1.00091096092,0,4422.0
2019-04-04,1.00091096092,0,4456.0
2019-04-08,1.00091096092,0,4452.0
2019-04-09,1.00091096092,0,4520.0
2019-04-10,1.00091096092,0,4466.0
2019-04-11,1.00091096092,0,4672.0
2019-04-12,1.00091096092,0,4702.0
2019-04-15,1.00091096092,0,4668.0
2019-04-16,1.00091096092,0,4644.0
2019-04-17,1.00091096092,0,4670.0
2019-04-18,1.00091096092,0,4590.0
2019-04-19,1.00091096092,0,4616.0
2019-04-22,1.00091096092,0,4616.0
2019-04-23,1.00091096092,0,4604.0
2019-04-24,1.00091096092,0,4570.0
2019-04-25,1.00091096092,0,4578.0
2019-04-26,1.00091096092,0,4504.0
2019-04-29,1.00091096092,0,4500.0
2019-04-30,1.00091096092,-1,4496.0
2019-05-06,1.023677372952,-1,4384.0
2019-05-07,1.014733425368,-1,4428.0
2019-05-08,1.017985769944,-1,4412.0
2019-05-09,1.013920339224,-1,4432.0
2019-05-10,1.017985769944,0,4412.0
2019-05-13,1.017985769944,0,4382.0
2019-05-14,1.017985769944,0,4374.0
2019-05-15,1.017985769944,0,4440.0
2019-05-16,1.017985769944,0,4478.0
2019-05-17,1.017985769944,0,4480.0
2019-05-20,1.017985769944,0,4476.0
2019-05-21,1.017985769944,0,4486.0
2019-05-22,1.017985769944,0,4410.0
2019-05-23,1.017985769944,0,4366.0
2019-05-24,1.017985769944,0,4368.0
2019-05-27,1.017985769944,0,4398.0
2019-05-28,1.017985769944,0,4402.0
