,value,signal,price
2020-03-31,1.0,1,9680.0
2020-04-01,0.9794,1,9480.0
2020-04-02,1.006695,1,9745.0
2020-04-03,0.99897,1,9670.0
2020-04-07,1.019055,1,9865.0
2020-04-08,1.04017,1,10070.0
2020-04-09,1.04326,1,10100.0
2020-04-10,1.04738,1,10140.0
2020-04-13,1.02678,1,9940.0
2020-04-14,1.03914,1,10060.0
2020-04-15,1.036565,1,10035.0
2020-04-16,1.0206,1,9880.0
2020-04-17,1.03811,1,10050.0
2020-04-20,1.04738,1,10140.0
2020-04-21,1.01236,1,9800.0
2020-04-22,1.003605,1,9715.0
2020-04-23,1.035535,1,10025.0
2020-04-24,1.02884,1,9960.0
2020-04-27,1.026265,1,9935.0
2020-04-28,1.02163,1,9890.0
2020-04-29,1.01751,0,9850.0
2020-04-30,1.01751,0,9965.0
2020-05-06,1.01751,0,10300.0
2020-05-07,1.01751,0,10380.0
2020-05-08,1.01751,0,10345.0
2020-05-11,1.01751,0,10335.0
2020-05-12,1.01751,0,10235.0
2020-05-13,1.01751,0,10245.0
2020-05-14,1.01751,0,10140.0
2020-05-15,1.01751,0,10295.0
2020-05-18,1.01751,0,10245.0
2020-05-19,1.01751,0,10330.0
2020-05-20,1.01751,0,10420.0
2020-05-21,1.01751,0,10435.0
2020-05-22,1.01751,0,10190.0
2020-05-25,1.01751,0,10240.0
2020-05-26,1.01751,0,10325.0
2020-05-27,1.01751,0,10250.0
2020-05-28,1.01751,0,10270.0
2020-05-29,1.01751,0,10165.0
2020-06-01,1.01751,0,10315.0
2020-06-02,1.01751,0,10300.0
2020-06-03,1.01751,0,10430.0
2020-06-04,1.01751,0,10290.0
2020-06-05,1.01751,0,10645.0
2020-06-08,1.01751,0,10600.0
2020-06-09,1.01751,0,10640.0
2020-06-10,1.01751,0,10585.0
2020-06-11,1.01751,0,10545.0
2020-06-12,1.01751,0,10375.0
2020-06-15,1.01751,0,10210.0
2020-06-16,1.01751,0,10335.0
2020-06-17,1.01751,0,10325.0
2020-06-18,1.01751,0,10315.0
2020-06-19,1.01751,0,10475.0
2020-06-22,1.01751,0,10350.0
2020-06-23,1.01751,0,10400.0
2020-06-24,1.01751,0,10325.0
2020-06-29,1.01751,0,10060.0
2020-06-30,1.01751,0,10180.0
2020-07-01,1.01751,0,10225.0
2020-07-02,1.01751,0,10375.0
2020-07-03,1.01751,0,10485.0
2020-07-06,1.01751,0,10610.0
2020-07-07,1.01751,0,10540.0
2020-07-08,1.01751,0,10650.0
2020-07-09,1.01751,0,10690.0
2020-07-10,1.01751,0,10495.0
2020-07-13,1.01751,0,10600.0
2020-07-14,1.01751,0,10600.0
2020-07-15,1.01751,0,10640.0
2020-07-16,1.01751,0,10535.0
2020-07-17,1.01751,0,10610.0
2020-07-20,1.01751,0,10505.0
2020-07-21,1.01751,0,10680.0
2020-07-22,1.01751,0,10660.0
2020-07-23,1.01751,0,10615.0
2020-07-24,1.01751,0,10535.0
2020-07-27,1.01751,0,10670.0
2020-07-28,1.01751,0,10690.0
2020-07-29,1.01751,0,10855.0
2020-07-30,1.01751,0,10885.0
2020-07-31,1.01751,1,10840.0
2020-08-03,1.01937,1,10860.0
2020-08-04,1.016115,1,10825.0
2020-08-05,1.022625,1,10895.0
2020-08-06,1.16724,1,12450.0
2020-08-07,1.175145,1,12535.0
