,value,signal,price
2016-05-31,1.0,0,2201.0
2016-06-01,1.0,0,2167.0
2016-06-02,1.0,0,2153.0
2016-06-03,1.0,0,2176.0
2016-06-06,1.0,0,2256.0
2016-06-07,1.0,0,2284.0
2016-06-08,1.0,0,2300.0
2016-06-13,1.0,0,2336.0
2016-06-14,1.0,0,2256.0
2016-06-15,1.0,0,2251.0
2016-06-16,1.0,0,2252.0
2016-06-17,1.0,-1,2261.0
2016-06-20,1.010608,-1,2237.0
2016-06-21,1.000442,-1,2260.0
2016-06-22,0.976574,-1,2314.0
2016-06-23,0.979668,-1,2307.0
2016-06-24,0.9840880000000001,-1,2297.0
2016-06-27,0.917346,-1,2448.0
2016-06-28,0.919556,-1,2443.0
2016-06-29,0.9345840000000001,-1,2409.0
2016-06-30,0.893478,-1,2502.0
2016-07-01,0.8903840000000001,-1,2509.0
2016-07-04,0.8651899999999999,-1,2566.0
2016-07-05,0.881102,-1,2530.0
2016-07-06,0.886406,-1,2518.0
2016-07-07,0.8691679999999999,-1,2557.0
2016-07-08,0.852814,0,2594.0
2016-07-11,0.852814,0,2589.0
2016-07-12,0.852814,0,2699.0
2016-07-13,0.852814,0,2664.0
2016-07-14,0.852814,0,2659.0
2016-07-15,0.852814,0,2661.0
2016-07-18,0.852814,0,2495.0
2016-07-19,0.852814,0,2430.0
2016-07-20,0.852814,0,2463.0
2016-07-21,0.852814,0,2572.0
2016-07-22,0.852814,1,2495.0
2016-07-25,0.8739637871999999,1,2557.0
2016-07-26,0.8899966904000001,1,2604.0
2016-07-27,0.8964780767999999,1,2623.0
2016-07-28,0.9138754824,1,2674.0
2016-07-29,0.8882910624,1,2599.0
2016-08-01,0.9227447480000001,1,2700.0
2016-08-02,0.9189923663999998,1,2689.0
2016-08-03,0.9135343568,1,2673.0
2016-08-04,0.8975014536,1,2626.0
2016-08-05,0.926156004,1,2710.0
2016-08-08,0.9524226752,1,2787.0
2016-08-09,0.9404832792,1,2752.0
2016-08-10,0.9411655303999998,1,2754.0
2016-08-11,0.943212284,1,2760.0
2016-08-12,0.9387776512,1,2747.0
2016-08-15,0.9340018927999999,0,2733.0
2016-08-16,0.9340018927999999,0,2817.0
2016-08-17,0.9340018927999999,0,2790.0
2016-08-18,0.9340018927999999,0,2793.0
2016-08-19,0.9340018927999999,0,2786.0
2016-08-22,0.9340018927999999,0,2776.0
2016-08-23,0.9340018927999999,0,2839.0
2016-08-24,0.9340018927999999,0,2825.0
2016-08-25,0.9340018927999999,0,2823.0
2016-08-26,0.9340018927999999,-1,2784.0
2016-08-29,0.9132456624,-1,2830.0
2016-08-30,0.9358067824,-1,2780.0
2016-08-31,0.9565630127999999,-1,2734.0
2016-09-01,0.953404456,-1,2741.0
2016-09-02,0.9479897871999999,0,2753.0
2016-09-05,0.9479897871999999,0,2668.0
2016-09-06,0.9479897871999999,0,2643.0
2016-09-07,0.9479897871999999,0,2560.0
2016-09-08,0.9479897871999999,0,2587.0
2016-09-09,0.9479897871999999,0,2595.0
2016-09-12,0.9479897871999999,0,2542.0
2016-09-13,0.9479897871999999,0,2534.0
2016-09-14,0.9479897871999999,0,2552.0
2016-09-19,0.9479897871999999,0,2540.0
2016-09-20,0.9479897871999999,0,2548.0
2016-09-21,0.9479897871999999,0,2530.0
2016-09-22,0.9479897871999999,0,2567.0
2016-09-23,0.9479897871999999,0,2604.0
2016-09-26,0.9479897871999999,0,2619.0
2016-09-27,0.9479897871999999,0,2570.0
2016-09-28,0.9479897871999999,0,2585.0
2016-09-29,0.9479897871999999,0,2565.0
2016-09-30,0.9479897871999999,0,2541.0
2016-10-10,0.9479897871999999,0,2568.0
2016-10-11,0.9479897871999999,0,2675.0
2016-10-12,0.9479897871999999,0,2711.0
2016-10-13,0.9479897871999999,0,2696.0
2016-10-14,0.9479897871999999,0,2718.0
2016-10-17,0.9479897871999999,0,2738.0
2016-10-18,0.9479897871999999,0,2729.0
2016-10-19,0.9479897871999999,0,2756.0
2016-10-20,0.9479897871999999,0,2806.0
2016-10-21,0.9479897871999999,0,2791.0
2016-10-24,0.9479897871999999,0,2806.0
2016-10-25,0.9479897871999999,0,2884.0
2016-10-26,0.9479897871999999,0,2854.0
2016-10-27,0.9479897871999999,0,2849.0
2016-10-28,0.9479897871999999,-1,2909.0
2016-10-31,0.9224278192,-1,2969.0
2016-11-01,0.8943096544000001,-1,3035.0
2016-11-02,0.8819547031999999,-1,3064.0
2016-11-03,0.8585228991999999,-1,3119.0
2016-11-04,0.8559667024000001,0,3125.0
2016-11-07,0.8559667024000001,0,3284.0
2016-11-08,0.8559667024000001,0,3220.0
2016-11-09,0.8559667024000001,0,3387.0
2016-11-10,0.8559667024000001,0,3346.0
2016-11-11,0.8559667024000001,0,3480.0
2016-11-14,0.8559667024000001,0,3350.0
2016-11-15,0.8559667024000001,0,3217.0
2016-11-16,0.8559667024000001,0,3205.0
2016-11-17,0.8559667024000001,0,3218.0
2016-11-18,0.8559667024000001,0,3179.0
2016-11-21,0.8559667024000001,0,3151.0
2016-11-22,0.8559667024000001,0,3342.0
2016-11-23,0.8559667024000001,0,3424.0
2016-11-24,0.8559667024000001,0,3399.0
2016-11-25,0.8559667024000001,0,3551.0
2016-11-28,0.8559667024000001,0,3620.0
2016-11-29,0.8559667024000001,0,3413.0
2016-11-30,0.8559667024000001,0,3295.0
2016-12-01,0.8559667024000001,0,3578.0
2016-12-02,0.8559667024000001,-1,3494.0
2016-12-05,0.8220461680000001,-1,3583.0
2016-12-06,0.7995595216000001,-1,3642.0
2016-12-07,0.7580163952,-1,3751.0
2016-12-08,0.7545862288,-1,3760.0
2016-12-09,0.7622088208,-1,3740.0
2016-12-12,0.7507749328,-1,3770.0
2016-12-13,0.7309561936000001,-1,3822.0
2016-12-14,0.7690691535999999,-1,3722.0
2016-12-15,0.7442957295999999,-1,3787.0
2016-12-16,0.7866011152,-1,3676.0
2016-12-19,0.8323366672,-1,3556.0
2016-12-20,0.8323366672,-1,3574.0
2016-12-21,0.8270315183999999,-1,3588.0
2016-12-22,0.8925879999999999,-1,3415.0
2016-12-23,0.903956176,0,3385.0
2016-12-26,0.903956176,0,3299.0
2016-12-27,0.903956176,0,3391.0
2016-12-28,0.903956176,0,3405.0
2016-12-29,0.903956176,0,3352.0
2016-12-30,0.903956176,-1,3305.0
2017-01-03,0.906677748,-1,3298.0
2017-01-04,0.878684436,-1,3370.0
2017-01-05,0.883349988,-1,3358.0
2017-01-06,0.916397648,1,3273.0
2017-01-09,0.9655845721599999,1,3449.0
2017-01-10,0.9971648132400001,1,3562.0
2017-01-11,0.99912111136,1,3569.0
2017-01-12,1.00554894804,1,3592.0
2017-01-13,0.9982826978800001,0,3566.0
2017-01-16,0.9982826978800001,0,3721.0
2017-01-17,0.9982826978800001,0,3629.0
2017-01-18,0.9982826978800001,0,3622.0
2017-01-19,0.9982826978800001,0,3551.0
2017-01-20,0.9982826978800001,0,3452.0
2017-01-23,0.9982826978800001,0,3462.0
2017-01-24,0.9982826978800001,0,3585.0
2017-01-25,0.9982826978800001,0,3600.0
2017-01-26,0.9982826978800001,0,3660.0
2017-02-03,0.9982826978800001,0,3382.0
2017-02-06,0.9982826978800001,0,3385.0
2017-02-07,0.9982826978800001,0,3469.0
2017-02-08,0.9982826978800001,0,3533.0
2017-02-09,0.9982826978800001,0,3489.0
