,value,signal,price
2018-01-05,1.0,1,2061.5
2018-01-08,1.01358,1,2089.5
2018-01-09,1.0050925,1,2072.0
2018-01-10,0.9822975,1,2025.0
2018-01-11,0.98448,1,2029.5
2018-01-12,0.9755075,1,2011.0
2018-01-15,0.9624125,1,1984.0
2018-01-16,0.9624125,1,1959.5
2018-01-17,0.962167,1,1959.0
2018-01-18,0.9658495,1,1966.5
2018-01-19,0.975915,-1,1987.0
2018-01-22,0.9712515901725,-1,1996.5
2018-01-23,0.97296968853,-1,1993.0
2018-01-24,0.9692880491925,-1,2000.5
2018-01-25,0.9383622787575,-1,2063.5
2018-01-26,0.9494071967700001,1,2041.0
2018-01-29,0.9454545559760001,1,2032.5
2018-01-30,0.9361542246960001,1,2012.5
2018-01-31,0.9335966335940001,1,2007.0
2018-02-01,0.9301090093640001,1,1999.5
2018-02-02,0.9512672630260001,1,2045.0
2018-02-05,0.9877710633000001,1,2123.5
2018-02-06,0.9859109970440002,1,2119.5
2018-02-07,1.002651593348,1,2155.5
2018-02-08,0.9986989525540001,1,2147.0
2018-02-09,0.979400765148,1,2105.5
2018-02-12,0.9817258479680001,1,2110.5
2018-02-13,0.9821908645320001,1,2111.5
2018-02-14,0.9961413614520002,1,2141.5
2018-02-22,1.0121844329100003,1,2176.0
2018-02-23,1.03311017829,-1,2221.0
2018-02-26,1.00465403211,-1,2279.0
2018-02-27,1.0073524597649999,-1,2273.5
2018-02-28,1.024033648905,-1,2239.5
2018-03-01,1.0147118079150002,-1,2258.5
2018-03-02,1.02280709088,-1,2242.0
2018-03-05,1.05469759953,-1,2177.0
2018-03-06,1.04635700496,-1,2194.0
2018-03-07,1.0674538029899998,-1,2151.0
2018-03-08,1.0674538029899998,-1,2112.0
2018-03-09,1.105967724975,1,2035.0
2018-03-12,1.0880621610899999,1,2002.0
2018-03-13,1.08046586126,1,1988.0
2018-03-14,1.098371425145,1,2021.0
2018-03-15,1.086434382555,1,1999.0
2018-03-16,1.08480660402,-1,1996.0
2018-03-19,1.1103058533,-1,1945.0
2018-03-20,1.1128057797,-1,1940.0
2018-03-21,1.10430602994,-1,1957.0
2018-03-22,1.10055614034,-1,1964.5
2018-03-23,1.15680448434,-1,1852.0
2018-03-26,1.15680448434,-1,1833.5
2018-03-27,1.1530155333899998,-1,1841.0
2018-03-28,1.18560051156,-1,1776.5
2018-03-29,1.1845901246400001,-1,1778.5
2018-03-30,1.16261420913,0,1822.0
2018-03-31,1.16261420913,0,1822.0
2018-04-02,1.16261420913,0,1848.0
2018-04-03,1.16261420913,0,1872.5
2018-04-04,1.16261420913,0,1889.0
2018-04-06,1.16261420913,0,1889.0
2018-04-09,1.16261420913,0,1877.0
2018-04-10,1.16261420913,0,1876.5
2018-04-11,1.16261420913,0,1745.5
2018-04-12,1.16261420913,0,1731.5
2018-04-13,1.16261420913,1,1759.0
2018-04-16,1.1540243764500002,1,1746.0
2018-04-17,1.18111538721,1,1787.0
2018-04-18,1.2234037942500002,1,1851.0
2018-04-19,1.25148593955,1,1893.5
2018-04-20,1.2161354742900001,1,1840.0
2018-04-23,1.27659468123,1,1931.5
2018-04-24,1.28121997575,1,1938.5
2018-04-25,1.27659468123,1,1931.5
2018-04-26,1.2663529576499999,1,1916.0
2018-04-27,1.25214669591,0,1894.5
2018-04-30,1.25214669591,0,1894.5
2018-05-02,1.25214669591,0,1988.5
2018-05-03,1.25214669591,0,1983.5
2018-05-04,1.25214669591,-1,1993.0
2018-05-07,1.23599483174,-1,2025.5
2018-05-08,1.237734263266,-1,2022.0
2018-05-09,1.25587404918,-1,1985.5
2018-05-10,1.249164813294,-1,1999.0
2018-05-11,1.215618633864,0,2066.5
2018-05-14,1.215618633864,0,2084.0
2018-05-15,1.215618633864,0,2102.0
2018-05-16,1.215618633864,0,2117.5
2018-05-17,1.215618633864,0,2106.5
2018-05-18,1.215618633864,-1,2088.0
2018-05-21,1.229377026792,-1,2060.0
2018-05-22,1.248294817068,-1,2021.5
2018-05-23,1.27875982998,-1,1959.5
2018-05-24,1.27875982998,-1,1992.0
2018-05-25,1.2850455667360003,0,1979.0
2018-05-28,1.2850455667360003,0,1995.5
2018-05-29,1.2850455667360003,0,2059.5
2018-05-30,1.2850455667360003,0,2048.0
2018-05-31,1.2850455667360003,0,2084.5
2018-06-01,1.2850455667360003,0,2081.0
2018-06-04,1.2850455667360003,0,2025.0
2018-06-05,1.2850455667360003,0,2045.0
2018-06-06,1.2850455667360003,0,2025.0
2018-06-07,1.2850455667360003,0,2078.0
2018-06-08,1.2850455667360003,0,2075.5
2018-06-11,1.2850455667360003,0,2072.0
2018-06-12,1.2850455667360003,0,2141.5
2018-06-13,1.2850455667360003,0,2128.0
2018-06-14,1.2850455667360003,0,2187.5
2018-06-15,1.2850455667360003,0,2196.0
2018-06-19,1.2850455667360003,0,2086.0
2018-06-20,1.2850455667360003,0,2123.5
2018-06-21,1.2850455667360003,0,2131.0
2018-06-22,1.2850455667360003,-1,2111.0
2018-06-25,1.2988690270799998,-1,2080.5
2018-06-26,1.32379657852,-1,2025.5
2018-06-27,1.325836105456,-1,2021.0
2018-06-28,1.3083868194480002,-1,2059.5
2018-06-29,1.2820995833839999,0,2117.5
2018-06-30,1.2820995833839999,0,2117.5
2018-07-02,1.2820995833839999,0,2025.5
2018-07-03,1.2820995833839999,0,2036.0
2018-07-04,1.2820995833839999,0,2045.0
2018-07-05,1.2820995833839999,0,2012.0
2018-07-06,1.2820995833839999,1,2010.5
2018-07-09,1.295149124761,1,2031.0
2018-07-10,1.291966309791,1,2026.0
2018-07-11,1.2910114653,1,2024.5
2018-07-12,1.3196568000299997,1,2069.5
2018-07-13,1.291966309791,0,2026.0
2018-07-16,1.291966309791,0,2001.5
2018-07-17,1.291966309791,0,2012.0
2018-07-18,1.291966309791,0,2000.5
2018-07-19,1.291966309791,0,2021.0
2018-07-20,1.291966309791,0,2054.5
2018-07-23,1.291966309791,0,2100.0
2018-07-24,1.291966309791,0,2119.0
2018-07-25,1.291966309791,0,2141.5
2018-07-26,1.291966309791,0,2136.5
2018-07-27,1.291966309791,0,2221.0
2018-07-30,1.291966309791,0,2272.0
2018-07-31,1.291966309791,0,2265.0
2018-08-01,1.291966309791,0,2303.0
2018-08-02,1.291966309791,0,2349.5
2018-08-03,1.291966309791,1,2428.0
2018-08-06,1.3286343953609998,1,2497.0
2018-08-07,1.2994062112109999,1,2442.0
2018-08-08,1.284526408371,1,2414.0
2018-08-09,1.313754592521,1,2469.0
2018-08-10,1.287980648316,1,2420.5
2018-08-13,1.320928783176,1,2482.5
2018-08-14,1.311097484871,1,2464.0
2018-08-15,1.324914444651,1,2490.0
2018-08-16,1.3647710594009999,1,2565.0
2018-08-17,1.430667329121,1,2689.0
2018-08-20,1.4200388985209997,1,2669.0
2018-08-21,1.3676938778159997,1,2570.5
2018-08-22,1.388685028251,1,2610.0
