,signal
2019/6/7,0
2019/6/10,0
2019/6/11,0
2019/6/12,0
2019/6/13,0
2019/6/14,0
2019/6/17,0
2019/6/18,0
2019/6/19,0
2019/6/20,0
2019/6/21,0
2019/6/24,0
2019/6/25,0
2019/6/26,0
2019/6/27,0
2019/6/28,0
2019/6/30,0
2019/7/1,0
2019/7/2,0
2019/7/3,0
2019/7/4,0
2019/7/5,0
2019/7/8,0
2019/7/9,0
2019/7/10,0
2019/7/11,0
2019/7/12,-1
2019/7/15,-1
2019/7/16,-1
2019/7/17,-1
2019/7/18,-1
2019/7/19,-1
2019/7/20,-1
2019/7/22,-1
2019/7/23,-1
2019/7/24,-1
2019/7/25,-1
2019/7/26,-1
2019/7/29,-1
2019/7/30,-1
2019/7/31,-1
2019/8/1,0
2019/8/2,0
2019/8/5,0
2019/8/6,0
2019/8/7,0
2019/8/8,0
2019/8/9,-1
2019/8/10,-1
2019/8/12,-1
2019/8/13,-1
2019/8/14,-1
2019/8/15,-1
2019/8/16,-1
2019/8/19,-1
2019/8/20,-1
2019/8/21,-1
2019/8/22,-1
2019/8/23,0
2019/8/26,0
2019/8/27,0
2019/8/28,0
2019/8/29,0
2019/8/30,-1
2019/8/31,-1
2019/9/2,-1
2019/9/3,-1
2019/9/4,-1
2019/9/5,-1
2019/9/6,-1
2019/9/9,-1
2019/9/10,-1
2019/9/11,-1
2019/9/12,-1
2019/9/13,-1
2019/9/16,-1
2019/9/17,-1
2019/9/18,-1
2019/9/19,-1
2019/9/20,-1
2019/9/23,-1
2019/9/24,-1
2019/9/25,-1
2019/9/26,-1
2019/9/27,-1
2019/9/30,-1
2019/10/4,-1
2019/10/8,-1
2019/10/9,-1
2019/10/10,-1
2019/10/11,-1
2019/10/14,-1
2019/10/15,-1
2019/10/16,-1
2019/10/17,-1
2019/10/18,-1
2019/10/20,-1
2019/10/21,-1
2019/10/22,-1
2019/10/23,-1
2019/10/24,-1
2019/10/25,-1
2019/10/28,-1
2019/10/29,-1
2019/10/30,-1
2019/10/31,-1
2019/11/1,-1
2019/11/4,-1
2019/11/5,-1
2019/11/6,-1
2019/11/7,-1
2019/11/8,-1
2019/11/10,-1
2019/11/11,-1
2019/11/12,-1
2019/11/13,-1
2019/11/14,-1
2019/11/15,-1
2019/11/18,-1
2019/11/19,-1
2019/11/20,-1
2019/11/21,-1
2019/11/22,-1
2019/11/25,-1
2019/11/26,-1
2019/11/27,-1
2019/11/28,-1
2019/11/29,-1
2019/11/30,-1
2019/12/2,-1
2019/12/3,-1
2019/12/4,0
2019/12/5,0
2019/12/6,0
2019/12/9,0
2019/12/10,0
2019/12/11,0
2019/12/12,0
2019/12/13,0
2019/12/16,0
2019/12/17,0
2019/12/18,0
2019/12/19,0
2019/12/20,0
2019/12/23,0
2019/12/24,0
2019/12/25,0
2019/12/26,0
2019/12/27,0
2019/12/30,0
2019/12/31,0
2020/1/2,0
2020/1/3,0
2020/1/6,0
2020/1/7,0
2020/1/8,0
2020/1/9,0
2020/1/10,0
2020/1/13,0
2020/1/14,0
2020/1/15,0
2020/1/16,0
2020/1/17,0
2020/1/20,0
2020/1/21,0
2020/1/22,0
2020/1/23,0
2020/1/24,0
2020/1/31,0
2020/2/3,0
2020/2/4,0
2020/2/5,0
2020/2/6,0
2020/2/7,1
2020/2/10,1
2020/2/11,1
2020/2/12,1
2020/2/13,1
2020/2/14,1
