,value,signal,price
2016-05-31,1.0,0,2579.0
2016-06-01,1.0,0,2567.0
2016-06-02,1.0,0,2567.0
2016-06-03,1.0,0,2598.0
2016-06-06,1.0,0,2594.0
2016-06-07,1.0,0,2621.0
2016-06-08,1.0,0,2613.0
2016-06-13,1.0,0,2632.0
2016-06-14,1.0,0,2617.0
2016-06-15,1.0,0,2595.0
2016-06-16,1.0,0,2592.0
2016-06-17,1.0,0,2594.0
2016-06-20,1.0,0,2593.0
2016-06-21,1.0,0,2594.0
2016-06-22,1.0,0,2594.0
2016-06-23,1.0,0,2526.0
2016-06-24,1.0,0,2619.0
2016-06-27,1.0,0,2629.0
2016-06-28,1.0,0,2555.0
2016-06-29,1.0,0,2613.0
2016-06-30,1.0,0,2516.0
2016-07-01,1.0,0,2613.0
2016-07-04,1.0,0,2603.0
2016-07-05,1.0,0,2673.0
2016-07-06,1.0,0,2605.0
2016-07-07,1.0,0,2656.0
2016-07-08,1.0,0,2638.0
2016-07-11,1.0,0,2626.0
2016-07-12,1.0,0,2653.0
2016-07-13,1.0,0,2688.0
2016-07-14,1.0,0,2624.0
2016-07-15,1.0,0,2644.0
2016-07-18,1.0,0,2554.0
2016-07-19,1.0,0,2626.0
2016-07-20,1.0,0,2497.0
2016-07-21,1.0,0,2620.0
2016-07-22,1.0,0,2617.0
2016-07-25,1.0,0,2597.0
2016-07-26,1.0,0,2634.0
2016-07-27,1.0,0,2634.0
2016-07-28,1.0,0,2630.0
2016-07-29,1.0,0,2637.0
2016-08-01,1.0,0,2620.0
2016-08-02,1.0,0,2630.0
2016-08-03,1.0,0,2099.0
2016-08-04,1.0,0,2649.0
2016-08-05,1.0,0,2632.0
2016-08-08,1.0,0,2640.0
2016-08-09,1.0,0,2627.0
2016-08-10,1.0,0,2627.0
2016-08-11,1.0,0,2627.0
2016-08-12,1.0,0,2632.0
2016-08-15,1.0,0,2632.0
2016-08-16,1.0,0,2650.0
2016-08-17,1.0,0,2115.0
2016-08-18,1.0,0,2220.0
2016-08-19,1.0,0,2637.0
2016-08-22,1.0,0,2250.0
2016-08-23,1.0,0,2504.0
2016-08-24,1.0,0,2604.0
2016-08-25,1.0,0,2546.0
2016-08-26,1.0,0,2610.0
2016-08-29,1.0,0,2310.0
2016-08-30,1.0,0,2553.0
2016-08-31,1.0,1,2551.0
2016-09-01,1.027832,1,2622.0
2016-09-02,1.029008,1,2625.0
2016-09-05,1.026656,1,2619.0
2016-09-06,1.029792,1,2627.0
2016-09-07,1.049,1,2676.0
2016-09-08,1.046256,1,2669.0
2016-09-09,1.059976,1,2704.0
2016-09-12,1.015288,1,2590.0
2016-09-13,1.052528,1,2685.0
2016-09-14,1.044688,1,2665.0
2016-09-19,1.050568,1,2680.0
2016-09-20,1.050568,1,2680.0
2016-09-21,1.05684,1,2696.0
2016-09-22,0.994512,1,2537.0
2016-09-23,0.994512,1,2550.0
2016-09-26,1.045992,1,2682.0
2016-09-27,1.025712,1,2630.0
2016-09-28,0.994902,1,2551.0
2016-09-29,0.981252,1,2516.0
2016-09-30,0.981252,0,2675.0
2016-10-10,0.981252,0,2670.0
2016-10-11,0.981252,0,2315.0
2016-10-12,0.981252,0,2430.0
2016-10-13,0.981252,0,2675.0
2016-10-14,0.981252,0,2467.0
2016-10-17,0.981252,0,2675.0
2016-10-18,0.981252,0,2425.0
2016-10-19,0.981252,0,2675.0
2016-10-20,0.981252,0,2675.0
2016-10-21,0.981252,0,2675.0
2016-10-24,0.981252,0,2718.0
2016-10-25,0.981252,0,2646.0
2016-10-26,0.981252,0,2667.0
2016-10-27,0.981252,0,2667.0
2016-10-28,0.981252,0,2625.0
2016-10-31,0.981252,0,2758.0
2016-11-01,0.981252,0,2779.0
2016-11-02,0.981252,0,2817.0
2016-11-03,0.981252,0,2825.0
2016-11-04,0.981252,0,2818.0
2016-11-07,0.981252,0,2794.0
2016-11-08,0.981252,0,2760.0
2016-11-09,0.981252,0,2747.0
2016-11-10,0.981252,0,2924.0
2016-11-11,0.981252,0,2927.0
2016-11-14,0.981252,0,2860.0
2016-11-15,0.981252,0,2969.0
2016-11-16,0.981252,0,3035.0
2016-11-17,0.981252,0,2998.0
2016-11-18,0.981252,0,3000.0
2016-11-21,0.981252,0,2785.0
2016-11-22,0.981252,0,3036.0
2016-11-23,0.981252,0,3033.0
2016-11-24,0.981252,0,2806.0
2016-11-25,0.981252,0,3166.0
