,value,signal,price
2019-01-04,1.0,-1,1863.0
2019-01-07,1.00536,-1,1853.0
2019-01-08,1.0133999999999999,-1,1838.0
2019-01-09,1.01072,-1,1843.0
2019-01-10,1.015008,-1,1835.0
2019-01-11,1.019832,-1,1826.0
2019-01-14,1.027872,-1,1811.0
2019-01-15,1.028408,-1,1810.0
2019-01-16,1.019832,-1,1826.0
2019-01-17,1.023048,-1,1820.0
2019-01-18,1.020904,1,1824.0
2019-01-21,1.025939098528,1,1833.0
2019-01-22,1.0309741970560002,1,1842.0
2019-01-23,1.02929583088,1,1839.0
2019-01-24,1.027617464704,1,1836.0
2019-01-25,1.042722760288,1,1863.0
2019-01-28,1.03768766176,1,1854.0
2019-01-29,1.039366027936,1,1857.0
2019-01-30,1.043841671072,1,1865.0
2019-01-31,1.042722760288,1,1863.0
2019-02-01,1.0483173142080002,-1,1873.0
2019-02-11,1.05260544816,-1,1865.0
2019-02-12,1.0547495151360002,-1,1861.0
2019-02-13,1.061181716064,-1,1849.0
2019-02-14,1.070294000712,-1,1832.0
2019-02-15,1.0681499337359999,-1,1836.0
2019-02-18,1.0788702686159999,-1,1816.0
2019-02-19,1.0751181514080002,-1,1823.0
2019-02-20,1.084230436056,-1,1806.0
2019-02-21,1.082622385824,-1,1809.0
2019-02-22,1.0815503523360002,1,1811.0
2019-02-25,1.0654258725240002,1,1784.0
2019-02-26,1.069606293216,1,1791.0
2019-02-27,1.07199510504,1,1795.0
2019-02-28,1.087522381896,1,1821.0
2019-03-01,1.08692517894,1,1820.0
2019-03-04,1.083341961204,1,1814.0
2019-03-05,1.089313990764,1,1824.0
2019-03-06,1.086327975984,1,1819.0
2019-03-07,1.0934944114560001,1,1831.0
2019-03-08,1.0917028025880002,0,1828.0
2019-03-11,1.0917028025880002,0,1835.0
2019-03-12,1.0917028025880002,0,1844.0
2019-03-13,1.0917028025880002,0,1829.0
2019-03-14,1.0917028025880002,0,1838.0
2019-03-15,1.0917028025880002,-1,1847.0
2019-03-18,1.08692665206,-1,1856.0
2019-03-19,1.090110752412,-1,1850.0
2019-03-20,1.1001937368599999,-1,1831.0
2019-03-21,1.103908520604,-1,1824.0
2019-03-22,1.10815398774,0,1816.0
2019-03-25,1.10815398774,0,1816.0
2019-03-26,1.10815398774,0,1822.0
2019-03-27,1.10815398774,0,1842.0
2019-03-28,1.10815398774,0,1833.0
2019-03-29,1.10815398774,0,1844.0
2019-04-01,1.10815398774,0,1843.0
2019-04-02,1.10815398774,0,1852.0
2019-04-03,1.10815398774,0,1858.0
2019-04-04,1.10815398774,0,1886.0
2019-04-08,1.10815398774,0,1879.0
2019-04-09,1.10815398774,0,1867.0
2019-04-10,1.10815398774,0,1876.0
2019-04-11,1.10815398774,0,1881.0
2019-04-12,1.10815398774,-1,1897.0
2019-04-15,1.10205942066,-1,1909.0
2019-04-16,1.10053577889,-1,1912.0
2019-04-17,1.1045988236100002,-1,1904.0
2019-04-18,1.10916974892,-1,1895.0
2019-04-19,1.1025673012500001,1,1908.0
2019-04-22,1.10949869625,1,1920.0
2019-04-23,1.10892108,1,1919.0
2019-04-24,1.10603299875,1,1914.0
2019-04-25,1.10603299875,1,1914.0
2019-04-26,1.09910160375,1,1902.0
2019-04-29,1.1077658474999998,1,1917.0
2019-04-30,1.1071882312499999,1,1916.0
2019-05-06,1.1112315449999999,1,1923.0
2019-05-07,1.11411962625,1,1928.0
2019-05-08,1.10949869625,1,1920.0
2019-05-09,1.1146972425000001,1,1929.0
2019-05-10,1.1123867775,-1,1925.0
2019-05-13,1.1001894760920001,-1,1949.0
2019-05-14,1.101205917876,-1,1947.0
2019-05-15,1.0945990462800002,-1,1960.0
2019-05-16,1.0854510702240001,-1,1978.0
2019-05-17,1.076303094168,1,1996.0
2019-05-20,1.082762629512,1,2008.0
2019-05-21,1.075764799556,1,1995.0
2019-05-22,1.070920148048,1,1986.0
2019-05-23,1.0687669696,1,1982.0
2019-05-24,1.070381853436,0,1985.0
2019-05-27,1.070381853436,0,2007.0
2019-05-28,1.070381853436,0,1994.0
2019-05-29,1.070381853436,0,2004.0
2019-05-30,1.070381853436,0,1986.0
2019-05-31,1.070381853436,0,1971.0
2019-06-03,1.070381853436,0,1963.0
2019-06-04,1.070381853436,0,1974.0
2019-06-05,1.070381853436,0,1964.0
2019-06-06,1.070381853436,0,1955.0
2019-06-10,1.070381853436,0,1966.0
2019-06-11,1.070381853436,0,1963.0
2019-06-12,1.070381853436,0,1957.0
2019-06-13,1.070381853436,0,1963.0
2019-06-14,1.070381853436,0,1947.0
2019-06-17,1.070381853436,0,1953.0
2019-06-18,1.070381853436,0,1949.0
2019-06-19,1.070381853436,0,1943.0
2019-06-20,1.070381853436,0,1937.0
2019-06-21,1.070381853436,-1,1953.0
2019-06-24,1.070898718029,-1,1952.0
2019-06-25,1.072449311808,-1,1949.0
2019-06-26,1.077101093145,-1,1940.0
2019-06-27,1.077101093145,-1,1940.0
2019-06-28,1.072966176401,-1,1948.0
2019-07-01,1.079168551517,-1,1936.0
2019-07-02,1.0802022807029998,-1,1934.0
2019-07-03,1.0776179577379998,-1,1939.0
2019-07-04,1.0802022807029998,-1,1934.0
2019-07-05,1.0802022807029998,1,1934.0
2019-07-08,1.0796445057839998,1,1933.0
2019-07-09,1.0729512067559999,1,1921.0
2019-07-10,1.0673734575659999,0,1911.0
2019-07-11,1.0673734575659999,0,1914.0
2019-07-12,1.0673734575659999,-1,1918.0
2019-07-15,1.0622250913859999,-1,1928.0
2019-07-16,1.062739928004,-1,1927.0
