,value,signal,price
2019-01-02,1.0,1,1284.0
2019-01-03,1.014782,1,1303.0
2019-01-04,1.024896,1,1316.0
2019-01-07,1.024896,1,1316.0
2019-01-08,1.020228,1,1310.0
2019-01-09,1.01945,1,1309.0
2019-01-10,1.017894,1,1307.0
2019-01-11,1.030342,1,1323.0
2019-01-14,1.025674,1,1317.0
2019-01-15,1.018672,1,1308.0
2019-01-16,1.025674,1,1317.0
2019-01-17,1.017116,1,1306.0
2019-01-18,1.021006,1,1311.0
2019-01-21,1.045902,1,1343.0
2019-01-22,1.038122,1,1333.0
2019-01-23,1.039678,1,1335.0
2019-01-24,1.042012,1,1338.0
2019-01-25,1.044346,1,1341.0
2019-01-28,1.043568,1,1340.0
2019-01-29,1.043568,1,1340.0
2019-01-30,1.056016,0,1356.0
2019-01-31,1.056016,0,1366.0
2019-02-01,1.056016,0,1380.0
2019-02-11,1.056016,0,1382.0
2019-02-12,1.056016,0,1365.0
2019-02-13,1.056016,0,1353.0
2019-02-14,1.056016,0,1342.0
2019-02-15,1.056016,0,1329.0
2019-02-18,1.056016,0,1327.0
2019-02-19,1.056016,0,1358.0
2019-02-20,1.056016,0,1355.0
2019-02-21,1.056016,0,1358.0
2019-02-22,1.056016,0,1355.0
2019-02-25,1.056016,0,1357.0
2019-02-26,1.056016,0,1359.0
2019-02-27,1.056016,0,1362.0
2019-02-28,1.056016,0,1325.0
2019-03-01,1.056016,0,1333.0
2019-03-04,1.056016,0,1316.0
2019-03-05,1.056016,0,1308.0
2019-03-06,1.056016,0,1305.0
2019-03-07,1.056016,0,1306.0
2019-03-08,1.056016,0,1305.0
2019-03-11,1.056016,0,1289.0
2019-03-12,1.056016,0,1292.0
2019-03-13,1.056016,0,1281.0
2019-03-14,1.056016,0,1288.0
2019-03-15,1.056016,0,1292.0
2019-03-18,1.056016,0,1281.0
2019-03-19,1.056016,0,1266.0
2019-03-20,1.056016,0,1280.0
2019-03-21,1.056016,0,1285.0
2019-03-22,1.056016,0,1291.0
2019-03-25,1.056016,0,1286.0
2019-03-26,1.056016,0,1280.0
2019-03-27,1.056016,0,1293.0
2019-03-28,1.056016,0,1292.0
2019-03-29,1.056016,0,1297.0
2019-04-01,1.056016,0,1294.0
2019-04-02,1.056016,0,1292.0
2019-04-03,1.056016,0,1281.0
2019-04-04,1.056016,0,1292.0
2019-04-08,1.056016,0,1295.0
2019-04-09,1.056016,0,1282.0
2019-04-10,1.056016,0,1297.0
2019-04-11,1.056016,-1,1317.0
2019-04-12,1.075252387456,-1,1293.0
2019-04-15,1.081664516608,-1,1285.0
2019-04-16,1.080863000464,-1,1286.0
2019-04-17,1.041588709408,-1,1335.0
2019-04-18,1.053611451568,-1,1320.0
2019-04-19,1.0359780964,-1,1342.0
2019-04-22,1.0287644511040002,-1,1351.0
2019-04-23,1.0223523219519999,1,1359.0
2019-04-24,1.0200956295699999,1,1356.0
2019-04-25,1.0200956295699999,1,1356.0
2019-04-26,1.023104552746,1,1360.0
2019-04-29,1.0170867063940001,1,1352.0
2019-04-30,1.018591167982,1,1354.0
2019-05-06,1.008059936866,1,1340.0
2019-05-07,1.003546552102,1,1334.0
2019-05-08,1.006555475278,1,1338.0
2019-05-09,1.018591167982,1,1354.0
2019-05-10,1.023104552746,1,1360.0
2019-05-13,1.0321313222739998,1,1372.0
2019-05-14,1.0246090143339999,1,1362.0
2019-05-15,1.0479281689479998,1,1393.0
2019-05-16,1.0494326305359998,1,1395.0
2019-05-17,1.05770716927,1,1406.0
2019-05-20,1.053193784506,1,1400.0
2019-05-21,1.058459400064,1,1407.0
2019-05-22,1.06899063118,1,1421.0
2019-05-23,1.05018486133,1,1396.0
2019-05-24,1.051689322918,0,1398.0
2019-05-27,1.051689322918,0,1403.0
2019-05-28,1.051689322918,0,1388.0
2019-05-29,1.051689322918,0,1384.0
2019-05-30,1.051689322918,0,1383.0
2019-05-31,1.051689322918,0,1377.0
2019-06-03,1.051689322918,-1,1377.0
2019-06-04,1.058198546366,-1,1369.0
2019-06-05,1.054130281711,-1,1374.0
2019-06-06,1.0362299172290002,-1,1396.0
2019-06-10,1.0297206937810002,-1,1404.0
2019-06-11,0.981715170852,-1,1463.0
2019-06-12,0.9939199648170001,-1,1448.0
2019-06-13,0.981715170852,-1,1463.0
2019-06-14,0.981715170852,-1,1463.0
2019-06-17,0.9857834355070001,-1,1458.0
2019-06-18,0.9792742120590001,-1,1466.0
2019-06-19,0.9711376827490001,-1,1476.0
2019-06-20,0.962187500508,-1,1487.0
2019-06-21,0.9638148063699999,-1,1485.0
2019-06-24,0.960560194646,-1,1489.0
2019-06-25,0.9630011534390001,-1,1486.0
2019-06-26,0.9451007889570001,-1,1508.0
2019-06-27,0.95567827706,-1,1495.0
2019-06-28,0.9581192358530001,-1,1492.0
2019-07-01,0.9467280948190001,-1,1506.0
2019-07-02,0.9451007889570001,0,1508.0
2019-07-03,0.9451007889570001,0,1485.0
2019-07-04,0.9451007889570001,0,1488.0
2019-07-05,0.9451007889570001,0,1483.0
2019-07-08,0.9451007889570001,0,1489.0
2019-07-09,0.9451007889570001,0,1503.0
2019-07-10,0.9451007889570001,0,1484.0
2019-07-11,0.9451007889570001,0,1484.0
2019-07-12,0.9451007889570001,0,1485.0
2019-07-15,0.9451007889570001,0,1494.0
2019-07-16,0.9451007889570001,0,1497.0
2019-07-17,0.9451007889570001,0,1503.0
2019-07-18,0.9451007889570001,0,1488.0
2019-07-19,0.9451007889570001,0,1499.0
2019-07-22,0.9451007889570001,0,1478.0
2019-07-23,0.9451007889570001,0,1483.0
2019-07-24,0.9451007889570001,0,1488.0
2019-07-25,0.9451007889570001,0,1494.0
2019-07-26,0.9451007889570001,0,1498.0
2019-07-29,0.9451007889570001,0,1477.0
2019-07-30,0.9451007889570001,-1,1474.0
2019-07-31,0.9451007889570001,-1,1474.0
2019-08-01,0.943436548249,-1,1476.0
2019-08-02,0.9500935110809999,-1,1468.0
2019-08-05,0.9367795854170001,-1,1484.0
2019-08-06,0.930122622585,-1,1492.0
2019-08-07,0.942604427895,-1,1477.0
2019-08-08,0.937611705771,-1,1483.0
2019-08-09,1.0199916208170001,-1,1384.0
2019-08-12,1.0199916208170001,-1,1412.0
2019-08-13,1.0297815276450002,-1,1400.0
2019-08-14,1.016728318541,-1,1416.0
2019-08-15,1.008570062851,-1,1426.0
2019-08-16,1.008570062851,-1,1426.0
2019-08-19,1.005306760575,-1,1430.0
2019-08-20,1.003675109437,-1,1432.0
2019-08-21,1.010201713989,-1,1424.0
2019-08-22,1.013465016265,-1,1420.0
2019-08-23,1.0257023997999999,-1,1405.0
2019-08-26,1.0395714344729998,-1,1388.0
2019-08-27,1.041203085611,0,1386.0
2019-08-28,1.041203085611,0,1391.0
2019-08-29,1.041203085611,0,1379.0
2019-08-30,1.041203085611,0,1376.0
2019-09-02,1.041203085611,0,1394.0
2019-09-03,1.041203085611,0,1387.0
2019-09-04,1.041203085611,0,1414.0
2019-09-05,1.041203085611,0,1408.0
2019-09-06,1.041203085611,0,1409.0
2019-09-09,1.041203085611,0,1420.0
2019-09-10,1.041203085611,0,1425.0
2019-09-11,1.041203085611,0,1424.0
2019-09-12,1.041203085611,0,1452.0
2019-09-16,1.041203085611,0,1465.0
2019-09-17,1.041203085611,0,1453.0
2019-09-18,1.041203085611,0,1454.0
2019-09-19,1.041203085611,0,1440.0
2019-09-20,1.041203085611,0,1434.0
2019-09-23,1.041203085611,0,1436.0
2019-09-24,1.041203085611,0,1399.0
2019-09-25,1.041203085611,0,1410.0
2019-09-26,1.041203085611,0,1430.0
2019-09-27,1.041203085611,0,1445.0
2019-09-30,1.041203085611,0,1459.0
2019-10-08,1.041203085611,0,1453.0
2019-10-09,1.041203085611,0,1445.0
2019-10-10,1.041203085611,0,1446.0
2019-10-11,1.041203085611,0,1459.0
2019-10-14,1.041203085611,0,1454.0
2019-10-15,1.041203085611,0,1459.0
2019-10-16,1.041203085611,0,1453.0
2019-10-17,1.041203085611,0,1438.0
2019-10-18,1.041203085611,0,1492.0
2019-10-21,1.041203085611,0,1514.0
2019-10-22,1.041203085611,0,1502.0
2019-10-23,1.041203085611,0,1511.0
2019-10-24,1.041203085611,0,1513.0
2019-10-25,1.041203085611,0,1505.0
2019-10-28,1.041203085611,0,1493.0
2019-10-29,1.041203085611,0,1489.0
2019-10-30,1.041203085611,0,1482.0
2019-10-31,1.041203085611,0,1485.0
2019-11-01,1.041203085611,0,1496.0
