,value,signal,price
2021-06-09,1.0,0,20215.0
2021-06-10,1.0,0,19935.0
2021-06-11,1.0,0,19795.0
2021-06-15,1.0,0,18810.0
2021-06-16,1.0,0,18970.0
2021-06-17,1.0,0,18465.0
2021-06-18,1.0,0,17600.0
2021-06-21,1.0,0,16735.0
2021-06-22,1.0,0,17040.0
2021-06-23,1.0,0,18160.0
2021-06-24,1.0,0,17840.0
2021-06-25,1.0,0,18925.0
2021-06-28,1.0,0,18925.0
2021-06-29,1.0,0,19240.0
2021-06-30,1.0,0,19370.0
2021-07-01,1.0,0,18890.0
2021-07-02,1.0,1,18580.0
2021-07-05,1.008745,1,18745.0
2021-07-06,1.021465,1,18985.0
2021-07-07,1.002385,-1,18625.0
2021-07-08,0.9896346628,-1,18865.0
2021-07-09,0.9736967413,-1,19165.0
2021-07-12,0.9952129353250001,-1,18760.0
2021-07-13,1.0212448737750002,-1,18270.0
2021-07-14,1.0244324580750002,-1,18210.0
2021-07-15,1.0292138345250001,-1,18120.0
2021-07-16,1.0292138345250001,-1,18400.0
2021-07-19,1.0091460868250002,-1,18785.0
2021-07-20,1.006279265725,-1,18840.0
2021-07-21,1.011491667725,-1,18740.0
2021-07-22,1.030516935025,-1,18375.0
2021-07-23,1.034686856625,-1,18295.0
2021-07-26,1.0260863933250002,-1,18460.0
2021-07-27,1.029735074725,-1,18390.0
2021-07-28,1.0276501139250003,-1,18430.0
2021-07-29,1.018789030525,-1,18600.0
2021-07-30,1.0101885672250002,-1,18765.0
2021-08-02,1.041723599325,-1,18160.0
2021-08-03,1.0612701068250001,-1,17785.0
2021-08-04,1.0612701068250001,-1,17440.0
2021-08-05,1.063395163025,-1,17400.0
2021-08-06,1.055426202275,0,17550.0
2021-08-09,1.055426202275,0,17365.0
2021-08-10,1.055426202275,0,17025.0
2021-08-11,1.055426202275,0,17085.0
2021-08-12,1.055426202275,0,17055.0
2021-08-13,1.055426202275,0,16720.0
2021-08-16,1.055426202275,0,16160.0
2021-08-17,1.055426202275,0,16075.0
2021-08-18,1.055426202275,0,15995.0
2021-08-19,1.055426202275,0,17360.0
2021-08-20,1.055426202275,-1,17775.0
2021-08-23,1.09659916615,-1,17000.0
2021-08-24,1.102177438675,-1,16895.0
2021-08-25,1.097396062225,-1,16985.0
2021-08-26,1.08916146945,-1,17140.0
2021-08-27,1.0873020452750002,0,17175.0
2021-08-30,1.0873020452750002,0,16430.0
2021-08-31,1.0873020452750002,0,16760.0
2021-09-01,1.0873020452750002,0,16565.0
2021-09-02,1.0873020452750002,0,16085.0
2021-09-03,1.0873020452750002,0,16090.0
2021-09-06,1.0873020452750002,0,15965.0
2021-09-07,1.0873020452750002,0,15910.0
2021-09-08,1.0873020452750002,0,15585.0
2021-09-09,1.0873020452750002,0,14995.0
2021-09-10,1.0873020452750002,0,15070.0
2021-09-13,1.0873020452750002,0,14575.0
2021-09-14,1.0873020452750002,0,14385.0
2021-09-15,1.0873020452750002,0,14110.0
2021-09-16,1.0873020452750002,0,14580.0
2021-09-17,1.0873020452750002,0,14175.0
2021-09-22,1.0873020452750002,0,13685.0
2021-09-23,1.0873020452750002,0,13600.0
2021-09-24,1.0873020452750002,0,13670.0
2021-09-27,1.0873020452750002,0,14360.0
2021-09-28,1.0873020452750002,0,13920.0
2021-09-29,1.0873020452750002,0,13870.0
2021-09-30,1.0873020452750002,0,13880.0
2021-10-08,1.0873020452750002,0,14225.0
2021-10-11,1.0873020452750002,0,15285.0
2021-10-12,1.0873020452750002,0,15290.0
2021-10-13,1.0873020452750002,0,15410.0
2021-10-14,1.0873020452750002,0,14685.0
2021-10-15,1.0873020452750002,0,15175.0
2021-10-18,1.0873020452750002,0,15845.0
2021-10-19,1.0873020452750002,0,16375.0
2021-10-20,1.0873020452750002,0,16225.0
2021-10-21,1.0873020452750002,0,15815.0
2021-10-22,1.0873020452750002,0,16325.0
2021-10-25,1.0873020452750002,0,17185.0
2021-10-26,1.0873020452750002,0,17320.0
2021-10-27,1.0873020452750002,0,17495.0
2021-10-28,1.0873020452750002,0,17385.0
2021-10-29,1.0873020452750002,0,16705.0
2021-11-01,1.0873020452750002,0,15885.0
2021-11-02,1.0873020452750002,0,16205.0
2021-11-03,1.0873020452750002,0,16245.0
2021-11-04,1.0873020452750002,0,16705.0
2021-11-05,1.0873020452750002,-1,16675.0
2021-11-08,1.110577424975,-1,16245.0
2021-11-09,1.1154490160750001,-1,16155.0
2021-11-10,1.113013220525,-1,16200.0
2021-11-11,1.128439925675,-1,15915.0
2021-11-12,1.110306781025,-1,16250.0
2021-11-15,1.0845956057750001,-1,16725.0
2021-11-16,1.1086829173250001,-1,16280.0
2021-11-17,1.1186967434750001,-1,16095.0
2021-11-18,1.110848068925,-1,16240.0
2021-11-19,1.0973158714250002,-1,16490.0
2021-11-22,1.113013220525,-1,16200.0
2021-11-23,1.106788409675,-1,16315.0
2021-11-24,1.093526856125,-1,16560.0
2021-11-25,1.079453370725,-1,16820.0
2021-11-26,1.0845956057750001,-1,16725.0
2021-11-29,1.119508675325,-1,16080.0
2021-11-30,1.1181554555750002,-1,16105.0
2021-12-01,1.112201288675,-1,16215.0
2021-12-02,1.140889547375,-1,15685.0
2021-12-03,1.140889547375,-1,15455.0
2021-12-06,1.1538453735,-1,15220.0
