,value,signal,price
2021/4/10,1,0,2462
2021/4/11,1,0,2462
2021/4/12,1,0,2356
2021/4/13,1,0,2381
2021/4/14,1,0,2425
2021/4/15,1,0,2478
2021/4/16,1,1,2457
2021/4/17,1,1,2457
2021/4/18,1,1,2457
2021/4/19,1.002035,1,2462
2021/4/20,0.998372,1,2453
2021/4/21,0.980464,1,2409
2021/4/22,0.978836,0,2405
2021/4/23,0.978836,1,2375
2021/4/24,0.978836,1,2375
2021/4/25,0.978836,1,2375
2021/4/26,1.002732,1,2433
2021/4/27,1.012208,1,2456
2021/4/28,1.003144,1,2434
2021/4/29,1.01056,1,2452
2021/4/30,1.006028,1,2441
2021/5/1,1.006028,1,2441
2021/5/2,1.006028,1,2441
2021/5/3,1.006028,1,2441
2021/5/4,1.006028,1,2441
2021/5/5,1.006028,1,2441
2021/5/6,1.043108,1,2531
2021/5/7,1.061236,0,2575
2021/5/8,1.061236,0,2575
2021/5/9,1.061236,0,2575
2021/5/10,1.061236,0,2565
2021/5/11,1.061236,0,2559
2021/5/12,1.061236,0,2707
2021/5/13,1.061236,0,2755
2021/5/14,1.061236,-1,2734
2021/5/15,1.061236,-1,2734
2021/5/16,1.061236,-1,2734
2021/5/17,1.082927664,-1,2678
2021/5/18,1.07827945,-1,2690
2021/5/19,1.09183674,-1,2655
2021/5/20,1.132121259,-1,2551
2021/5/21,1.132121259,1,2513
2021/5/22,1.132121259,1,2513
2021/5/23,1.132121259,1,2513
2021/5/24,1.16048307,1,2576
2021/5/25,1.164984945,1,2586
2021/5/26,1.208202944,1,2682
2021/5/27,1.157331758,0,2569
2021/5/28,1.157331758,0,2566
2021/5/29,1.157331758,0,2566
2021/5/30,1.157331758,0,2566
2021/5/31,1.157331758,0,2551
2021/6/1,1.157331758,0,2567
2021/6/2,1.157331758,0,2506
2021/6/3,1.157331758,0,2542
2021/6/4,1.157331758,0,2506
2021/6/5,1.157331758,0,2506
2021/6/6,1.157331758,0,2506
2021/6/7,1.157331758,0,2445
2021/6/8,1.157331758,0,2441
2021/6/9,1.157331758,0,2460
2021/6/10,1.157331758,0,2456
2021/6/11,1.157331758,1,2459
2021/6/12,1.157331758,1,2459
2021/6/13,1.157331758,1,2459
2021/6/14,1.157331758,1,2459
2021/6/15,1.183206871,1,2514
2021/6/16,1.182265958,1,2512
2021/6/17,1.175679565,1,2498
2021/6/18,1.154038562,1,2452
2021/6/19,1.154038562,1,2452
2021/6/20,1.154038562,1,2452
2021/6/21,1.1460408,1,2435
2021/6/22,1.18885235,1,2526
2021/6/23,1.203436504,1,2557
2021/6/24,1.206259244,1,2563
2021/6/25,1.219432029,0,2591
2021/6/26,1.219432029,0,2591
2021/6/27,1.219432029,0,2591
2021/6/28,1.219432029,0,2545
2021/6/29,1.219432029,0,2548
2021/6/30,1.219432029,0,2567
2021/7/1,1.219432029,0,2567
2021/7/2,1.219432029,0,2595
2021/7/3,1.219432029,0,2595
2021/7/4,1.219432029,0,2595
2021/7/5,1.219432029,0,2618
2021/7/6,1.219432029,0,2632
2021/7/7,1.219432029,0,2562
2021/7/8,1.219432029,0,2541
2021/7/9,1.219432029,0,2594
2021/7/10,1.219432029,0,2594
2021/7/11,1.219432029,0,2594
2021/7/12,1.219432029,0,2616
2021/7/13,1.219432029,0,2638
2021/7/14,1.219432029,0,2667
2021/7/15,1.219432029,0,2636
2021/7/16,1.219432029,0,2700
2021/7/17,1.219432029,0,2700
2021/7/18,1.219432029,0,2700
2021/7/19,1.219432029,0,2749
2021/7/20,1.219432029,0,2718
2021/7/21,1.219432029,0,2703
2021/7/22,1.219432029,0,2728
2021/7/23,1.219432029,-1,2702
2021/7/24,1.219432029,-1,2702
2021/7/25,1.219432029,-1,2702
2021/7/26,1.230868544,-1,2673
2021/7/27,1.235206533,-1,2662
2021/7/28,1.239544521,-1,2651
2021/7/29,1.228896731,-1,2678
2021/7/30,1.193009734,-1,2769
2021/7/31,1.193009734,-1,2769
2021/8/1,1.193009734,-1,2769
2021/8/2,1.226924918,-1,2683
2021/8/3,1.249403586,-1,2626
2021/8/4,1.249403586,-1,2631
2021/8/5,1.25412222,0,2619
2021/8/6,1.25412222,0,2634
2021/8/7,1.25412222,0,2634
2021/8/8,1.25412222,0,2634
2021/8/9,1.25412222,0,2591
2021/8/10,1.25412222,0,2634
2021/8/11,1.25412222,0,2665
2021/8/12,1.25412222,0,2682
2021/8/13,1.25412222,0,2687
2021/8/14,1.25412222,0,2687
2021/8/15,1.25412222,0,2687
2021/8/16,1.25412222,0,2847
2021/8/17,1.25412222,0,2859
2021/8/18,1.25412222,0,2855
2021/8/19,1.25412222,0,2813
2021/8/20,1.25412222,0,2810
2021/8/21,1.25412222,0,2810
