,value,signal,price
2019-04-30,1.0,1,5122.0
2019-05-06,0.99415,1,5092.0
2019-05-07,1.00312,1,5138.0
2019-05-08,0.998635,1,5115.0
2019-05-09,1.00234,1,5134.0
2019-05-10,1.00897,1,5168.0
2019-05-13,1.00936,1,5170.0
2019-05-14,0.99337,1,5088.0
2019-05-15,0.99922,1,5118.0
2019-05-16,1.007995,1,5163.0
2019-05-17,0.997465,1,5109.0
2019-05-20,0.991615,1,5079.0
2019-05-21,1.00546,1,5150.0
2019-05-22,0.96412,1,4938.0
2019-05-23,0.962755,1,4931.0
2019-05-24,0.968995,1,4963.0
2019-05-27,0.966265,1,4949.0
2019-05-28,0.96646,1,4950.0
2019-05-29,0.97114,1,4974.0
2019-05-30,0.96568,1,4946.0
2019-05-31,0.965095,1,4943.0
2019-06-03,0.96841,1,4960.0
2019-06-04,0.981085,1,5025.0
2019-06-05,0.981865,1,5029.0
2019-06-06,0.972115,1,4979.0
2019-06-10,0.98206,1,5030.0
2019-06-11,0.983425,1,5037.0
2019-06-12,0.988105,1,5061.0
2019-06-13,1.00663,1,5156.0
2019-06-14,1.002925,1,5137.0
2019-06-17,0.994735,1,5095.0
2019-06-18,0.994735,1,5095.0
2019-06-19,0.999805,1,5121.0
2019-06-20,1.00117,1,5128.0
2019-06-21,0.987325,1,5057.0
2019-06-24,0.978355,1,5011.0
2019-06-25,0.98011,1,5020.0
2019-06-26,0.975625,1,4997.0
2019-06-27,0.971335,1,4975.0
2019-06-28,0.97816,1,5010.0
2019-07-01,0.98206,0,5030.0
2019-07-02,0.98206,0,5066.0
2019-07-03,0.98206,0,5055.0
2019-07-04,0.98206,0,5111.0
2019-07-05,0.98206,0,5295.0
2019-07-08,0.98206,0,5239.0
2019-07-09,0.98206,0,5133.0
2019-07-10,0.98206,0,5185.0
2019-07-11,0.98206,0,5205.0
2019-07-12,0.98206,0,5187.0
2019-07-15,0.98206,0,5237.0
2019-07-16,0.98206,0,5208.0
2019-07-17,0.98206,0,5189.0
2019-07-18,0.98206,0,5189.0
2019-07-19,0.98206,0,5145.0
2019-07-22,0.98206,0,5150.0
2019-07-23,0.98206,0,5202.0
2019-07-24,0.98206,0,5299.0
2019-07-25,0.98206,0,5266.0
2019-07-26,0.98206,0,5291.0
2019-07-29,0.98206,0,5364.0
2019-07-30,0.98206,0,5290.0
2019-07-31,0.98206,1,5322.0
2019-08-01,0.987028,1,5349.0
2019-08-02,0.985004,1,5338.0
2019-08-05,0.995492,1,5395.0
2019-08-06,0.987028,1,5349.0
2019-08-07,0.99678,1,5402.0
2019-08-08,0.993836,1,5386.0
2019-08-09,1.013708,1,5494.0
2019-08-12,1.026588,1,5564.0
2019-08-13,1.030452,1,5585.0
2019-08-14,1.021436,1,5536.0
2019-08-15,1.012972,1,5490.0
2019-08-16,1.003588,1,5439.0
2019-08-19,1.007452,1,5460.0
2019-08-20,1.008004,1,5463.0
2019-08-21,1.003036,1,5436.0
2019-08-22,1.018676,1,5521.0
2019-08-23,1.01518,1,5502.0
2019-08-26,1.0069,1,5457.0
2019-08-27,0.987764,1,5353.0
