,value,signal,price
2020-05-08,1.0,-1,1439.0
2020-05-11,1.016656,-1,1415.0
2020-05-12,1.0083280000000001,-1,1427.0
2020-05-13,1.004858,-1,1432.0
2020-05-14,1.0090219999999999,-1,1426.0
2020-05-15,1.002776,-1,1435.0
2020-05-18,0.993754,-1,1448.0
2020-05-19,0.998612,-1,1441.0
2020-05-20,0.9923660000000001,-1,1450.0
2020-05-21,0.9923660000000001,-1,1450.0
2020-05-22,1.011798,-1,1422.0
2020-05-25,0.998612,-1,1441.0
2020-05-26,0.98265,-1,1464.0
2020-05-27,0.9861200000000001,-1,1459.0
2020-05-28,0.984038,-1,1462.0
2020-05-29,0.9743219999999999,-1,1476.0
2020-06-01,0.9743219999999999,-1,1476.0
2020-06-02,0.977792,-1,1471.0
2020-06-03,0.9680759999999999,-1,1485.0
2020-06-04,0.9812620000000001,-1,1466.0
2020-06-05,0.978486,-1,1470.0
2020-06-08,0.981956,-1,1465.0
2020-06-09,1.0020820000000001,-1,1436.0
2020-06-10,1.004858,-1,1432.0
2020-06-11,1.005552,-1,1431.0
2020-06-12,1.0020820000000001,-1,1436.0
2020-06-15,0.9958359999999999,-1,1445.0
2020-06-16,0.993754,-1,1448.0
2020-06-17,1.0,-1,1439.0
2020-06-18,1.004858,-1,1432.0
2020-06-19,0.999306,-1,1440.0
2020-06-22,1.0020820000000001,-1,1436.0
2020-06-23,1.0083280000000001,-1,1427.0
2020-06-24,1.0263719999999998,-1,1401.0
2020-06-29,1.0263719999999998,-1,1394.0
2020-06-30,1.0270700000000001,0,1393.0
2020-07-01,1.0270700000000001,0,1368.0
2020-07-02,1.0270700000000001,0,1370.0
2020-07-03,1.0270700000000001,0,1375.0
2020-07-06,1.0270700000000001,0,1381.0
2020-07-07,1.0270700000000001,0,1369.0
2020-07-08,1.0270700000000001,0,1391.0
2020-07-09,1.0270700000000001,0,1394.0
2020-07-10,1.0270700000000001,0,1389.0
2020-07-13,1.0270700000000001,0,1397.0
2020-07-14,1.0270700000000001,0,1388.0
2020-07-15,1.0270700000000001,0,1381.0
2020-07-16,1.0270700000000001,0,1373.0
