,value,signal,price
2021-01-08,1.0,1,6100.0
2021-01-11,0.976854,1,5958.0
2021-01-12,1.020538,1,6226.0
2021-01-13,1.00978,1,6160.0
2021-01-14,1.010432,1,6164.0
2021-01-15,1.0326,-1,6300.0
2021-01-18,1.0100851896,-1,6438.0
2021-01-19,1.045652064,-1,6220.0
2021-01-20,1.0410838416,-1,6248.0
2021-01-21,1.030968492,-1,6310.0
2021-01-22,1.0345578095999999,-1,6288.0
2021-01-25,1.0215057455999998,-1,6368.0
2021-01-26,0.9993172368,-1,6504.0
2021-01-27,0.9856125696,-1,6588.0
2021-01-28,0.9963805223999999,-1,6522.0
2021-01-29,0.9670133784,-1,6702.0
2021-02-01,0.9653818703999999,-1,6712.0
2021-02-02,0.9653818703999999,-1,6712.0
2021-02-03,1.0084536815999998,-1,6448.0
2021-02-04,0.9859388712,-1,6586.0
2021-02-05,0.9797391408,1,6624.0
2021-02-08,0.9800332712800001,1,6626.0
2021-02-09,0.9947397952800001,1,6726.0
2021-02-10,1.0070932754400002,1,6810.0
2021-02-18,1.00856392784,1,6820.0
2021-02-19,1.0309178443200002,1,6972.0
2021-02-22,1.0265058871200001,1,6942.0
2021-02-23,1.0694489372000002,1,7234.0
2021-02-24,1.0770963296800002,1,7286.0
2021-02-25,1.1050387252800002,1,7476.0
2021-02-26,1.1035680728800001,1,7466.0
2021-03-01,1.10680350816,1,7488.0
2021-03-02,1.0726843724800001,1,7256.0
2021-03-03,1.0953324194400003,1,7410.0
2021-03-04,1.0868026355200002,1,7352.0
2021-03-05,1.0770963296800002,-1,7286.0
2021-03-08,1.0859237226400003,-1,7232.0
2021-03-09,1.088212306,-1,7218.0
2021-03-10,1.08526984168,-1,7236.0
2021-03-11,1.0813465559200002,-1,7260.0
2021-03-12,1.0728461034399999,0,7312.0
2021-03-15,1.0728461034399999,0,7240.0
2021-03-16,1.0728461034399999,0,7144.0
2021-03-17,1.0728461034399999,0,7248.0
2021-03-18,1.0728461034399999,0,7338.0
2021-03-19,1.0728461034399999,-1,7058.0
2021-03-22,1.0430763564,-1,7234.0
2021-03-23,1.0522102560600002,-1,7180.0
2021-03-24,1.0525485486400001,-1,7178.0
2021-03-25,1.0738609811800002,-1,7052.0
2021-03-26,1.06980147022,0,7076.0
2021-03-29,1.06980147022,0,7014.0
2021-03-30,1.06980147022,0,6798.0
2021-03-31,1.06980147022,0,6630.0
2021-04-01,1.06980147022,0,6984.0
2021-04-02,1.06980147022,1,7106.0
