,value,signal,price
2019-05-07,1.0,1,8651.0
2019-05-08,0.98275,1,8501.0
2019-05-09,0.971595,1,8404.0
2019-05-10,0.976655,1,8448.0
2019-05-13,0.964465,1,8342.0
2019-05-14,0.94089,1,8137.0
2019-05-15,0.94089,1,8222.0
2019-05-16,0.950238,1,8304.0
2019-05-17,0.950238,1,8304.0
2019-05-20,0.95913,1,8382.0
2019-05-21,0.970074,1,8478.0
2019-05-22,0.96141,1,8402.0
2019-05-23,0.945678,1,8264.0
2019-05-24,0.94146,1,8227.0
2019-05-27,0.937584,1,8193.0
2019-05-28,0.947616,1,8281.0
2019-05-29,0.955938,1,8354.0
2019-05-30,0.943854,1,8248.0
2019-05-31,0.940092,1,8215.0
2019-06-03,0.92208,1,8057.0
2019-06-04,0.91809,1,8022.0
2019-06-05,0.91809,1,7925.0
2019-06-06,0.928785,1,8018.0
2019-06-10,0.931085,1,8038.0
2019-06-11,0.933845,1,8062.0
2019-06-12,0.92108,1,7951.0
2019-06-13,0.93189,1,8045.0
2019-06-14,0.926715,1,8000.0
2019-06-17,0.92844,1,8015.0
2019-06-18,0.933385,1,8058.0
2019-06-19,0.947645,1,8182.0
2019-06-20,0.965125,1,8334.0
2019-06-21,0.96294,1,8315.0
2019-06-24,0.970645,1,8382.0
2019-06-25,0.96708,0,8351.0
2019-06-26,0.96708,1,8466.0
2019-06-27,0.956478,0,8373.0
2019-06-28,0.956478,0,8387.0
2019-07-01,0.956478,0,8543.0
2019-07-02,0.956478,0,8817.0
2019-07-03,0.956478,0,8853.0
2019-07-04,0.956478,1,8715.0
2019-07-05,0.963018,1,8775.0
2019-07-08,0.973591,1,8872.0
2019-07-09,0.966179,0,8804.0
2019-07-10,0.966179,0,8878.0
2019-07-11,0.966179,1,8781.0
2019-07-12,0.952209,1,8654.0
2019-07-15,0.973329,1,8846.0
2019-07-16,0.967059,0,8789.0
2019-07-17,0.967059,1,8706.0
2019-07-18,0.956847,1,8614.0
2019-07-19,0.957291,0,8618.0
2019-07-22,0.957291,0,8614.0
2019-07-23,0.957291,0,8689.0
2019-07-24,0.957291,0,8622.0
2019-07-25,0.957291,0,8588.0
2019-07-26,0.957291,0,8652.0
2019-07-29,0.957291,0,8685.0
2019-07-30,0.957291,0,8700.0
2019-07-31,0.957291,0,8594.0
2019-08-01,0.957291,0,8629.0
2019-08-02,0.957291,0,8549.0
2019-08-05,0.957291,0,8424.0
2019-08-06,0.957291,0,8497.0
2019-08-07,0.957291,0,8466.0
2019-08-08,0.957291,0,8055.0
2019-08-09,0.957291,1,8163.0
2019-08-12,0.957876,1,8168.0
2019-08-13,0.95577,0,8150.0
2019-08-14,0.95577,0,8184.0
2019-08-15,0.95577,0,8129.0
2019-08-16,0.95577,0,8134.0
2019-08-19,0.95577,0,8128.0
2019-08-20,0.95577,0,8189.0
2019-08-21,0.95577,1,8116.0
2019-08-22,0.944772,0,8022.0
2019-08-23,0.944772,0,7905.0
2019-08-26,0.944772,0,7909.0
2019-08-27,0.944772,0,7868.0
2019-08-28,0.944772,0,7833.0
2019-08-29,0.944772,0,7787.0
2019-08-30,0.944772,0,7939.0
2019-09-02,0.944772,0,7997.0
2019-09-03,0.944772,0,7978.0
2019-09-04,0.944772,0,8074.0
2019-09-05,0.944772,0,8077.0
2019-09-06,0.944772,0,8066.0
2019-09-09,0.944772,0,8181.0
2019-09-10,0.944772,1,8108.0
2019-09-11,0.946628,1,8124.0
2019-09-12,0.94164,0,8081.0
2019-09-16,0.94164,0,8353.0
2019-09-17,0.94164,1,8430.0
2019-09-18,0.927099,0,8299.0
2019-09-19,0.927099,0,8194.0
2019-09-20,0.927099,0,8221.0
2019-09-23,0.927099,0,8261.0
2019-09-24,0.927099,0,8274.0
2019-09-25,0.927099,0,8269.0
2019-09-26,0.927099,-1,8240.0
2019-09-27,0.9375316450469999,-1,8147.0
2019-09-30,0.933493201803,0,8183.0
2019-10-08,0.933493201803,-1,8120.0
2019-10-09,0.932362141023,0,8130.0
2019-10-10,0.932362141023,0,8121.0
2019-10-11,0.932362141023,0,8162.0
2019-10-14,0.932362141023,0,8262.0
2019-10-15,0.932362141023,0,8194.0
2019-10-16,0.932362141023,0,8100.0
2019-10-17,0.932362141023,0,8075.0
2019-10-18,0.932362141023,0,8113.0
2019-10-21,0.932362141023,0,8030.0
2019-10-22,0.932362141023,1,8044.0
2019-10-23,0.9345595452679999,0,8063.0
2019-10-24,0.9345595452679999,0,8114.0
2019-10-25,0.9345595452679999,0,8085.0
2019-10-28,0.9345595452679999,0,8028.0
2019-10-29,0.9345595452679999,0,7973.0
2019-10-30,0.9345595452679999,0,7975.0
2019-10-31,0.9345595452679999,-1,7944.0
2019-11-01,0.932120174768,-1,7965.0
2019-11-04,0.927473754768,-1,8005.0
2019-11-05,0.925499026268,0,8022.0
2019-11-06,0.925499026268,0,8008.0
2019-11-07,0.925499026268,0,7988.0
2019-11-08,0.925499026268,0,7982.0
2019-11-11,0.925499026268,0,7913.0
2019-11-12,0.925499026268,0,8019.0
2019-11-13,0.925499026268,0,7960.0
2019-11-14,0.925499026268,0,7954.0
2019-11-15,0.925499026268,0,7860.0
2019-11-18,0.925499026268,0,7879.0
2019-11-19,0.925499026268,-1,7856.0
2019-11-20,0.9217224160919999,0,7888.0
2019-11-21,0.9217224160919999,0,7941.0
2019-11-22,0.9217224160919999,-1,7956.0
2019-11-25,0.91258941294,0,8034.0
2019-11-26,0.91258941294,-1,7993.0
2019-11-27,0.9098749743760001,-1,8016.0
2019-11-28,0.9095209171720001,0,8019.0
2019-11-29,0.9095209171720001,0,8072.0
2019-12-02,0.9095209171720001,0,8121.0
2019-12-03,0.9095209171720001,0,8148.0
2019-12-04,0.9095209171720001,0,8084.0
2019-12-05,0.9095209171720001,0,8052.0
2019-12-06,0.9095209171720001,-1,8022.0
2019-12-09,0.916602061252,0,7962.0
2019-12-10,0.916602061252,0,7933.0
2019-12-11,0.916602061252,-1,7844.0
2019-12-12,0.9511268204200001,-1,7556.0
2019-12-13,0.9510069427839999,0,7557.0
2019-12-16,0.9510069427839999,0,7601.0
2019-12-17,0.9510069427839999,-1,7525.0
2019-12-18,0.95831947858,1,7464.0
2019-12-19,0.96471319758,1,7514.0
2019-12-20,0.9656083182399999,1,7521.0
2019-12-23,0.9670149364199999,1,7532.0
2019-12-24,0.9624114587399999,0,7496.0
2019-12-25,0.9624114587399999,1,7518.0
2019-12-26,0.9713626653399999,1,7588.0
2019-12-27,0.9748152736,-1,7615.0
2019-12-30,0.9724142624,-1,7635.0
2019-12-31,0.97877694208,-1,7582.0
2020-01-02,0.9808178016000001,0,7565.0
2020-01-03,0.9808178016000001,0,7519.0
2020-01-06,0.9808178016000001,0,7617.0
2020-01-07,0.9808178016000001,1,7542.0
2020-01-08,0.9919719478500001,1,7628.0
2020-01-09,0.9905452547250001,1,7617.0
2020-01-10,1.0011806034750002,0,7699.0
2020-01-13,1.0011806034750002,0,7748.0
2020-01-14,1.0011806034750002,0,7662.0
2020-01-15,1.0011806034750002,0,7566.0
2020-01-16,1.0011806034750002,0,7540.0
2020-01-17,1.0011806034750002,1,7516.0
2020-01-20,1.001711852115,1,7520.0
2020-01-21,0.992016564435,1,7447.0
2020-01-22,0.976875978195,-1,7333.0
2020-01-23,0.9779859842940001,-1,7324.0
2020-02-03,1.0299096029250001,-1,6903.0
2020-02-04,1.0299096029250001,-1,6921.0
2020-02-05,1.032969416175,-1,6896.0
2020-02-06,1.029542425335,-1,6924.0
2020-02-07,1.0363964070149998,-1,6868.0
2020-02-10,1.0406801455649999,-1,6833.0
2020-02-11,1.037742724845,-1,6857.0
2020-02-12,1.037620332315,0,6858.0
2020-02-13,1.037620332315,0,6815.0
2020-02-14,1.037620332315,0,6854.0
2020-02-17,1.037620332315,0,6905.0
2020-02-18,1.037620332315,0,6952.0
2020-02-19,1.037620332315,1,7052.0
2020-02-20,1.050226323685,0,7138.0
2020-02-21,1.050226323685,0,7105.0
2020-02-24,1.050226323685,0,7078.0
2020-02-25,1.050226323685,1,7081.0
2020-02-26,1.044909720925,-1,7045.0
2020-02-27,1.048762779005,0,7013.0
2020-02-28,1.048762779005,0,6834.0
2020-03-02,1.048762779005,0,6982.0
2020-03-03,1.048762779005,0,7064.0
2020-03-04,1.048762779005,0,7114.0
2020-03-05,1.048762779005,0,7155.0
2020-03-06,1.048762779005,0,7145.0
2020-03-09,1.048762779005,0,6841.0
2020-03-10,1.048762779005,0,6987.0
2020-03-11,1.048762779005,-1,6948.0
2020-03-12,1.061383819645,1,6844.0
2020-03-13,1.059838922065,-1,6834.0
2020-03-16,1.0777734910249999,-1,6686.0
2020-03-17,1.077167593425,-1,6691.0
2020-03-18,1.099343445585,0,6508.0
2020-03-19,1.099343445585,0,6447.0
2020-03-20,1.099343445585,0,6543.0
2020-03-23,1.099343445585,0,6373.0
2020-03-24,1.099343445585,0,6364.0
2020-03-25,1.099343445585,-1,6376.0
2020-03-26,1.127123850545,0,6152.0
2020-03-27,1.127123850545,0,5909.0
2020-03-30,1.127123850545,0,5711.0
2020-03-31,1.127123850545,0,5912.0
2020-04-01,1.127123850545,0,5948.0
2020-04-02,1.127123850545,0,6265.0
2020-04-03,1.127123850545,-1,6326.0
2020-04-07,1.0894909825799999,-1,6639.0
2020-04-08,1.1006726334449999,1,6546.0
2020-04-09,1.133653922709,0,6743.0
2020-04-10,1.133653922709,1,6984.0
2020-04-13,1.171469398407,1,7218.0
2020-04-14,1.094868819429,1,6744.0
2020-04-15,1.094868819429,0,6677.0
2020-04-16,1.094868819429,0,6757.0
2020-04-17,1.094868819429,0,6875.0
2020-04-20,1.094868819429,0,6840.0
2020-04-21,1.094868819429,0,6606.0
2020-04-22,1.094868819429,1,6491.0
2020-04-23,1.1643239174489999,0,6903.0
2020-04-24,1.1643239174489999,0,6900.0
2020-04-27,1.1643239174489999,0,6921.0
2020-04-28,1.1643239174489999,0,6918.0
2020-04-29,1.1643239174489999,-1,6848.0
2020-04-30,1.1457527875770002,1,7000.0
2020-05-06,1.170620488721,0,7152.0
2020-05-07,1.170620488721,-1,7022.0
2020-05-08,1.170620488721,1,7022.0
2020-05-11,1.131801888251,1,6788.0
2020-05-12,1.1412577011860001,1,6845.0
2020-05-13,1.1482251422960001,0,6887.0
2020-05-14,1.1482251422960001,0,6879.0
2020-05-15,1.1482251422960001,1,6923.0
2020-05-18,1.1469071632880001,1,6915.0
2020-05-19,1.15794523748,1,6982.0
2020-05-20,1.184140070264,0,7141.0
2020-05-21,1.184140070264,0,7159.0
2020-05-22,1.184140070264,-1,7041.0
2020-05-25,1.171491139728,-1,7142.0
2020-05-26,1.1754987216800001,-1,7110.0
2020-05-27,1.17048924424,0,7150.0
2020-05-28,1.17048924424,1,7170.0
2020-05-29,1.1755375371999999,1,7201.0
2020-06-01,1.217063818,1,7456.0
2020-06-02,1.2263461631199999,1,7513.0
2020-06-03,1.22488052968,0,7504.0
2020-06-04,1.22488052968,-1,7342.0
2020-06-05,1.219896048256,-1,7381.0
2020-06-08,1.2225799997920002,-1,7360.0
2020-06-09,1.21018269984,-1,7457.0
2020-06-10,1.221429734848,0,7369.0
2020-06-11,1.221429734848,0,7326.0
2020-06-12,1.221429734848,0,7329.0
2020-06-15,1.221429734848,0,7303.0
2020-06-16,1.221429734848,0,7443.0
2020-06-17,1.221429734848,1,7513.0
2020-06-18,1.21607088544,1,7480.0
2020-06-19,1.21525893856,1,7475.0
2020-06-22,1.213797434176,1,7466.0
2020-06-23,1.218344336704,1,7494.0
2020-06-24,1.215096549184,0,7474.0
2020-06-29,1.215096549184,0,7374.0
2020-06-30,1.215096549184,0,7417.0
2020-07-01,1.215096549184,0,7443.0
2020-07-02,1.215096549184,0,7482.0
2020-07-03,1.215096549184,0,7570.0
2020-07-06,1.215096549184,0,7731.0
2020-07-07,1.215096549184,0,7723.0
2020-07-08,1.215096549184,1,7643.0
2020-07-09,1.227253198304,0,7720.0
2020-07-10,1.227253198304,0,7627.0
2020-07-13,1.227253198304,0,7683.0
2020-07-14,1.227253198304,0,7667.0
2020-07-15,1.227253198304,-1,7570.0
2020-07-16,1.2398935240439999,0,7469.0
2020-07-17,1.2398935240439999,-1,7494.0
2020-07-20,1.241754476004,-1,7479.0
2020-07-21,1.2442357452839998,-1,7459.0
