,value,signal,price
2018-01-02,1.0,-1,9955.0
2018-01-03,0.998,-1,9975.0
2018-01-04,0.9964999999999999,-1,9990.0
2018-01-05,0.998,-1,9975.0
2018-01-08,0.9995,-1,9960.0
2018-01-09,1.0025,-1,9930.0
2018-01-10,0.9935,-1,10020.0
2018-01-11,0.9870000000000001,-1,10085.0
2018-01-12,0.9804999999999999,-1,10150.0
2018-01-15,0.984,-1,10115.0
2018-01-16,1.008,-1,9875.0
2018-01-17,1.0135,-1,9820.0
2018-01-18,1.013,-1,9825.0
2018-01-19,1.009,-1,9865.0
2018-01-22,1.0065,-1,9890.0
2018-01-23,0.9990000000000001,-1,9965.0
2018-01-24,1.0065,-1,9890.0
2018-01-25,1.001,-1,9945.0
2018-01-26,0.9944999999999999,-1,10010.0
2018-01-29,0.9990000000000001,-1,9965.0
2018-01-30,1.0114999999999998,0,9840.0
2018-01-31,1.0114999999999998,0,9795.0
2018-02-01,1.0114999999999998,0,9720.0
2018-02-02,1.0114999999999998,0,9660.0
2018-02-05,1.0114999999999998,0,9715.0
2018-02-06,1.0114999999999998,0,9610.0
2018-02-07,1.0114999999999998,0,9585.0
2018-02-08,1.0114999999999998,0,9555.0
2018-02-09,1.0114999999999998,0,9510.0
2018-02-12,1.0114999999999998,0,9440.0
2018-02-13,1.0114999999999998,0,9420.0
2018-02-14,1.0114999999999998,0,9535.0
2018-02-22,1.0114999999999998,-1,9520.0
2018-02-23,1.0042900000000001,-1,9590.0
2018-02-26,1.006865,-1,9565.0
2018-02-27,1.0151050000000001,-1,9485.0
2018-02-28,1.0151050000000001,-1,9485.0
2018-03-01,0.99502,-1,9680.0
2018-03-02,1.000685,-1,9625.0
2018-03-05,1.0094400000000001,-1,9540.0
2018-03-06,1.0099550000000002,-1,9535.0
2018-03-07,1.01665,-1,9470.0
2018-03-08,1.033645,0,9305.0
2018-03-09,1.033645,0,9305.0
2018-03-12,1.033645,0,9160.0
2018-03-13,1.033645,0,9195.0
2018-03-14,1.033645,0,9350.0
2018-03-15,1.033645,0,9330.0
2018-03-16,1.033645,0,9260.0
2018-03-19,1.033645,0,9345.0
2018-03-20,1.033645,0,9315.0
