,value,signal,price
2020-09-30,1.0,1,5596.0
2020-10-09,1.009256,1,5648.0
2020-10-12,1.025632,1,5740.0
2020-10-13,1.061588,1,5942.0
2020-10-14,1.10235,1,6171.0
2020-10-15,1.106444,1,6194.0
2020-10-16,1.102706,1,6173.0
2020-10-19,1.129584,1,6324.0
2020-10-20,1.147028,1,6422.0
2020-10-21,1.144002,1,6405.0
2020-10-22,1.16198,1,6506.0
2020-10-23,1.12015,1,6271.0
2020-10-26,1.135814,1,6359.0
2020-10-27,1.149698,1,6437.0
2020-10-28,1.178534,1,6599.0
2020-10-29,1.220008,1,6832.0
2020-10-30,1.2047,1,6746.0
2020-11-02,1.250624,1,7004.0
2020-11-03,1.24297,1,6961.0
2020-11-04,1.29904,1,7276.0
2020-11-05,1.26433,0,7081.0
2020-11-06,1.26433,0,6990.0
2020-11-09,1.26433,0,7391.0
2020-11-10,1.26433,0,7388.0
2020-11-11,1.26433,0,7600.0
2020-11-12,1.26433,0,7600.0
2020-11-13,1.26433,0,7860.0
2020-11-16,1.26433,0,8299.0
2020-11-17,1.26433,0,7960.0
2020-11-18,1.26433,0,7677.0
2020-11-19,1.26433,0,7518.0
2020-11-20,1.26433,0,7527.0
2020-11-23,1.26433,0,7612.0
2020-11-24,1.26433,0,7280.0
2020-11-25,1.26433,0,7340.0
2020-11-26,1.26433,0,7350.0
2020-11-27,1.26433,0,7532.0
2020-11-30,1.26433,-1,7623.0
2020-12-01,1.29944297276,-1,7411.0
2020-12-02,1.31484630515,-1,7318.0
2020-12-03,1.30954623379,-1,7350.0
2020-12-04,1.35260931359,-1,7090.0
2020-12-07,1.35260931359,-1,7290.0
2020-12-08,1.37685537,-1,7139.0
2020-12-09,1.41041448119,-1,6930.0
2020-12-10,1.43835364553,-1,6756.0
2020-12-11,1.43835364553,-1,6814.0
2020-12-14,1.43707920089,-1,6822.0
2020-12-15,1.43516753393,-1,6834.0
2020-12-16,1.46495767739,-1,6647.0
2020-12-17,1.4276801716699998,-1,6881.0
2020-12-18,1.4178032257099997,-1,6943.0
2020-12-21,1.46065642673,-1,6674.0
2020-12-22,1.4906058757699998,-1,6486.0
2020-12-23,1.4906058757699998,-1,6377.0
2020-12-24,1.4734514463300001,-1,6483.0
2020-12-25,1.4779828050500001,-1,6455.0
2020-12-28,1.53057893305,0,6130.0
2020-12-29,1.53057893305,0,6082.0
2020-12-30,1.53057893305,0,6185.0
2020-12-31,1.53057893305,1,6356.0
2021-01-04,1.53249649969,1,6364.0
2021-01-05,1.5437622037,1,6411.0
2021-01-06,1.5890647155700002,1,6600.0
2021-01-07,1.60344646537,1,6660.0
2021-01-08,1.61255490691,1,6698.0
2021-01-11,1.60800068614,1,6679.0
2021-01-12,1.6269366567099999,1,6758.0
2021-01-13,1.66049407291,1,6898.0
2021-01-14,1.6103976444399999,1,6689.0
2021-01-15,1.63460692327,1,6790.0
2021-01-18,1.65090623971,1,6858.0
2021-01-19,1.71274776385,1,7116.0
2021-01-20,1.71490502632,1,7125.0
2021-01-21,1.66097346457,1,6900.0
2021-01-22,1.6540222855000002,1,6871.0
2021-01-25,1.6571383312899999,1,6884.0
2021-01-26,1.69836601405,1,7056.0
2021-01-27,1.78537560034,1,7419.0
2021-01-28,1.70699506393,1,7092.0
2021-01-29,1.75661210074,0,7299.0
2021-02-01,1.75661210074,0,7335.0
2021-02-02,1.75661210074,0,7451.0
2021-02-03,1.75661210074,0,7423.0
2021-02-04,1.75661210074,0,7641.0
2021-02-05,1.75661210074,0,7687.0
2021-02-08,1.75661210074,0,7734.0
2021-02-09,1.75661210074,0,7918.0
2021-02-10,1.75661210074,0,7678.0
2021-02-18,1.75661210074,0,8581.0
2021-02-19,1.75661210074,0,8811.0
2021-02-22,1.75661210074,0,9338.0
2021-02-23,1.75661210074,0,9244.0
2021-02-24,1.75661210074,0,9255.0
2021-02-25,1.75661210074,0,9574.0
2021-02-26,1.75661210074,0,9900.0
2021-03-01,1.75661210074,0,9370.0
2021-03-02,1.75661210074,0,9050.0
2021-03-03,1.75661210074,0,9041.0
2021-03-04,1.75661210074,0,9170.0
2021-03-05,1.75661210074,0,9247.0
2021-03-08,1.75661210074,0,9416.0
2021-03-09,1.75661210074,0,8820.0
2021-03-10,1.75661210074,0,8873.0
2021-03-11,1.75661210074,0,8983.0
2021-03-12,1.75661210074,0,8781.0
2021-03-15,1.75661210074,0,8767.0
2021-03-16,1.75661210074,0,8587.0
2021-03-17,1.75661210074,0,8329.0
2021-03-18,1.75661210074,0,8338.0
2021-03-19,1.75661210074,0,7855.0
2021-03-22,1.75661210074,0,8077.0
2021-03-23,1.75661210074,0,7978.0
2021-03-24,1.75661210074,0,8177.0
2021-03-25,1.75661210074,0,8172.0
2021-03-26,1.75661210074,0,8360.0
2021-03-29,1.75661210074,0,8208.0
2021-03-30,1.75661210074,0,8413.0
2021-03-31,1.75661210074,1,8522.0
2021-04-01,1.8432536691899999,1,8943.0
2021-04-02,1.83707968569,1,8913.0
2021-04-06,1.88564835589,1,9149.0
2021-04-07,1.85971762519,1,9023.0
2021-04-08,1.79242120504,1,8696.0
2021-04-09,1.7609338891900002,1,8543.0
2021-04-12,1.7609338891900002,1,8523.0
2021-04-13,1.78377762814,1,8634.0
2021-04-14,1.8407840757900003,1,8911.0
2021-04-15,1.84963345214,1,8954.0
2021-04-16,1.8504566499400001,1,8958.0
2021-04-19,1.90787469649,1,9237.0
2021-04-20,1.95088678154,1,9446.0
2021-04-21,1.9696145314900002,1,9537.0
2021-04-22,1.9041703063900002,1,9219.0
2021-04-23,1.9307184354400002,1,9348.0
2021-04-26,1.90849209484,1,9240.0
2021-04-27,1.86671480649,1,9037.0
2021-04-28,1.86671480649,1,9020.0
2021-04-29,1.87535838339,0,9062.0
2021-04-30,1.87535838339,0,8936.0
2021-05-06,1.87535838339,0,9362.0
2021-05-07,1.87535838339,0,9761.0
2021-05-10,1.87535838339,0,9951.0
2021-05-11,1.87535838339,0,9798.0
2021-05-12,1.87535838339,0,9890.0
2021-05-13,1.87535838339,0,9749.0
2021-05-14,1.87535838339,0,9755.0
