,value,signal,price
2019-08-30,1.0,-1,9468.0
2019-09-02,1.0189,-1,9288.0
2019-09-03,1.015435,-1,9321.0
2019-09-04,1.0307650000000002,-1,9175.0
2019-09-05,1.05817,-1,8914.0
2019-09-06,1.05817,-1,8893.0
2019-09-09,1.098385,-1,8510.0
2019-09-10,1.0959699999999999,-1,8533.0
2019-09-11,1.10206,-1,8475.0
2019-09-12,1.1239,-1,8267.0
2019-09-16,1.1239,-1,8294.0
2019-09-17,1.1218,-1,8314.0
2019-09-18,1.11277,-1,8400.0
2019-09-19,1.167685,-1,7877.0
2019-09-20,1.167685,-1,7750.0
2019-09-23,1.1896200000000001,-1,7545.0
2019-09-24,1.185661,-1,7582.0
2019-09-25,1.1818089999999999,-1,7618.0
2019-09-26,1.179455,-1,7640.0
2019-09-27,1.191118,-1,7531.0
2019-09-30,1.2051349999999998,0,7400.0
2019-10-08,1.2051349999999998,0,7772.0
2019-10-09,1.2051349999999998,0,7636.0
2019-10-10,1.2051349999999998,0,7660.0
2019-10-11,1.2051349999999998,0,7556.0
2019-10-14,1.2051349999999998,0,7701.0
2019-10-15,1.2051349999999998,0,7686.0
2019-10-16,1.2051349999999998,0,7697.0
2019-10-17,1.2051349999999998,0,7630.0
2019-10-18,1.2051349999999998,0,7673.0
2019-10-21,1.2051349999999998,0,7850.0
2019-10-22,1.2051349999999998,0,7876.0
2019-10-23,1.2051349999999998,0,7999.0
2019-10-24,1.2051349999999998,0,8013.0
2019-10-25,1.2051349999999998,0,7903.0
2019-10-28,1.2051349999999998,0,7919.0
2019-10-29,1.2051349999999998,0,7978.0
2019-10-30,1.2051349999999998,0,7992.0
2019-10-31,1.2051349999999998,0,7961.0
2019-11-01,1.2051349999999998,0,7925.0
2019-11-04,1.2051349999999998,0,8030.0
2019-11-05,1.2051349999999998,0,8158.0
2019-11-06,1.2051349999999998,0,8146.0
2019-11-07,1.2051349999999998,0,8199.0
2019-11-08,1.2051349999999998,0,8169.0
2019-11-11,1.2051349999999998,0,8109.0
2019-11-12,1.2051349999999998,0,8219.0
2019-11-13,1.2051349999999998,0,8215.0
2019-11-14,1.2051349999999998,0,8062.0
2019-11-15,1.2051349999999998,0,8141.0
2019-11-18,1.2051349999999998,0,7923.0
2019-11-19,1.2051349999999998,0,7973.0
2019-11-20,1.2051349999999998,0,8204.0
2019-11-21,1.2051349999999998,0,8181.0
2019-11-22,1.2051349999999998,0,8197.0
2019-11-25,1.2051349999999998,0,8164.0
2019-11-26,1.2051349999999998,0,8155.0
2019-11-27,1.2051349999999998,0,8026.0
2019-11-28,1.2051349999999998,0,8070.0
2019-11-29,1.2051349999999998,0,8055.0
2019-12-02,1.2051349999999998,0,8221.0
2019-12-03,1.2051349999999998,0,8289.0
2019-12-04,1.2051349999999998,0,8403.0
2019-12-05,1.2051349999999998,0,8388.0
2019-12-06,1.2051349999999998,0,8426.0
2019-12-09,1.2051349999999998,0,8386.0
2019-12-10,1.2051349999999998,0,8497.0
2019-12-11,1.2051349999999998,0,8515.0
2019-12-12,1.2051349999999998,0,8484.0
2019-12-13,1.2051349999999998,0,8588.0
2019-12-16,1.2051349999999998,0,8645.0
2019-12-17,1.2051349999999998,0,8563.0
2019-12-18,1.2051349999999998,0,8095.0
2019-12-19,1.2051349999999998,0,8110.0
2019-12-20,1.2051349999999998,0,8096.0
2019-12-23,1.2051349999999998,0,8060.0
2019-12-24,1.2051349999999998,0,8013.0
2019-12-25,1.2051349999999998,0,8021.0
2019-12-26,1.2051349999999998,0,8122.0
2019-12-27,1.2051349999999998,0,8017.0
2019-12-30,1.2051349999999998,0,7760.0
2019-12-31,1.2051349999999998,0,7738.0
2020-01-02,1.2051349999999998,0,7741.0
2020-01-03,1.2051349999999998,0,7589.0
2020-01-06,1.2051349999999998,0,7474.0
2020-01-07,1.2051349999999998,0,7501.0
2020-01-08,1.2051349999999998,0,7497.0
2020-01-09,1.2051349999999998,0,7360.0
2020-01-10,1.2051349999999998,1,7447.0
2020-01-13,1.1796198817799999,1,7289.0
2020-01-14,1.1817192269499999,1,7302.0
2020-01-15,1.18543345302,1,7325.0
2020-01-16,1.18963214336,1,7351.0
2020-01-17,1.2086877379799998,1,7469.0
2020-01-20,1.2009363096599999,1,7421.0
2020-01-21,1.1876942862799997,1,7339.0
2020-01-22,1.19124702426,1,7361.0
2020-01-23,1.2007748215699998,1,7420.0
2020-02-03,1.1126023244299998,1,6874.0
2020-02-04,1.1126023244299998,1,7002.0
2020-02-05,1.1140231785949999,1,7011.0
2020-02-06,1.1138653059099999,1,7010.0
2020-02-07,1.11639126887,-1,7026.0
2020-02-10,1.118275489178,-1,7008.0
2020-02-11,1.118694204802,-1,7004.0
2020-02-12,1.120159709486,-1,6990.0
2020-02-13,1.126126407128,-1,6933.0
2020-02-14,1.1331398938300001,0,6866.0
2020-02-17,1.1331398938300001,0,6993.0
2020-02-18,1.1331398938300001,0,6982.0
2020-02-19,1.1331398938300001,0,6997.0
2020-02-20,1.1331398938300001,0,7252.0
2020-02-21,1.1331398938300001,0,7277.0
2020-02-24,1.1331398938300001,0,7277.0
2020-02-25,1.1331398938300001,0,7283.0
2020-02-26,1.1331398938300001,0,7126.0
2020-02-27,1.1331398938300001,0,6872.0
2020-02-28,1.1331398938300001,0,6763.0
2020-03-02,1.1331398938300001,0,6837.0
2020-03-03,1.1331398938300001,0,6823.0
2020-03-04,1.1331398938300001,0,6843.0
2020-03-05,1.1331398938300001,0,6824.0
2020-03-06,1.1331398938300001,0,6783.0
2020-03-09,1.1331398938300001,0,6838.0
2020-03-10,1.1331398938300001,0,6798.0
2020-03-11,1.1331398938300001,0,6783.0
2020-03-12,1.1331398938300001,0,6635.0
2020-03-13,1.1331398938300001,0,6501.0
2020-03-16,1.1331398938300001,0,6740.0
2020-03-17,1.1331398938300001,0,6731.0
2020-03-18,1.1331398938300001,0,6534.0
2020-03-19,1.1331398938300001,0,6477.0
2020-03-20,1.1331398938300001,0,6570.0
2020-03-23,1.1331398938300001,0,6553.0
2020-03-24,1.1331398938300001,0,6540.0
2020-03-25,1.1331398938300001,0,6488.0
2020-03-26,1.1331398938300001,0,6630.0
2020-03-27,1.1331398938300001,0,6664.0
2020-03-30,1.1331398938300001,0,6486.0
2020-03-31,1.1331398938300001,0,6700.0
2020-04-01,1.1331398938300001,0,6573.0
2020-04-02,1.1331398938300001,0,6684.0
2020-04-03,1.1331398938300001,-1,6601.0
2020-04-07,1.124143992448,-1,6684.0
2020-04-08,1.1176409312080002,-1,6744.0
2020-04-09,1.118074468624,-1,6740.0
2020-04-10,1.120242155704,1,6720.0
2020-04-13,1.3795204069640001,1,8285.0
2020-04-14,1.386478673132,0,8327.0
2020-04-15,1.386478673132,0,8234.0
