,value,signal,price
2021-01-08,1.0,1,10134.0
2021-01-11,0.995492,1,10088.0
2021-01-12,0.994022,1,10073.0
2021-01-13,0.992846,1,10061.0
2021-01-14,0.979616,1,9926.0
2021-01-15,0.9755,1,9884.0
2021-01-18,0.98138,1,9944.0
2021-01-19,0.97746,1,9904.0
2021-01-20,0.95737,1,9699.0
2021-01-21,0.97207,1,9849.0
2021-01-22,0.964916,1,9776.0
2021-01-25,0.96766,1,9804.0
2021-01-26,0.957762,1,9703.0
2021-01-27,0.974324,1,9872.0
2021-01-28,0.9755,1,9884.0
2021-01-29,0.969718,1,9825.0
2021-02-01,0.95982,1,9724.0
2021-02-02,0.950314,1,9627.0
2021-02-03,0.950314,1,9445.0
2021-02-04,0.955314,1,9495.0
2021-02-05,0.973314,1,9675.0
2021-02-08,0.975514,1,9697.0
2021-02-09,0.987314,1,9815.0
2021-02-10,0.994114,1,9883.0
2021-02-18,1.019614,1,10138.0
2021-02-19,1.024314,1,10185.0
2021-02-22,1.030114,1,10243.0
2021-02-23,1.038114,1,10323.0
2021-02-24,1.059414,1,10536.0
2021-02-25,1.068814,1,10630.0
2021-02-26,1.053914,1,10481.0
2021-03-01,1.058314,1,10525.0
2021-03-02,1.050614,1,10448.0
2021-03-03,1.052014,1,10462.0
2021-03-04,1.061814,1,10560.0
2021-03-05,1.061614,1,10558.0
2021-03-08,1.109314,1,11035.0
2021-03-09,1.097314,1,10915.0
2021-03-10,1.095114,1,10893.0
2021-03-11,1.077414,1,10716.0
2021-03-12,1.078214,0,10724.0
2021-03-15,1.078214,0,10821.0
2021-03-16,1.078214,0,10724.0
2021-03-17,1.078214,0,10681.0
2021-03-18,1.078214,0,10448.0
2021-03-19,1.078214,0,10365.0
2021-03-22,1.078214,0,10465.0
2021-03-23,1.078214,0,10670.0
2021-03-24,1.078214,0,10767.0
2021-03-25,1.078214,0,10734.0
2021-03-26,1.078214,0,10327.0
2021-03-29,1.078214,0,10267.0
2021-03-30,1.078214,0,10207.0
2021-03-31,1.078214,0,10141.0
2021-04-01,1.078214,0,10413.0
2021-04-02,1.078214,1,10487.0
2021-04-06,1.088516,1,10588.0
2021-04-07,1.098716,1,10688.0
2021-04-08,1.091066,1,10613.0
2021-04-09,1.098206,1,10683.0
2021-04-12,1.093718,1,10639.0
2021-04-13,1.098614,1,10687.0
2021-04-14,1.100348,1,10704.0
2021-04-15,1.090964,1,10612.0
2021-04-16,1.072502,1,10431.0
2021-04-19,1.066892,1,10376.0
2021-04-20,1.06985,1,10405.0
2021-04-21,1.090556,1,10608.0
2021-04-22,1.102898,1,10729.0
2021-04-23,1.115036,1,10848.0
2021-04-26,1.088414,1,10587.0
2021-04-27,1.089638,1,10599.0
2021-04-28,1.075256,1,10458.0
2021-04-29,1.078316,1,10488.0
2021-04-30,1.07036,1,10410.0
2021-05-06,1.127582,1,10971.0
2021-05-07,1.133396,1,11028.0
2021-05-10,1.125542,1,10951.0
2021-05-11,1.114832,1,10846.0
2021-05-12,1.140434,0,11097.0
2021-05-13,1.140434,0,10975.0
2021-05-14,1.140434,0,10704.0
2021-05-17,1.140434,0,10607.0
2021-05-18,1.140434,0,10742.0
2021-05-19,1.140434,0,10608.0
2021-05-20,1.140434,0,10466.0
2021-05-21,1.140434,0,10219.0
2021-05-24,1.140434,0,10282.0
2021-05-25,1.140434,0,10371.0
2021-05-26,1.140434,0,10436.0
2021-05-27,1.140434,0,10205.0
2021-05-28,1.140434,1,10441.0
2021-05-31,1.140434,1,10441.0
2021-06-01,1.142505,1,10460.0
2021-06-02,1.170736,1,10719.0
2021-06-03,1.194607,1,10938.0
2021-06-04,1.182399,1,10826.0
2021-06-07,1.188176,1,10879.0
2021-06-08,1.16376,1,10655.0
2021-06-09,1.164087,1,10658.0
2021-06-10,1.172153,1,10732.0
2021-06-11,1.153732,0,10563.0
2021-06-15,1.153732,0,10211.0
2021-06-16,1.153732,0,9939.0
2021-06-17,1.153732,0,9856.0
2021-06-18,1.153732,1,9542.0
2021-06-21,1.160452,1,9598.0
2021-06-22,1.163932,1,9627.0
2021-06-23,1.180612,1,9766.0
2021-06-24,1.178572,1,9749.0
2021-06-25,1.196452,1,9898.0
2021-06-28,1.205932,1,9977.0
2021-06-29,1.189732,1,9842.0
2021-06-30,1.203652,1,9958.0
2021-07-01,1.232812,1,10201.0
2021-07-02,1.246372,1,10314.0
2021-07-05,1.246012,1,10311.0
2021-07-06,1.246972,1,10319.0
