,value,signal,price
2016-05-31,1.0,0,2426.0
2016-06-01,1.0,0,2399.0
2016-06-02,1.0,0,2498.0
2016-06-03,1.0,0,2553.0
2016-06-06,1.0,0,2567.0
2016-06-07,1.0,0,2581.0
2016-06-08,1.0,0,2590.0
2016-06-13,1.0,0,2694.0
2016-06-14,1.0,0,2655.0
2016-06-15,1.0,0,2712.0
2016-06-16,1.0,0,2620.0
2016-06-17,1.0,1,2657.0
2016-06-20,1.010152,1,2684.0
2016-06-21,1.001504,1,2661.0
2016-06-22,1.006768,1,2675.0
2016-06-23,0.991728,1,2635.0
2016-06-24,0.9906,0,2632.0
2016-06-27,0.9906,0,2738.0
2016-06-28,0.9906,0,2814.0
2016-06-29,0.9906,0,2818.0
2016-06-30,0.9906,0,2889.0
2016-07-01,0.9906,0,2908.0
2016-07-04,0.9906,0,2930.0
2016-07-05,0.9906,0,2814.0
2016-07-06,0.9906,0,2724.0
2016-07-07,0.9906,0,2630.0
2016-07-08,0.9906,0,2528.0
2016-07-11,0.9906,0,2540.0
2016-07-12,0.9906,0,2579.0
2016-07-13,0.9906,0,2688.0
2016-07-14,0.9906,0,2702.0
2016-07-15,0.9906,1,2578.0
2016-07-18,0.97524,1,2538.0
2016-07-19,0.994824,1,2589.0
2016-07-20,0.967176,1,2517.0
2016-07-21,0.981384,1,2554.0
2016-07-22,0.941448,1,2450.0
2016-07-25,0.941448,1,2458.0
2016-07-26,0.951789,1,2485.0
2016-07-27,0.95447,1,2492.0
2016-07-28,0.95447,1,2492.0
2016-07-29,0.947576,0,2474.0
2016-08-01,0.947576,0,2509.0
2016-08-02,0.947576,0,2466.0
2016-08-03,0.947576,0,2469.0
2016-08-04,0.947576,0,2453.0
2016-08-05,0.947576,0,2502.0
2016-08-08,0.947576,0,2357.0
2016-08-09,0.947576,0,2384.0
2016-08-10,0.947576,0,2442.0
2016-08-11,0.947576,0,2408.0
2016-08-12,0.947576,0,2390.0
2016-08-15,0.947576,0,2431.0
2016-08-16,0.947576,0,2419.0
2016-08-17,0.947576,0,2412.0
2016-08-18,0.947576,0,2359.0
2016-08-19,0.947576,-1,2309.0
2016-08-22,0.9410111934719999,-1,2325.0
2016-08-23,0.946345098776,-1,2312.0
2016-08-24,0.9602953126479999,-1,2278.0
2016-08-25,0.94347299592,-1,2319.0
2016-08-26,0.9537305061200001,0,2294.0
2016-08-29,0.9537305061200001,0,2280.0
2016-08-30,0.9537305061200001,0,2268.0
2016-08-31,0.9537305061200001,0,2236.0
2016-09-01,0.9537305061200001,0,2214.0
2016-09-02,0.9537305061200001,0,2213.0
2016-09-05,0.9537305061200001,0,2185.0
2016-09-06,0.9537305061200001,0,2223.0
2016-09-07,0.9537305061200001,0,2266.0
2016-09-08,0.9537305061200001,0,2273.0
2016-09-09,0.9537305061200001,-1,2262.0
2016-09-12,0.950402619208,-1,2270.0
2016-09-13,0.955394449576,-1,2258.0
2016-09-14,0.970785926544,-1,2221.0
2016-09-19,0.9420829019279999,-1,2290.0
2016-09-20,0.9358431139680001,-1,2305.0
2016-09-21,0.9345951563760001,-1,2308.0
2016-09-22,0.9479067040239999,-1,2276.0
2016-09-23,0.962466209264,0,2241.0
2016-09-26,0.962466209264,0,2223.0
2016-09-27,0.962466209264,0,2200.0
2016-09-28,0.962466209264,0,2203.0
2016-09-29,0.962466209264,0,2214.0
2016-09-30,0.962466209264,0,2171.0
2016-10-10,0.962466209264,0,2148.0
2016-10-11,0.962466209264,0,2170.0
2016-10-12,0.962466209264,0,2144.0
2016-10-13,0.962466209264,0,2135.0
2016-10-14,0.962466209264,1,2174.0
2016-10-17,0.9823488108139999,1,2219.0
2016-10-18,0.986325331124,1,2228.0
2016-10-19,0.971744756654,1,2195.0
2016-10-20,0.997371220874,1,2253.0
2016-10-21,1.0031150835440001,0,2266.0
2016-10-24,1.0031150835440001,0,2286.0
2016-10-25,1.0031150835440001,0,2259.0
2016-10-26,1.0031150835440001,0,2291.0
2016-10-27,1.0031150835440001,0,2351.0
2016-10-28,1.0031150835440001,0,2340.0
2016-10-31,1.0031150835440001,0,2305.0
2016-11-01,1.0031150835440001,0,2298.0
2016-11-02,1.0031150835440001,0,2196.0
2016-11-03,1.0031150835440001,0,2192.0
2016-11-04,1.0031150835440001,1,2166.0
2016-11-07,1.023449677824,1,2210.0
2016-11-08,1.034079124834,1,2233.0
2016-11-09,1.017903879384,1,2198.0
2016-11-10,1.076596912874,1,2325.0
2016-11-11,1.113568902474,1,2405.0
2016-11-14,1.047943620934,1,2263.0
2016-11-15,1.047943620934,1,2247.0
2016-11-16,1.0796460863019999,1,2315.0
2016-11-17,1.0810447244799999,1,2318.0
2016-11-18,1.070321831782,1,2295.0
2016-11-21,1.11134855167,1,2383.0
2016-11-22,1.125801146176,1,2414.0
2016-11-23,1.124868720724,1,2412.0
2016-11-24,1.108551275314,1,2377.0
2016-11-25,1.1160106789300002,1,2393.0
2016-11-28,1.151442846106,1,2469.0
2016-11-29,1.16962514242,1,2508.0
2016-11-30,1.142584804312,1,2450.0
2016-12-01,1.145382080668,1,2456.0
2016-12-02,1.1295308479839998,0,2422.0
2016-12-05,1.1295308479839998,0,2447.0
2016-12-06,1.1295308479839998,0,2446.0
2016-12-07,1.1295308479839998,0,2468.0
2016-12-08,1.1295308479839998,0,2429.0
2016-12-09,1.1295308479839998,-1,2388.0
2016-12-12,1.104331659024,-1,2443.0
2016-12-13,1.09196114808,0,2470.0
2016-12-14,1.09196114808,0,2418.0
2016-12-15,1.09196114808,0,2426.0
2016-12-16,1.09196114808,0,2431.0
2016-12-19,1.09196114808,0,2429.0
2016-12-20,1.09196114808,0,2343.0
2016-12-21,1.09196114808,0,2327.0
2016-12-22,1.09196114808,0,2306.0
2016-12-23,1.09196114808,0,2318.0
2016-12-26,1.09196114808,0,2281.0
2016-12-27,1.09196114808,0,2320.0
2016-12-28,1.09196114808,0,2342.0
2016-12-29,1.09196114808,0,2336.0
2016-12-30,1.09196114808,0,2308.0
2017-01-03,1.09196114808,0,2278.0
2017-01-04,1.09196114808,0,2310.0
2017-01-05,1.09196114808,0,2301.0
2017-01-06,1.09196114808,0,2296.0
2017-01-09,1.09196114808,0,2290.0
2017-01-10,1.09196114808,0,2291.0
2017-01-11,1.09196114808,0,2331.0
2017-01-12,1.09196114808,0,2324.0
2017-01-13,1.09196114808,0,2386.0
2017-01-16,1.09196114808,0,2426.0
2017-01-17,1.09196114808,0,2435.0
2017-01-18,1.09196114808,0,2446.0
2017-01-19,1.09196114808,0,2464.0
2017-01-20,1.09196114808,-1,2432.0
2017-01-23,1.09196114808,-1,2432.0
2017-01-24,1.086847914592,-1,2443.0
2017-01-25,1.111019563808,-1,2391.0
2017-01-26,1.100328257424,-1,2414.0
2017-02-03,1.104511812096,0,2405.0
2017-02-06,1.104511812096,0,2452.0
2017-02-07,1.104511812096,0,2450.0
2017-02-08,1.104511812096,0,2493.0
2017-02-09,1.104511812096,0,2480.0
2017-02-10,1.104511812096,0,2518.0
2017-02-13,1.104511812096,0,2506.0
2017-02-14,1.104511812096,0,2480.0
2017-02-15,1.104511812096,0,2465.0
2017-02-16,1.104511812096,0,2478.0
2017-02-17,1.104511812096,-1,2430.0
2017-02-20,1.100828682624,-1,2438.0
