,value,signal,price
2020-02-10,1.0,1,3305.0
2020-02-11,1.026274,1,3392.0
2020-02-12,1.029898,1,3404.0
2020-02-13,1.02718,1,3395.0
2020-02-14,1.028086,1,3398.0
2020-02-17,1.036844,1,3427.0
2020-02-18,1.02567,1,3390.0
2020-02-19,1.026878,1,3394.0
2020-02-20,1.04681,1,3460.0
2020-02-21,1.05436,1,3485.0
2020-02-24,1.051642,1,3476.0
2020-02-25,1.055568,1,3489.0
2020-02-26,1.042884,1,3447.0
2020-02-27,1.034428,1,3419.0
2020-02-28,1.00906,1,3335.0
2020-03-02,1.035334,1,3422.0
2020-03-03,1.035032,1,3421.0
2020-03-04,1.051944,1,3477.0
2020-03-05,1.049528,1,3469.0
2020-03-06,1.041072,1,3441.0
2020-03-09,1.040468,0,3439.0
2020-03-10,1.040468,1,3479.0
2020-03-11,1.04585,1,3497.0
2020-03-12,1.053026,1,3521.0
2020-03-13,1.067378,1,3569.0
2020-03-16,1.062594,1,3553.0
2020-03-17,1.063192,1,3555.0
2020-03-18,1.061099,1,3548.0
2020-03-19,1.055119,1,3528.0
2020-03-20,1.041664,-1,3483.0
2020-03-23,1.0664774781439998,-1,3400.0
2020-03-24,1.056013963264,-1,3435.0
2020-03-25,1.0476431513599997,-1,3463.0
2020-03-26,1.0841159746559998,-1,3341.0
2020-03-27,1.087703465472,-1,3329.0
2020-03-30,1.113712773888,-1,3242.0
2020-03-31,1.113712773888,1,3233.0
2020-04-01,1.091679380352,1,3169.0
2020-04-02,1.112335686792,1,3229.0
2020-04-03,1.0985648158319998,1,3189.0
2020-04-07,1.1044174359899999,1,3206.0
2020-04-08,1.117499763402,1,3244.0
2020-04-09,1.1388446133899999,1,3306.0
2020-04-10,1.161910822248,-1,3373.0
2020-04-13,1.1577268578479998,-1,3387.0
2020-04-14,1.158623421648,-1,3384.0
2020-04-15,1.161910822248,-1,3373.0
2020-04-16,1.1583245670479998,-1,3385.0
2020-04-17,1.1595199854479998,-1,3381.0
2020-04-20,1.165198222848,-1,3362.0
2020-04-21,1.172669587848,-1,3337.0
2020-04-22,1.1613131130480001,-1,3375.0
2020-04-23,1.1747615700479999,-1,3330.0
2020-04-24,1.170876460248,-1,3343.0
2020-04-27,1.178945534448,-1,3316.0
2020-04-28,1.186118044848,-1,3292.0
2020-04-29,1.183129498848,-1,3302.0
2020-04-30,1.1637039498479997,1,3367.0
2020-05-06,1.172324026698,1,3392.0
2020-05-07,1.188529771176,1,3439.0
2020-05-08,1.193012211138,1,3452.0
2020-05-11,1.193012211138,1,3452.0
2020-05-12,1.1971498480259999,1,3464.0
2020-05-13,1.1971498480259999,1,3464.0
2020-05-14,1.19059858962,1,3445.0
2020-05-15,1.1971498480259999,1,3464.0
2020-05-18,1.219217244762,1,3528.0
2020-05-19,1.230940549278,1,3562.0
2020-05-20,1.2202516539839998,1,3531.0
2020-05-21,1.233009367722,0,3568.0
