,value,signal,price
2016-05-31,1.0,1,5890.0
2016-06-01,1.004056,1,5914.0
2016-06-02,1.021294,1,6016.0
2016-06-03,1.038532,1,6118.0
2016-06-06,1.047996,1,6174.0
2016-06-07,1.057798,1,6232.0
2016-06-08,1.046982,1,6168.0
2016-06-13,1.040898,1,6132.0
2016-06-14,1.031434,1,6076.0
2016-06-15,1.01859,1,6000.0
2016-06-16,1.003718,1,5912.0
2016-06-17,1.003718,1,5946.0
2016-06-20,1.003382,1,5944.0
2016-06-21,1.005734,1,5958.0
2016-06-22,1.014806,1,6012.0
2016-06-23,1.010774,1,5988.0
2016-06-24,0.99767,1,5910.0
2016-06-27,1.018502,1,6034.0
2016-06-28,1.02959,1,6100.0
2016-06-29,1.024886,1,6072.0
2016-06-30,1.040006,1,6162.0
2016-07-01,1.050758,1,6226.0
2016-07-04,1.07831,1,6390.0
2016-07-05,1.06487,1,6310.0
2016-07-06,1.029254,1,6098.0
2016-07-07,1.007414,1,5968.0
2016-07-08,1.007414,1,5964.0
2016-07-11,1.020182,1,6040.0
2016-07-12,1.01615,1,6016.0
2016-07-13,1.033286,1,6118.0
2016-07-14,1.040678,1,6162.0
2016-07-15,1.037654,1,6144.0
2016-07-18,1.060838,1,6282.0
2016-07-19,1.051094,1,6224.0
2016-07-20,1.067894,1,6324.0
2016-07-21,1.061846,1,6288.0
2016-07-22,1.044038,1,6182.0
2016-07-25,1.034966,1,6128.0
2016-07-26,1.028246,1,6088.0
2016-07-27,1.027574,1,6084.0
2016-07-28,1.024214,0,6064.0
2016-07-29,1.024214,0,6036.0
2016-08-01,1.024214,0,6154.0
2016-08-02,1.024214,0,6124.0
2016-08-03,1.024214,0,6156.0
2016-08-04,1.024214,0,6178.0
2016-08-05,1.024214,0,6136.0
2016-08-08,1.024214,0,6196.0
2016-08-09,1.024214,0,6254.0
2016-08-10,1.024214,0,6226.0
2016-08-11,1.024214,0,6148.0
2016-08-12,1.024214,0,6204.0
2016-08-15,1.024214,0,6342.0
2016-08-16,1.024214,0,6376.0
2016-08-17,1.024214,0,6382.0
2016-08-18,1.024214,0,6418.0
2016-08-19,1.024214,0,6416.0
2016-08-22,1.024214,0,6354.0
2016-08-23,1.024214,0,6372.0
2016-08-24,1.024214,0,6418.0
2016-08-25,1.024214,0,6326.0
2016-08-26,1.024214,0,6280.0
2016-08-29,1.024214,0,6276.0
2016-08-30,1.024214,0,6290.0
2016-08-31,1.024214,0,6186.0
2016-09-01,1.024214,0,6180.0
2016-09-02,1.024214,0,6196.0
2016-09-05,1.024214,0,6264.0
2016-09-06,1.024214,0,6322.0
2016-09-07,1.024214,0,6284.0
