,value,signal,price
2020-10-16,1.0,1,3275.0
2020-10-19,0.994815,1,3258.0
2020-10-20,1.00244,1,3283.0
2020-10-21,1.002745,1,3284.0
2020-10-22,0.998475,1,3270.0
2020-10-23,0.98719,1,3233.0
2020-10-26,0.99207,1,3249.0
2020-10-27,0.99085,1,3245.0
2020-10-28,0.991765,1,3248.0
2020-10-29,0.977735,1,3202.0
2020-10-30,0.974685,1,3192.0
2020-11-02,0.969195,1,3174.0
2020-11-03,0.97377,1,3189.0
2020-11-04,0.982005,1,3216.0
2020-11-05,1.000305,1,3276.0
2020-11-06,0.995425,1,3260.0
2020-11-09,0.97804,1,3203.0
2020-11-10,0.96401,1,3157.0
2020-11-11,0.99207,1,3249.0
2020-11-12,0.978345,1,3204.0
2020-11-13,0.96462,-1,3159.0
2020-11-16,0.9685826589600001,-1,3146.0
2020-11-17,0.96218144064,-1,3167.0
2020-11-18,0.96096216096,-1,3171.0
2020-11-19,0.95760914184,-1,3182.0
2020-11-20,0.94572116496,-1,3221.0
2020-11-23,0.9326139084,-1,3264.0
2020-11-24,0.94114886616,-1,3236.0
2020-11-25,0.9408440462400001,-1,3237.0
2020-11-26,0.94206332592,-1,3233.0
2020-11-27,0.94846454424,-1,3212.0
2020-11-30,0.94114886616,-1,3236.0
2020-12-01,0.9627910804800002,-1,3165.0
2020-12-02,0.97742243664,-1,3117.0
2020-12-03,0.98382365496,-1,3096.0
2020-12-04,0.98382365496,0,3122.0
2020-12-07,0.98382365496,0,3109.0
2020-12-08,0.98382365496,0,3095.0
2020-12-09,0.98382365496,0,3101.0
2020-12-10,0.98382365496,0,3139.0
2020-12-11,0.98382365496,0,3089.0
2020-12-14,0.98382365496,0,3112.0
2020-12-15,0.98382365496,0,3108.0
2020-12-16,0.98382365496,0,3143.0
2020-12-17,0.98382365496,0,3149.0
2020-12-18,0.98382365496,0,3189.0
2020-12-21,0.98382365496,0,3298.0
2020-12-22,0.98382365496,0,3314.0
2020-12-23,0.98382365496,0,3321.0
2020-12-24,0.98382365496,0,3307.0
2020-12-25,0.98382365496,1,3303.0
2020-12-28,0.985014907504,1,3307.0
2020-12-29,0.975187074016,1,3274.0
2020-12-30,1.00169244312,1,3363.0
2020-12-31,1.036238766896,1,3479.0
2021-01-04,1.03743001944,1,3483.0
2021-01-05,1.03743001944,1,3483.0
2021-01-06,1.052916302512,1,3535.0
2021-01-07,1.047555666064,1,3517.0
2021-01-08,1.0532141156480002,-1,3536.0
2021-01-11,1.029472321552,-1,3619.0
2021-01-12,1.02489559016,-1,3635.0
2021-01-13,0.9848491904800001,-1,3775.0
2021-01-14,0.996004973248,-1,3736.0
2021-01-15,1.001439841776,-1,3717.0
2021-01-18,1.012881670256,-1,3677.0
2021-01-19,1.0163142188,-1,3665.0
2021-01-20,1.053786207072,-1,3534.0
2021-01-21,1.053786207072,-1,3571.0
2021-01-22,1.079251504032,0,3481.0
2021-01-25,1.079251504032,0,3423.0
2021-01-26,1.079251504032,0,3432.0
2021-01-27,1.079251504032,0,3518.0
2021-01-28,1.079251504032,0,3483.0
2021-01-29,1.079251504032,0,3484.0
2021-02-01,1.079251504032,0,3485.0
2021-02-02,1.079251504032,0,3418.0
2021-02-03,1.079251504032,0,3410.0
2021-02-04,1.079251504032,0,3482.0
2021-02-05,1.079251504032,0,3515.0
2021-02-08,1.079251504032,0,3460.0
2021-02-09,1.079251504032,0,3520.0
2021-02-10,1.079251504032,0,3470.0
2021-02-18,1.079251504032,0,3492.0
2021-02-19,1.079251504032,-1,3462.0
2021-02-22,1.0670403468320002,-1,3505.0
2021-02-23,1.042618032432,-1,3591.0
2021-02-24,1.042618032432,-1,3591.0
2021-02-25,1.047445699232,-1,3574.0
2021-02-26,1.0891908180319998,-1,3427.0
2021-03-01,1.090610720032,-1,3422.0
2021-03-02,1.110773328432,-1,3351.0
2021-03-03,1.110773328432,-1,3403.0
2021-03-04,1.125325516784,-1,3351.0
2021-03-05,1.121687469696,-1,3364.0
2021-03-08,1.107694980896,-1,3414.0
2021-03-09,1.126165066112,-1,3348.0
2021-03-10,1.148273198416,-1,3269.0
2021-03-11,1.168142532512,-1,3198.0
2021-03-12,1.168142532512,-1,3210.0
2021-03-15,1.1673060811520002,-1,3213.0
2021-03-16,1.162008555872,-1,3232.0
2021-03-17,1.153086408032,-1,3264.0
2021-03-18,1.158105116192,-1,3246.0
2021-03-19,1.1589415675519998,0,3243.0
2021-03-22,1.1589415675519998,0,3279.0
2021-03-23,1.1589415675519998,0,3257.0
2021-03-24,1.1589415675519998,0,3288.0
2021-03-25,1.1589415675519998,0,3305.0
2021-03-26,1.1589415675519998,1,3343.0
2021-03-29,1.147188925728,1,3309.0
2021-03-30,1.1444235982399997,1,3301.0
2021-03-31,1.136818947648,1,3279.0
2021-04-01,1.2215071019679997,1,3524.0
2021-04-02,1.2156307810559996,0,3507.0
2021-04-06,1.2156307810559996,0,3490.0
2021-04-07,1.2156307810559996,0,3547.0
2021-04-08,1.2156307810559996,0,3517.0
2021-04-09,1.2156307810559996,0,3524.0
2021-04-12,1.2156307810559996,0,3453.0
2021-04-13,1.2156307810559996,0,3442.0
2021-04-14,1.2156307810559996,0,3422.0
2021-04-15,1.2156307810559996,0,3468.0
2021-04-16,1.2156307810559996,1,3515.0
2021-04-19,1.2249637613279998,1,3542.0
2021-04-20,1.2346424075359999,1,3570.0
2021-04-21,1.238099066896,1,3580.0
2021-04-22,1.2550366977599998,1,3629.0
2021-04-23,1.2612586846079998,-1,3647.0
2021-04-26,1.260719249088,-1,3649.0
2021-04-27,1.2518185630079999,-1,3682.0
2021-04-28,1.2704290884479998,-1,3613.0
2021-04-29,1.277441750208,-1,3587.0
2021-04-30,1.280678363328,-1,3575.0
2021-05-06,1.2553248938879997,-1,3669.0
2021-05-07,1.244536183488,-1,3709.0
2021-05-10,1.249930538688,-1,3689.0
2021-05-11,1.253976305088,-1,3674.0
2021-05-12,1.2283531178879998,0,3769.0
2021-05-13,1.2283531178879998,0,3678.0
2021-05-14,1.2283531178879998,0,3607.0
2021-05-17,1.2283531178879998,0,3606.0
2021-05-18,1.2283531178879998,0,3623.0
2021-05-19,1.2283531178879998,0,3571.0
2021-05-20,1.2283531178879998,0,3567.0
2021-05-21,1.2283531178879998,1,3524.0
2021-05-24,1.229743429152,0,3528.0
2021-05-25,1.229743429152,0,3538.0
2021-05-26,1.229743429152,0,3508.0
2021-05-27,1.229743429152,0,3472.0
2021-05-28,1.229743429152,1,3532.0
2021-05-31,1.225920073176,1,3521.0
2021-06-01,1.2328716294959998,1,3541.0
2021-06-02,1.2419086527119998,1,3567.0
2021-06-03,1.2547690319039997,1,3604.0
2021-06-04,1.2307861625999998,0,3535.0
2021-06-07,1.2307861625999998,0,3622.0
2021-06-08,1.2307861625999998,0,3615.0
2021-06-09,1.2307861625999998,0,3619.0
2021-06-10,1.2307861625999998,0,3628.0
2021-06-11,1.2307861625999998,0,3642.0
2021-06-15,1.2307861625999998,0,3494.0
2021-06-16,1.2307861625999998,0,3474.0
2021-06-17,1.2307861625999998,0,3450.0
2021-06-18,1.2307861625999998,0,3373.0
2021-06-21,1.2307861625999998,0,3394.0
2021-06-22,1.2307861625999998,0,3393.0
2021-06-23,1.2307861625999998,0,3384.0
2021-06-24,1.2307861625999998,0,3390.0
2021-06-25,1.2307861625999998,0,3397.0
2021-06-28,1.2307861625999998,0,3448.0
2021-06-29,1.2307861625999998,0,3458.0
2021-06-30,1.2307861625999998,0,3486.0
2021-07-01,1.2307861625999998,0,3639.0
2021-07-02,1.2307861625999998,0,3694.0
2021-07-05,1.2307861625999998,0,3655.0
2021-07-06,1.2307861625999998,0,3634.0
2021-07-07,1.2307861625999998,0,3571.0
2021-07-08,1.2307861625999998,0,3584.0
2021-07-09,1.2307861625999998,0,3580.0
2021-07-12,1.2307861625999998,0,3590.0
2021-07-13,1.2307861625999998,0,3613.0
2021-07-14,1.2307861625999998,0,3625.0
2021-07-15,1.2307861625999998,0,3662.0
2021-07-16,1.2307861625999998,0,3663.0
2021-07-19,1.2307861625999998,0,3709.0
2021-07-20,1.2307861625999998,0,3704.0
2021-07-21,1.2307861625999998,0,3678.0
2021-07-22,1.2307861625999998,0,3622.0
2021-07-23,1.2307861625999998,0,3578.0
2021-07-26,1.2307861625999998,0,3503.0
2021-07-27,1.2307861625999998,0,3533.0
2021-07-28,1.2307861625999998,0,3553.0
2021-07-29,1.2307861625999998,0,3623.0
2021-07-30,1.2307861625999998,-1,3652.0
2021-08-02,1.2352543289999998,-1,3636.0
2021-08-03,1.2383261934,-1,3625.0
2021-08-04,1.2486588282,-1,3588.0
2021-08-05,1.2570366402000002,-1,3558.0
2021-08-06,1.2517306926,-1,3577.0
2021-08-09,1.2405602766,-1,3617.0
2021-08-10,1.2374884122,-1,3628.0
2021-08-11,1.249217349,-1,3586.0
2021-08-12,1.2668107542000002,-1,3523.0
2021-08-13,1.2397224954000001,-1,3620.0
2021-08-16,1.2344165478,-1,3639.0
2021-08-17,1.2349750686,-1,3637.0
2021-08-18,1.2430736202000001,-1,3608.0
2021-08-19,1.258991463,-1,3551.0
2021-08-20,1.2637388898000002,0,3534.0
2021-08-23,1.2637388898000002,0,3485.0
2021-08-24,1.2637388898000002,0,3493.0
2021-08-25,1.2637388898000002,0,3502.0
2021-08-26,1.2637388898000002,0,3511.0
2021-08-27,1.2637388898000002,0,3501.0
2021-08-30,1.2637388898000002,0,3525.0
2021-08-31,1.2637388898000002,0,3517.0
2021-09-01,1.2637388898000002,0,3491.0
2021-09-02,1.2637388898000002,0,3504.0
2021-09-03,1.2637388898000002,0,3487.0
2021-09-06,1.2637388898000002,0,3486.0
2021-09-07,1.2637388898000002,0,3524.0
2021-09-08,1.2637388898000002,0,3486.0
2021-09-09,1.2637388898000002,0,3468.0
2021-09-10,1.2637388898000002,0,3500.0
2021-09-13,1.2637388898000002,0,3530.0
2021-09-14,1.2637388898000002,0,3545.0
2021-09-15,1.2637388898000002,0,3534.0
2021-09-16,1.2637388898000002,0,3548.0
2021-09-17,1.2637388898000002,-1,3570.0
2021-09-22,1.2731188863,-1,3536.0
2021-09-23,1.27339476855,-1,3535.0
2021-09-24,1.2802918248,-1,3510.0
2021-09-27,1.2725671218,-1,3538.0
2021-09-28,1.2855335875499998,-1,3491.0
2021-09-29,1.2891200568,-1,3478.0
2021-09-30,1.2929824082999999,-1,3464.0
2021-10-08,1.3244329847999998,0,3350.0
2021-10-11,1.3244329847999998,0,3325.0
2021-10-12,1.3244329847999998,0,3299.0
2021-10-13,1.3244329847999998,0,3236.0
2021-10-14,1.3244329847999998,0,3265.0
2021-10-15,1.3244329847999998,0,3263.0
2021-10-18,1.3244329847999998,0,3230.0
2021-10-19,1.3244329847999998,0,3224.0
2021-10-20,1.3244329847999998,0,3237.0
2021-10-21,1.3244329847999998,0,3254.0
2021-10-22,1.3244329847999998,1,3278.0
2021-10-25,1.328870696848,1,3289.0
2021-10-26,1.3212055578559998,1,3270.0
2021-10-27,1.3159609890719999,1,3257.0
2021-10-28,1.3167678458079997,1,3259.0
2021-10-29,1.3062787082399998,1,3233.0
