,value,signal,price
2020/9/17,1,0,790
2020/9/18,1,1,803
2020/9/21,0.966385,1,776
2020/9/22,0.9620275,1,772.5
2020/9/23,0.9545575,1,766.5
2020/9/24,0.95518,1,767
2020/9/25,0.9520675,0,764.5
2020/9/27,0.9520675,0,764.5
2020/9/28,0.9520675,0,770
2020/9/29,0.9520675,0,780.5
2020/9/30,0.9520675,0,809
2020/10/2,0.9520675,-1,809
2020/10/9,0.927355636,0,830
2020/10/10,0.927355636,0,830
2020/10/12,0.927355636,0,825
2020/10/13,0.927355636,0,813
2020/10/14,0.927355636,0,798.5
2020/10/15,0.927355636,0,787.5
2020/10/16,0.927355636,-1,785.5
2020/10/19,0.932950937,-1,781
2020/10/20,0.923003735,-1,789
2020/10/21,0.913056534,-1,797
2020/10/22,0.917408435,-1,793.5
2020/10/23,0.944763238,0,771.5
2020/10/26,0.944763238,0,760.5
2020/10/27,0.944763238,0,768
2020/10/28,0.944763238,0,785.5
2020/10/29,0.944763238,0,779.5
2020/10/30,0.944763238,-1,794.5
2020/10/31,0.944763238,-1,794.5
2020/11/2,0.936916298,-1,801
2020/11/3,0.9538174,-1,787
2020/11/4,0.954421011,-1,786.5
2020/11/5,0.958646286,-1,783
2020/11/6,0.950799346,0,789.5
2020/11/9,0.950799346,0,817.5
2020/11/10,0.950799346,0,825.5
2020/11/11,0.950799346,0,838
2020/11/12,0.950799346,0,835.5
2020/11/13,0.950799346,0,832.5
2020/11/16,0.950799346,0,841
2020/11/17,0.950799346,0,855
2020/11/18,0.950799346,0,858.5
2020/11/19,0.950799346,0,876.5
2020/11/20,0.950799346,1,887.5
2020/11/23,0.929387904,1,867.5
2020/11/24,0.938487767,1,876
2020/11/25,0.942770055,1,880
2020/11/26,0.960969781,1,897
2020/11/27,0.966322641,1,902
2020/11/30,0.976493076,1,911.5
2020/12/1,0.97328136,1,908.5
2020/12/2,1.000580949,1,934
2020/12/3,1.003792665,1,937
2020/12/4,1.041262688,1,972
2020/12/7,1.036445114,1,967.5
2020/12/8,0.977028362,1,912
2020/12/9,0.977028362,1,918.5
2020/12/10,1.032866387,1,971
2020/12/11,1.052542643,0,989.5
2020/12/14,1.052542643,0,966
2020/12/15,1.052542643,0,994
2020/12/16,1.052542643,0,1007.5
2020/12/17,1.052542643,0,1026.5
2020/12/18,1.052542643,-1,1073.5
2020/12/21,0.982800895,-1,1144.5
2020/12/22,1.013742657,-1,1113
2020/12/23,1.098709716,-1,1026.5
2020/12/24,1.098709716,-1,1036
2020/12/25,1.072415858,1,1063
2020/12/28,1.034602123,1,1025.5
2020/12/29,1.019476629,1,1010.5
2020/12/30,0.992754922,1,984
2020/12/31,0.992754922,1,996
2021/1/1,0.992754922,0,996
2021/1/4,0.992754922,0,1019.5
2021/1/5,0.992754922,0,1039
2021/1/6,0.992754922,0,1033.5
2021/1/7,0.992754922,0,1062.5
2021/1/8,0.992754922,0,1067
2021/1/11,0.992754922,0,1046
2021/1/12,0.992754922,0,1049
2021/1/13,0.992754922,0,1034
2021/1/14,0.992754922,0,1055
2021/1/15,0.992754922,-1,1053
2021/1/18,0.972273432,-1,1075.5
2021/1/19,0.999126941,-1,1046
2021/1/20,0.987293191,-1,1059
2021/1/21,0.985472614,-1,1061
2021/1/22,0.998671797,0,1046.5
2021/1/25,0.998671797,0,1046.5
2021/1/26,0.998671797,0,1025.5
2021/1/27,0.998671797,0,1041.5
2021/1/28,0.998671797,0,985.5
2021/1/29,0.998671797,-1,990
2021/1/31,0.998671797,-1,990
2021/2/1,1.011177775,-1,977
2021/2/2,1.053024701,-1,933.5
2021/2/3,1.053024701,0,948
2021/2/4,1.053024701,0,991
2021/2/5,1.053024701,1,1004.5
2021/2/7,1.053024701,1,1004.5
2021/2/8,1.077652651,1,1028
2021/2/9,1.112760579,1,1061.5
2021/2/10,1.123240558,1,1071.5
2021/2/12,1.123240558,1,1071.5
2021/2/18,1.18612043,1,1131.5
2021/2/19,1.170924461,1,1117
2021/2/20,1.170924461,1,1117
2021/2/22,1.193980414,1,1139
2021/2/23,1.160444483,1,1107
2021/2/24,1.184024435,1,1129.5
2021/2/25,1.185596431,1,1131
2021/2/26,1.206556389,0,1151
2021/2/28,1.206556389,0,1151
2021/3/1,1.206556389,0,1132.5
2021/3/2,1.206556389,0,1154.5
2021/3/3,1.206556389,0,1153.5
2021/3/4,1.206556389,0,1174.5
2021/3/5,1.206556389,1,1127.5
2021/3/8,1.22366973,1,1143.5
2021/3/9,1.103876342,0,1031.5
2021/3/10,1.103876342,0,1040.5
2021/3/11,1.103876342,0,1093.5
2021/3/12,1.103876342,0,1059
2021/3/15,1.103876342,0,1035
2021/3/16,1.103876342,0,1070
2021/3/17,1.103876342,0,1068
2021/3/18,1.103876342,0,1089
2021/3/19,1.103876342,0,1042
2021/3/22,1.103876342,0,1004.5
2021/3/23,1.103876342,0,1039.5
2021/3/24,1.103876342,0,1053
2021/3/25,1.103876342,0,1067.5
2021/3/26,1.103876342,1,1088.5
2021/3/29,1.138840724,1,1123
2021/3/30,1.114010945,0,1098.5
2021/3/31,1.114010945,0,1079.5
2021/4/1,1.114010945,0,975.5
2021/4/2,1.114010945,0,979
2021/4/6,1.114010945,0,971
2021/4/7,1.114010945,0,993.5
2021/4/8,1.114010945,0,982.5
2021/4/9,1.114010945,-1,979
2021/4/12,1.080052783,-1,1014
2021/4/13,1.0718058,-1,1022.5
2021/4/14,1.082478366,-1,1011.5
2021/4/15,1.046579737,0,1048.5
2021/4/16,1.046579737,0,1046
2021/4/19,1.046579737,0,1060
2021/4/20,1.046579737,0,1100
2021/4/21,1.046579737,0,1100.5
2021/4/22,1.046579737,0,1091.5
2021/4/23,1.046579737,1,1104.5
2021/4/25,1.046579737,1,1104.5
2021/4/26,1.084461563,1,1144.5
2021/4/27,1.097720202,1,1158.5
2021/4/28,1.078779289,1,1138.5
2021/4/29,1.067414741,1,1126.5
2021/4/30,1.031427006,1,1088.5
2021/5/6,1.031427006,1,1184
2021/5/7,1.068444425,0,1226.5
2021/5/8,1.068444425,0,1226.5
2021/5/10,1.068444425,0,1326
2021/5/11,1.068444425,0,1306.5
2021/5/12,1.068444425,0,1337
2021/5/13,1.068444425,0,1216.5
2021/5/14,1.068444425,0,1173
2021/5/17,1.068444425,0,1197.5
2021/5/18,1.068444425,0,1242.5
2021/5/19,1.068444425,0,1192.5
2021/5/20,1.068444425,0,1142.5
2021/5/21,1.068444425,-1,1096.5
2021/5/24,1.099231679,-1,1064
2021/5/25,1.10491548,-1,1058
2021/5/26,1.165069037,-1,994.5
2021/5/27,1.165069037,0,1046.5
2021/5/28,1.165069037,0,1063
2021/5/31,1.165069037,0,1106
2021/6/1,1.165069037,0,1169.5
2021/6/2,1.165069037,0,1168.5
2021/6/3,1.165069037,0,1194
2021/6/4,1.165069037,1,1168.5
2021/6/7,1.114760704,1,1118
2021/6/8,1.145643047,1,1149
2021/6/9,1.171544367,1,1175
2021/6/10,1.174532981,1,1178
2021/6/11,1.2432711,0,1247
2021/6/15,1.2432711,0,1225.5
2021/6/16,1.2432711,0,1197.5
2021/6/17,1.2432711,0,1223.5
2021/6/18,1.2432711,1,1203
2021/6/21,1.15859039,1,1121
2021/6/22,1.15859039,1,1139
2021/6/23,1.193138015,1,1173
2021/6/24,1.184501109,1,1164.5
2021/6/25,1.205331294,0,1185
2021/6/28,1.205331294,0,1196
