,value,signal,price
2020/10/23,1,0,51950
2020/10/26,1,0,51810
2020/10/27,1,0,51650
2020/10/28,1,0,51840
2020/10/29,1,0,51470
2020/10/30,1,0,50940
2020/10/31,1,0,50940
2020/11/2,1,0,51070
2020/11/3,1,0,51800
2020/11/4,1,0,51610
2020/11/5,1,0,51420
2020/11/6,1,0,51430
2020/11/9,1,0,51840
2020/11/10,1,0,51590
2020/11/11,1,0,51960
2020/11/12,1,0,51800
2020/11/13,1,0,52180
2020/11/16,1,0,53640
2020/11/17,1,0,52850
2020/11/18,1,0,52950
2020/11/19,1,0,52730
2020/11/20,1,0,53520
2020/11/23,1,0,53970
2020/11/24,1,0,54770
2020/11/25,1,0,54550
2020/11/26,1,0,55310
2020/11/27,1,0,56120
2020/11/30,1,1,57680
2020/12/1,0.98912,1,57040
2020/12/2,0.99184,1,57200
2020/12/3,0.98623,1,56870
2020/12/4,0.99609,1,57450
2020/12/7,0.98895,1,57030
2020/12/8,0.98725,1,56930
2020/12/9,0.99269,1,57250
2020/12/10,0.99609,1,57450
2020/12/11,1.00255,1,57830
2020/12/14,1.00289,1,57850
2020/12/15,1.00034,1,57700
2020/12/16,1.00289,1,57850
2020/12/17,1.01598,1,58620
2020/12/18,1.02686,1,59260
2020/12/21,1.0272,1,59280
2020/12/22,1.00374,1,57900
2020/12/23,1.00289,1,57850
2020/12/24,1.00765,1,58130
2020/12/25,1.01496,1,58560
2020/12/28,1.01853,0,58770
2020/12/29,1.01853,0,58180
2020/12/30,1.01853,0,58480
2020/12/31,1.01853,-1,57750
2021/1/1,1.01853,-1,57750
2021/1/4,1.011430846,-1,58160
2021/1/5,1.012296596,-1,58110
2021/1/6,0.996366787,-1,59030
2021/1/7,0.990306534,-1,59380
2021/1/8,0.974203574,-1,60310
2021/1/11,1.004158542,-1,58580
2021/1/12,1.00190759,-1,58710
2021/1/13,1.00069554,-1,58780
2021/1/14,1.00138814,-1,58740
2021/1/15,1.002253891,-1,58690
2021/1/18,0.992038035,-1,59280
2021/1/19,0.998790889,-1,58890
2021/1/20,0.994808436,-1,59120
2021/1/21,0.990999134,-1,59340
2021/1/22,1.000176089,-1,58810
2021/1/25,0.995327887,-1,59090
2021/1/26,1.006063193,-1,58470
2021/1/27,1.00173444,-1,58720
2021/1/28,1.01835685,0,57760
