,value,signal,price
2018/9/17,1,-1,14445
2018/9/18,0.99724,-1,14485
2018/9/19,0.99379,-1,14535
2018/9/20,0.99103,-1,14575
2018/9/21,0.982405,-1,14700
2018/9/25,0.988615,-1,14610
2018/9/26,0.993445,-1,14540
2018/9/27,1.005865,-1,14360
2018/9/28,1.009315,-1,14310
2018/9/30,1.009315,-1,14310
2018/10/5,1.009315,-1,14310
2018/10/8,0.999655,-1,14450
2018/10/9,0.992065,-1,14560
2018/10/10,1.003105,-1,14400
2018/10/11,1.01794,-1,14185
2018/10/12,1.009315,-1,14310
2018/10/15,1.01932,-1,14165
2018/10/16,1.013455,-1,14250
2018/10/17,1.010005,-1,14300
2018/10/18,1.021045,-1,14140
2018/10/19,1.0207,-1,14145
2018/10/22,1.01863,-1,14175
2018/10/23,1.016905,-1,14200
2018/10/24,1.013455,-1,14250
2018/10/25,1.01311,-1,14255
2018/10/26,1.018975,-1,14170
2018/10/29,1.017595,-1,14190
2018/10/30,1.02484,-1,14085
2018/10/31,1.033465,0,13960
2018/11/1,1.033465,0,13870
2018/11/2,1.033465,0,13960
2018/11/5,1.033465,0,13920
2018/11/6,1.033465,0,13945
2018/11/7,1.033465,0,13915
2018/11/8,1.033465,0,13945
2018/11/9,1.033465,0,13900
2018/11/12,1.033465,0,13860
2018/11/13,1.033465,0,13825
2018/11/14,1.033465,0,13720
2018/11/15,1.033465,0,13785
2018/11/16,1.033465,0,13760
2018/11/19,1.033465,0,13825
2018/11/20,1.033465,0,13710
2018/11/21,1.033465,0,13745
2018/11/22,1.033465,0,13805
2018/11/23,1.033465,0,13775
2018/11/26,1.033465,0,13805
2018/11/27,1.033465,0,13760
2018/11/28,1.033465,0,13675
2018/11/29,1.033465,0,13650
2018/11/30,1.033465,1,13555
2018/12/3,1.052702951,1,13810
2018/12/4,1.051948522,1,13800
2018/12/5,1.045535871,1,13715
2018/12/6,1.036105503,1,13590
2018/12/7,1.039123221,1,13630
2018/12/10,1.039500436,1,13635
2018/12/11,1.038746006,1,13625
2018/12/12,1.034973859,1,13575
2018/12/13,1.042140939,1,13670
2018/12/14,1.03987765,1,13640
2018/12/17,1.04063208,1,13650
2018/12/18,1.047421945,1,13740
2018/12/19,1.041763724,1,13665
2018/12/20,1.043649798,1,13690
2018/12/21,1.048176374,1,13750
2018/12/24,1.04779916,1,13745
2018/12/25,1.051194092,1,13790
2018/12/26,1.051194092,1,13790
2018/12/27,1.04063208,1,13650
2018/12/28,1.036105503,0,13590
2018/12/31,1.036105503,0,13590
2019/1/2,1.036105503,0,13395
2019/1/3,1.036105503,0,13295
2019/1/4,1.036105503,0,13400
2019/1/7,1.036105503,0,13425
2019/1/8,1.036105503,0,13350
2019/1/9,1.036105503,0,13475
2019/1/10,1.036105503,0,13405
2019/1/11,1.036105503,0,13385
2019/1/14,1.036105503,0,13285
2019/1/15,1.036105503,0,13315
2019/1/16,1.036105503,0,13400
2019/1/17,1.036105503,0,13395
2019/1/18,1.036105503,0,13475
2019/1/21,1.036105503,0,13535
2019/1/22,1.036105503,0,13395
2019/1/23,1.036105503,0,13520
2019/1/24,1.036105503,0,13550
2019/1/25,1.036105503,0,13520
2019/1/28,1.036105503,0,13485
